,Cuba,Bhutan,Israel,Australia & New Zealand,Australia,New Zealand,French Guiana,United Republic of Tanzania,Philippines,Samoa,Nepal,Ethiopia,Kenya,Guyana,South Africa,Italy,United Arab Emirates,Qatar,Mauritius,Saudi Arabia,Yemen,Suriname,Albania,Niue,China,Morocco,Uzbekistan,Honduras,Colombia,Spain,Kyrgyzstan,Gabon,Malawi,India,Malta,"China, Taiwan Province of",Ecuador,Swaziland,Japan,Turkey,Jordan,Afghanistan,Angola,Trinidad and Tobago,Egypt,Malaysia,Grenada,Greece,Azerbaijan,Nicaragua,Republic of Korea,Nigeria,Zimbabwe,Martinique,Syrian Arab Republic,Tunisia,Occupied Palestinian Territory,Iran (Islamic Republic of),Kazakhstan,United States of America,Mexico,Guinea,"China, mainland",French Polynesia,Sierra Leone,Algeria,Peru,Côte d'Ivoire,Polynesia,Thailand,Guatemala,Cyprus
1961,,,,72000.0,,18000.0,,11667.0,,50000.0,,,50000.0,,,143872.0,,,,58000.0,,,,27500.0,28142.0,,,,,,,41667.0,50000.0,125000.0,,78274.0,202357.0,,92449.0,33799.0,,67123.0,50000.0,,,30000.0,,16300.0,,,,33333.0,,,,,,56250.0,,,,46000.0,23077.0,187500.0,,,,24000.0,61686.0,,60167.0,80000.0
1962,,,,55556.0,,13333.0,,13333.0,,50000.0,,,50000.0,,,132108.0,,,,58095.0,,,,32500.0,27491.0,,,,,,,41667.0,50000.0,100000.0,,70819.0,282418.0,,82013.0,26940.0,,67123.0,50000.0,,,30000.0,,14350.0,,,,33333.0,,,,,,55294.0,,,,44444.0,22989.0,187500.0,,,,56000.0,61802.0,,60000.0,80000.0
1963,,,,66667.0,,12667.0,,15000.0,,50000.0,,,50000.0,,,168036.0,,,,58182.0,,,,30000.0,28511.0,,,,,,,41667.0,50000.0,100000.0,,69980.0,226306.0,,75802.0,16752.0,,67123.0,50000.0,,,30000.0,,13700.0,,,,33333.0,,,,,,55556.0,,,,44138.0,23077.0,187500.0,,,,44000.0,61792.0,,60145.0,80000.0
1964,,,,38667.0,,12000.0,,11227.0,,50000.0,,,50000.0,,,162594.0,,,,57826.0,,,,30000.0,27805.0,,,,,,,41667.0,50000.0,104000.0,,83560.0,196792.0,,92602.0,14322.0,,76923.0,51429.0,,,30000.0,,10975.0,,,,33333.0,,,,,,57895.0,,,,43333.0,23077.0,187500.0,,,,30000.0,62529.0,,60260.0,80000.0
1965,,,,39000.0,,13750.0,,13787.0,,50000.0,,,50000.0,,,116312.0,,,,57917.0,,,,28571.0,29355.0,,,,,,,41667.0,50000.0,104000.0,,87941.0,146146.0,,88352.0,30687.0,,81707.0,53571.0,,,30000.0,,11675.0,,,,33333.0,,,,,,60000.0,,,,44444.0,23009.0,187500.0,,,,56250.0,61829.0,,59583.0,80000.0
1966,,,,38333.0,,17593.0,,15770.0,,50000.0,,,50000.0,,,148670.0,,,,58000.0,,,,,29974.0,,,,,,,41667.0,50000.0,104000.0,,97969.0,156175.0,,61379.0,28189.0,158000.0,83333.0,53571.0,,,30000.0,,10475.0,,,,33333.0,,,34000.0,,,64286.0,,,,46875.0,23333.0,187500.0,,,,46250.0,62798.0,,59888.0,80000.0
1967,,,,26986.0,,15616.0,,14961.0,,50000.0,,,50000.0,,,133698.0,,,,58140.0,,,,,30423.0,,,,,,,41667.0,50000.0,108000.0,,87827.0,152461.0,,141570.0,29895.0,101538.0,90099.0,55714.0,,,30000.0,,8600.0,,,,33333.0,,,36000.0,,,66667.0,,,,46440.0,23333.0,187500.0,,,,80000.0,62917.0,,59681.0,80000.0
1968,,,,51000.0,,31250.0,,9781.0,,50000.0,,,50000.0,,,125058.0,,,,58015.0,,,,,30987.0,,,,,,,41667.0,50000.0,106000.0,,93383.0,121811.0,,179303.0,69300.0,166667.0,92929.0,57143.0,,,30000.0,,11625.0,,,,33333.0,,,21393.0,,,69565.0,,,,46012.0,23333.0,187500.0,,,,85000.0,62500.0,,60638.0,80000.0
1969,,,,48134.0,,27015.0,,10996.0,,50000.0,,,50000.0,,,114242.0,,,,57955.0,,,,,30604.0,,,,,,,41667.0,50000.0,90000.0,,87185.0,72835.0,,147866.0,62458.0,,93000.0,57857.0,,,30000.0,,14550.0,,,,33333.0,,,33993.0,,,69231.0,,,,45455.0,23333.0,187500.0,,,,62778.0,62024.0,,60115.0,80000.0
1970,,,,62792.0,,43312.0,,6472.0,,50000.0,,,50000.0,,,126369.0,,,,57895.0,,,,,27233.0,,,,,,,41667.0,50000.0,100000.0,,107940.0,63860.0,,162104.0,62865.0,,89109.0,58571.0,,,30000.0,,15325.0,,,,33333.0,,,27650.0,,,71429.0,,,,45045.0,21818.0,166667.0,,,88571.0,94500.0,61657.0,,59651.0,95000.0
