,USSR,Finland,Vanuatu,Trinidad and Tobago,Fiji,French Guiana,Kenya,Guyana,Morocco,Solomon Islands,Papua New Guinea,Somalia,Micronesia,Togo,Equatorial Guinea,Albania,Brazil,Serbia,El Salvador,Saint Lucia,Canada,Colombia,Spain,New Zealand,Honduras,Jamaica,Cabo Verde,Republic of Moldova,Mongolia,Belgium-Luxembourg,Angola,Saudi Arabia,Sao Tome and Principe,The former Yugoslav Republic of Macedonia,Greece,Czechoslovakia,Haiti,Sudan,Mali,Hungary,Dominican Republic,Syrian Arab Republic,Yugoslav SFR,Puerto Rico,Iran (Islamic Republic of),Gambia,Ghana,Sweden,Cyprus,Kazakhstan,Rwanda,Bosnia and Herzegovina,Portugal,Saint Kitts and Nevis,Slovakia,Pacific Islands Trust Territory,Bermuda,Singapore,Turkmenistan,Dominica,Madagascar,United Republic of Tanzania,Nepal,Libya,Costa Rica,Bangladesh,Germany,Comoros,Latvia,Benin,Montserrat,Occupied Palestinian Territory,Cambodia,Armenia,Chile,Malta,Denmark,Lebanon,Malawi,Algeria,"China, Taiwan Province of",Israel,Réunion,Kiribati,Belarus,Afghanistan,Switzerland,Grenada,Wallis and Futuna Islands,Mauritius,Yemen,Georgia,Lithuania,Russian Federation,Tunisia,Paraguay,Tuvalu,Cook Islands,Guadeloupe,Tokelau,Venezuela (Bolivarian Republic of),South Africa,Myanmar,Eritrea,Bahrain,Australia & New Zealand,Australia,Panama,Pakistan,Thailand,Belize,Ethiopia,Bhutan,United Arab Emirates,Lao People's Democratic Republic,Zambia,United States Virgin Islands,Botswana,Tajikistan,Suriname,Niue,Mozambique,Niger,"China, Hong Kong SAR",Democratic People's Republic of Korea,Slovenia,South Sudan,New Caledonia,Central African Republic,Bahamas,Ecuador,Indonesia,Poland,Chad,Antigua and Barbuda,Ethiopia PDR,Estonia,Melanesia,Malaysia,France,Republic of Korea,Democratic Republic of the Congo,Nigeria,Congo,Saint Pierre and Miquelon,Martinique,Tonga,Belgium,Peru,United States of America,"China, mainland",French Polynesia,India,Guinea-Bissau,Cameroon,Netherlands,Guatemala,Nauru,Cuba,Lesotho,Romania,Micronesia (Federated States of),Norway,Philippines,Iraq,Swaziland,Burundi,Samoa,Luxembourg,Czechia,Seychelles,Senegal,Qatar,Italy,Ireland,Uganda,Cayman Islands,Uzbekistan,China,Burkina Faso,Serbia and Montenegro,Sudan (former),British Virgin Islands,Jordan,Uruguay,Zimbabwe,Kyrgyzstan,Gabon,Austria,Japan,Maldives,Timor-Leste,Egypt,Argentina,Namibia,United Kingdom,Azerbaijan,Nicaragua,Oman,Viet Nam,Barbados,Turkey,Bolivia (Plurinational State of),Saint Vincent and the Grenadines,American Samoa,Brunei Darussalam,Mexico,Guinea,Kuwait,Mauritania,Sierra Leone,Sri Lanka,Guam,Côte d'Ivoire,Polynesia,Croatia,Bulgaria,Montenegro,Ukraine,Liberia
1961,1715200.0,715.0,265.0,7560.0,2225.0,355.0,54672.0,8567.0,94125.0,886.0,71540.0,21050.0,3062.0,860.0,2300.0,10200.0,555547.0,,7800.0,5261.0,70507.0,222700.0,2137780.0,7338.0,39728.0,42550.0,1150.0,,0.0,10586.0,41500.0,24200.0,860.0,,383280.0,20241.0,55000.0,,15010.0,204372.0,81360.0,98225.0,272000.0,16383.0,293955.0,0.0,133400.0,0.0,69921.0,,99000.0,,581570.0,0.0,,2450.0,20.0,1633.0,,4082.0,70070.0,208600.0,0.0,4812.0,35170.0,105000.0,98865.0,2800.0,,3660.0,61.0,0.0,21879.0,,143617.0,1198.0,0.0,58080.0,59140.0,511100.0,33273.0,46560.0,370.0,482.0,,92399.0,19169.0,4000.0,502.0,166.0,21856.0,,,,106589.0,9665.0,0.0,872.0,8590.0,3.0,148765.0,145412.0,213281.0,,1943.0,140085.0,132747.0,12000.0,399800.0,331300.0,2591.0,,4950.0,620.0,7835.0,7360.0,,1300.0,,2364.0,118.0,46260.0,1000.0,643.0,20600.0,,,1500.0,26400.0,450.0,153485.0,391500.0,0.0,0.0,0.0,9500.0,,76416.0,41440.0,1640266.0,22876.0,320500.0,753000.0,10650.0,,8670.0,4547.0,,77585.0,1108487.0,590290.0,277.0,1549270.0,7000.0,110130.0,375.0,34970.0,0.0,22100.0,2700.0,327300.0,,1100.0,505670.0,15000.0,4832.0,198700.0,11484.0,,,95.0,3750.0,,2215831.0,3500.0,672200.0,,,624206.0,0.0,,59000.0,0.0,35874.0,20000.0,13850.0,,24620.0,36675.0,270890.0,475.0,2500.0,74406.0,239480.0,1000.0,58400.0,,12300.0,17135.0,156850.0,200.0,1050494.0,26340.0,2428.0,500.0,780.0,234705.0,117000.0,1.0,4975.0,4000.0,56217.0,130.0,339595.0,18303.0,,257447.0,,,23320.0
1962,1899200.0,767.0,272.0,7680.0,2300.0,365.0,55522.0,9285.0,96133.0,896.0,73250.0,22250.0,3083.0,880.0,3000.0,11100.0,594673.0,,8200.0,5868.0,75745.0,223800.0,2036946.0,7682.0,36947.0,49415.0,1150.0,,0.0,10574.0,41700.0,25300.0,860.0,,383110.0,20002.0,56000.0,,15030.0,219039.0,79570.0,113724.0,270000.0,16606.0,295655.0,0.0,133400.0,0.0,70385.0,,147000.0,,594870.0,0.0,,2450.0,18.0,1590.0,,4000.0,73070.0,205500.0,0.0,4550.0,39170.0,113900.0,97137.0,2800.0,,3750.0,61.0,0.0,17600.0,,144922.0,980.0,0.0,59080.0,59140.0,510250.0,36523.0,48080.0,370.0,503.0,,92250.0,20256.0,4000.0,502.0,154.0,21956.0,,,,94042.0,8965.0,0.0,873.0,8290.0,3.0,142958.0,145683.0,223305.0,,1948.0,140850.0,133168.0,12000.0,473380.0,306200.0,2110.0,,5100.0,670.0,7930.0,8010.0,,1400.0,,2408.0,109.0,47598.0,1000.0,635.0,20600.0,,,1550.0,26400.0,460.0,147443.0,396500.0,0.0,0.0,0.0,9400.0,,78268.0,44240.0,1645052.0,22901.0,323000.0,755000.0,11150.0,,8680.0,4590.0,,66705.0,1120941.0,615840.0,280.0,1588500.0,7000.0,135130.0,345.0,34970.0,0.0,22500.0,2700.0,319900.0,,1200.0,511810.0,15000.0,4897.0,198900.0,13533.0,,,95.0,3800.0,,2213819.0,3500.0,705200.0,,,652998.0,0.0,,59600.0,0.0,35204.0,20000.0,14320.0,,24420.0,36675.0,287240.0,485.0,2500.0,77810.0,247000.0,1000.0,61550.0,,12900.0,17135.0,159350.0,200.0,1086679.0,28870.0,2833.0,500.0,802.0,252661.0,122000.0,1.0,4500.0,4000.0,54815.0,130.0,380295.0,20390.0,,267504.0,,,23420.0
1963,2028000.0,721.0,285.0,7740.0,2315.0,215.0,55822.0,8111.0,96134.0,906.0,74160.0,21260.0,3137.0,900.0,2500.0,11900.0,640358.0,,8300.0,6960.0,85950.0,230420.0,2067984.0,8013.0,33618.0,49962.0,1150.0,,0.0,10545.0,43700.0,25900.0,660.0,,381420.0,20320.0,57000.0,,15050.0,229312.0,79950.0,114377.0,266000.0,17517.0,293305.0,0.0,144400.0,0.0,72482.0,,88000.0,,603550.0,0.0,,2473.0,35.0,1636.0,,5000.0,75130.0,226000.0,0.0,4610.0,38870.0,111200.0,101354.0,2800.0,,3805.0,89.0,0.0,23900.0,,144357.0,1084.0,0.0,59120.0,61160.0,519330.0,43288.0,58860.0,370.0,534.0,,92100.0,19444.0,4000.0,512.0,315.0,21954.0,,,,100383.0,10400.0,0.0,896.0,8590.0,3.0,147851.0,154837.0,196352.0,,1960.0,146031.0,138018.0,12000.0,527100.0,312700.0,2468.0,,5300.0,695.0,8070.0,8260.0,,1400.0,,2575.0,110.0,48711.0,1700.0,639.0,20600.0,,,1580.0,26900.0,470.0,160385.0,420500.0,0.0,0.0,0.0,10200.0,,79246.0,44020.0,1644272.0,23543.0,327300.0,755000.0,11250.0,,8695.0,3605.0,,67765.0,1088253.0,622450.0,263.0,1613650.0,7000.0,134686.0,301.0,36520.0,0.0,23100.0,2700.0,313900.0,,1200.0,500904.0,15000.0,5500.0,199300.0,11575.0,,,97.0,3800.0,,2188940.0,3500.0,761200.0,,,666377.0,0.0,,60200.0,0.0,34760.0,20000.0,14850.0,,25420.0,40765.0,302360.0,500.0,2500.0,81418.0,254700.0,1000.0,61200.0,,14000.0,17185.0,162650.0,200.0,1089154.0,29350.0,3440.0,500.0,864.0,274915.0,113000.0,1.0,6500.0,4000.0,58654.0,130.0,366295.0,17464.0,,277807.0,,,23680.0
1964,2164400.0,782.0,292.0,8300.0,1892.0,220.0,56122.0,9904.0,96140.0,916.0,76470.0,20260.0,1752.0,920.0,2500.0,12519.0,648335.0,,8400.0,7163.0,86750.0,236720.0,2069263.0,8570.0,38851.0,47852.0,1250.0,,0.0,10654.0,43800.0,26500.0,860.0,,380580.0,20307.0,59000.0,,15070.0,242614.0,76170.0,114311.0,263000.0,15968.0,301555.0,0.0,143900.0,0.0,72317.0,,94285.0,,607680.0,0.0,,1057.0,36.0,1630.0,,6000.0,80620.0,243300.0,0.0,3707.0,41380.0,117400.0,102023.0,3000.0,,3865.0,89.0,0.0,24697.0,,147435.0,1083.0,0.0,56513.0,61160.0,542290.0,51106.0,61041.0,370.0,565.0,,96950.0,18989.0,3500.0,512.0,356.0,22554.0,,,,91283.0,10450.0,0.0,956.0,7980.0,3.0,147911.0,159548.0,197971.0,,1960.0,149472.0,140902.0,13000.0,494100.0,304400.0,2835.0,,5400.0,737.0,8360.0,8360.0,,1390.0,,1939.0,111.0,48500.0,1700.0,631.0,20600.0,,,1650.0,27080.0,480.0,213335.0,420300.0,0.0,0.0,0.0,10850.0,,81220.0,45850.0,1633218.0,29330.0,329800.0,757000.0,11350.0,,9210.0,4720.0,,90245.0,1087482.0,678850.0,264.0,1623900.0,8000.0,180687.0,257.0,37950.0,0.0,22000.0,2700.0,330800.0,,1300.0,525099.0,15000.0,5830.0,199800.0,12828.0,,,99.0,3800.0,,2181781.0,2500.0,802200.0,,,730587.0,0.0,,66000.0,0.0,35963.0,20000.0,15050.0,,25220.0,40815.0,319080.0,515.0,2500.0,90101.0,263500.0,1100.0,62450.0,,14800.0,17185.0,165750.0,200.0,1102795.0,31940.0,3440.0,500.0,876.0,278962.0,119000.0,1.0,7500.0,4000.0,60379.0,130.0,386295.0,19894.0,,283037.0,,,23680.0
1965,2259600.0,720.0,305.0,8370.0,2306.0,220.0,56072.0,9967.0,95155.0,926.0,77380.0,21260.0,1718.0,940.0,2500.0,12600.0,672437.0,,8700.0,8000.0,78030.0,210630.0,2102496.0,8697.0,37733.0,47768.0,1250.0,,0.0,10476.0,45800.0,27650.0,680.0,,382160.0,20678.0,61000.0,,17240.0,246560.0,76420.0,111590.0,261000.0,17761.0,308605.0,0.0,150297.0,0.0,73473.0,,100185.0,,611940.0,0.0,,992.0,36.0,1700.0,,6000.0,81630.0,246300.0,0.0,3520.0,41680.0,121000.0,98816.0,3300.0,,4365.0,90.0,0.0,26116.0,,149051.0,1052.0,0.0,50797.0,63280.0,505374.0,63714.0,62199.0,270.0,596.0,,101400.0,17791.0,6000.0,512.0,508.0,22754.0,,,,101500.0,10625.0,0.0,1000.0,8290.0,3.0,149099.0,168654.0,185589.0,,1966.0,150258.0,141561.0,13000.0,517800.0,353400.0,3594.0,,5550.0,740.0,8680.0,8360.0,,1520.0,,3333.0,122.0,48300.0,1700.0,656.0,21600.0,,,1750.0,27650.0,490.0,269425.0,441300.0,30947.0,0.0,0.0,11250.0,,82667.0,48790.0,1630933.0,42570.0,334200.0,774000.0,11550.0,,9510.0,4785.0,,91770.0,1100346.0,726100.0,265.0,1652850.0,8000.0,120145.0,244.0,37560.0,0.0,22000.0,2700.0,343400.0,,1400.0,549040.0,15000.0,6578.0,210000.0,11560.0,,,101.0,4200.0,,2083256.0,2000.0,520200.0,,,790470.0,0.0,,67300.0,0.0,36490.0,20000.0,15300.0,,26120.0,46243.0,338560.0,525.0,2550.0,93882.0,268700.0,1100.0,58100.0,,13137.0,17185.0,170350.0,200.0,1104858.0,32725.0,3440.0,405.0,924.0,303156.0,121500.0,1.0,8025.0,4000.0,63359.0,130.0,397130.0,18652.0,,289497.0,,,23690.0
1966,2259600.0,684.0,317.0,8260.0,1737.0,220.0,55972.0,9502.0,95190.0,936.0,81075.0,15960.0,1752.0,960.0,3300.0,12600.0,711871.0,,8900.0,8000.0,86770.0,265380.0,1968128.0,8726.0,40566.0,37140.0,1082.0,,0.0,10670.0,45900.0,28750.0,680.0,,381390.0,21267.0,60000.0,,17280.0,244900.0,77130.0,122779.0,259000.0,16451.0,325205.0,0.0,151066.0,3000.0,72587.0,,121000.0,,515279.0,0.0,,985.0,28.0,1699.0,,8094.0,86280.0,313800.0,0.0,3676.0,41480.0,120323.0,100166.0,3300.0,,4360.0,30.0,0.0,27700.0,,164746.0,1052.0,0.0,50285.0,64500.0,493790.0,75971.0,67050.0,270.0,637.0,,110150.0,26262.0,6000.0,522.0,496.0,24205.0,,,,102048.0,11380.0,0.0,963.0,8200.0,3.0,148673.0,171443.0,185399.0,,1952.0,152473.0,143747.0,13000.0,153311.0,362975.0,3907.0,,5700.0,765.0,8750.0,8460.0,,1520.0,,4745.0,371.0,48300.0,1700.0,648.0,22700.0,,,1770.0,29650.0,500.0,251067.0,458000.0,34530.0,0.0,3.0,11550.0,,85835.0,40670.0,1635977.0,45077.0,335600.0,776000.0,12200.0,,9810.0,5250.0,,107512.0,1111849.0,952000.0,268.0,1684900.0,8000.0,126215.0,230.0,39080.0,0.0,19620.0,2800.0,326200.0,,1426.0,544352.0,16500.0,6533.0,210500.0,9610.0,,,102.0,5170.0,,2070730.0,1500.0,527200.0,2.0,,1028619.0,0.0,,69700.0,20.0,35115.0,18000.0,15520.0,,26520.0,46243.0,355550.0,550.0,2550.0,103220.0,274800.0,1100.0,52650.0,,13546.0,17285.0,171200.0,190.0,1145260.0,34457.0,3440.0,486.0,836.0,326363.0,122000.0,2.0,5525.0,4000.0,36969.0,130.0,404100.0,17473.0,,298466.0,,,23690.0
1967,2445300.0,695.0,335.0,8430.0,1994.0,200.0,55972.0,10146.0,94186.0,946.0,81995.0,15660.0,1773.0,980.0,3300.0,12500.0,724080.0,,9200.0,8000.0,87580.0,270470.0,2013717.0,9112.0,49393.0,37981.0,1092.0,,0.0,10690.0,45900.0,28840.0,680.0,,380400.0,21178.0,62000.0,,17450.0,239700.0,70030.0,121766.0,257000.0,16173.0,337055.0,0.0,163418.0,3000.0,75552.0,,130000.0,,519549.0,0.0,,985.0,30.0,1675.0,,6475.0,91610.0,233300.0,0.0,3988.0,41280.0,124710.0,98460.0,3300.0,,4460.0,24.0,0.0,27300.0,,156351.0,1011.0,0.0,46359.0,64800.0,486570.0,86905.0,66900.0,270.0,658.0,,122300.0,25145.0,6000.0,532.0,533.0,23817.0,,,,101360.0,11580.0,0.0,1043.0,8750.0,3.0,149479.0,179883.0,191014.0,,1958.0,153132.0,144020.0,13000.0,154870.0,373675.0,3947.0,,5850.0,765.0,8970.0,8960.0,,1520.0,,4785.0,391.0,47700.0,1700.0,643.0,23200.0,,,1730.0,29650.0,505.0,268019.0,469000.0,34854.0,0.0,6.0,12400.0,,87000.0,41150.0,1589761.0,48492.0,339000.0,778000.0,12300.0,,10220.0,5615.0,,110324.0,1130088.0,970350.0,269.0,1723200.0,8000.0,155982.0,213.0,40555.0,0.0,18160.0,2800.0,333700.0,,1596.0,537040.0,16500.0,8930.0,210700.0,9157.0,,,102.0,5170.0,,2018358.0,1500.0,705200.0,2.0,,1057898.0,0.0,,71750.0,25.0,35488.0,18000.0,16070.0,,27520.0,46833.0,366580.0,560.0,2550.0,109836.0,280000.0,1100.0,47650.0,,15369.0,17285.0,173850.0,190.0,1161194.0,36319.0,3500.0,550.0,782.0,357577.0,127800.0,2.0,5050.0,4000.0,44204.0,130.0,407000.0,17560.0,,311837.0,,,23800.0
1968,2519500.0,754.0,353.0,8670.0,1636.0,200.0,56222.0,8817.0,87325.0,951.0,85640.0,15940.0,1804.0,1000.0,3500.0,12600.0,749629.0,,9700.0,8000.0,79375.0,270710.0,2000173.0,9298.0,51850.0,33464.0,1136.0,,0.0,10769.0,46000.0,30960.0,700.0,,372720.0,22093.0,64000.0,,17470.0,236141.0,69600.0,122263.0,256000.0,14496.0,342955.0,0.0,170917.0,3050.0,84405.0,,134500.0,,511159.0,0.0,,985.0,32.0,2398.0,,6475.0,95090.0,206200.0,0.0,4611.0,44980.0,126130.0,101214.0,3400.0,,4460.0,24.0,0.0,32450.0,,162506.0,1011.0,0.0,48549.0,64820.0,476600.0,90506.0,66800.0,270.0,689.0,,124450.0,24171.0,6000.0,542.0,557.0,24070.0,,,,103484.0,11480.0,0.0,1178.0,8700.0,3.0,155301.0,185021.0,195465.0,,1961.0,154295.0,144997.0,21000.0,157314.0,363940.0,4208.0,,6000.0,755.0,8830.0,9610.0,,1520.0,,4881.0,411.0,46800.0,1700.0,631.0,23200.0,,,1750.0,29680.0,510.0,260394.0,491000.0,35116.0,0.0,8.0,12600.0,,90330.0,42380.0,1579060.0,52708.0,347500.0,780000.0,12400.0,,10330.0,5230.0,,117975.0,1146890.0,1116700.0,280.0,1778050.0,8000.0,173734.0,205.0,44050.0,0.0,17188.0,2800.0,342803.0,,1810.0,518284.0,16500.0,10336.0,211000.0,8705.0,,,103.0,5200.0,,1919244.0,2000.0,895200.0,2.0,,1207837.0,0.0,,72050.0,25.0,14366.0,18000.0,16470.0,,27620.0,46833.0,377130.0,575.0,2770.0,119008.0,293100.0,1100.0,52950.0,,15900.0,17285.0,177250.0,190.0,1129688.0,37956.0,3642.0,630.0,622.0,362658.0,123600.0,17.0,5200.0,4000.0,73274.0,130.0,407100.0,16979.0,,318505.0,,,23970.0
1969,2576500.0,779.0,365.0,8410.0,1572.0,200.0,56472.0,9621.0,81278.0,956.0,87350.0,16020.0,1818.0,1050.0,3500.0,12600.0,756084.0,,10600.0,8000.0,80285.0,281730.0,2040530.0,10144.0,54799.0,31579.0,1132.0,,0.0,10729.0,52300.0,33070.0,700.0,,363290.0,23190.0,65000.0,,20490.0,233502.0,79810.0,125546.0,255907.0,15055.0,356905.0,0.0,180294.0,3100.0,89425.0,,136500.0,,513399.0,0.0,,985.0,32.0,2468.0,,6500.0,105205.0,262981.0,0.0,4338.0,53090.0,128950.0,101836.0,3400.0,,4750.0,30.0,0.0,27610.0,,149307.0,970.0,0.0,52670.0,64830.0,468180.0,87562.0,66300.0,120.0,700.0,,125300.0,24593.0,6000.0,552.0,608.0,23156.0,,,,93060.0,12130.0,0.0,1220.0,7400.0,3.0,165482.0,192538.0,194251.0,,1968.0,156603.0,146459.0,23000.0,149704.0,375477.0,3937.0,,6150.0,795.0,9060.0,9570.0,,1470.0,,4816.0,530.0,50400.0,1700.0,623.0,23500.0,,,1670.0,30180.0,528.0,252911.0,520500.0,29034.0,0.0,10.0,13800.0,,91913.0,44170.0,1480451.0,56719.0,329000.0,782000.0,12900.0,,9850.0,3945.0,,137445.0,1178667.0,1025100.0,281.0,1799500.0,8000.0,168219.0,190.0,45750.0,0.0,15697.0,2800.0,346744.0,,1970.0,559205.0,17000.0,11500.0,211500.0,9243.0,,,102.0,6070.0,,1864339.0,2000.0,826200.0,2.0,,1113285.0,0.0,,75000.0,25.0,11061.0,18000.0,17110.0,,29620.0,47388.0,382700.0,585.0,2800.0,121787.0,298417.0,1100.0,56200.0,,15818.0,17785.0,176250.0,190.0,1125111.0,37090.0,3642.0,700.0,631.0,359949.0,126300.0,22.0,4750.0,4000.0,63881.0,133.0,413450.0,16474.0,,286018.0,,,24080.0
1970,3243800.0,757.0,377.0,8630.0,1420.0,855.0,57822.0,10907.0,81202.0,961.0,91640.0,16070.0,1843.0,1000.0,3500.0,12358.0,797523.0,,11210.0,5100.0,85270.0,281590.0,2039254.0,11559.0,54022.0,31411.0,1097.0,,0.0,10397.0,52300.0,34330.0,700.0,,361700.0,24121.0,66000.0,,20680.0,229715.0,82120.0,120033.0,253966.0,16016.0,365255.0,0.0,195500.0,3150.0,95950.0,,150100.0,,518165.0,0.0,,985.0,34.0,2504.0,,5100.0,108085.0,356661.0,0.0,4193.0,54690.0,126033.0,104700.0,3500.0,,4750.0,30.0,0.0,27600.0,,154614.0,1004.0,0.0,54126.0,66240.0,461260.0,92496.0,62490.0,270.0,721.0,,125050.0,23150.0,6000.0,562.0,569.0,23300.0,,,,86537.0,12530.0,0.0,1292.0,8400.0,3.0,168726.0,195267.0,182515.0,,1983.0,158755.0,147196.0,21000.0,149062.0,384503.0,3801.0,,6250.0,860.0,10040.0,9960.0,,1470.0,,4204.0,600.0,52100.0,1700.0,641.0,26000.0,,,1750.0,30680.0,530.0,257501.0,487000.0,28579.0,0.0,10.0,14300.0,,96148.0,48140.0,1456845.0,59200.0,361400.0,941000.0,13450.0,,9555.0,3950.0,,158327.0,1188417.0,1101600.0,288.0,1822084.0,8000.0,190812.0,166.0,45870.0,0.0,13623.0,3000.0,292800.0,,2036.0,580091.0,17000.0,12597.0,211500.0,9774.0,,,112.0,6300.0,,1864257.0,1900.0,1057700.0,2.0,,1194737.0,0.0,,77900.0,25.0,12225.0,20000.0,17670.0,,29620.0,47836.0,384360.0,570.0,2800.0,127652.0,301100.0,1100.0,59950.0,,16100.0,17785.0,179750.0,110.0,1143398.0,39340.0,3238.0,700.0,656.0,412036.0,122750.0,29.0,5575.0,4000.0,62685.0,137.0,420150.0,17169.0,,285931.0,,,24190.0
