,USSR,France,Fiji,French Guiana,Kenya,Guyana,Morocco,Solomon Islands,Papua New Guinea,Somalia,Micronesia,Albania,El Salvador,Saint Lucia,Chad,Colombia,Spain,Grenada,India,Honduras,Lesotho,Cabo Verde,Republic of Moldova,Mongolia,Angola,Saudi Arabia,Sao Tome and Principe,Togo,Greece,Yemen,Haiti,Mali,Hungary,Dominican Republic,Syrian Arab Republic,Yugoslav SFR,Iran (Islamic Republic of),Gambia,Ghana,Cyprus,United Arab Emirates,Rwanda,Bosnia and Herzegovina,Portugal,"China, Taiwan Province of",Puerto Rico,Singapore,Dominica,Madagascar,United Republic of Tanzania,Nepal,Libya,Costa Rica,Bangladesh,Comoros,Latvia,Benin,Montserrat,Occupied Palestinian Territory,Cambodia,Armenia,Czechoslovakia,Chile,Malta,Lebanon,Malawi,Algeria,Slovakia,Israel,Réunion,Afghanistan,Trinidad and Tobago,Sudan,Wallis and Futuna Islands,Mauritius,Namibia,Mauritania,Russian Federation,Tunisia,Georgia,Venezuela (Bolivarian Republic of),Cook Islands,South Africa,Myanmar,Eritrea,Bahrain,Australia & New Zealand,Mozambique,Panama,Pakistan,Thailand,Belize,Ethiopia,Bhutan,Lao People's Democratic Republic,Zambia,Botswana,Niue,Paraguay,Niger,"China, Hong Kong SAR",Democratic People's Republic of Korea,South Sudan,New Caledonia,Ecuador,Indonesia,Poland,Jordan,Ethiopia PDR,Egypt,Melanesia,Malaysia,Vanuatu,Republic of Korea,Democratic Republic of the Congo,Nigeria,Congo,Tonga,Peru,United States of America,"China, mainland",French Polynesia,The former Yugoslav Republic of Macedonia,New Zealand,Guinea-Bissau,Cameroon,Guatemala,Cuba,Romania,Micronesia (Federated States of),Philippines,Iraq,Swaziland,Burundi,Czechia,Seychelles,Senegal,Qatar,Italy,Ireland,Uganda,Uzbekistan,China,Burkina Faso,Sudan (former),British Virgin Islands,Switzerland,Sierra Leone,Uruguay,Zimbabwe,Kyrgyzstan,Gabon,Maldives,Guam,Kazakhstan,Azerbaijan,Nicaragua,Oman,Viet Nam,Barbados,Turkey,Bolivia (Plurinational State of),Saint Vincent and the Grenadines,American Samoa,Brunei Darussalam,Mexico,Kuwait,Tajikistan,Sri Lanka,Pacific Islands Trust Territory,Côte d'Ivoire,Polynesia,Bulgaria,Montenegro,Ukraine
1961,18667.0,,90909.0,,45000.0,,,88235.0,80556.0,126866.0,40000.0,,,,,,62596.0,,60000.0,,44444.0,46667.0,,,41538.0,69231.0,43750.0,,,95000.0,,50000.0,,,60000.0,,63187.0,,30000.0,97259.0,,,,33200.0,54937.0,,71429.0,,50000.0,50000.0,,,,66667.0,,,,,,,,,47328.0,,95652.0,51364.0,,,,,51153.0,,,,62500.0,50000.0,40000.0,,,,,15254.0,75000.0,38624.0,,55556.0,,48000.0,,,83333.0,,,,50667.0,42857.0,37273.0,,,,37636.0,64286.0,,83333.0,,50870.0,,65000.0,108000.0,128571.0,80808.0,,90323.0,12358.0,66667.0,60204.0,35714.0,9091.0,,123170.0,27778.0,70833.0,,,,,,,,,77273.0,,40000.0,42529.0,,32857.0,,,100958.0,,48387.0,,29919.0,,71429.0,,75000.0,,,40000.0,,11458.0,114286.0,40000.0,,,,,86000.0,,54072.0,45000.0,,,50000.0,117317.0,,,,,,56753.0,39453.0,,
1962,19400.0,,86957.0,,50769.0,,,88953.0,81081.0,126471.0,40000.0,,,,,,64511.0,,63704.0,,44444.0,46667.0,,,43077.0,71429.0,43750.0,,,93871.0,,50000.0,,,80000.0,,65027.0,,30000.0,98185.0,,,,33600.0,63043.0,,71429.0,,51667.0,50000.0,,,,66667.0,,,,,,,,,48485.0,,110191.0,52273.0,,,,,50109.0,,,,60000.0,55000.0,40000.0,,,,,15546.0,80000.0,38223.0,,54545.0,,48800.0,,,83333.0,,,,52000.0,43333.0,35000.0,,,,33717.0,67143.0,,83333.0,,51304.0,,66000.0,119565.0,139881.0,81332.0,,90625.0,92326.0,66667.0,60400.0,35714.0,9167.0,,122632.0,27778.0,75000.0,,,,,,,,,77273.0,,40000.0,42697.0,,32857.0,,,67774.0,,48387.0,,29546.0,,71429.0,,79200.0,,,40000.0,,11458.0,113889.0,40000.0,,,,,86000.0,,53968.0,45238.0,,,50000.0,74471.0,,,,,,57521.0,40257.0,,
1963,26233.0,,86957.0,,52239.0,,,89655.0,81081.0,129412.0,40000.0,,,,,,66939.0,,59310.0,,44444.0,46667.0,,,43077.0,73333.0,43750.0,,,92500.0,,50000.0,,,80000.0,,66848.0,,30000.0,97077.0,,,,34000.0,55315.0,,75862.0,,49231.0,50000.0,,,,66667.0,,,,,,,,,48872.0,,112598.0,50870.0,,,,,52129.0,,,,60000.0,55000.0,40000.0,,,,,15833.0,80000.0,40422.0,,57143.0,,49600.0,,,83333.0,,,,52667.0,43333.0,37500.0,,,,39296.0,68571.0,,66667.0,,50000.0,,63000.0,120000.0,154762.0,81222.0,,90909.0,42152.0,69333.0,61900.0,35714.0,9231.0,,120148.0,27778.0,79167.0,,,,,,,,,77273.0,,40000.0,43011.0,,32857.0,,,72760.0,,48387.0,,30356.0,,71429.0,,80526.0,,,40000.0,,11458.0,113514.0,40000.0,,,,,86000.0,,53872.0,44444.0,,,60000.0,74462.0,,,,,,59054.0,46365.0,,
1964,29022.0,,85714.0,,52239.0,,,90341.0,81579.0,128571.0,40000.0,,,,,,66945.0,,64333.0,,44444.0,46667.0,,,43077.0,77500.0,43750.0,,,91515.0,,50000.0,,,80000.0,,68919.0,,30000.0,100800.0,,,,34400.0,37226.0,,75862.0,,50769.0,50000.0,,,,66667.0,,,,,,,,,49254.0,,157044.0,51739.0,,,,,60544.0,,,,58333.0,54545.0,40000.0,,,,,16116.0,83333.0,38855.0,,57143.0,,50000.0,,,83333.0,,,,40500.0,43750.0,40000.0,,,,26926.0,70000.0,,70000.0,,50833.0,,46000.0,120000.0,114719.0,81755.0,,94118.0,36912.0,62857.0,62157.0,36207.0,9286.0,,129274.0,27778.0,79167.0,,,,,,,,,77273.0,,40000.0,42857.0,,34286.0,,,110386.0,,48387.0,,28233.0,,65000.0,,80000.0,,,40000.0,,11458.0,113158.0,40000.0,,,,,86000.0,,53798.0,44898.0,,,40000.0,75111.0,,,,,,57874.0,43484.0,,
1965,28975.0,,85714.0,,52239.0,,,92135.0,81013.0,130000.0,40000.0,,,,,,69855.0,,60000.0,,44444.0,50667.0,,,44615.0,80000.0,44444.0,,,90294.0,,50000.0,,,55000.0,,70968.0,,30000.0,98294.0,,,,34800.0,66513.0,,86667.0,,48571.0,50000.0,,,,66667.0,,,,,,,,,49926.0,,129167.0,52609.0,,,,,63984.0,,,,58333.0,54545.0,40000.0,,,,,16393.0,83333.0,42829.0,,56140.0,,50800.0,,,84615.0,,,,41500.0,43750.0,37692.0,,,,39741.0,62500.0,,81081.0,,49200.0,,51000.0,120000.0,166667.0,81327.0,,94286.0,45963.0,62857.0,62500.0,36207.0,9333.0,,103623.0,28571.0,79167.0,,,,,,,,,70833.0,,40000.0,43000.0,,30000.0,,,91304.0,,48387.0,,32789.0,,65000.0,,75000.0,,,40909.0,,11458.0,112821.0,40000.0,,,,,88095.0,,53714.0,45098.0,,,50000.0,76889.0,,,,,,60587.0,37606.0,,
1966,25250.0,,85714.0,,52239.0,,,92778.0,80952.0,129577.0,49900.0,,,,,,55340.0,,66061.0,,46429.0,50667.0,,,44615.0,83333.0,44444.0,,,83714.0,,50000.0,,,42857.0,,72872.0,,29091.0,100625.0,,,,35200.0,71306.0,,86609.0,,50000.0,50000.0,,,,66667.0,,,,,,,,,51471.0,,141369.0,51250.0,,,,,66607.0,,,,57143.0,54545.0,40000.0,,,,,16667.0,83333.0,44636.0,,56140.0,,51200.0,,,84211.0,,,,42000.0,44118.0,38462.0,4423.0,,,36512.0,65000.0,,81081.0,,48846.0,,46780.0,124074.0,121776.0,81280.0,,97222.0,44015.0,70000.0,62830.0,36207.0,9375.0,,116753.0,28571.0,79167.0,,,,,,,,,75000.0,,40909.0,42857.0,,31250.0,,,100975.0,,48387.0,,33458.0,,63095.0,,74884.0,,,40909.0,,12115.0,112500.0,40000.0,,,,,88095.0,,53636.0,45283.0,,,35938.0,77476.0,,,,,,38763.0,50798.0,,
1967,30800.0,,85714.0,,52941.0,,,93407.0,80952.0,133803.0,53000.0,,,,,,59483.0,,67647.0,,46429.0,50667.0,,,44615.0,86316.0,44444.0,,,82778.0,,50000.0,,,48763.0,,75263.0,,30909.0,100625.0,,,,36000.0,82715.0,,81246.0,,48000.0,50000.0,,,,66667.0,,,,,,,,,51825.0,,166399.0,52083.0,,,,,71047.0,,,,57143.0,54545.0,40000.0,,,,,16935.0,90000.0,44167.0,,58621.0,,52000.0,,,85246.0,,,,40000.0,44118.0,39231.0,4286.0,,,46485.0,67500.0,,73333.0,,48889.0,,38330.0,125000.0,116572.0,81247.0,,97368.0,50512.0,65574.0,63241.0,36207.0,9412.0,,97333.0,28571.0,75000.0,,,,,,,,,75000.0,,41818.0,43925.0,,37500.0,,,110429.0,,48387.0,,37364.0,,62791.0,,80000.0,,,40909.0,,12308.0,112195.0,42000.0,,,,,88095.0,,53807.0,44828.0,,,37188.0,81075.0,,,,,,38761.0,47284.0,,
1968,35200.0,,86667.0,,52857.0,,,95082.0,81395.0,132877.0,54500.0,,,,,,59249.0,,66667.0,,46429.0,50667.0,,,46154.0,89000.0,45000.0,,,82162.0,,50000.0,,,52291.0,,78125.0,,30909.0,103071.0,,,,37760.0,86775.0,,85205.0,,49333.0,50000.0,,,,64516.0,,,,,,,,,52174.0,,296768.0,53333.0,,,,,75299.0,,,,60000.0,54545.0,40000.0,,,,,18000.0,90000.0,42958.0,,58621.0,,52000.0,,,84848.0,,,,45000.0,44444.0,40000.0,4333.0,,,45927.0,70000.0,,73333.0,,51071.0,,61379.0,128947.0,118731.0,81712.0,,97500.0,26755.0,65574.0,63636.0,36667.0,9444.0,,97178.0,28571.0,66667.0,,,,,,,,,81818.0,,43636.0,43636.0,,40000.0,,,105785.0,,48387.0,,39023.0,,62791.0,,81818.0,,,40909.0,,12500.0,111905.0,43000.0,,,,,88095.0,,55820.0,45161.0,,,36970.0,83473.0,,,,,,35294.0,68444.0,,
1969,30667.0,,86667.0,,53521.0,,,95652.0,80899.0,136986.0,58000.0,,,,,,59535.0,,70278.0,,46429.0,46667.0,,,46154.0,92727.0,45000.0,,,86842.0,,50000.0,,,54714.0,,80928.0,,30000.0,91400.0,,,,31160.0,78690.0,,84974.0,,47500.0,50000.0,,,,66201.0,,,,,,,,,52518.0,,246305.0,54500.0,,,,,74973.0,,,,56250.0,54545.0,40000.0,,,,,20000.0,90000.0,33032.0,,58621.0,,52800.0,,,84507.0,,,,47500.0,44444.0,42857.0,4844.0,,,42247.0,72500.0,,80000.0,,51667.0,,43885.0,132586.0,109524.0,81283.0,,97561.0,25399.0,64516.0,64018.0,36667.0,9474.0,,187723.0,26000.0,58333.0,,,,,,,,,77273.0,,45455.0,43478.0,,44444.0,,,129297.0,,48387.0,,35029.0,,61364.0,,74655.0,,,40909.0,,12692.0,111628.0,46000.0,,,,,91000.0,,55704.0,44118.0,,,38182.0,79805.0,,,,,,34785.0,82514.0,,
1970,30813.0,,86667.0,,54167.0,,,96757.0,80851.0,137333.0,62500.0,,,,,,57991.0,,66667.0,,46667.0,46667.0,,,46154.0,96923.0,45000.0,,,87500.0,,50000.0,,,54277.0,,84184.0,,30000.0,139178.0,,,,37160.0,106071.0,,81277.0,,48750.0,51923.0,,,,62155.0,,,,,,,,,52857.0,,142248.0,54500.0,,,,,72606.0,,,,56250.0,59091.0,40000.0,,,,,16667.0,96667.0,37309.0,,60000.0,,53200.0,,,85333.0,,,,52500.0,44444.0,43571.0,6471.0,,,48237.0,66667.0,,80000.0,,53333.0,,44444.0,137119.0,144558.0,81252.0,,100000.0,70034.0,66290.0,63276.0,36667.0,9167.0,81306.0,182072.0,26000.0,60833.0,,,,,,,,,77273.0,,47273.0,43478.0,,55556.0,,,116417.0,,48387.0,,43032.0,,61111.0,,78846.0,,,40909.0,,13077.0,112766.0,50000.0,,,,,91000.0,,55902.0,44706.0,,,39091.0,80425.0,,,,,,31700.0,61310.0,,
