,Uzbekistan,Ukraine
1961,,
1962,,
1963,,
1964,,
1965,,
1966,,
1967,,
1968,,
1969,,
1970,,
1971,,
1972,,
1973,,
1974,,
1975,,
1976,,
1977,,
1978,,
1979,,
1980,,
1981,,
1982,,
1983,,
1984,,
1985,,
1986,,
1987,,
1988,,
1989,,
1990,,
1991,,
1992,,
1993,,
1994,,
1995,,
1996,,
1997,,
1998,,
1999,,
2000,46471.0,
2001,47059.0,
2002,49412.0,
2003,47778.0,2000.0
2004,50118.0,10000.0
2005,52778.0,5714.0
2006,69406.0,6667.0
2007,66667.0,10000.0
2008,78947.0,16667.0
2009,82653.0,8000.0
2010,89216.0,6667.0
2011,36509.0,3000.0
2012,37768.0,5000.0
2013,39664.0,15200.0
2014,41169.0,37500.0
