,Ukraine,Georgia,India,Zimbabwe,Yemen,Belarus,Morocco,Cameroon,Poland,Germany,Armenia,Tunisia,Italy,Syrian Arab Republic,Brazil,Israel,Réunion,United Kingdom,China,Ireland,Malta,Greece,Afghanistan,Libya,Albania,Portugal,Iran (Islamic Republic of),Uzbekistan,Hungary,Japan,New Zealand,Bulgaria,Australia & New Zealand,Australia,France,Egypt,Algeria,Finland,"China, mainland",Lao People's Democratic Republic,Turkey,Lithuania
1961,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,2850.0,-1,-1,400.0,7000.0,-1.0,-1.0,3100.0,2.0,70.0,2.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,480.0,6849.0,-1.0
1962,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,2850.0,-1,-1,400.0,7000.0,-1.0,-1.0,3200.0,2.0,170.0,2.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,480.0,6857.0,-1.0
1963,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,2850.0,-1,-1,400.0,7300.0,-1.0,-1.0,3200.0,3.0,100.0,3.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,500.0,7014.0,-1.0
1964,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,6.0,-1.0,-1,-1.0,-1,-1.0,-1.0,3020.0,-1,-1,400.0,7500.0,-1.0,-1.0,3100.0,4.0,200.0,4.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,500.0,6843.0,-1.0
1965,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,4.0,-1.0,-1,-1.0,-1,-1.0,-1.0,3180.0,-1,-1,400.0,7800.0,-1.0,-1.0,3000.0,5.0,180.0,5.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,500.0,6857.0,-1.0
1966,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1500.0,-1,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,3510.0,-1,-1,600.0,8000.0,-1.0,-1.0,2900.0,6.0,130.0,6.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,500.0,6857.0,-1.0
1967,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1300.0,-1,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,3920.0,-1,-1,600.0,8200.0,-1.0,-1.0,2800.0,9.0,230.0,9.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,500.0,6986.0,-1.0
1968,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1545.0,-1,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,3830.0,-1,-1,600.0,8400.0,-1.0,-1.0,2700.0,13.0,320.0,13.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,500.0,6174.0,-1.0
1969,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1733.0,-1,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,3900.0,-1,-1,700.0,9000.0,-1.0,-1.0,2600.0,18.0,250.0,18.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,500.0,6371.0,-1.0
1970,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1582.0,-1,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,3930.0,-1,-1,700.0,9300.0,-1.0,-1.0,2600.0,23.0,210.0,23.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,550.0,6574.0,-1.0
1971,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1702.0,-1,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,3930.0,-1,-1,900.0,9500.0,-1.0,-1.0,2500.0,27.0,190.0,27.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,550.0,6554.0,-1.0
1972,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1644.0,-1,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,4030.0,-1,-1,900.0,9800.0,-1.0,-1.0,2400.0,27.0,220.0,27.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,550.0,6443.0,-1.0
1973,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1562.0,-1,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,4110.0,-1,-1,900.0,10000.0,-1.0,-1.0,2400.0,27.0,380.0,27.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,600.0,6286.0,-1.0
1974,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2019.0,-1,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,4180.0,-1,-1,1100.0,10500.0,-1.0,-1.0,2400.0,27.0,270.0,27.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,600.0,6374.0,-1.0
1975,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2147.0,-1,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,4190.0,-1,-1,1100.0,11000.0,-1.0,-1.0,2400.0,27.0,310.0,27.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,600.0,6571.0,-1.0
1976,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2497.0,-1,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,4190.0,-1,-1,1100.0,11500.0,-1.0,-1.0,2400.0,27.0,350.0,27.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,500.0,7286.0,-1.0
1977,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2849.0,-1,25.0,-1.0,-1,-1.0,-1,-1.0,-1.0,4200.0,-1,-1,1200.0,12000.0,-1.0,-1.0,2400.0,31.0,200.0,31.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,500.0,7743.0,-1.0
1978,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2887.0,-1,50.0,-1.0,-1,-1.0,-1,-1.0,-1.0,4170.0,-1,-1,1200.0,12000.0,-1.0,-1.0,2370.0,31.0,320.0,31.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,500.0,6657.0,-1.0
