,Israel,Réunion,Japan,Poland,Syrian Arab Republic,Belarus,Australia,New Zealand,Egypt,Georgia,Greece,United Kingdom,Portugal,France,Libya,Italy,Ukraine,Lao People's Democratic Republic,Hungary,Ireland,Turkey,Cameroon,Tunisia,Iran (Islamic Republic of),Albania,Uzbekistan,Brazil,Finland,Armenia,Australia & New Zealand,Morocco,"China, mainland",Yemen,Algeria,Afghanistan,Zimbabwe,Lithuania,Bulgaria,Germany,China,India,Malta
1961,,-1.0,3100.0,-1.0,,,-1.0,2.0,-1.0,,-1.0,,400.0,-1.0,,-1.0,,480.0,-1.0,,6849.0,-1.0,-1.0,7000.0,,,,-1.0,,2.0,-1.0,-1.0,-1.0,-1.0,2850.0,-1.0,,70.0,-1.0,-1.0,-1.0,-1.0
1962,,-1.0,3200.0,-1.0,,,-1.0,2.0,-1.0,,-1.0,,400.0,-1.0,,-1.0,,480.0,-1.0,,6857.0,-1.0,-1.0,7000.0,,,,-1.0,,2.0,-1.0,-1.0,-1.0,-1.0,2850.0,-1.0,,170.0,-1.0,-1.0,-1.0,-1.0
1963,,-1.0,3200.0,-1.0,,,-1.0,3.0,-1.0,,-1.0,,400.0,-1.0,,-1.0,,500.0,-1.0,,7014.0,-1.0,-1.0,7300.0,,,,-1.0,,3.0,-1.0,-1.0,-1.0,-1.0,2850.0,-1.0,,100.0,-1.0,-1.0,-1.0,-1.0
1964,6.0,-1.0,3100.0,-1.0,,,-1.0,4.0,-1.0,,-1.0,,400.0,-1.0,,-1.0,,500.0,-1.0,,6843.0,-1.0,-1.0,7500.0,,,,-1.0,,4.0,-1.0,-1.0,-1.0,-1.0,3020.0,-1.0,,200.0,-1.0,-1.0,-1.0,-1.0
1965,4.0,-1.0,3000.0,-1.0,,,-1.0,5.0,-1.0,,-1.0,,400.0,-1.0,,-1.0,,500.0,-1.0,,6857.0,-1.0,-1.0,7800.0,,,,-1.0,,5.0,-1.0,-1.0,-1.0,-1.0,3180.0,-1.0,,180.0,-1.0,-1.0,-1.0,-1.0
1966,,-1.0,2900.0,-1.0,1500.0,,-1.0,6.0,-1.0,,-1.0,,600.0,-1.0,,-1.0,,500.0,-1.0,,6857.0,-1.0,-1.0,8000.0,,,,-1.0,,6.0,-1.0,-1.0,-1.0,-1.0,3510.0,-1.0,,130.0,-1.0,-1.0,-1.0,-1.0
1967,,-1.0,2800.0,-1.0,1300.0,,-1.0,9.0,-1.0,,-1.0,,600.0,-1.0,,-1.0,,500.0,-1.0,,6986.0,-1.0,-1.0,8200.0,,,,-1.0,,9.0,-1.0,-1.0,-1.0,-1.0,3920.0,-1.0,,230.0,-1.0,-1.0,-1.0,-1.0
1968,,-1.0,2700.0,-1.0,1545.0,,-1.0,13.0,-1.0,,-1.0,,600.0,-1.0,,-1.0,,500.0,-1.0,,6174.0,-1.0,-1.0,8400.0,,,,-1.0,,13.0,-1.0,-1.0,-1.0,-1.0,3830.0,-1.0,,320.0,-1.0,-1.0,-1.0,-1.0
1969,,-1.0,2600.0,-1.0,1733.0,,-1.0,18.0,-1.0,,-1.0,,700.0,-1.0,,-1.0,,500.0,-1.0,,6371.0,-1.0,-1.0,9000.0,,,,-1.0,,18.0,-1.0,-1.0,-1.0,-1.0,3900.0,-1.0,,250.0,-1.0,-1.0,-1.0,-1.0
1970,,-1.0,2600.0,-1.0,1582.0,,-1.0,23.0,-1.0,,-1.0,,700.0,-1.0,,-1.0,,550.0,-1.0,,6574.0,-1.0,-1.0,9300.0,,,,-1.0,,23.0,-1.0,-1.0,-1.0,-1.0,3930.0,-1.0,,210.0,-1.0,-1.0,-1.0,-1.0
