,Israel,Réunion,Japan,Poland,Syrian Arab Republic,Belarus,Australia,New Zealand,Egypt,Georgia,Greece,United Kingdom,Portugal,France,Libya,Italy,Ukraine,Lao People's Democratic Republic,Hungary,Ireland,Turkey,Cameroon,Tunisia,Yugoslav SFR,Iran (Islamic Republic of),Albania,Uzbekistan,Brazil,Finland,Armenia,Australia & New Zealand,Morocco,"China, mainland",Yemen,Algeria,Afghanistan,Zimbabwe,Lithuania,Bulgaria,Germany,China,India,Malta
1961,,,26600.0,8100.0,,,,30.0,5.0,,,1000.0,1000.0,2000.0,200.0,1000.0,,3800.0,,,20100.0,,100.0,,30000.0,,,,-1.0,,30.0,,,-1.0,-1.0,18100.0,,,1011.0,-1.0,,500.0,3684.0
1962,,,23400.0,4700.0,,,,30.0,5.0,,,1000.0,1000.0,2000.0,200.0,1000.0,,3800.0,,,17870.0,,300.0,,30000.0,,,,-1.0,,30.0,50.0,,-1.0,-1.0,18100.0,,,1210.0,-1.0,,500.0,3900.0
1963,,,17800.0,1300.0,,,,40.0,5.0,,,1000.0,1000.0,2000.0,200.0,1000.0,,3900.0,,,18910.0,,200.0,,32500.0,,,,-1.0,,40.0,50.0,,-1.0,-1.0,18100.0,,,1290.0,-1.0,,500.0,3632.0
1964,60.0,,19600.0,2900.0,,,,50.0,6.0,,,1000.0,1000.0,2000.0,200.0,1000.0,,4100.0,,,18500.0,,200.0,,34000.0,,,,-1.0,,50.0,70.0,,-1.0,-1.0,22100.0,,,1333.0,-1.0,,500.0,2940.0
1965,40.0,,22400.0,4100.0,,,,60.0,5.0,,,1000.0,1000.0,2000.0,200.0,1000.0,,4000.0,,,18400.0,,200.0,,36000.0,,,,-1.0,,60.0,70.0,,-1.0,-1.0,24400.0,,,1420.0,-1.0,,800.0,2246.0
1966,,,11700.0,8200.0,2500.0,,,70.0,,,,1500.0,1500.0,2000.0,200.0,1000.0,,4250.0,,,18500.0,,100.0,,37000.0,,,,-1.0,,70.0,70.0,,-1.0,-1.0,27300.0,,,1624.0,-1.0,,800.0,2768.0
1967,,,22500.0,7600.0,3000.0,,,100.0,,,,1500.0,1500.0,2000.0,200.0,1000.0,,4300.0,,,18600.0,,200.0,,38500.0,,,,-1.0,,100.0,70.0,,-1.0,-1.0,33100.0,,,1624.0,-1.0,,800.0,2909.0
1968,,,20500.0,9000.0,4681.0,,,140.0,,,,1500.0,1500.0,2000.0,200.0,1800.0,,4400.0,,,18800.0,,100.0,,39500.0,,,,-1.0,,140.0,100.0,,-1.0,-1.0,33500.0,,,3377.0,-1.0,,1000.0,3220.0
1969,,80.0,15000.0,8700.0,2906.0,,,200.0,,,,1500.0,2000.0,2000.0,200.0,2000.0,,4500.0,,,19000.0,,300.0,,42000.0,,,,-1.0,,200.0,150.0,,-1.0,-1.0,33800.0,,,2621.0,-1.0,,1000.0,2765.0
1970,,80.0,18600.0,6700.0,3439.0,,,250.0,,,,1500.0,2000.0,2000.0,200.0,3200.0,,4600.0,,,21000.0,,200.0,,43000.0,,,,-1.0,,250.0,150.0,,-1.0,-1.0,32800.0,,,2125.0,-1.0,,1000.0,2909.0
1971,,120.0,11500.0,5100.0,3874.0,,,300.0,,,,2000.0,2500.0,2000.0,610.0,2500.0,,4800.0,,,21800.0,,100.0,,43000.0,,,,-1.0,,300.0,150.0,,-1.0,-1.0,25800.0,,,1801.0,-1.0,,1200.0,2715.0
1972,,200.0,17400.0,3000.0,6181.0,,,300.0,,,,2000.0,2500.0,2000.0,0.0,3900.0,,5000.0,,,21000.0,,200.0,,44000.0,,,,-1.0,,300.0,150.0,,-1.0,-1.0,31900.0,,,1945.0,-1.0,,1300.0,2694.0
1973,,300.0,14000.0,9300.0,5833.0,,,300.0,,,,2000.0,2500.0,2000.0,,10500.0,,5000.0,,,20000.0,,200.0,,46000.0,,,,-1.0,,300.0,250.0,,-1.0,-1.0,33100.0,,,2171.0,-1.0,,1300.0,3132.0
1974,,350.0,15600.0,2600.0,8238.0,,,300.0,,,,2000.0,3000.0,2000.0,,6000.0,,5100.0,,,25850.0,,300.0,,48000.0,,,,-1.0,,300.0,250.0,,-1.0,-1.0,33400.0,,,2157.0,-1.0,,1000.0,1665.0
1975,,391.0,14400.0,6100.0,5411.0,,,300.0,,,,3100.0,3000.0,2000.0,,2000.0,,4800.0,,,27300.0,,300.0,,51000.0,,,,-1.0,,300.0,200.0,,-1.0,-1.0,33500.0,,,2490.0,-1.0,,1000.0,2909.0
1976,,391.0,16700.0,11100.0,10006.0,,,300.0,,,,3100.0,3000.0,2000.0,,2200.0,,5000.0,,,30200.0,,310.0,,56000.0,,,,-1.0,,300.0,200.0,,-1.0,-1.0,31400.0,,,2844.0,-1.0,,1200.0,1566.0
1977,300.0,410.0,6700.0,13526.0,10427.0,,,350.0,,,,2900.0,3500.0,2000.0,,2200.0,,4500.0,,,32000.0,,310.0,,60000.0,,,,-1.0,,350.0,200.0,,-1.0,-1.0,18600.0,,,1900.0,-1.0,,1200.0,1259.0
1978,600.0,420.0,13700.0,12186.0,13452.0,,,350.0,,,100.0,3100.0,3500.0,2000.0,,2200.0,,4200.0,,,26000.0,,320.0,,61000.0,,,,-1.0,,350.0,200.0,,-1.0,-1.0,27200.0,,,2400.0,-1.0,,1300.0,2148.0
1979,300.0,440.0,17600.0,13098.0,14715.0,,,350.0,,,100.0,3200.0,4277.0,2000.0,,3200.0,,5000.0,,,25000.0,,330.0,40.0,56000.0,,,,-1.0,,350.0,200.0,,-1.0,-1.0,26000.0,,,2060.0,-1.0,,1500.0,2490.0
1980,300.0,450.0,14200.0,12650.0,16772.0,,,400.0,,,100.0,0.0,4486.0,2000.0,,4000.0,,6000.0,,,25300.0,300.0,340.0,80.0,60000.0,,,,-1.0,,400.0,200.0,,-1.0,-1.0,26800.0,,,498.0,-1.0,,1300.0,2364.0
1981,500.0,450.0,3800.0,7944.0,16826.0,,,450.0,,,100.0,0.0,3810.0,2000.0,,5000.0,,6200.0,442.0,,25500.0,300.0,500.0,20.0,66000.0,,,,-1.0,,450.0,200.0,,-1.0,-1.0,26500.0,,,20.0,-1.0,,1300.0,3726.0
1982,200.0,460.0,16500.0,18879.0,19307.0,,,500.0,,,100.0,0.0,4000.0,2000.0,,5000.0,,6500.0,336.0,,26000.0,600.0,900.0,20.0,72000.0,,,,-1.0,,500.0,200.0,,-1.0,-1.0,25600.0,,,140.0,-1.0,,1200.0,2922.0
1983,,500.0,7210.0,24395.0,21900.0,,,500.0,,,100.0,0.0,3811.0,2000.0,,5000.0,,7000.0,324.0,,25500.0,800.0,1700.0,20.0,78000.0,,,,-1.0,,500.0,200.0,,-1.0,-1.0,24900.0,,,283.0,-1.0,,1200.0,3614.0
1984,,510.0,15100.0,20085.0,19700.0,,,500.0,,,100.0,0.0,3850.0,2000.0,,5000.0,,7400.0,342.0,,25000.0,1000.0,2000.0,20.0,84000.0,,,,-1.0,,500.0,200.0,,-1.0,-1.0,23900.0,50.0,,200.0,-1.0,,1200.0,3500.0
1985,,500.0,10300.0,11400.0,25391.0,,,450.0,,,100.0,0.0,1900.0,2000.0,,8500.0,,7800.0,305.0,,24500.0,1000.0,2500.0,10.0,95731.0,,,,-1.0,,450.0,200.0,3000.0,-1.0,-1.0,22900.0,70.0,,200.0,-1.0,3000.0,1000.0,4000.0
