,Cuba,Jamaica,Vanuatu,Israel,Fiji,Australia,Madagascar,Pakistan,French Guiana,United Republic of Tanzania,Philippines,Samoa,Saint Kitts and Nevis,Kiribati,Ethiopia,Kenya,Guyana,Costa Rica,Bangladesh,Senegal,Wallis and Futuna Islands,Zambia,Australia & New Zealand,Papua New Guinea,Suriname,Niue,China,Burkina Faso,Mozambique,Armenia,Sudan (former),Morocco,Antigua and Barbuda,Saint Lucia,Colombia,Spain,Malawi,India,"China, Taiwan Province of",Ecuador,Réunion,Indonesia,Seychelles,Jordan,Tuvalu,South Sudan,Egypt,Melanesia,Malaysia,Paraguay,Mexico,Yemen,Haiti,Timor-Leste,Tunisia,Polynesia,Micronesia,Zimbabwe,Barbados,Dominican Republic,Bahamas,Tonga,Iran (Islamic Republic of),Peru,Thailand,Guinea,"China, mainland",French Polynesia,Guadeloupe,Cyprus,Venezuela (Bolivarian Republic of),Côte d'Ivoire,Rwanda,New Zealand,Myanmar,Brazil,Liberia,Nauru
1961,66667.0,,71429.0,,35000.0,,27333.0,76486.0,,26250.0,90678.0,15116.0,,146875.0,,40000.0,30612.0,,92308.0,,,58182.0,121538.0,100000.0,,10000.0,55398.0,,59259.0,,,,,,,354833.0,,65556.0,88064.0,,,60084.0,69444.0,,,,,79429.0,,,134143.0,,,40000.0,,32801.0,178125.0,,,,,76923.0,,,39683.0,,53509.0,,,,,14493.0,,68462.0,,,46875.0,
1962,75000.0,,70270.0,,35000.0,,30000.0,103274.0,,26250.0,90857.0,15385.0,,145455.0,,40000.0,31837.0,,97692.0,,,59091.0,112718.0,100000.0,,10000.0,49837.0,,59259.0,,,62500.0,,,,214900.0,,64681.0,91378.0,,,60000.0,70556.0,,,,,79096.0,,,151351.0,,,40000.0,,33074.0,175758.0,,,,,78571.0,,,39683.0,,47500.0,,,,,14493.0,,60154.0,,,46875.0,
1963,79167.0,,70000.0,,35000.0,,30000.0,101885.0,,24444.0,90909.0,15909.0,,144118.0,,40000.0,32653.0,,97692.0,,,55000.0,162727.0,100000.0,,12500.0,52486.0,,59259.0,,,66667.0,,,,163304.0,,64681.0,95679.0,,,60417.0,70556.0,,,,,78889.0,,,155564.0,,,40000.0,,33468.0,173529.0,,,,,80000.0,,,39683.0,,50000.0,,,,,14493.0,,81883.0,,,46364.0,
1964,70350.0,,71429.0,,35250.0,,32500.0,62748.0,,24444.0,90678.0,15977.0,,142857.0,,40000.0,33878.0,,92143.0,,,55833.0,199157.0,100000.0,,12500.0,48993.0,,62963.0,,,66667.0,,,,209440.0,,67234.0,93984.0,,,60744.0,67368.0,,,,,79176.0,,,162389.0,,,40000.0,,33553.0,171429.0,,,,,81250.0,,,39683.0,,46094.0,,,,,14493.0,,97771.0,,,46667.0,
1965,79720.0,,70000.0,,35000.0,,34286.0,63000.0,,25556.0,91389.0,16231.0,,144444.0,,40000.0,34694.0,,91765.0,,,56667.0,241687.0,100000.0,,15000.0,51219.0,,62963.0,,,66667.0,,,,173267.0,,67089.0,110989.0,,,61570.0,67368.0,,,,,78649.0,,,174878.0,,,40000.0,,33796.0,177778.0,,,,,82353.0,,,40413.0,,47015.0,,,,,14493.0,,134518.0,,,46471.0,
1966,78310.0,,70213.0,,33333.0,,35238.0,64130.0,,25556.0,93056.0,16667.0,,145946.0,,40000.0,35510.0,,90696.0,,,57500.0,200825.0,100000.0,,,36914.0,,62963.0,,,64615.0,,,,117333.0,,67708.0,100315.0,,,61475.0,64500.0,,,,,77083.0,,,181615.0,,,40000.0,,34237.0,178378.0,,,,,83333.0,,,40714.0,,33333.0,,,,,14000.0,,135464.0,,,47059.0,
1967,83777.0,,70000.0,,36735.0,,36190.0,64328.0,,24000.0,93094.0,18315.0,,147368.0,,40000.0,36327.0,,124132.0,,,54615.0,171688.0,100000.0,,,38924.0,,64286.0,,,65574.0,,,,107260.0,,68367.0,124314.0,,,61885.0,64500.0,,,,,77451.0,,,171500.0,,,40000.0,,36584.0,178947.0,,,,,84211.0,,,40212.0,,33333.0,,,,,14667.0,,114156.0,,,47143.0,
1968,82225.0,,69811.0,,30556.0,,35455.0,62951.0,,25000.0,92500.0,19928.0,,148718.0,,40000.0,37143.0,,129118.0,,,52857.0,177908.0,97385.0,,,33417.0,,64286.0,,,65000.0,,,,112571.0,,68800.0,119627.0,,,62195.0,65000.0,,,,,72273.0,,,169410.0,,,36909.0,,37990.0,179487.0,,,,,85000.0,,,40714.0,,28286.0,,,,,14375.0,,118301.0,,,45946.0,
1969,77060.0,,70000.0,,37193.0,,36364.0,62879.0,,25000.0,92857.0,20863.0,,150000.0,,40000.0,37959.0,,120222.0,,,54286.0,117672.0,95429.0,,15000.0,34126.0,,64286.0,,,65359.0,,,,77079.0,,68217.0,91243.0,,,63008.0,65000.0,,,,,63333.0,,,151136.0,,,37545.0,,38007.0,185000.0,,,,,85714.0,,,40476.0,,30476.0,,,,,14706.0,,68522.0,,,46316.0,
1970,51760.0,,70175.0,,37034.0,,38636.0,77930.0,,25000.0,92941.0,21505.0,,151220.0,,40000.0,38980.0,,119600.0,,,55714.0,217348.0,99304.0,,14667.0,33562.0,,67857.0,,,64935.0,,,,154096.0,,67843.0,112613.0,,,63306.0,65500.0,,,,,65584.0,,,137072.0,,,38309.0,,38190.0,185366.0,,,,,86364.0,,78711.0,40714.0,,28696.0,,,,,14500.0,,97992.0,,,46667.0,
