,Ecuador,Brazil,Peru,Occupied Palestinian Territory
1961,1448.0,5892.0,0.0,0.0
1962,1480.0,6164.0,0.0,0.0
1963,1595.0,6598.0,0.0,0.0
1964,1219.0,7047.0,0.0,0.0
1965,661.0,6629.0,0.0,0.0
1966,524.0,6807.0,0.0,0.0
1967,524.0,7270.0,0.0,0.0
1968,403.0,7359.0,0.0,0.0
1969,403.0,7061.0,0.0,0.0
1970,419.0,6826.0,0.0,0.0
1971,596.0,6780.0,0.0,0.0
1972,408.0,5766.0,0.0,0.0
1973,391.0,5132.0,0.0,0.0
1974,385.0,2742.0,0.0,0.0
1975,525.0,3077.0,0.0,0.0
1976,205.0,3176.0,0.0,0.0
1977,117.0,3530.0,0.0,0.0
1978,136.0,4236.0,0.0,0.0
1979,231.0,6176.0,0.0,0.0
1980,237.0,6326.0,3000.0,0.0
1981,315.0,9178.0,3750.0,0.0
1982,311.0,7823.0,5250.0,0.0
1983,305.0,5916.0,5400.0,0.0
1984,299.0,5717.0,5700.0,0.0
1985,552.0,7314.0,5850.0,0.0
1986,348.0,8949.0,5850.0,0.0
1987,244.0,7339.0,6300.0,0.0
1988,354.0,7013.0,6450.0,0.0
1989,394.0,8768.0,6750.0,0.0
1990,307.0,9412.0,6750.0,0.0
1991,429.0,8511.0,6900.0,0.0
1992,232.0,8807.0,5850.0,0.0
1993,191.0,8830.0,7350.0,0.0
1994,174.0,6381.0,7500.0,0.0
1995,580.0,5999.0,9074.0,4.0
1996,290.0,6453.0,9209.0,6.0
1997,174.0,5442.0,10500.0,1.0
1998,290.0,6049.0,11282.0,3.0
1999,290.0,6692.0,5038.0,5.0
2000,290.0,7149.0,6246.0,1.0
2001,480.0,7880.0,6522.0,2.0
2002,255.0,7550.0,6745.0,2.0
2003,255.0,5259.0,5142.0,2.0
2004,406.0,5252.0,4893.0,3.0
2005,406.0,5245.0,5339.0,3.0
2006,406.0,5629.0,6475.0,3.0
2007,522.0,5114.0,6533.0,3.0
2008,696.0,5082.0,5700.0,2.0
2009,696.0,5226.0,6200.0,1.0
2010,754.0,6465.0,7300.0,1.0
2011,754.0,5032.0,6600.0,1.0
2012,580.0,4784.0,6700.0,1.0
2013,580.0,4819.0,6600.0,2.0
2014,580.0,4819.0,6600.0,2.0
