,Costa Rica,India,Dominica,Fiji,Peru,"China, Taiwan Province of",Bhutan,Nepal,Malaysia,Republic of Korea,Mexico,Dominican Republic,Ethiopia,Sri Lanka,Indonesia,China,Kenya,Pakistan,Côte d'Ivoire,Japan,Uganda,Réunion,Jamaica,United Republic of Tanzania,Trinidad and Tobago,Philippines,United States of America,Bangladesh,Thailand,Ghana,Melanesia,"China, mainland",Madagascar,Nigeria,Saint Lucia,Cameroon,Mauritius
1961,-1.0,9048.0,-1.0,85714.0,-1.0,78598.0,-1.0,-1.0,23636.0,-1.0,-1.0,-1.0,-1.0,18400.0,-1.0,78598.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66667.0,13793.0,-1.0,85714.0,-1.0,-1.0,5000.0,-1.0,-1.0,-1.0
1962,-1.0,9524.0,-1.0,70000.0,-1.0,92693.0,-1.0,-1.0,26667.0,-1.0,-1.0,-1.0,-1.0,17200.0,-1.0,92693.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40000.0,-1.0,66667.0,14000.0,-1.0,70000.0,-1.0,-1.0,5000.0,-1.0,-1.0,-1.0
1963,-1.0,9130.0,-1.0,88235.0,-1.0,90895.0,-1.0,-1.0,26000.0,-1.0,-1.0,-1.0,-1.0,17000.0,-1.0,90895.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40000.0,-1.0,66667.0,13968.0,-1.0,88235.0,-1.0,-1.0,5000.0,-1.0,-1.0,-1.0
1964,-1.0,9130.0,-1.0,90909.0,-1.0,72585.0,-1.0,-1.0,26667.0,-1.0,-1.0,-1.0,-1.0,18680.0,-1.0,72585.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40000.0,-1.0,66667.0,13939.0,-1.0,90909.0,-1.0,-1.0,5000.0,-1.0,-1.0,-1.0
1965,-1.0,9565.0,-1.0,90909.0,-1.0,95374.0,-1.0,-1.0,25333.0,-1.0,-1.0,-1.0,-1.0,25780.0,-1.0,95374.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40000.0,-1.0,66667.0,13913.0,-1.0,90909.0,-1.0,-1.0,5000.0,-1.0,-1.0,-1.0
1966,-1.0,9130.0,-1.0,86667.0,-1.0,75679.0,-1.0,-1.0,25714.0,16696.0,-1.0,-1.0,-1.0,23802.0,-1.0,75679.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40000.0,-1.0,68182.0,13889.0,-1.0,86667.0,-1.0,-1.0,5000.0,-1.0,-1.0,-1.0
1967,-1.0,9524.0,-1.0,88235.0,-1.0,76680.0,-1.0,-1.0,24444.0,14096.0,-1.0,-1.0,-1.0,23240.0,-1.0,76680.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40000.0,-1.0,68085.0,14054.0,-1.0,88235.0,-1.0,-1.0,5000.0,-1.0,-1.0,-1.0
1968,-1.0,9000.0,-1.0,89474.0,-1.0,80776.0,-1.0,-1.0,25581.0,14552.0,-1.0,-1.0,-1.0,15404.0,-1.0,80776.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40000.0,-1.0,68000.0,14026.0,-1.0,89474.0,-1.0,-1.0,5000.0,-1.0,-1.0,-1.0
1969,-1.0,10000.0,-1.0,89474.0,-1.0,98560.0,-1.0,-1.0,26000.0,15000.0,-1.0,-1.0,-1.0,18617.0,-1.0,98560.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40000.0,-1.0,73294.0,14000.0,-1.0,89474.0,-1.0,-1.0,5000.0,-1.0,-1.0,-1.0
1970,-1.0,13636.0,-1.0,89474.0,-1.0,94577.0,-1.0,-1.0,26667.0,11513.0,-1.0,-1.0,-1.0,17850.0,-1.0,94577.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33846.0,-1.0,74102.0,13976.0,-1.0,89474.0,-1.0,-1.0,5000.0,-1.0,-1.0,-1.0
1971,-1.0,14115.0,-1.0,89474.0,-1.0,86927.0,-1.0,-1.0,25714.0,18037.0,-1.0,-1.0,-1.0,11474.0,-1.0,86927.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30952.0,-1.0,72937.0,13953.0,-1.0,89474.0,-1.0,-1.0,5000.0,-1.0,-1.0,-1.0
1972,-1.0,14698.0,-1.0,89474.0,-1.0,91701.0,-1.0,-1.0,25333.0,14832.0,-1.0,-1.0,-1.0,17156.0,-1.0,91701.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,37163.0,-1.0,70376.0,14091.0,-1.0,89474.0,-1.0,-1.0,5000.0,-1.0,-1.0,-1.0
1973,-1.0,15471.0,-1.0,126316.0,-1.0,94315.0,-1.0,-1.0,26154.0,14507.0,-1.0,-1.0,-1.0,19540.0,-1.0,94315.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,43069.0,-1.0,68399.0,14138.0,-1.0,126316.0,-1.0,-1.0,5000.0,-1.0,-1.0,-1.0
1974,-1.0,15704.0,-1.0,88235.0,-1.0,84157.0,-1.0,-1.0,25455.0,13204.0,-1.0,-1.0,-1.0,13325.0,-1.0,84157.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61937.0,-1.0,68721.0,11700.0,-1.0,88235.0,-1.0,-1.0,5000.0,-1.0,-1.0,-1.0
1975,-1.0,16599.0,-1.0,87879.0,-1.0,89969.0,-1.0,-1.0,26154.0,16098.0,-1.0,-1.0,-1.0,13101.0,-1.0,89969.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,58209.0,-1.0,68316.0,17486.0,-1.0,87879.0,-1.0,-1.0,5000.0,-1.0,-1.0,-1.0
1976,-1.0,16916.0,-1.0,87805.0,-1.0,111744.0,-1.0,-1.0,26154.0,15981.0,-1.0,-1.0,-1.0,14716.0,-1.0,111744.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,72647.0,-1.0,66699.0,16103.0,-1.0,87805.0,-1.0,-1.0,5000.0,-1.0,-1.0,-1.0
1977,-1.0,19906.0,-1.0,88500.0,-1.0,126236.0,-1.0,-1.0,26000.0,16932.0,-1.0,-1.0,-1.0,14583.0,-1.0,126236.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69685.0,-1.0,66327.0,26135.0,-1.0,88500.0,-1.0,-1.0,5000.0,-1.0,-1.0,-1.0
1978,-1.0,19566.0,-1.0,64750.0,-1.0,127510.0,-1.0,-1.0,25714.0,16785.0,-1.0,-1.0,-1.0,17500.0,-1.0,127510.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69815.0,-1.0,65665.0,30002.0,-1.0,64750.0,-1.0,-1.0,5000.0,-1.0,-1.0,-1.0
