,Austria,Slovakia,Poland,USSR,Norway,Denmark,Estonia,Belgium,Latvia,Czechoslovakia,Czechia,Republic of Moldova,Hungary,Germany,Russian Federation,Finland,Australia & New Zealand,Switzerland,United Kingdom,Spain,Lithuania,Kyrgyzstan,Netherlands,Ukraine,New Zealand
1961,1000.0,,7900.0,14000.0,5101.0,200.0,,,,5000.0,,,3400.0,97735.0,,3000.0,680.0,-1.0,15138.0,26.0,,,,,680.0
1962,1000.0,,9100.0,15000.0,5143.0,400.0,,,,4000.0,,,2700.0,91192.0,,3500.0,629.0,-1.0,13310.0,17.0,,,,,629.0
1963,1000.0,,9800.0,20000.0,5254.0,269.0,,,,5000.0,,,4400.0,102244.0,,2100.0,490.0,-1.0,16460.0,17.0,,,,,490.0
1964,1000.0,,5700.0,22000.0,4845.0,335.0,,,,4828.0,,,4300.0,100234.0,,3200.0,900.0,-1.0,11278.0,6.0,,,,,900.0
1965,1000.0,,6700.0,22000.0,4173.0,241.0,,,,4837.0,,,4261.0,89717.0,,2600.0,1100.0,-1.0,16155.0,4.0,,,,,1100.0
1966,1000.0,,5400.0,15000.0,4454.0,415.0,,,,5983.0,,,3680.0,93200.0,,2600.0,113.0,-1.0,11075.0,4.0,,,,,113.0
1967,1000.0,,9000.0,15000.0,3830.0,237.0,,,,5880.0,,,3813.0,80179.0,,2300.0,86.0,-1.0,7519.0,3.0,,,,,86.0
1968,1100.0,,9100.0,22000.0,4119.0,241.0,,,,6673.0,,,4144.0,93260.0,,2600.0,121.0,-1.0,12497.0,1.0,,,,,121.0
1969,1100.0,,14300.0,15000.0,3470.0,174.0,,,,6857.0,,,4435.0,92823.0,,2500.0,93.0,-1.0,12904.0,2.0,,,,,93.0
1970,1298.0,,17600.0,35000.0,3379.0,229.0,,,,7730.0,,,6324.0,94516.0,,2500.0,170.0,-1.0,12802.0,2.0,,,,,170.0
1971,1309.0,,21465.0,42000.0,3406.0,145.0,,,,5687.0,,,6705.0,86906.0,,2500.0,158.0,-1.0,10465.0,2.0,,,,,158.0
1972,1171.0,,22066.0,42000.0,3334.0,125.0,,,,5242.0,,,8551.0,88547.0,,1700.0,116.0,-1.0,12497.0,2.0,,,,,116.0
1973,1383.0,,27095.0,39000.0,3008.0,69.0,,,,7391.0,,,7670.0,76991.0,,1970.0,126.0,-1.0,12396.0,2.0,,,,,126.0
1974,1491.0,,30684.0,42000.0,3218.0,144.0,,,,6826.0,,,8974.0,87789.0,,1420.0,120.0,-1.0,12600.0,2.0,,,,,120.0
1975,1424.0,,25948.0,48000.0,3053.0,109.0,,,,7774.0,,,10550.0,76161.0,,1410.0,109.0,-1.0,7300.0,2.0,,,,,109.0
