,Austria,Slovakia,Poland,Luxembourg,Russian Federation,Norway,Belgium-Luxembourg,Switzerland,Estonia,Belgium,Latvia,Czechoslovakia,France,Czechia,Republic of Moldova,Bosnia and Herzegovina,USSR,Germany,Turkmenistan,Croatia,Turkey,Yugoslav SFR,Sweden,Finland,Serbia and Montenegro,Greece,Serbia,Slovenia,United Kingdom,Malta,Canada,Denmark,Spain,Lithuania,Kyrgyzstan,Netherlands,Ukraine
1961,19308.0,,373000.0,,,1867.0,7403.0,6763.0,,,,28998.0,111200.0,,,,165000.0,721349.0,,,340000.0,33300.0,206326.0,24726.0,,13356.0,,,60505.0,100.0,633607.0,253817.0,6090.0,,,52725.0,
1962,20001.0,,343000.0,,,1002.0,7854.0,7304.0,,,,37566.0,109900.0,,,,128100.0,795379.0,,,320000.0,31000.0,185143.0,30500.0,,12491.0,,,50849.0,150.0,616611.0,220600.0,5520.0,,,48104.0,
1963,25881.0,,398000.0,,,961.0,8268.0,6696.0,,,,43951.0,201000.0,,,,234100.0,733055.0,,,304000.0,28200.0,177417.0,35100.0,,11380.0,,,40273.0,170.0,593423.0,195134.0,4960.0,,,42406.0,
1964,25906.0,,364000.0,,,949.0,8504.0,5633.0,,,,44731.0,174700.0,,,,144100.0,739261.0,,,295000.0,25000.0,164600.0,31700.0,,9630.0,,,31761.0,160.0,621265.0,186195.0,3900.0,,,34287.0,
1965,26510.0,,355000.0,,,842.0,9912.0,3697.0,,,,55204.0,170300.0,,,,106700.0,672029.0,,,280000.0,25000.0,145400.0,29300.0,,7490.0,,,30136.0,140.0,663473.0,137931.0,3850.0,,,28960.0,
1966,28613.0,,283000.0,,,914.0,10668.0,4424.0,,,,45875.0,200000.0,,,,106500.0,663372.0,,,290000.0,22800.0,115722.0,30100.0,,6190.0,,,29718.0,190.0,714908.0,119489.0,3460.0,,,20614.0,
1967,29142.0,,285000.0,,,829.0,11603.0,3868.0,,,,46196.0,213900.0,,,,88000.0,637618.0,,,270000.0,20800.0,94793.0,31400.0,,4660.0,,,36172.0,180.0,678567.0,97227.0,3350.0,,,14262.0,
1968,29827.0,,289000.0,,,740.0,12206.0,3610.0,,,,37436.0,204785.0,,,,83000.0,638016.0,,,250000.0,18900.0,88221.0,30900.0,,3350.0,,,45431.0,177.0,644574.0,78033.0,1800.0,,,8790.0,
1969,30412.0,,314000.0,,,491.0,12711.0,2824.0,,,,31404.0,198300.0,,,,82000.0,637877.0,,,250000.0,18136.0,77275.0,28100.0,,2560.0,,,63717.0,112.0,709283.0,58113.0,1400.0,,,6066.0,
1970,33408.0,,405000.0,,,475.0,13804.0,3210.0,,,,24325.0,184900.0,,,,67000.0,579462.0,,,245000.0,16000.0,75873.0,27700.0,,2000.0,,,79527.0,93.0,792606.0,44469.0,900.0,,,3213.0,
1971,31515.0,,372000.0,,,477.0,12122.0,3410.0,,,,18181.0,211000.0,,,,86000.0,515345.0,,,237000.0,14000.0,68815.0,25900.0,,1800.0,,,55609.0,50.0,831536.0,38595.0,200.0,,,1892.0,
1972,31336.0,,457000.0,,,438.0,11788.0,3430.0,,,,13617.0,204000.0,,,,94000.0,479632.0,,,222000.0,13000.0,65417.0,23500.0,,1500.0,,,62897.0,45.0,835624.0,31000.0,1200.0,,,1171.0,
1973,33462.0,,461000.0,,,711.0,11659.0,3260.0,,,,8402.0,194100.0,,,,124000.0,446662.0,,,223500.0,11000.0,71378.0,21900.0,,1400.0,,,51170.0,44.0,809967.0,23337.0,2500.0,,,595.0,
1974,33159.0,,477000.0,,,535.0,12571.0,2849.0,,,,8896.0,185600.0,,,,124000.0,412129.0,,,215000.0,10000.0,70911.0,22700.0,,1300.0,,,42970.0,28.0,732835.0,17892.0,1600.0,,,446.0,
1975,38456.0,,543197.0,,,386.0,13632.0,2257.0,,,,7246.0,199000.0,,,,132000.0,385527.0,,,194000.0,9100.0,65238.0,18500.0,,1300.0,,,35000.0,24.0,736600.0,14082.0,1600.0,,,347.0,
