,Germany,Belgium,Czechoslovakia,Finland,Croatia,USSR,Malta,United Kingdom,Denmark,Canada,Spain,Latvia,Sweden,Austria,Greece,Norway,Estonia,Yugoslav SFR,France,Lithuania,Slovenia,Poland,Netherlands,Turkey,Czechia,Belgium-Luxembourg
1961,111353.0,-1.0,2817.0,3965.0,-1.0,23699.0,15.0,9153.0,28678.0,73000.0,828.0,-1.0,44000.0,4000.0,749.0,100.0,-1.0,4000.0,16485.0,-1.0,-1.0,54880.0,0.0,47000.0,-1.0,1492.0
1962,102628.0,-1.0,3296.0,4563.0,-1.0,43309.0,17.0,7249.0,25367.0,71000.0,744.0,-1.0,41000.0,5200.0,683.0,96.0,-1.0,4000.0,30150.0,-1.0,-1.0,63680.0,0.0,52000.0,-1.0,1571.0
1963,103497.0,-1.0,3355.0,4121.0,-1.0,26659.0,16.0,5717.0,24205.0,68000.0,585.0,-1.0,32000.0,5200.0,578.0,95.0,-1.0,4000.0,26205.0,-1.0,-1.0,58240.0,0.0,58000.0,-1.0,1616.0
1964,94084.0,-1.0,4140.0,3809.0,-1.0,19740.0,14.0,5424.0,17931.0,71000.0,578.0,-1.0,34000.0,5300.0,449.0,84.0,-1.0,4000.0,25545.0,-1.0,-1.0,56800.0,0.0,45000.0,-1.0,1883.0
1965,92872.0,-1.0,3441.0,3913.0,-1.0,19703.0,19.0,5349.0,15534.0,76000.0,519.0,-1.0,27000.0,5700.0,371.0,91.0,-1.0,4000.0,30000.0,-1.0,-1.0,45280.0,0.0,43000.0,-1.0,2027.0
1966,89267.0,-1.0,3465.0,4082.0,-1.0,16280.0,18.0,6511.0,12640.0,82000.0,503.0,-1.0,22000.0,5800.0,280.0,83.0,-1.0,5000.0,32085.0,-1.0,-1.0,45600.0,0.0,48000.0,-1.0,2205.0
1967,89322.0,-1.0,2808.0,4017.0,-1.0,15355.0,18.0,8178.0,10144.0,78000.0,270.0,-1.0,18000.0,6000.0,201.0,74.0,-1.0,5000.0,30718.0,-1.0,-1.0,46240.0,0.0,45000.0,-1.0,2319.0
1968,89303.0,-1.0,2355.0,3653.0,-1.0,15170.0,11.0,11469.0,7555.0,78000.0,210.0,-1.0,19000.0,6000.0,154.0,49.0,-1.0,3000.0,29745.0,-1.0,-1.0,50240.0,0.0,40000.0,-1.0,2415.0
1969,81125.0,-1.0,1824.0,3601.0,-1.0,12395.0,9.0,14315.0,5781.0,81000.0,135.0,-1.0,17000.0,7000.0,120.0,48.0,-1.0,3000.0,27735.0,-1.0,-1.0,64800.0,0.0,45000.0,-1.0,2623.0
1970,72148.0,-1.0,1364.0,3367.0,-1.0,15910.0,5.0,10010.0,5017.0,90000.0,30.0,-1.0,17000.0,7000.0,108.0,48.0,-1.0,3000.0,31650.0,-1.0,-1.0,59520.0,0.0,38000.0,-1.0,2303.0
1971,67148.0,-1.0,1021.0,3055.0,-1.0,17390.0,5.0,11321.0,4030.0,96000.0,180.0,-1.0,15000.0,6000.0,90.0,44.0,-1.0,3000.0,30600.0,-1.0,-1.0,73120.0,0.0,46000.0,-1.0,2240.0
1972,62533.0,-1.0,630.0,2847.0,-1.0,22940.0,4.0,9211.0,3034.0,96000.0,375.0,-1.0,14000.0,7000.0,84.0,71.0,-1.0,3000.0,29115.0,-1.0,-1.0,73760.0,0.0,42000.0,-1.0,2215.0
1973,57698.0,-1.0,667.0,2951.0,-1.0,22940.0,3.0,7735.0,2326.0,93000.0,240.0,-1.0,16000.0,7100.0,78.0,54.0,-1.0,2000.0,27840.0,-1.0,-1.0,76320.0,0.0,39000.0,-1.0,2388.0
1974,53974.0,-1.0,543.0,2405.0,-1.0,24420.0,2.0,6300.0,1831.0,84000.0,240.0,-1.0,16000.0,6600.0,78.0,39.0,-1.0,2000.0,29850.0,-1.0,-1.0,86912.0,0.0,39000.0,-1.0,2590.0
1975,44284.0,-1.0,277.0,2275.0,-1.0,21645.0,4.0,5040.0,1610.0,84800.0,439.0,-1.0,14000.0,6300.0,72.0,50.0,-1.0,2000.0,28950.0,-1.0,-1.0,93164.0,0.0,35000.0,-1.0,2071.0
1976,41361.0,-1.0,270.0,3146.0,-1.0,16465.0,2.0,4272.0,1409.0,68000.0,631.0,-1.0,14000.0,6600.0,54.0,31.0,-1.0,1000.0,25875.0,-1.0,-1.0,100100.0,0.0,33000.0,-1.0,1749.0
1977,36796.0,-1.0,212.0,3068.0,-1.0,18315.0,2.0,3082.0,1059.0,66000.0,200.0,-1.0,15000.0,6100.0,54.0,70.0,-1.0,1000.0,24495.0,-1.0,-1.0,102991.0,0.0,32000.0,-1.0,1419.0
1978,31851.0,-1.0,116.0,1989.0,-1.0,19055.0,4.0,2812.0,696.0,65000.0,403.0,-1.0,13000.0,6500.0,54.0,45.0,-1.0,1000.0,24660.0,-1.0,-1.0,122359.0,0.0,31000.0,-1.0,1358.0
1979,28207.0,-1.0,106.0,1573.0,-1.0,12025.0,4.0,2413.0,581.0,63000.0,467.0,-1.0,12000.0,5800.0,30.0,60.0,-1.0,700.0,22950.0,-1.0,-1.0,117884.0,0.0,28000.0,-1.0,1390.0
1980,24672.0,-1.0,110.0,1625.0,-1.0,19055.0,4.0,1980.0,579.0,60000.0,456.0,-1.0,12000.0,5800.0,36.0,41.0,-1.0,600.0,22200.0,-1.0,-1.0,140901.0,0.0,25000.0,-1.0,1400.0
1981,35150.0,-1.0,105.0,1378.0,-1.0,18500.0,4.0,1800.0,506.0,58000.0,721.0,-1.0,13000.0,6100.0,30.0,50.0,-1.0,600.0,21450.0,-1.0,-1.0,148698.0,0.0,23000.0,-1.0,1473.0
1982,22048.0,-1.0,329.0,1690.0,-1.0,22200.0,4.0,1440.0,412.0,55000.0,605.0,-1.0,13000.0,5900.0,30.0,65.0,-1.0,600.0,17250.0,-1.0,-1.0,146188.0,0.0,17000.0,-1.0,1140.0
1983,21154.0,-1.0,154.0,1690.0,-1.0,19980.0,4.0,1440.0,486.0,51000.0,811.0,-1.0,13000.0,5400.0,42.0,65.0,-1.0,600.0,17745.0,-1.0,-1.0,136562.0,0.0,16000.0,-1.0,1330.0
1984,20347.0,-1.0,155.0,1196.0,-1.0,23495.0,4.0,1260.0,520.0,48000.0,1048.0,-1.0,15000.0,5000.0,30.0,0.0,-1.0,500.0,18000.0,-1.0,-1.0,147338.0,0.0,14000.0,-1.0,1330.0
1985,19211.0,-1.0,174.0,1521.0,-1.0,22015.0,4.0,1260.0,390.0,42000.0,1399.0,-1.0,11000.0,5000.0,42.0,0.0,-1.0,500.0,15150.0,-1.0,-1.0,169094.0,0.0,14000.0,-1.0,950.0
1986,15393.0,-1.0,147.0,1235.0,-1.0,22200.0,4.0,1260.0,390.0,43000.0,1622.0,-1.0,10000.0,4786.0,19.0,0.0,-1.0,400.0,13425.0,-1.0,-1.0,170360.0,0.0,12000.0,-1.0,844.0
1987,13071.0,-1.0,115.0,1300.0,-1.0,23310.0,5.0,900.0,390.0,42000.0,2115.0,-1.0,10000.0,4400.0,20.0,0.0,-1.0,400.0,12030.0,-1.0,-1.0,189482.0,0.0,8000.0,-1.0,660.0
