,Austria,USSR,Poland,France,Norway,Belgium-Luxembourg,Switzerland,Estonia,Belgium,Latvia,Czechoslovakia,Luxembourg,Czechia,Republic of Moldova,Lithuania,Germany,Turkey,Yugoslav SFR,Sweden,Finland,Serbia and Montenegro,Greece,Serbia,Slovenia,United Kingdom,Malta,Canada,Denmark,Spain,Croatia,Kyrgyzstan,Netherlands
1961,22783.0,5939.0,15094.0,16698.0,28136.0,31763.0,30164.0,,,,15834.0,,,,,23535.0,9118.0,12042.0,26400.0,18546.0,,6339.0,,,28795.0,22000.0,19752.0,29920.0,6604.0,,,30672.0
1962,24784.0,6448.0,14927.0,17749.0,19960.0,29796.0,36008.0,,,,16961.0,,,,,28019.0,10938.0,10839.0,24200.0,11705.0,,6055.0,,,30888.0,22000.0,23926.0,32586.0,8179.0,,,34776.0
1963,24286.0,6771.0,15000.0,19716.0,27253.0,37147.0,28973.0,,,,15953.0,,,,,27053.0,12664.0,10851.0,24149.0,19145.0,,6086.0,,,29901.0,21765.0,24332.0,31742.0,6958.0,,,34235.0
1964,25237.0,10437.0,14505.0,22493.0,25943.0,35462.0,34440.0,,,,14017.0,,,,,28783.0,10169.0,10720.0,27722.0,12902.0,,6461.0,,,32470.0,21875.0,23376.0,35429.0,5641.0,,,36491.0
1965,21690.0,16626.0,17183.0,24201.0,23527.0,31919.0,30295.0,,,,15189.0,,,,,26953.0,10179.0,12320.0,28212.0,20068.0,,8100.0,,,30850.0,22143.0,24859.0,34749.0,6029.0,,,30810.0
1966,26973.0,13568.0,17703.0,23728.0,23096.0,31602.0,31872.0,,,,15179.0,,,,,26890.0,11034.0,12807.0,23098.0,17110.0,,8506.0,,,31961.0,22632.0,23253.0,33557.0,9191.0,,,29686.0
1967,28487.0,16136.0,18070.0,26941.0,27973.0,39831.0,36711.0,,,,19442.0,,,,,31036.0,11111.0,12260.0,27346.0,19236.0,,10865.0,,,32983.0,22778.0,23119.0,33719.0,7913.0,,,35195.0
1968,30160.0,18795.0,19100.0,27455.0,34716.0,34093.0,35457.0,,,,18070.0,,,,,32239.0,10800.0,10952.0,29720.0,16440.0,,6881.0,,,33838.0,21977.0,26172.0,35828.0,8689.0,,,31896.0
1969,30663.0,18171.0,18949.0,27936.0,24114.0,35891.0,35057.0,,,,21421.0,,,,,31591.0,11880.0,11949.0,22918.0,21388.0,,8969.0,,,34524.0,18750.0,25273.0,34472.0,9857.0,,,33272.0
1970,29300.0,19104.0,19086.0,25559.0,30168.0,27946.0,34579.0,,,,18055.0,,,,,27079.0,10449.0,11250.0,27571.0,23357.0,,9130.0,,,32400.0,20430.0,25565.0,31916.0,7778.0,,,25565.0
1971,31429.0,17791.0,23038.0,30000.0,32055.0,38016.0,41056.0,,,,22515.0,,,,,34175.0,13080.0,12143.0,29312.0,23012.0,,10089.0,,,37173.0,19000.0,26285.0,34248.0,10000.0,,,35021.0
1972,29325.0,13830.0,23611.0,32509.0,30000.0,35244.0,38484.0,,,,19368.0,,,,,34380.0,12613.0,11538.0,28863.0,23617.0,,8767.0,,,35288.0,20000.0,25474.0,36129.0,10000.0,,,33168.0
1973,32480.0,13710.0,29046.0,32420.0,31871.0,40853.0,38650.0,,,,21244.0,,,,,33626.0,11588.0,11818.0,22350.0,21735.0,,9200.0,,,37616.0,21591.0,24448.0,32065.0,6000.0,,,35059.0
1974,33201.0,17581.0,30818.0,31394.0,34953.0,37708.0,45630.0,,,,22743.0,,,,,37274.0,10465.0,13000.0,34473.0,21542.0,,10377.0,,,35106.0,17143.0,22493.0,34841.0,11875.0,,,36906.0
1975,30962.0,11136.0,26039.0,29797.0,20881.0,33286.0,38990.0,,,,16681.0,,,,,34167.0,12887.0,12527.0,25234.0,25622.0,,10008.0,,,33714.0,23333.0,24703.0,32829.0,11875.0,,,37464.0
1976,34786.0,15385.0,27823.0,21269.0,27278.0,28485.0,39899.0,,,,21152.0,,,,,29263.0,12527.0,13063.0,26192.0,32229.0,,10525.0,,,31786.0,28049.0,24171.0,26560.0,11062.0,,,38911.0
1977,34138.0,13933.0,25974.0,26435.0,38089.0,34181.0,35503.0,,,,16962.0,,,,,33957.0,12222.0,12473.0,26427.0,22727.0,,8756.0,,,39184.0,26875.0,25576.0,32258.0,8905.0,,,41026.0
1978,36386.0,8990.0,27483.0,32415.0,36994.0,41818.0,44809.0,,,,18605.0,,,,,37479.0,12412.0,11212.0,29522.0,23093.0,,11822.0,,,37961.0,30455.0,27064.0,34226.0,7100.0,,,42553.0
1979,29471.0,12136.0,23069.0,32506.0,30088.0,30782.0,44068.0,,,,15519.0,,,,,36443.0,12903.0,12075.0,27068.0,25948.0,,10067.0,,,37122.0,30526.0,26332.0,35531.0,5900.0,,,37249.0
1980,37460.0,19077.0,24061.0,33791.0,40268.0,35810.0,43628.0,,,,15800.0,,,,,35922.0,13071.0,12195.0,28628.0,27851.0,,14720.0,,,43271.0,30000.0,26528.0,34202.0,9392.0,,,50000.0
1981,35014.0,9709.0,26349.0,31419.0,49261.0,38012.0,44156.0,,,,18569.0,,,,,35964.0,13462.0,13889.0,31199.0,22560.0,,9633.0,,,40000.0,30000.0,26783.0,32468.0,8224.0,,,50000.0
1982,38340.0,12500.0,26969.0,31399.0,37200.0,44774.0,43590.0,,,,16186.0,,,,,39279.0,13402.0,12813.0,30164.0,27075.0,,12800.0,,,39000.0,30000.0,27937.0,41360.0,7866.0,,,55000.0
1983,38155.0,5208.0,26332.0,29739.0,34615.0,30000.0,42857.0,,,,31878.0,,,,,32540.0,13483.0,13600.0,25806.0,30846.0,,8500.0,,,44500.0,30000.0,22729.0,24642.0,6504.0,,,50000.0
1984,40109.0,5306.0,30074.0,39569.0,,42857.0,49020.0,,,,29502.0,,,,,40796.0,13500.0,22710.0,37898.0,30615.0,,9100.0,,,43750.0,30952.0,26810.0,45503.0,12581.0,,,45098.0
1985,41467.0,6732.0,29867.0,37758.0,,42857.0,48523.0,,,,30950.0,,,,,42142.0,13421.0,14980.0,30231.0,28804.0,,11320.0,,,44286.0,30952.0,28804.0,40000.0,12489.0,,,44910.0
1986,38270.0,11151.0,30114.0,33168.0,,40000.0,40426.0,,,,33013.0,,,,,40943.0,14191.0,18741.0,25591.0,27350.0,,13000.0,,,41429.0,30952.0,28305.0,36667.0,10802.0,,,
1987,36059.0,12750.0,31128.0,40760.0,,38879.0,44231.0,,,,28523.0,,,,,39329.0,13750.0,16038.0,27826.0,15579.0,,7875.0,,,37143.0,30682.0,27801.0,46667.0,11909.0,,,
1988,42318.0,9524.0,28606.0,36147.0,,39128.0,51220.0,,,,30641.0,,,,,40648.0,13062.0,14410.0,27750.0,23100.0,,14706.0,,,44000.0,30667.0,16897.0,33333.0,12695.0,,,
1989,41756.0,11900.0,29826.0,36105.0,,30000.0,55556.0,,,,29264.0,,,,,37959.0,11444.0,7667.0,30889.0,30381.0,,18922.0,,,37855.0,30435.0,27558.0,33333.0,13694.0,,,
1990,42085.0,16222.0,30400.0,35837.0,,35000.0,51576.0,,,,31918.0,,,,,45527.0,12692.0,8333.0,30677.0,34252.0,,23342.0,,,40476.0,,28502.0,26731.0,12662.0,,,
1991,39593.0,23625.0,29952.0,42005.0,,30000.0,53125.0,,,,28183.0,,,,,46981.0,12231.0,7000.0,37930.0,31282.0,,10000.0,,,40541.0,,25356.0,31486.0,9523.0,,,
1992,35852.0,,20730.0,42427.0,,42500.0,48148.0,3810.0,,10296.0,18519.0,,,,11603.0,39310.0,12168.0,,31626.0,28548.0,11781.0,10000.0,,45250.0,43525.0,,30588.0,31182.0,8101.0,24833.0,,
1993,36817.0,,25485.0,41063.0,,45581.0,52632.0,23077.0,,14194.0,,,27500.0,,16875.0,45127.0,12638.0,,33529.0,28346.0,,20068.0,,33400.0,39441.0,,28065.0,,13811.0,18473.0,,
1994,38861.0,,23120.0,41221.0,,36744.0,22414.0,15521.0,,14340.0,,,27016.0,,14246.0,40385.0,12113.0,,22580.0,31373.0,,30000.0,,24266.0,43333.0,,26867.0,,15562.0,30736.0,,
1995,39770.0,,28143.0,40399.0,,44857.0,40625.0,21517.0,,17500.0,,,21503.0,,15313.0,41818.0,12941.0,,24886.0,32804.0,,29382.0,,24261.0,42103.0,,27647.0,,7039.0,33633.0,,
1996,38280.0,,27876.0,43596.0,,52000.0,46424.0,23889.0,,20588.0,,,21462.0,,19773.0,48879.0,13529.0,,38680.0,30290.0,,20000.0,,23711.0,40000.0,,27448.0,,17410.0,27023.0,,
1997,41090.0,,28716.0,41083.0,,50000.0,46344.0,19230.0,,20455.0,,,18674.0,,20043.0,46438.0,15429.0,,36301.0,29938.0,,18620.0,,21321.0,40000.0,,27613.0,,7896.0,31777.0,,
