,"China, Taiwan Province of",Belarus,Croatia,Saudi Arabia,Philippines,Syrian Arab Republic,Brazil,Australia,United Republic of Tanzania,Ethiopia,The former Yugoslav Republic of Macedonia,Greece,Zimbabwe,Republic of Korea,Uzbekistan,Portugal,Australia & New Zealand,Yugoslav SFR,Guatemala,Algeria,Slovenia,United Arab Emirates,Madagascar,Luxembourg,Israel,Belgium,Turkmenistan,Switzerland,Uruguay,Azerbaijan,Egypt,Bosnia and Herzegovina,China,Malta,Colombia,Libya,Lebanon,Kyrgyzstan,Occupied Palestinian Territory,Chile,Hungary,Montenegro,Kazakhstan,Estonia,Liechtenstein,Viet Nam,"China, mainland",Russian Federation,Italy,India,Ukraine,Bolivia (Plurinational State of),Peru,Yemen,Serbia and Montenegro,Czechoslovakia,Serbia,Tajikistan,Armenia,Germany,Namibia,United Kingdom,Canada,Japan,Afghanistan,Iraq,Venezuela (Bolivarian Republic of),Cyprus,Spain,New Zealand,Bulgaria,United States of America,Iran (Islamic Republic of),Pakistan,Kuwait,Czechia,Argentina,Paraguay,Georgia,Cuba,Austria,Bahrain,Morocco,Ethiopia PDR,Qatar,Mexico,USSR,Romania,Ecuador,Honduras,Jordan,Tunisia,Albania,Slovakia,France,South Africa,Réunion,Thailand,Lithuania,Netherlands,Turkey,Republic of Moldova,Belgium-Luxembourg
1961,1831.0,-1.0,-1.0,16000.0,-1.0,242826.0,450942.0,534975.0,-1.0,-1.0,-1.0,1420137.0,-1.0,5599.0,-1.0,1063000.0,540305.0,950000.0,500.0,1845000.0,-1.0,-1.0,1850.0,-1.0,63300.0,-1.0,-1.0,117800.0,115000.0,-1.0,106000.0,-1.0,71831.0,5125.0,4500.0,7100.0,90000.0,-1.0,-1.0,853000.0,591296.0,-1.0,-1.0,-1,130.0,-1.0,70000.0,-1.0,8467000.0,70000.0,-1.0,9000.0,56456.0,18700.0,-1.0,61789.0,-1.0,-1.0,-1.0,482500.0,-1.0,-1.0,38663.0,174500.0,225000.0,45000.0,-1.0,130810.0,3298000.0,5330.0,579260.0,2952820.0,420000.0,24700.0,-1.0,-1.0,2174000.0,8000.0,-1.0,-1.0,171000.0,80.0,357000.0,-1.0,-1.0,72756.0,2235000.0,751700.0,258.0,-1.0,78400.0,247000.0,43412.0,-1.0,7491000.0,516553.0,200.0,650.0,-1,9008.0,3189000.0,-1.0,27500.0
1962,2200.0,-1.0,-1.0,17000.0,-1.0,254903.0,400601.0,637978.0,-1.0,-1.0,-1.0,1596070.0,-1.0,7500.0,-1.0,2091000.0,644536.0,1130000.0,500.0,1668000.0,-1.0,-1.0,1850.0,-1.0,72500.0,-1.0,-1.0,112600.0,114657.0,-1.0,120172.0,-1.0,86200.0,2922.0,5000.0,6900.0,85000.0,-1.0,-1.0,972000.0,551045.0,-1.0,-1.0,-1,100.0,-1.0,84000.0,-1.0,10966000.0,75000.0,-1.0,9000.0,61900.0,18700.0,-1.0,42642.0,-1.0,-1.0,-1.0,530300.0,-1.0,-1.0,41927.0,194200.0,225000.0,45000.0,-1.0,127000.0,3870000.0,6558.0,1053197.0,2937915.0,440000.0,12900.0,-1.0,-1.0,2460000.0,11000.0,-1.0,-1.0,129000.0,80.0,304000.0,-1.0,-1.0,70487.0,2972000.0,1032100.0,178.0,-1.0,79000.0,275400.0,48800.0,-1.0,11505000.0,543864.0,200.0,650.0,-1,8278.0,3382000.0,-1.0,30000.0
1963,2129.0,-1.0,-1.0,17000.0,-1.0,159210.0,506802.0,478990.0,-1.0,-1.0,-1.0,1118190.0,-1.0,6439.0,-1.0,1787000.0,485910.0,1220000.0,1000.0,1696000.0,-1.0,-1.0,2000.0,-1.0,59200.0,-1.0,-1.0,122700.0,127900.0,-1.0,105412.0,-1.0,87129.0,3827.0,5500.0,5800.0,90000.0,-1.0,-1.0,803000.0,736482.0,-1.0,-1.0,-1,70.0,-1.0,85000.0,-1.0,8698000.0,80000.0,-1.0,10000.0,59570.0,19200.0,-1.0,65600.0,-1.0,-1.0,-1.0,814600.0,-1.0,-1.0,48434.0,176700.0,225000.0,45000.0,-1.0,63000.0,4108000.0,6920.0,1158328.0,3440949.0,460000.0,20300.0,-1.0,-1.0,2678000.0,11000.0,-1.0,-1.0,234000.0,100.0,392000.0,-1.0,-1.0,81650.0,2572000.0,936500.0,167.0,-1.0,58700.0,278200.0,20160.0,-1.0,8775000.0,626547.0,200.0,650.0,-1,6673.0,2693000.0,-1.0,30200.0
1964,3559.0,-1.0,-1.0,18000.0,-1.0,230278.0,403069.0,665300.0,-1.0,-1.0,-1.0,1331198.0,200.0,10936.0,-1.0,1874000.0,673330.0,1250000.0,1000.0,1416000.0,-1.0,-1.0,2000.0,-1.0,83300.0,-1.0,-1.0,129500.0,119266.0,-1.0,91042.0,-1.0,103559.0,2985.0,6000.0,5400.0,100000.0,-1.0,-1.0,852000.0,926543.0,-1.0,-1.0,-1,110.0,-1.0,100000.0,-1.0,10358000.0,90000.0,-1.0,10000.0,55723.0,19200.0,-1.0,100317.0,-1.0,-1.0,-1.0,970000.0,-1.0,-1.0,54247.0,207400.0,265000.0,45000.0,-1.0,95250.0,5513000.0,8030.0,906744.0,3155186.0,480000.0,17100.0,-1.0,-1.0,2544000.0,11500.0,-1.0,-1.0,403404.0,100.0,401000.0,-1.0,-1.0,86905.0,2629000.0,897500.0,139.0,-1.0,76900.0,255300.0,38678.0,-1.0,9588000.0,620763.0,200.0,650.0,-1,6239.0,2790000.0,-1.0,32700.0
1965,3392.0,-1.0,-1.0,19000.0,-1.0,205674.0,550892.0,690531.0,-1.0,-1.0,-1.0,1480983.0,200.0,18563.0,-1.0,2019000.0,699205.0,1120000.0,1000.0,1902000.0,-1.0,-1.0,2000.0,-1.0,80300.0,-1.0,-1.0,125900.0,131600.0,-1.0,90047.0,-1.0,103392.0,4267.0,6500.0,5000.0,83800.0,-1.0,-1.0,630000.0,426982.0,-1.0,-1.0,-1,100.0,-1.0,100000.0,-1.0,10675000.0,100000.0,-1.0,10000.0,55369.0,19800.0,-1.0,39152.0,-1.0,-1.0,-1.0,680000.0,-1.0,-1.0,57158.0,224700.0,287000.0,45000.0,-1.0,127000.0,4376000.0,8674.0,1333909.0,3947430.0,500000.0,20200.0,-1.0,-1.0,2342000.0,12000.0,-1.0,-1.0,197107.0,100.0,507000.0,-1.0,-1.0,97879.0,3723000.0,921300.0,477.0,-1.0,79200.0,239700.0,42900.0,-1.0,10521000.0,807212.0,200.0,650.0,-1,6164.0,3350000.0,-1.0,27000.0
1966,3784.0,-1.0,-1.0,19000.0,-1.0,202000.0,522640.0,591459.0,-1.0,-1.0,-1.0,1479638.0,300.0,22631.0,-1.0,1287000.0,600459.0,1230000.0,1500.0,931300.0,-1.0,-1.0,2400.0,-1.0,76000.0,-1.0,-1.0,110100.0,160088.0,-1.0,118014.0,-1.0,101784.0,3454.0,7000.0,6000.0,75988.0,-1.0,-1.0,836000.0,568868.0,-1.0,-1.0,-1,80.0,-1.0,98000.0,-1.0,10150000.0,110000.0,-1.0,10000.0,55938.0,20900.0,-1.0,58871.0,-1.0,-1.0,-1.0,649200.0,-1.0,-1.0,55581.0,230300.0,315000.0,65000.0,393.0,142240.0,4958300.0,9000.0,1081041.0,3387706.0,520000.0,21000.0,-1.0,-1.0,2777000.0,12000.0,-1.0,-1.0,206510.0,40.0,362000.0,-1.0,-1.0,105892.0,3378000.0,954100.0,409.0,-1.0,79690.0,166400.0,54100.0,-1.0,9612413.0,767760.0,200.0,650.0,-1,5110.0,3100000.0,-1.0,29000.0
1967,4858.0,-1.0,-1.0,20000.0,-1.0,213526.0,500791.0,694748.0,-1.0,-1.0,-1.0,1352835.0,300.0,25083.0,-1.0,1388000.0,704728.0,1160000.0,1500.0,889000.0,-1.0,-1.0,2300.0,-1.0,82000.0,-1.0,-1.0,125800.0,141300.0,-1.0,117000.0,-1.0,94858.0,4368.0,7500.0,6000.0,88321.0,-1.0,-1.0,863000.0,791467.0,-1.0,-1.0,-1,60.0,-1.0,90000.0,-1.0,11692000.0,115000.0,-1.0,11000.0,53879.0,22000.0,-1.0,93380.0,-1.0,-1.0,-1.0,819300.0,-1.0,-1.0,60830.0,264100.0,372000.0,68000.0,491.0,147320.0,3730900.0,9980.0,923282.0,2777979.0,550000.0,22500.0,-1.0,-1.0,3624000.0,13500.0,-1.0,-1.0,368502.0,40.0,238000.0,-1.0,-1.0,102609.0,3441000.0,910200.0,492.0,-1.0,71676.0,148600.0,48500.0,-1.0,9565882.0,803960.0,200.0,650.0,-1,6460.0,3500000.0,-1.0,28200.0
1968,6801.0,-1.0,-1.0,22000.0,-1.0,212571.0,539036.0,638611.0,-1.0,-1.0,-1.0,1714201.0,300.0,27537.0,-1.0,1642000.0,651056.0,1270000.0,1500.0,1399000.0,-1.0,-1.0,2550.0,-1.0,71900.0,-1.0,-1.0,134400.0,119000.0,-1.0,117000.0,-1.0,106801.0,3759.0,8000.0,6300.0,83609.0,-1.0,-1.0,943000.0,835334.0,-1.0,-1.0,-1,120.0,-1.0,100000.0,-1.0,10320000.0,120000.0,-1.0,10900.0,55862.0,23100.0,-1.0,110734.0,-1.0,-1.0,-1.0,816500.0,-1.0,-1.0,55152.0,269000.0,375000.0,70000.0,614.0,168656.0,3841000.0,12445.0,1335915.0,3219596.0,520000.0,22700.0,3.0,-1.0,2590000.0,12000.0,-1.0,-1.0,352008.0,40.0,310000.0,-1.0,-1.0,110506.0,4472000.0,1167105.0,936.0,-1.0,30500.0,139100.0,57800.0,-1.0,10227603.0,918835.0,200.0,650.0,-1,5682.0,3725000.0,-1.0,26500.0
1969,6879.0,-1.0,-1.0,22000.0,-1.0,248234.0,483443.0,553411.0,419.0,-1.0,-1.0,1683194.0,300.0,37407.0,-1.0,1173120.0,568807.0,1499220.0,2000.0,1237000.0,-1.0,-1.0,2680.0,-1.0,80400.0,-1.0,-1.0,105200.0,114000.0,-1.0,110000.0,-1.0,101879.0,4368.0,8500.0,6500.0,76640.0,-1.0,-1.0,709000.0,938971.0,-1.0,-1.0,-1,90.0,-1.0,95000.0,-1.0,11163000.0,125000.0,-1.0,11600.0,65982.0,24200.0,-1.0,117121.0,-1.0,-1.0,-1.0,802800.0,-1.0,-1.0,56344.0,244000.0,379000.0,73000.0,741.0,203200.0,3985600.0,15396.0,1285294.0,3535759.0,603000.0,24100.0,5.0,-1.0,2354000.0,12000.0,-1.0,-1.0,321900.0,50.0,160000.0,3000.0,-1.0,118158.0,4181000.0,1189364.0,1285.0,-1.0,14234.0,130000.0,59700.0,-1.0,7919224.0,922660.0,210.0,1300.0,-1,4713.0,3635000.0,-1.0,27500.0
1970,11156.0,-1.0,-1.0,24000.0,-1.0,206574.0,598016.0,757668.0,839.0,-1.0,-1.0,1558359.0,300.0,34145.0,-1.0,1632064.0,774418.0,1101166.0,2000.0,1275000.0,-1.0,-1.0,2585.0,-1.0,60700.0,-1.0,-1.0,165364.0,137000.0,-1.0,108000.0,-1.0,96156.0,3556.0,9000.0,6500.0,101753.0,-1.0,-1.0,668000.0,742601.0,-1.0,-1.0,-1,120.0,-1.0,85000.0,-1.0,10724000.0,130000.0,-1.0,12100.0,56243.0,10000.0,-1.0,137547.0,-1.0,-1.0,-1.0,1335000.0,-1.0,-1.0,65543.0,234200.0,364000.0,75000.0,685.0,182880.0,4139700.0,16750.0,1039812.0,2815279.0,630000.0,24100.0,9.0,-1.0,2668000.0,12000.0,-1.0,-1.0,439950.0,50.0,202600.0,3000.0,-1.0,178467.0,4011000.0,759877.0,1203.0,-1.0,26280.0,90000.0,65000.0,-1.0,11617697.0,682783.0,210.0,1300.0,-1,4927.0,3850000.0,-1.0,43000.0
