,USSR,Cambodia,Vanuatu,Eritrea,Fiji,Australia,Pakistan,Thailand,Belize,Ethiopia,Kenya,Guyana,Lao People's Democratic Republic,Zambia,Botswana,Papua New Guinea,Peru,Suriname,Brazil,Mozambique,Niger,Australia & New Zealand,El Salvador,Hungary,Chad,Colombia,Spain,Central African Republic,India,Jamaica,Ecuador,Cabo Verde,Indonesia,Argentina,Jordan,Angola,Ethiopia PDR,Egypt,Melanesia,Togo,Malaysia,Greece,Tajikistan,Haiti,Republic of Korea,Democratic Republic of the Congo,Nigeria,Sudan,Mali,Congo,Lebanon,Dominican Republic,Syrian Arab Republic,Tonga,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,Gambia,Ghana,"China, mainland",Cyprus,Guinea-Bissau,Rwanda,Cameroon,Guatemala,Saint Kitts and Nevis,Cuba,United States of America,South Africa,Philippines,Iraq,Madagascar,Swaziland,United Republic of Tanzania,Burundi,South Sudan,Luxembourg,Libya,Costa Rica,Bangladesh,Italy,Senegal,Mauritius,Uganda,Comoros,Benin,Uzbekistan,China,Burkina Faso,Serbia and Montenegro,Sudan (former),Morocco,Honduras,Uruguay,Zimbabwe,Kyrgyzstan,Gabon,Malawi,Algeria,"China, Taiwan Province of",Israel,Réunion,Japan,Timor-Leste,Saudi Arabia,Somalia,Namibia,Georgia,Nicaragua,Viet Nam,Mauritania,Barbados,Turkey,Portugal,Bolivia (Plurinational State of),Paraguay,Saint Vincent and the Grenadines,Venezuela (Bolivarian Republic of),Mexico,Guinea,Sierra Leone,Sri Lanka,Côte d'Ivoire,Polynesia,Bulgaria,Myanmar,Occupied Palestinian Territory,Liberia
1961,,14766.0,380.0,,60.0,17313.0,10930.0,82560.0,-1.0,,1700.0,3.0,1800.0,60000.0,4451.0,2612.0,1670.0,449.0,436381.0,300000.0,348955.0,17313.0,,-1.0,170000.0,400.0,5100.0,80000.0,6889000.0,175.0,7073.0,280.0,365000.0,189000.0,,33184.0,30000.0,13863.0,3052.0,31000.0,1928.0,3310.0,,4500.0,2740.0,270000.0,1488000.0,,175000.0,35000.0,1500.0,50180.0,2833.0,800.0,800.0,500.0,,90000.0,60000.0,1198800.0,140.0,100000.0,2380.0,101341.0,300.0,8.0,18000.0,566000.0,306000.0,19600.0,,36000.0,5000.0,40000.0,3950.0,,,7000.0,,11736.0,5631.0,1026000.0,99.0,240000.0,-1.0,73848.0,,1297350.0,130000.0,,198200.0,2000.0,25.0,7131.0,117804.0,,3000.0,159000.0,,98550.0,4135.0,500.0,65600.0,300.0,,2500.0,-1.0,,100.0,59600.0,1400.0,-1.0,8700.0,,4082.0,10500.0,240.0,1102.0,74945.0,100000.0,19000.0,923.0,48000.0,800.0,2449.0,469528.0,-1.0,5000.0
1962,14.0,17500.0,380.0,,30.0,13764.0,12140.0,85280.0,-1.0,,3220.0,3.0,1800.0,60000.0,966.0,2651.0,1660.0,513.0,476461.0,300000.0,323000.0,13764.0,,-1.0,170000.0,400.0,6460.0,78000.0,7283000.0,145.0,6588.0,350.0,373000.0,279600.0,,49000.0,32000.0,22264.0,3061.0,40212.0,2131.0,3034.0,,4500.0,3020.0,265000.0,1501000.0,,180000.0,39000.0,2500.0,50180.0,2833.0,820.0,900.0,600.0,,90000.0,60000.0,1300000.0,140.0,100000.0,2300.0,120281.0,300.0,8.0,23000.0,567000.0,251000.0,19400.0,,41000.0,5000.0,45000.0,6000.0,,,5000.0,,9308.0,5501.0,1015000.0,134.0,240000.0,-1.0,77722.0,,1396250.0,120000.0,,291700.0,2000.0,34.0,10167.0,172558.0,,3000.0,186000.0,,96250.0,3520.0,500.0,64200.0,350.0,,1200.0,-1.0,,100.0,72585.0,1400.0,-1.0,10200.0,,4326.0,10700.0,240.0,1924.0,75272.0,102000.0,19000.0,1921.0,52200.0,820.0,1781.0,515000.0,-1.0,5000.0
1963,54.0,7000.0,380.0,,32.0,14547.0,15780.0,81760.0,-1.0,,6440.0,4.0,1600.0,60000.0,2500.0,2933.0,1730.0,627.0,422876.0,300000.0,318540.0,14547.0,,-1.0,162000.0,400.0,5349.0,76000.0,6886000.0,145.0,10913.0,450.0,352000.0,266100.0,,51000.0,34000.0,22264.0,3345.0,40000.0,2088.0,2714.0,,4400.0,3416.0,265000.0,1992000.0,,190000.0,27000.0,3000.0,50180.0,2800.0,830.0,900.0,700.0,,100000.0,61000.0,1458000.0,140.0,100000.0,3850.0,150162.0,300.0,10.0,18000.0,565000.0,323000.0,25000.0,,41000.0,5000.0,45000.0,6000.0,,,7000.0,,8094.0,4720.0,1084000.0,143.0,250000.0,-1.0,80454.0,,1552542.0,100000.0,,355900.0,2000.0,27.0,9421.0,154508.0,,3000.0,195000.0,,94542.0,3965.0,500.0,61400.0,370.0,,2200.0,-1.0,,100.0,70280.0,1600.0,-1.0,9500.0,,4657.0,10000.0,240.0,1395.0,74910.0,104000.0,19000.0,2004.0,59000.0,830.0,689.0,606211.0,-1.0,3300.0
1964,100.0,19200.0,380.0,,50.0,18194.0,16590.0,86560.0,-1.0,,6100.0,5.0,1500.0,60000.0,2000.0,3115.0,1720.0,606.0,429837.0,330000.0,292855.0,18194.0,,-1.0,180000.0,400.0,3984.0,76000.0,7376000.0,265.0,13784.0,630.0,373000.0,344300.0,,44000.0,35000.0,21004.0,3545.0,40300.0,2993.0,3210.0,,4400.0,3266.0,264000.0,2000000.0,,141000.0,26000.0,3000.0,50180.0,5000.0,850.0,700.0,800.0,,100000.0,64500.0,1800000.0,166.0,100000.0,11648.0,129611.0,300.0,10.0,18000.0,565419.0,345000.0,24000.0,3.0,41280.0,5300.0,45000.0,6400.0,,,5000.0,,9308.0,4417.0,1055000.0,134.0,250000.0,-1.0,62703.0,,1900775.0,127000.0,,327200.0,2000.0,22.0,7598.0,167857.0,,3000.0,179000.0,,100775.0,2605.0,500.0,62800.0,370.0,,4000.0,-1.0,,100.0,78700.0,1600.0,-1.0,9000.0,,4749.0,22600.0,240.0,1860.0,75655.0,105000.0,19000.0,2970.0,62400.0,850.0,667.0,558200.0,-1.0,3300.0
1965,75.0,24100.0,400.0,,50.0,18597.0,23470.0,95360.0,-1.0,,6200.0,5.0,1500.0,50000.0,408.0,2537.0,2460.0,648.0,540627.0,340000.0,341370.0,18597.0,,-1.0,190000.0,400.0,3998.0,73000.0,7698000.0,166.0,14186.0,580.0,351000.0,378400.0,,47000.0,35000.0,22684.0,2987.0,39200.0,2760.0,3270.0,,4350.0,3610.0,286000.0,2229000.0,,153000.0,25000.0,2400.0,50180.0,5900.0,880.0,800.0,900.0,,100000.0,31073.0,1845700.0,56.0,100000.0,8551.0,168377.0,300.0,12.0,18000.0,582051.0,256000.0,24280.0,15.0,40055.0,5300.0,49000.0,6200.0,,,5000.0,,10117.0,3243.0,1114000.0,268.0,260000.0,-1.0,78591.0,,1949321.0,130000.0,,392700.0,1000.0,27.0,6597.0,171371.0,,3000.0,196000.0,,103621.0,4145.0,300.0,66500.0,350.0,,5000.0,-1.0,,100.0,86000.0,1600.0,-1.0,11000.0,,4853.0,22630.0,240.0,1945.0,60541.0,108000.0,19190.0,3241.0,60000.0,880.0,992.0,529015.0,-1.0,3300.0
1966,120.0,22800.0,400.0,,50.0,23353.0,33990.0,153120.0,-1.0,,6200.0,5.0,1300.0,70000.0,286.0,2052.0,2515.0,712.0,643580.0,340000.0,355400.0,23353.0,,-1.0,126000.0,400.0,3724.0,71000.0,7299000.0,322.0,15004.0,630.0,388000.0,333300.0,,47000.0,36300.0,20584.0,2502.0,43000.0,2458.0,3350.0,,4350.0,4192.0,300000.0,2254000.0,,122000.0,20000.0,2520.0,48157.0,7300.0,890.0,900.0,1000.0,,100000.0,32443.0,1915000.0,50.0,90000.0,6000.0,188000.0,300.0,12.0,17000.0,574929.0,256000.0,25800.0,146.0,41210.0,5300.0,50000.0,6500.0,,,6000.0,,16600.0,2984.0,1116710.0,244.0,280000.0,-1.0,77900.0,,2013026.0,140000.0,,401500.0,1400.0,24.0,3032.0,170000.0,,3000.0,200000.0,,98026.0,4005.0,400.0,64900.0,370.0,,6000.0,-1.0,,100.0,80900.0,1600.0,-1.0,11500.0,,5050.0,23300.0,240.0,2300.0,62681.0,110600.0,17000.0,4837.0,54000.0,890.0,1251.0,518388.0,-1.0,3300.0
1967,400.0,21200.0,580.0,,280.0,28147.0,50590.0,104480.0,-1.0,,4190.0,5.0,1400.0,70000.0,2347.0,2300.0,2770.0,601.0,693863.0,340000.0,356562.0,28147.0,,-1.0,127000.0,400.0,2747.0,85900.0,7552700.0,494.0,11537.0,524.0,351000.0,327500.0,,47000.0,37900.0,20584.0,3160.0,45000.0,2758.0,3637.0,,4300.0,5019.0,310000.0,2256000.0,,126300.0,20000.0,2528.0,45603.0,8400.0,900.0,900.0,1100.0,,88000.0,46538.0,1930000.0,50.0,90000.0,21000.0,219083.0,300.0,12.0,15000.0,567968.0,271000.0,28500.0,287.0,41635.0,5500.0,44000.0,9000.0,,,6300.0,,28300.0,2597.0,1166746.0,283.0,277000.0,-1.0,89100.0,,2027906.0,142000.0,,356000.0,2000.0,23.0,3214.0,180000.0,,3000.0,220000.0,,97906.0,3740.0,400.0,61500.0,600.0,,8000.0,-1.0,,100.0,76000.0,1600.0,-1.0,11600.0,,5093.0,24460.0,240.0,4854.0,59774.0,111700.0,17000.0,3512.0,39300.0,900.0,1715.0,449165.0,-1.0,3300.0
1968,800.0,21600.0,700.0,,789.0,25090.0,34800.0,114240.0,-1.0,,6200.0,12.0,1500.0,75000.0,4087.0,2390.0,3000.0,429.0,606434.0,350000.0,431958.0,25090.0,,-1.0,145000.0,450.0,2551.0,97700.0,7088100.0,758.0,13654.0,550.0,394601.0,287250.0,,47000.0,38800.0,22264.0,3879.0,45000.0,3816.0,4380.0,,4300.0,5688.0,320000.0,1941000.0,,199800.0,20000.0,2825.0,46420.0,8812.0,920.0,900.0,1200.0,,88000.0,60702.0,1739000.0,40.0,90000.0,14800.0,221582.0,300.0,14.0,15000.0,582092.0,328000.0,29700.0,211.0,41235.0,5500.0,60000.0,10600.0,,,6300.0,,33600.0,1983.0,1195117.0,217.0,251000.0,-1.0,93700.0,,1834317.0,150000.0,,302248.0,2200.0,19.0,2564.0,180000.0,,3000.0,210000.0,,95317.0,2885.0,400.0,59100.0,500.0,,9000.0,-1.0,,200.0,76000.0,1700.0,-1.0,13000.0,,7149.0,22500.0,240.0,4029.0,64194.0,112850.0,17000.0,6858.0,41000.0,920.0,1844.0,502848.0,-1.0,3300.0
1969,700.0,21043.0,850.0,,789.0,31823.0,42490.0,93280.0,-1.0,,4000.0,23.0,2000.0,75000.0,4318.0,2350.0,2915.0,240.0,613332.0,350000.0,319788.0,31823.0,,-1.0,162000.0,450.0,2526.0,90000.0,7125400.0,664.0,6341.0,271.0,372279.0,243500.0,,35000.0,39900.0,26885.0,3989.0,25000.0,3062.0,3460.0,,4300.0,6905.0,353800.0,1833000.0,,212000.0,20700.0,3105.0,71628.0,9002.0,940.0,670.0,1300.0,,85000.0,74056.0,1734000.0,60.0,90000.0,7225.0,215063.0,300.0,14.0,15000.0,589093.0,341000.0,31000.0,203.0,42485.0,5000.0,46000.0,10000.0,,,5000.0,,32400.0,1509.0,959800.0,331.0,245000.0,-1.0,92700.0,,1825385.0,136802.0,,450662.0,2800.0,20.0,4061.0,180000.0,,3000.0,230000.0,,91385.0,3220.0,400.0,59500.0,1000.0,,10000.0,-1.0,,200.0,78000.0,1900.0,-1.0,15000.0,,5500.0,21600.0,250.0,4661.0,53656.0,114000.0,17000.0,5197.0,53100.0,940.0,1431.0,597327.0,-1.0,3300.0
1970,500.0,21043.0,1000.0,,600.0,33598.0,30350.0,94240.0,-1.0,,4000.0,30.0,2200.0,75000.0,4229.0,2600.0,1634.0,284.0,669688.0,350000.0,357500.0,33598.0,,-1.0,132100.0,500.0,2500.0,109500.0,7326200.0,622.0,6169.0,211.0,380060.0,210500.0,,35000.0,41000.0,21424.0,4200.0,39000.0,3201.0,3800.0,,4300.0,7000.0,384100.0,1870000.0,,303000.0,18500.0,3268.0,63132.0,9390.0,950.0,700.0,1400.0,,87000.0,98013.0,1708000.0,67.0,90000.0,7632.0,258320.0,300.0,14.0,15000.0,594556.0,393000.0,32400.0,39.0,40890.0,5000.0,56000.0,9000.0,,,4684.0,,28300.0,1328.0,989918.0,358.0,250000.0,-1.0,93828.0,,1795477.0,139994.0,,383953.0,4600.0,21.0,3496.0,190000.0,,3000.0,223000.0,,87477.0,5330.0,400.0,60100.0,1000.0,,10000.0,-1.0,,300.0,77500.0,6000.0,-1.0,15000.0,,6000.0,21800.0,250.0,9700.0,64578.0,115200.0,13788.0,5356.0,53100.0,950.0,1477.0,595704.0,-1.0,3300.0
