,Venezuela (Bolivarian Republic of),Brazil,Guyana,Mexico
1961,353.0,8500.0,320.0,2100.0
1962,281.0,6000.0,360.0,2000.0
1963,111.0,4000.0,340.0,1800.0
1964,265.0,5000.0,340.0,1000.0
1965,361.0,7000.0,340.0,1700.0
1966,247.0,4964.0,320.0,1200.0
1967,86.0,6395.0,380.0,1387.0
1968,178.0,4278.0,216.0,1781.0
1969,113.0,4080.0,267.0,2387.0
1970,258.0,5857.0,305.0,2280.0
1971,162.0,14607.0,350.0,1761.0
1972,114.0,6000.0,400.0,2262.0
1973,72.0,4174.0,400.0,2600.0
1974,3.0,4764.0,400.0,2800.0
1975,0.0,4109.0,410.0,3000.0
1976,-1.0,7296.0,420.0,3500.0
1977,-1.0,5450.0,420.0,4000.0
1978,-1.0,6413.0,430.0,4500.0
1979,-1.0,5991.0,430.0,5000.0
1980,-1.0,3909.0,440.0,5527.0
1981,-1.0,3943.0,440.0,10521.0
1982,-1.0,6103.0,450.0,9000.0
1983,-1.0,5481.0,450.0,7000.0
1984,-1.0,5254.0,460.0,6000.0
1985,-1.0,2843.0,460.0,5000.0
1986,-1.0,3400.0,460.0,5000.0
1987,-1.0,1841.0,460.0,10000.0
1988,-1.0,1272.0,460.0,15000.0
1989,-1.0,1254.0,480.0,21943.0
1990,0.0,870.0,480.0,22574.0
1991,0.0,491.0,480.0,21362.0
1992,0.0,333.0,500.0,22706.0
1993,-1.0,173.0,500.0,28334.0
1994,-1.0,157.0,500.0,31527.0
1995,-1.0,170.0,500.0,18214.0
1996,-1.0,54.0,500.0,19716.0
1997,-1.0,58.0,500.0,22406.0
1998,-1.0,41.0,500.0,16846.0
1999,-1.0,41.0,500.0,20561.0
2000,-1.0,42.0,500.0,21562.0
2001,-1.0,44.0,500.0,22547.0
2002,-1.0,48.0,500.0,19372.0
2003,-1.0,50.0,500.0,26986.0
2004,-1.0,55.0,500.0,27254.0
2005,-1.0,55.0,500.0,24750.0
2006,-1.0,55.0,500.0,24145.0
2007,-1.0,55.0,500.0,27709.0
2008,-1.0,60.0,500.0,29112.0
2009,-1.0,60.0,500.0,31794.0
2010,-1.0,55.0,500.0,32097.0
2011,-1.0,60.0,500.0,38243.0
2012,-1.0,65.0,500.0,47639.0
2013,-1.0,60.0,500.0,51397.0
2014,-1.0,65.0,500.0,51000.0
