,Ukraine,Georgia,Germany,USSR,Belarus,Croatia,Cameroon,Tajikistan,Armenia,Romania,Italy,Azerbaijan,China,Denmark,Tunisia,Greece,Portugal,Slovakia,Uzbekistan,Cyprus,Chile,Hungary,Spain,Bulgaria,United States of America,Iran (Islamic Republic of),Mongolia,France,Slovenia,Poland,"China, mainland",Russian Federation,Kyrgyzstan,Republic of Moldova,Turkey
1961,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52600.0,-1.0,-1.0,-1.0,-1.0,-1.0,480.0,-1.0,-1.0,252.0,-1.0,-1.0,23500.0,-1.0,7530.0,10000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,205041.0
1962,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52400.0,-1.0,-1.0,-1.0,-1.0,-1.0,480.0,-1.0,-1.0,266.0,-1.0,-1.0,23600.0,-1.0,7280.0,10000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,211954.0
1963,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52500.0,-1.0,-1.0,-1.0,-1.0,-1.0,500.0,-1.0,-1.0,280.0,-1.0,-1.0,23800.0,-1.0,7000.0,7000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,213676.0
1964,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52600.0,-1.0,-1.0,-1.0,-1.0,-1.0,550.0,-1.0,-1.0,280.0,-1.0,-1.0,23900.0,-1.0,6920.0,7000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,223030.0
1965,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52300.0,-1.0,-1.0,-1.0,-1.0,-1.0,600.0,-1.0,-1.0,294.0,-1.0,-1.0,24100.0,-1.0,6800.0,7000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,226667.0
1966,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54300.0,-1.0,-1.0,-1.0,-1.0,-1.0,700.0,-1.0,-1.0,308.0,-1.0,-1.0,24000.0,-1.0,6640.0,7000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,232727.0
1967,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,57800.0,-1.0,-1.0,-1.0,-1.0,-1.0,740.0,-1.0,-1.0,316.0,-1.0,-1.0,24300.0,-1.0,6600.0,7000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,236679.0
1968,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,59000.0,-1.0,-1.0,-1.0,-1.0,-1.0,740.0,-1.0,-1.0,322.0,-1.0,-1.0,24300.0,-1.0,6470.0,7000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,225455.0
1969,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,60000.0,-1.0,-1.0,-1.0,-1.0,-1.0,760.0,-1.0,-1.0,308.0,-1.0,-1.0,24400.0,-1.0,6430.0,7000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,223919.0
1970,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,60400.0,-1.0,-1.0,-1.0,-1.0,-1.0,770.0,-1.0,-1.0,308.0,-1.0,-1.0,24900.0,-1.0,6600.0,7000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,223318.0
1971,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62200.0,-1.0,-1.0,-1.0,-1.0,-1.0,796.0,-1.0,-1.0,308.0,-1.0,-1.0,25800.0,-1.0,6720.0,8000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,226678.0
1972,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65200.0,-1.0,-1.0,-1.0,-1.0,-1.0,800.0,-1.0,-1.0,201.0,-1.0,-1.0,28100.0,-1.0,6880.0,8000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,233939.0
1973,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66700.0,-1.0,-1.0,-1.0,-1.0,-1.0,820.0,-1.0,-1.0,187.0,-1.0,-1.0,27800.0,-1.0,6880.0,8000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,242424.0
1974,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67700.0,-1.0,-1.0,-1.0,-1.0,-1.0,832.0,-1.0,-1.0,187.0,-1.0,-1.0,29700.0,-1.0,6840.0,8000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,259394.0
1975,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,68000.0,-1.0,-1.0,-1.0,-1.0,-1.0,860.0,-1.0,-1.0,187.0,-1.0,-1.0,29200.0,-1.0,7200.0,8000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,264242.0
1976,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,68000.0,-1.0,-1.0,-1.0,-1.0,-1.0,860.0,-1.0,-1.0,187.0,-1.0,-1.0,31900.0,-1.0,7240.0,8000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,270303.0
1977,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,68300.0,-1.0,-1.0,-1.0,-1.0,-1.0,876.0,-1.0,-1.0,187.0,-1.0,-1.0,33800.0,-1.0,7120.0,8000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,273891.0
1978,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,68500.0,-1.0,-1.0,-1.0,-1.0,-1.0,888.0,-1.0,-1.0,134.0,-1.0,-1.0,32200.0,-1.0,7120.0,8000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,278788.0
1979,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,70400.0,-1.0,-1.0,-1.0,-1.0,-1.0,916.0,-1.0,-1.0,134.0,-1.0,-1.0,35057.0,-1.0,7120.0,5000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,296970.0
1980,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,70200.0,-1.0,-1.0,-1.0,-1.0,-1.0,933.0,-1.0,-1.0,134.0,-1.0,-1.0,35541.0,-1.0,8900.0,5000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,299394.0
1981,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,70000.0,-1.0,-1.0,-1.0,-1.0,-1.0,950.0,-1.0,-1.0,134.0,-1.0,-1.0,35377.0,-1.0,8900.0,4000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,297333.0
1982,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69600.0,-1.0,-1.0,-1.0,-1.0,-1.0,965.0,-1.0,-1.0,134.0,-1.0,-1.0,35961.0,-1.0,8900.0,2336.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,298182.0
1983,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69353.0,-1.0,-1.0,-1.0,-1.0,-1.0,1004.0,-1.0,-1.0,134.0,-1.0,-1.0,36006.0,-1.0,8620.0,606.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,300606.0
1984,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,68925.0,-1.0,-1.0,-1.0,-1.0,-1.0,1028.0,-1.0,-1.0,134.0,-1.0,-1.0,35639.0,-1.0,8900.0,1205.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,300606.0
1985,-1.0,-1.0,-1,4800.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69871.0,-1.0,5800.0,-1.0,-1.0,6070.0,1068.0,-1.0,-1.0,107.0,-1.0,145.0,37200.0,-1.0,9430.0,1212.0,-1.0,1300.0,-1.0,-1.0,5800.0,-1,-1.0,-1.0,303030.0
1986,-1.0,-1.0,-1,6000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,70416.0,-1.0,5400.0,-1.0,-1.0,5825.0,1208.0,-1.0,-1.0,107.0,-1.0,130.0,36300.0,-1.0,10080.0,2570.0,-1.0,1300.0,-1.0,-1.0,5400.0,-1,-1.0,-1.0,304242.0
1987,-1.0,-1.0,-1,6800.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69189.0,-1.0,5900.0,-1.0,-1.0,5390.0,1353.0,-1.0,-1.0,107.0,-1.0,175.0,36081.0,-1.0,10440.0,3121.0,-1.0,1400.0,-1.0,-1.0,5900.0,-1,-1.0,-1.0,311139.0
1988,-1.0,-1.0,-1,7200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67994.0,-1.0,6000.0,-1.0,-1.0,4875.0,1550.0,-1.0,-1.0,105.0,-1.0,175.0,32800.0,-1.0,10720.0,3214.0,-1.0,1600.0,-1.0,-1.0,6000.0,-1,-1.0,-1.0,316170.0
1989,-1.0,-1.0,-1,7600.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67919.0,-1.0,6200.0,-1.0,20.0,4620.0,1560.0,-1.0,-1.0,105.0,-1.0,175.0,30880.0,-1.0,11110.0,3431.0,-1.0,1600.0,-1.0,-1.0,6200.0,-1,-1.0,-1.0,312000.0
1990,-1.0,-1.0,-1,8000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67406.0,-1.0,6500.0,-1.0,30.0,4430.0,1730.0,-1.0,-1.0,105.0,0.0,125.0,32013.0,-1.0,11050.0,3685.0,-1.0,1600.0,-1.0,-1.0,6500.0,-1,-1.0,-1.0,320788.0
1991,-1.0,-1.0,-1,8750.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,68044.0,-1.0,6700.0,-1.0,35.0,3900.0,1870.0,-1.0,-1.0,105.0,215.0,120.0,31945.0,375.0,11120.0,3845.0,-1.0,1700.0,-1.0,-1.0,6700.0,-1,-1.0,-1.0,297666.0
1992,400.0,7000.0,-1,-1.0,800.0,25.0,-1.0,1300.0,-1.0,-1.0,66651.0,17000.0,7000.0,-1.0,35.0,3580.0,1500.0,-1.0,800.0,100.0,219.0,250.0,28884.0,0.0,10940.0,3958.0,-1.0,2000.0,-1.0,-1.0,7000.0,-1,1600.0,1200.0,290909.0
1993,239.0,6500.0,-1,-1.0,870.0,78.0,-1.0,820.0,-1.0,-1.0,69605.0,19000.0,7250.0,-1.0,36.0,3325.0,1001.0,-1.0,900.0,100.0,223.0,100.0,31152.0,-1.0,10900.0,7458.0,-1.0,2000.0,-1.0,-1.0,7250.0,-1,1200.0,800.0,309419.0
1994,249.0,6500.0,-1,-1.0,928.0,40.0,-1.0,934.0,-1.0,-1.0,65300.0,18000.0,7033.0,-1.0,40.0,2500.0,976.0,-1.0,1009.0,100.0,227.0,97.0,28716.0,-1.0,11150.0,9000.0,-1.0,2000.0,-1.0,-1.0,7033.0,-1,1164.0,826.0,314182.0
1995,500.0,5000.0,-1,-1.0,901.0,40.0,-1.0,921.0,-1.0,-1.0,68692.0,17000.0,7101.0,-1.0,38.0,2300.0,986.0,-1.0,1000.0,100.0,231.0,156.0,22158.0,-1.0,11320.0,9000.0,-1.0,1980.0,-1.0,-1.0,7101.0,-1,1211.0,808.0,328666.0
1996,800.0,8000.0,-1,-1.0,864.0,40.0,-1.0,800.0,-1.0,-1.0,68920.0,17500.0,7172.0,-1.0,39.0,1800.0,962.0,-1.0,1100.0,100.0,235.0,113.0,21997.0,-1.0,11570.0,9267.0,-1.0,2000.0,-1.0,-1.0,7172.0,-1,1256.0,680.0,327000.0
1997,700.0,7748.0,-1,-1.0,847.0,60.0,-1.0,750.0,-1.0,-1.0,69669.0,16000.0,8000.0,-1.0,40.0,1900.0,959.0,-1.0,1000.0,100.0,239.0,101.0,28189.0,-1.0,11890.0,9660.0,180.0,2057.0,-1.0,-1.0,8000.0,-1,1300.0,771.0,329370.0
1998,700.0,8833.0,-1,-1.0,1040.0,100.0,-1.0,800.0,-1.0,-1.0,68848.0,17197.0,8500.0,-1.0,40.0,1800.0,956.0,-1.0,1101.0,100.0,243.0,76.0,28684.0,-1.0,12107.0,9932.0,200.0,2410.0,-1.0,-1.0,8500.0,-1,1500.0,792.0,332090.0
1999,300.0,9562.0,-1,-1.0,1000.0,200.0,101.0,893.0,-1.0,-1.0,68740.0,16857.0,7000.0,-1.0,40.0,1400.0,635.0,-1.0,1179.0,100.0,247.0,94.0,28000.0,-1.0,11972.0,10120.0,230.0,2381.0,-1.0,-1.0,7000.0,-1,1600.0,750.0,338053.0
2000,200.0,7798.0,-1,-1.0,1117.0,186.0,101.0,802.0,-1.0,-1.0,68868.0,16720.0,6000.0,-1.0,40.0,1300.0,632.0,-1.0,1281.0,55.0,251.0,110.0,23570.0,-1.0,11473.0,10454.0,250.0,2340.0,-1.0,-1.0,6000.0,-1,1584.0,737.0,342987.0
2001,97.0,6264.0,-1,-1.0,1209.0,400.0,100.0,873.0,-1.0,-1.0,68419.0,17328.0,7000.0,-1.0,40.0,1200.0,629.0,-1.0,1191.0,55.0,256.0,101.0,22534.0,-1.0,11736.0,10554.0,300.0,2318.0,-1.0,-1.0,7000.0,-1,1589.0,808.0,345448.0
2002,94.0,7618.0,-1,-1.0,1305.0,265.0,99.0,628.0,-1.0,-1.0,68742.0,17646.0,8000.0,-1.0,40.0,1000.0,627.0,-1.0,1170.0,50.0,568.0,86.0,22397.0,-1.0,11817.0,10600.0,290.0,2393.0,-1.0,-1.0,8000.0,-1,1589.0,800.0,350296.0
2003,76.0,8108.0,-1,-1.0,1396.0,357.0,99.0,758.0,-1.0,-1.0,68113.0,17812.0,8155.0,-1.0,40.0,1000.0,627.0,-1.0,1087.0,87.0,1336.0,104.0,21583.0,120.0,11331.0,7763.0,295.0,2426.0,32.0,1637.0,8155.0,-1,1600.0,703.0,368357.0
2004,30.0,4600.0,-1,-1.0,1197.0,500.0,100.0,830.0,-1.0,5.0,67506.0,17971.0,8575.0,6.0,41.0,800.0,626.0,-1.0,1124.0,87.0,2177.0,111.0,20590.0,106.0,11493.0,18158.0,300.0,2576.0,32.0,1651.0,8575.0,-1,1920.0,682.0,393000.0
2005,30.0,9000.0,-1,-1.0,1237.0,800.0,101.0,839.0,-1.0,12.0,67743.0,18228.0,8120.0,6.0,40.0,749.0,585.0,-1.0,1122.0,90.0,2871.0,120.0,20343.0,255.0,11453.0,19478.0,306.0,2642.0,32.0,2638.0,8120.0,-1,2300.0,656.0,389696.0
2006,30.0,13000.0,-1,-1.0,1282.0,900.0,100.0,969.0,-1.0,4.0,69685.0,17379.0,8500.0,6.0,41.0,717.0,527.0,0.0,1185.0,92.0,3438.0,90.0,19937.0,376.0,11453.0,19500.0,307.0,2953.0,32.0,2241.0,8500.0,-1,3200.0,631.0,392860.0
