,Ukraine,Democratic People's Republic of Korea,India,Austria,Serbia and Montenegro,Croatia,Czechoslovakia,Saudi Arabia,Sweden,Germany,USSR,Romania,Netherlands,Syrian Arab Republic,China,Pakistan,Japan,Portugal,Yugoslav SFR,Republic of Korea,Cyprus,Chile,Hungary,Spain,Bulgaria,Bangladesh,France,Poland,"China, mainland",Russian Federation,Czechia,Italy,Turkey
1961,-1.0,7000.0,-1,10.0,-1.0,-1.0,4774.0,-1,863.0,3576.0,200000.0,31000.0,-1.0,494.0,90000.0,-1,2330.0,122.0,44000.0,7126.0,-1,3600.0,20386.0,7065.0,11971.0,-1,1995.0,17260.0,90000.0,-1.0,-1.0,12601.0,7100.0
1962,-1.0,7000.0,-1,11.0,-1.0,-1.0,4461.0,-1,858.0,4973.0,200000.0,24400.0,-1.0,441.0,100000.0,-1,1870.0,152.0,48700.0,7012.0,-1,3600.0,22272.0,8795.0,10965.0,-1,1824.0,20000.0,100000.0,-1.0,-1.0,14724.0,6000.0
1963,-1.0,7000.0,-1,-1.0,-1.0,-1.0,4725.0,-1,667.0,4372.0,200000.0,23500.0,-1.0,454.0,120000.0,-1,1240.0,113.0,44400.0,6586.0,-1,3600.0,22376.0,6625.0,10459.0,-1,1203.0,16000.0,120000.0,-1.0,-1.0,12213.0,6300.0
1964,-1.0,7000.0,-1,-1.0,-1.0,-1.0,5358.0,-1,530.0,4548.0,250000.0,26100.0,-1.0,399.0,130000.0,-1,1110.0,166.0,45300.0,5992.0,-1,3600.0,22800.0,3775.0,10180.0,-1,1817.0,18000.0,130000.0,-1.0,-1.0,8765.0,6000.0
1965,-1.0,7000.0,-1,-1.0,-1.0,-1.0,4166.0,-1,386.0,2903.0,271000.0,21200.0,-1.0,354.0,140000.0,-1,1000.0,115.0,47400.0,5630.0,-1,3600.0,23555.0,1648.0,11412.0,-1,1854.0,22400.0,140000.0,-1.0,-1.0,8858.0,6700.0
1966,-1.0,7000.0,-1,-1.0,-1.0,-1.0,6054.0,-1,-1.0,2598.0,245000.0,23400.0,-1.0,500.0,153000.0,-1,1000.0,123.0,45500.0,5625.0,-1,3600.0,22839.0,1074.0,15108.0,-1,869.0,21100.0,153000.0,-1.0,-1.0,9410.0,6700.0
1967,-1.0,7000.0,-1,-1.0,-1.0,-1.0,6222.0,-1,-1.0,2048.0,229000.0,28000.0,-1.0,300.0,155000.0,-1,950.0,60.0,38900.0,6002.0,-1,3600.0,19492.0,722.0,13698.0,-1,598.0,19900.0,155000.0,-1.0,-1.0,6066.0,4700.0
1968,-1.0,7000.0,-1,-1.0,-1.0,-1.0,4326.0,-1,-1.0,1875.0,223000.0,28835.0,-1.0,387.0,157000.0,-1,950.0,79.0,17200.0,5666.0,-1,3600.0,13509.0,314.0,11459.0,-1,199.0,15400.0,157000.0,-1.0,-1.0,4002.0,6300.0
1969,-1.0,7000.0,-1,-1.0,-1.0,-1.0,1510.0,-1,-1.0,1462.0,216000.0,28892.0,-1.0,384.0,157000.0,-1,950.0,93.0,16450.0,5829.0,-1,3600.0,13759.0,294.0,11677.0,-1,80.0,15300.0,157000.0,-1.0,-1.0,1861.0,5500.0
1970,-1.0,7000.0,-1,-1.0,-1.0,-1.0,1754.0,-1,-1.0,1698.0,204000.0,23062.0,-1.0,687.0,160000.0,-1,900.0,93.0,17952.0,5284.0,-1,3700.0,12696.0,261.0,10039.0,-1,130.0,14000.0,160000.0,-1.0,-1.0,899.0,5600.0
1971,-1.0,8000.0,-1,-1.0,-1.0,-1.0,2087.0,-1,-1.0,1548.0,187000.0,25577.0,-1.0,357.0,163000.0,-1,900.0,-1.0,16043.0,3872.0,-1,3500.0,10275.0,92.0,9397.0,-1,130.0,14100.0,163000.0,-1.0,-1.0,454.0,5300.0
1972,-1.0,8000.0,-1,-1.0,-1.0,-1.0,2177.0,-1,-1.0,474.0,187000.0,24900.0,-1.0,439.0,165000.0,-1,720.0,-1.0,11683.0,3582.0,-1,3500.0,9198.0,85.0,8870.0,-1,130.0,13200.0,165000.0,-1.0,-1.0,269.0,5700.0
1973,-1.0,8000.0,-1,-1.0,-1.0,-1.0,2311.0,-1,-1.0,0.0,166000.0,27500.0,-1.0,369.0,167000.0,-1,720.0,-1.0,10757.0,3317.0,-1,3200.0,10489.0,92.0,7291.0,-1,130.0,11100.0,167000.0,-1.0,-1.0,161.0,5500.0
1974,-1.0,8000.0,-1,-1.0,-1.0,-1.0,2239.0,-1,-1.0,-1.0,162000.0,31900.0,-1.0,505.0,165000.0,-1,720.0,-1.0,10518.0,2739.0,-1,3500.0,10102.0,1327.0,9064.0,-1,130.0,13300.0,165000.0,-1.0,-1.0,142.0,5900.0
1975,-1.0,8000.0,-1,-1.0,-1.0,-1.0,1694.0,-1,-1.0,-1.0,155000.0,31800.0,-1.0,451.0,164000.0,-1,540.0,-1.0,9035.0,2062.0,-1,3800.0,6178.0,103.0,5557.0,-1,130.0,11877.0,164000.0,-1.0,-1.0,162.0,4700.0
1976,-1.0,8000.0,-1,-1.0,-1.0,-1.0,1943.0,-1,-1.0,-1.0,144000.0,32900.0,-1.0,329.0,162000.0,-1,540.0,-1.0,7577.0,458.0,-1,4000.0,8574.0,139.0,7249.0,-1,130.0,11086.0,162000.0,-1.0,-1.0,205.0,8000.0
1977,-1.0,8000.0,-1,-1.0,-1.0,-1.0,1755.0,-1,-1.0,-1.0,136000.0,32300.0,-1.0,315.0,160000.0,-1,540.0,-1.0,6420.0,512.0,-1,4000.0,9902.0,180.0,5002.0,-1,130.0,10071.0,160000.0,-1.0,-1.0,237.0,6100.0
1978,-1.0,8000.0,-1,-1.0,-1.0,-1.0,1475.0,-1,-1.0,-1.0,157000.0,31800.0,-1.0,73.0,159700.0,-1,360.0,-1.0,5384.0,510.0,-1,3700.0,9278.0,304.0,5298.0,-1,1600.0,8180.0,159700.0,-1.0,-1.0,250.0,5700.0
1979,-1.0,8000.0,-1,-1.0,-1.0,-1.0,1796.0,-1,-1.0,-1.0,149000.0,33100.0,-1.0,35.0,155000.0,-1,360.0,-1.0,4215.0,510.0,-1,3700.0,8539.0,134.0,5742.0,-1,2200.0,2187.0,155000.0,-1.0,-1.0,80.0,7300.0
