,Ukraine,Democratic People's Republic of Korea,Germany,Austria,Serbia and Montenegro,Croatia,Czechoslovakia,Sweden,USSR,Romania,Netherlands,Syrian Arab Republic,China,Japan,Republic of Korea,France,Chile,Hungary,Spain,Bulgaria,Yugoslav SFR,Portugal,Poland,"China, mainland",Russian Federation,Czechia,Italy,Turkey
1961,-1.0,3143.0,3328.0,8000.0,-1.0,-1.0,7541.0,9200.0,5000.0,5494.0,-1.0,8360.0,5000.0,6137.0,7941.0,11704.0,10556.0,9811.0,11101.0,9022.0,8983.0,10000.0,8864.0,5000.0,-1.0,-1.0,9658.0,15070.0
1962,-1.0,3143.0,3571.0,8182.0,-1.0,-1.0,5380.0,8159.0,5000.0,5375.0,-1.0,9705.0,5500.0,7112.0,7939.0,14254.0,10556.0,8441.0,11079.0,5435.0,8848.0,11316.0,7400.0,5500.0,-1.0,-1.0,9535.0,15000.0
1963,-1.0,3143.0,3742.0,-1.0,-1.0,-1.0,6984.0,10270.0,5000.0,5360.0,-1.0,14714.0,5417.0,4516.0,7864.0,14397.0,10556.0,10234.0,11713.0,6008.0,8937.0,10000.0,8125.0,5417.0,-1.0,-1.0,11602.0,15079.0
1964,-1.0,3143.0,4442.0,-1.0,-1.0,-1.0,7092.0,10698.0,4600.0,5414.0,-1.0,9073.0,5385.0,7126.0,8221.0,16026.0,10556.0,11228.0,11478.0,8042.0,9991.0,13072.0,8844.0,5385.0,-1.0,-1.0,10918.0,15000.0
1965,-1.0,3143.0,4392.0,-1.0,-1.0,-1.0,10562.0,9689.0,3875.0,6548.0,-1.0,16949.0,5357.0,7000.0,9904.0,16413.0,10556.0,12397.0,11444.0,6459.0,10000.0,11913.0,8534.0,5357.0,-1.0,-1.0,11131.0,14925.0
1966,-1.0,3143.0,5246.0,-1.0,-1.0,-1.0,10076.0,-1.0,4653.0,7442.0,-1.0,8000.0,5425.0,7000.0,10332.0,16018.0,10556.0,12128.0,11741.0,8098.0,10866.0,9268.0,9536.0,5425.0,-1.0,-1.0,12030.0,14925.0
1967,-1.0,3143.0,5957.0,-1.0,-1.0,-1.0,8679.0,-1.0,4419.0,7735.0,-1.0,13333.0,5484.0,6316.0,10182.0,22007.0,10556.0,13903.0,11551.0,9239.0,10735.0,11667.0,11457.0,5484.0,-1.0,-1.0,11886.0,14894.0
1968,-1.0,3143.0,6347.0,-1.0,-1.0,-1.0,9940.0,-1.0,4520.0,7609.0,-1.0,10879.0,5541.0,6316.0,11144.0,17387.0,10556.0,12806.0,11146.0,5993.0,6800.0,11013.0,13718.0,5541.0,-1.0,-1.0,11869.0,14921.0
1969,-1.0,3143.0,6088.0,-1.0,-1.0,-1.0,11258.0,-1.0,4477.0,7795.0,-1.0,9583.0,5541.0,6316.0,12587.0,12500.0,10556.0,15699.0,11327.0,8137.0,8152.0,10860.0,10584.0,5541.0,-1.0,-1.0,11472.0,14909.0
1970,-1.0,3143.0,5571.0,-1.0,-1.0,-1.0,11403.0,-1.0,4559.0,6386.0,-1.0,10990.0,5625.0,5556.0,12511.0,15769.0,9730.0,12996.0,12031.0,8831.0,9447.0,9247.0,9714.0,5625.0,-1.0,-1.0,11212.0,15000.0
1971,-1.0,2875.0,6731.0,-1.0,-1.0,-1.0,11979.0,-1.0,5128.0,8445.0,-1.0,11933.0,5644.0,5556.0,12477.0,15385.0,10286.0,14891.0,12174.0,8016.0,9076.0,-1.0,8085.0,5644.0,-1.0,-1.0,10242.0,15094.0
1972,-1.0,2875.0,5759.0,-1.0,-1.0,-1.0,13780.0,-1.0,4829.0,7533.0,-1.0,8451.0,5758.0,5556.0,12658.0,15385.0,10000.0,16090.0,10941.0,7831.0,9587.0,-1.0,8333.0,5758.0,-1.0,-1.0,10855.0,14912.0
1973,-1.0,2875.0,-1.0,-1.0,-1.0,-1.0,11251.0,-1.0,4855.0,8155.0,-1.0,9648.0,5808.0,5556.0,12572.0,15385.0,9375.0,17638.0,10652.0,8774.0,10561.0,-1.0,8018.0,5808.0,-1.0,-1.0,10559.0,15091.0
1974,-1.0,2875.0,-1.0,-1.0,-1.0,-1.0,11612.0,-1.0,4660.0,7241.0,-1.0,6020.0,5818.0,5556.0,12943.0,15385.0,9143.0,15442.0,11500.0,5405.0,10458.0,-1.0,8421.0,5818.0,-1.0,-1.0,13239.0,15085.0
1975,-1.0,2875.0,-1.0,-1.0,-1.0,-1.0,14593.0,-1.0,3942.0,8066.0,-1.0,6120.0,5732.0,5556.0,12493.0,15385.0,9474.0,17158.0,10388.0,11220.0,9209.0,-1.0,9575.0,5732.0,-1.0,-1.0,7716.0,14894.0
1976,-1.0,2875.0,-1.0,-1.0,-1.0,-1.0,8312.0,-1.0,4201.0,7568.0,-1.0,6839.0,5679.0,5556.0,14476.0,15385.0,9500.0,15862.0,9065.0,8706.0,11825.0,-1.0,9440.0,5679.0,-1.0,-1.0,3951.0,15000.0
1977,-1.0,2875.0,-1.0,-1.0,-1.0,-1.0,8661.0,-1.0,3831.0,8483.0,-1.0,6159.0,5625.0,5556.0,12617.0,15385.0,10000.0,17839.0,33500.0,9640.0,13458.0,-1.0,13974.0,5625.0,-1.0,-1.0,4051.0,14918.0
1978,-1.0,2875.0,-1.0,-1.0,-1.0,-1.0,10549.0,-1.0,2701.0,8553.0,-1.0,5616.0,5545.0,5556.0,12745.0,15625.0,9459.0,11876.0,35855.0,7493.0,14264.0,-1.0,17256.0,5545.0,-1.0,-1.0,1880.0,14912.0
1979,-1.0,2875.0,-1.0,-1.0,-1.0,-1.0,10562.0,-1.0,2362.0,8973.0,-1.0,5143.0,5803.0,5556.0,12745.0,15455.0,9459.0,17050.0,72836.0,9451.0,13286.0,-1.0,12817.0,5803.0,-1.0,-1.0,2500.0,15068.0
