,Ukraine,Germany,Serbia and Montenegro,Croatia,Czechoslovakia,USSR,Romania,Italy,China,Pakistan,Spain,Yugoslav SFR,Cyprus,Chile,Hungary,Bulgaria,Iran (Islamic Republic of),Portugal,France,Poland,"China, mainland",Russian Federation,Turkey
1961,-1.0,3461.0,-1.0,-1,1538.0,100000.0,31000.0,12601.0,90000.0,-1.0,6915.0,44000.0,-1,3600.0,3928.0,11971.0,-1,122.0,2065.0,6000.0,90000.0,-1.0,13700.0
1962,-1.0,4793.0,-1.0,-1,1264.0,100000.0,24400.0,14724.0,100000.0,-1.0,3385.0,48700.0,-1,3600.0,5000.0,10965.0,-1,152.0,2300.0,7000.0,100000.0,-1.0,13000.0
1963,-1.0,4372.0,-1.0,-1,1022.0,100000.0,23500.0,12213.0,120000.0,-1.0,6625.0,44400.0,-1,3600.0,4959.0,10459.0,-1,113.0,2400.0,7000.0,120000.0,-1.0,11300.0
1964,-1.0,4548.0,-1.0,-1,1205.0,100000.0,26100.0,8765.0,130000.0,-1.0,3785.0,45300.0,-1,3600.0,6157.0,10180.0,-1,166.0,2985.0,8000.0,130000.0,-1.0,10000.0
1965,-1.0,2903.0,-1.0,-1,751.0,120000.0,21200.0,8858.0,140000.0,-1.0,1658.0,47400.0,-1,3600.0,4584.0,11412.0,-1,115.0,3010.0,8000.0,140000.0,-1.0,10000.0
1966,-1.0,2598.0,-1.0,-1,910.0,111000.0,23400.0,9410.0,153000.0,-1.0,1084.0,45500.0,-1,3600.0,4604.0,15108.0,-1,123.0,869.0,9000.0,153000.0,-1.0,10000.0
1967,-1.0,2048.0,-1.0,-1,1235.0,102000.0,28000.0,6066.0,155000.0,-1.0,832.0,38900.0,-1,3600.0,3643.0,13698.0,-1,60.0,598.0,8000.0,155000.0,-1.0,9360.0
1968,-1.0,1875.0,-1.0,-1,1050.0,98000.0,28835.0,4002.0,157000.0,-1.0,327.0,17200.0,-1,3600.0,2866.0,11459.0,-1,79.0,199.0,6000.0,157000.0,-1.0,9600.0
1969,-1.0,1462.0,-1.0,-1,343.0,88000.0,28892.0,1861.0,157000.0,-1.0,299.0,16450.0,-1,3600.0,1611.0,11677.0,-1,93.0,80.0,4000.0,157000.0,-1.0,8300.0
1970,-1.0,1698.0,-1.0,-1,209.0,68000.0,23062.0,899.0,160000.0,-1.0,276.0,17952.0,-1,2800.0,1814.0,10039.0,-1,93.0,130.0,3000.0,160000.0,-1.0,8400.0
1971,-1.0,1548.0,-1.0,-1,452.0,62000.0,25577.0,454.0,163000.0,-1.0,92.0,16043.0,-1,2800.0,2159.0,9397.0,-1,-1.0,130.0,3000.0,163000.0,-1.0,8500.0
1972,-1.0,474.0,-1.0,-1,298.0,49000.0,24900.0,269.0,165000.0,-1.0,85.0,11683.0,-1,2400.0,1130.0,8870.0,-1,-1.0,130.0,3000.0,165000.0,-1.0,8000.0
1973,-1.0,0.0,-1.0,-1,325.0,65000.0,27500.0,161.0,167000.0,-1.0,194.0,10757.0,-1,1500.0,1628.0,7291.0,-1,-1.0,3000.0,2000.0,167000.0,-1.0,7700.0
1974,-1.0,-1.0,-1.0,-1,223.0,69000.0,31900.0,142.0,165000.0,-1.0,1407.0,10518.0,-1,1500.0,1411.0,9064.0,-1,-1.0,4000.0,2000.0,165000.0,-1.0,8000.0
1975,-1.0,-1.0,-1.0,-1,236.0,55000.0,31800.0,162.0,164000.0,-1.0,384.0,9035.0,-1,1600.0,1255.0,5557.0,-1,-1.0,3843.0,2000.0,164000.0,-1.0,6950.0
