,Ukraine,Germany,Serbia and Montenegro,Croatia,Czechoslovakia,USSR,Romania,Italy,China,Pakistan,Spain,Yugoslav SFR,Cyprus,Chile,Hungary,Bulgaria,Iran (Islamic Republic of),Portugal,France,Poland,"China, mainland",Russian Federation,Turkey
1961,-1.0,581.0,-1.0,-1,600.0,30000.0,400.0,855.0,27000.0,-1.0,2171.0,2500.0,-1,3000.0,1309.0,1400.0,-1,30.0,900.0,4000.0,27000.0,-1.0,5000.0
1962,-1.0,855.0,-1.0,-1,406.0,30000.0,400.0,990.0,30000.0,-1.0,2014.0,2300.0,-1,3000.0,2000.0,1400.0,-1,40.0,1330.0,3000.0,30000.0,-1.0,5900.0
1963,-1.0,959.0,-1.0,-1,455.0,30000.0,500.0,940.0,36000.0,-1.0,2427.0,2600.0,-1,3000.0,2467.0,1300.0,-1,30.0,1060.0,3000.0,36000.0,-1.0,5700.0
1964,-1.0,1004.0,-1.0,-1,321.0,30000.0,300.0,640.0,39000.0,-1.0,990.0,7900.0,-1,3000.0,2565.0,1500.0,-1,40.0,1250.0,3000.0,39000.0,-1.0,3500.0
1965,-1.0,582.0,-1.0,-1,379.0,36000.0,1200.0,590.0,42000.0,-1.0,710.0,3000.0,-1,3000.0,1241.0,2000.0,-1,30.0,1470.0,6000.0,42000.0,-1.0,3500.0
1966,-1.0,613.0,-1.0,-1,517.0,29000.0,4100.0,660.0,46000.0,-1.0,459.0,4500.0,-1,3000.0,2346.0,1800.0,-1,30.0,1188.0,6000.0,46000.0,-1.0,3500.0
1967,-1.0,334.0,-1.0,-1,473.0,32000.0,1600.0,430.0,46000.0,-1.0,301.0,6000.0,-1,3000.0,1399.0,1490.0,-1,20.0,1465.0,5000.0,46000.0,-1.0,3100.0
1968,-1.0,333.0,-1.0,-1,691.0,28000.0,1800.0,280.0,47000.0,-1.0,164.0,3500.0,-1,3000.0,1895.0,1500.0,-1,20.0,820.0,4000.0,47000.0,-1.0,3500.0
1969,-1.0,264.0,-1.0,-1,247.0,26000.0,1800.0,94.0,47000.0,-1.0,135.0,2400.0,-1,3200.0,819.0,1300.0,-1,40.0,456.0,2000.0,47000.0,-1.0,2800.0
1970,-1.0,245.0,-1.0,-1,131.0,20000.0,1200.0,40.0,48000.0,-1.0,45.0,1500.0,-1,2500.0,524.0,1200.0,-1,40.0,523.0,2000.0,48000.0,-1.0,2500.0
1971,-1.0,209.0,-1.0,-1,251.0,18000.0,1800.0,28.0,48000.0,-1.0,53.0,1400.0,-1,2500.0,615.0,1200.0,-1,-1.0,200.0,2000.0,48000.0,-1.0,2600.0
1972,-1.0,71.0,-1.0,-1,142.0,14000.0,1600.0,28.0,49000.0,-1.0,75.0,600.0,-1,2400.0,567.0,863.0,-1,-1.0,200.0,2000.0,49000.0,-1.0,3150.0
1973,-1.0,0.0,-1.0,-1,128.0,19000.0,1800.0,10.0,50000.0,-1.0,150.0,800.0,-1,1600.0,602.0,810.0,-1,-1.0,2670.0,2000.0,50000.0,-1.0,3400.0
