,Portugal,Ukraine,Germany,Chile,China,Czechoslovakia,Serbia and Montenegro,Bulgaria,Yugoslav SFR,USSR,Romania,Italy,France,Poland,"China, mainland",Russian Federation,Pakistan,Spain,Hungary,Turkey
1961,2459.0,-1.0,1679.0,8333.0,3000.0,3901.0,-1.0,1169.0,568.0,3000.0,129.0,679.0,4358.0,6667.0,3000.0,-1.0,-1.0,3140.0,3332.0,3650.0
1962,2632.0,-1.0,1784.0,8333.0,3000.0,3212.0,-1.0,1277.0,472.0,3000.0,164.0,672.0,5783.0,4286.0,3000.0,-1.0,-1.0,5950.0,4000.0,4538.0
1963,2655.0,-1.0,2194.0,8333.0,3000.0,4452.0,-1.0,1243.0,586.0,3000.0,213.0,770.0,4417.0,4286.0,3000.0,-1.0,-1.0,3663.0,4975.0,5044.0
1964,2410.0,-1.0,2208.0,8333.0,3000.0,2664.0,-1.0,1473.0,1744.0,3000.0,115.0,730.0,4188.0,3750.0,3000.0,-1.0,-1.0,2616.0,4166.0,3500.0
1965,2609.0,-1.0,2005.0,8333.0,3000.0,5047.0,-1.0,1753.0,633.0,3000.0,566.0,666.0,4884.0,7500.0,3000.0,-1.0,-1.0,4282.0,2707.0,3500.0
1966,2439.0,-1.0,2360.0,8333.0,3007.0,5681.0,-1.0,1191.0,989.0,2613.0,1752.0,701.0,13671.0,6667.0,3007.0,-1.0,-1.0,4234.0,5096.0,3500.0
1967,3333.0,-1.0,1631.0,8333.0,2968.0,3830.0,-1.0,1088.0,1542.0,3137.0,571.0,709.0,24498.0,6250.0,2968.0,-1.0,-1.0,3618.0,3840.0,3312.0
1968,2532.0,-1.0,1776.0,8333.0,2994.0,6581.0,-1.0,1309.0,2035.0,2857.0,624.0,700.0,41206.0,6667.0,2994.0,-1.0,-1.0,5015.0,6612.0,3646.0
1969,4301.0,-1.0,1806.0,8889.0,2994.0,7201.0,-1.0,1113.0,1459.0,2955.0,623.0,505.0,57000.0,5000.0,2994.0,-1.0,-1.0,4515.0,5084.0,3373.0
1970,4301.0,-1.0,1443.0,8929.0,3000.0,6268.0,-1.0,1195.0,836.0,2941.0,520.0,445.0,40231.0,6667.0,3000.0,-1.0,-1.0,1630.0,2889.0,2976.0
1971,-1.0,-1.0,1350.0,8929.0,2945.0,5553.0,-1.0,1277.0,873.0,2903.0,704.0,617.0,15385.0,6667.0,2945.0,-1.0,-1.0,5761.0,2849.0,3059.0
1972,-1.0,-1.0,1498.0,10000.0,2970.0,4765.0,-1.0,973.0,514.0,2857.0,643.0,1041.0,15385.0,6667.0,2970.0,-1.0,-1.0,8824.0,5018.0,3938.0
1973,-1.0,-1.0,-1.0,10667.0,2994.0,3938.0,-1.0,1111.0,744.0,2923.0,655.0,621.0,8900.0,10000.0,2994.0,-1.0,-1.0,7732.0,3698.0,4416.0
1974,-1.0,-1.0,-1.0,10667.0,3455.0,5605.0,-1.0,949.0,1236.0,2899.0,564.0,704.0,5950.0,10000.0,3455.0,-1.0,-1.0,7498.0,2473.0,3750.0
1975,-1.0,-1.0,-1.0,10625.0,3476.0,5381.0,-1.0,1504.0,1439.0,2909.0,629.0,926.0,7117.0,5260.0,3476.0,-1.0,-1.0,8490.0,6550.0,4029.0
1976,-1.0,-1.0,-1.0,10667.0,3457.0,5000.0,-1.0,891.0,1227.0,2642.0,699.0,439.0,7481.0,7940.0,3457.0,-1.0,-1.0,6604.0,9764.0,2500.0
1977,-1.0,-1.0,-1.0,11000.0,3438.0,5349.0,-1.0,1359.0,1069.0,2200.0,619.0,717.0,7551.0,4060.0,3438.0,-1.0,-1.0,5355.0,13589.0,2083.0
1978,-1.0,-1.0,-1.0,11000.0,3381.0,3186.0,-1.0,1397.0,630.0,2200.0,597.0,920.0,7842.0,4524.0,3381.0,-1.0,-1.0,4548.0,7959.0,2500.0
1979,-1.0,-1.0,-1.0,11000.0,3484.0,2120.0,-1.0,742.0,292.0,2800.0,634.0,500.0,8458.0,5292.0,3484.0,-1.0,-1.0,7468.0,3798.0,6250.0
1980,-1.0,-1.0,-1.0,11000.0,3500.0,1098.0,-1.0,722.0,504.0,2000.0,507.0,789.0,7296.0,2863.0,3500.0,-1.0,-1.0,6919.0,8999.0,4894.0
1981,-1.0,-1.0,-1.0,11000.0,5895.0,-1.0,-1.0,531.0,548.0,1800.0,407.0,1667.0,5857.0,5903.0,5895.0,-1.0,-1.0,8199.0,6840.0,4000.0
1982,-1.0,-1.0,-1.0,11000.0,7879.0,-1.0,-1.0,1125.0,739.0,2115.0,410.0,-1.0,6846.0,5365.0,7879.0,-1.0,-1.0,15336.0,5365.0,4730.0
1983,-1.0,-1.0,-1.0,11000.0,9093.0,-1.0,-1.0,685.0,1096.0,2200.0,543.0,-1.0,8875.0,5500.0,9093.0,-1.0,-1.0,8571.0,5513.0,4167.0
1984,-1.0,-1.0,-1.0,11000.0,8837.0,-1.0,-1.0,672.0,878.0,2400.0,471.0,-1.0,5708.0,5521.0,8837.0,-1.0,-1.0,6935.0,7833.0,3855.0
1985,-1.0,-1.0,-1.0,11000.0,8913.0,-1.0,-1.0,423.0,543.0,1400.0,472.0,-1.0,6049.0,5757.0,8913.0,-1.0,-1.0,7333.0,9727.0,3606.0
1986,-1.0,-1.0,-1.0,11000.0,12063.0,-1.0,-1.0,476.0,115.0,1400.0,645.0,-1.0,5869.0,5646.0,12063.0,-1.0,-1.0,6377.0,8293.0,7324.0
1987,-1.0,-1.0,-1.0,11000.0,12075.0,-1.0,-1.0,647.0,875.0,1500.0,636.0,-1.0,7091.0,5967.0,12075.0,-1.0,-1.0,-1.0,7398.0,6452.0
1988,-1.0,-1.0,-1.0,11000.0,12075.0,-1.0,-1.0,501.0,1787.0,1080.0,716.0,-1.0,6375.0,5497.0,12075.0,-1.0,-1.0,-1.0,3998.0,3529.0
1989,-1.0,-1.0,-1.0,11000.0,12083.0,-1.0,-1.0,1370.0,1136.0,1400.0,803.0,-1.0,6071.0,5725.0,12083.0,-1.0,-1.0,6667.0,5745.0,1381.0
1990,-1.0,-1.0,-1.0,11046.0,11905.0,-1.0,-1.0,754.0,1562.0,1561.0,1807.0,-1.0,6471.0,6012.0,11905.0,-1.0,-1.0,8500.0,11018.0,3400.0
