,Kyrgyzstan,Swaziland,Saudi Arabia,Mauritius,Bahrain,Democratic Republic of Congo,Morocco,Cambodia,Tuvalu,Slovenia,Japan,Indonesia,Canada,Burundi,Zimbabwe,Comoros,Iran,Jordan,Cameroon,Mozambique,Armenia,Switzerland,Oman,Montenegro,Namibia,Austria,Sweden,Slovakia,Maldives,Singapore,India,Tanzania,Poland,Moldova,Laos,Czech Republic,Qatar,Sao Tome and Principe,Cape Verde,Latvia,Mongolia,United Kingdom,Seychelles,Uruguay,Mali,Thailand,Gambia,South Korea,Iraq,Venezuela,Saint Vincent and the Grenadines,Costa Rica,Brunei,Georgia,South Africa,United States,Hong Kong,Honduras,Lebanon,Belarus,France,Philippines,Peru,Tajikistan,Tonga,Burkina Faso,Panama,Uzbekistan,Germany,Sudan,Libya,Chile,Lesotho,Paraguay,Nepal,Suriname,Kenya,Turkey,Sierra Leone,Guinea-Bissau,Hungary,Chad,Dominican Republic,Congo,Nigeria,Kiribati,Benin,Italy,Australia,Rwanda,Cote d'Ivoire,Malaysia,Solomon Islands,Nicaragua,Serbia,Romania,Norway,Equatorial Guinea,Kazakhstan,Croatia,Portugal,Haiti,Israel,Bosnia and Herzegovina,Niger,Zambia,Vanuatu,Kuwait,Eritrea,Greece,Trinidad and Tobago,Bhutan,Lithuania,Russia,Syria,Cyprus,Ethiopia,Madagascar,Fiji,Bolivia,Vietnam,Liberia,Botswana,Brazil,Bulgaria,Argentina,Senegal,Papua New Guinea,Iceland,China,Albania,Mauritania,Sri Lanka,Estonia,Central African Republic,Malawi,United Arab Emirates,Azerbaijan,Angola,Afghanistan,Algeria,Belgium,New Zealand,Togo,Tunisia,Egypt,Yemen,Macedonia,Netherlands,Ghana,Uganda,Finland,Colombia,Guinea,Ireland,Ukraine,Mexico,Pakistan,Gabon,Spain,Bangladesh,Djibouti,Myanmar,Denmark
1880,,,,,,,,,,,1.081405,,8.34024,,,,,,,,,,,,,14.2153,7.514766641,,,,8.144925,,,,,,,,,,,8.46569,,,,,,,,,,,,,,3.043049,,,,,16.746,,,,,,,,11.271455,,,8.42,,,,,,,,,,,,,,,,15.28615,,,,,,,,,0.833333,,,,9.78885,,,,,,,,,27.32366,,,,16.64017,,,,,,,,,,24.1936,,10.18703,,,,,,,,,,,,,,,,7.25931,12.882,,,,,,12.01584,,,,,,,,,,,11.43047,,,,9.86905
1881,,,,,,,,,,,1.09505,,7.22701,,,,,,,,,,,,,17.01323,7.295471147,,,,8.154962,,,,,,,,,,,9.22258,,,,,,,,,,,,,,2.899324,,,,,17.01897,,,,,,,,12.30641,,,9.14,,,,,,,,,,,,,,,,17.99873,,,,,,,,,7.2498,,,,9.60478,,,,,,,,,29.80563,,,,18.04057,,,,,,,,,,32.38705,,10.608,,,,,,,,,,,,,,,,7.45903,13.0375,,,,,,12.62963,,,,,,,,,,,14.4247,,,,6.94875
1882,,,,,,,,,,,1.182887,,7.96574,,,,,,,,,,,,,14.5459,6.70709583,,,,8.175298,,,,,,,,,,,9.37299,,,,,,,,,,,,,,2.447261,,,,,16.61402,,,,,,,,13.61054,,,11.1,,,,,,,,,,,,,,,,18.28284,,,,,,,,,6.979865,,,,8.88411,,,,,,,,,20.83332,,,,14.77069,,,,,,,,,,32.87284,,12.98165,,,,,,,,,,,,,,,,7.88561,11.9473,,,,,,13.07766,,,6.86274,,,,,,,,10.21204,,,,6.952945
1883,,,,,,,,,,,1.349403,,10.49877,,,,,,,,,,,,,14.72017,6.7825811,,,,8.947451,,,,,,,,,,,8.70723,,,,,,,,,,,,,,2.595303,,,,,16.97681,,,,,,,,13.88076,,,12.3,,,,,,,,,,,,,,,,19.03964,,,,,,,,,6.315867,,,,9.49737,,,,,,,,,23.48394,,,,14.1764,,,,,,,,,,29.65332,,12.59537,,,,,,,,,,,,,,,,8.31495,12.3469,,,,,,13.90167,,,7.2549,,,,,,,,11.35289,,,,6.72811
1884,,,,,,,,,,,1.233288,,9.74026,,,,,,,,,,,,,20.82946,6.966521739,,,,7.935273,,,,,,,,,,,9.12976,,,,,,,,,,,,,,2.443189,,,,,17.19485,,,,,,,,14.1708,,,11.53,,,,,,,,,,,,,,,,20.68156,,,,,,,,,7.053261,,,,9.93088,,,,,,,,,27.03258,,,,16.02236,,,,,,,,,,37.99387,,12.52486,,,,,,,,,,,,,,,,9.41383,13.0074,,,,,,13.54773,,,7.64706,,,,,,,,11.60788,,,,6.579264
1885,,,,,,,,,,,0.871961,,12.67806,,,,,,,,,,,,,15.95711,7.295362319,,,,8.128458,,,,,,,,,,,9.42182,,,,,,,,,,,,,,2.557141,,,,,17.5617,,,,,,,,14.79617,,,9.38,,,,,,,,,,,,,,,,19.14573,,,,,,,,,7.199997,,,,9.99378,,,,,,,,,29.32286,,,,17.55883,,,,,,,,,,33.55146,,11.0642,,,,,,,,,,,,,,,,9.80913,13.3425,,,,,,13.9763,,,8.8,,,,,,,,12.11116,,,,7.085365
1886,,,,,,,,,,,1.247075,,8.84609,,,,,,,,,,,,,16.24543,8.41265528,,,,7.741363,,,,,,,,,,,9.60912,,,,,,,,,,,,,,2.183454,,,,,16.82792,,,,,,,,15.29911,,,11.96,,,,,,,,,,,,,,,,18.71086,,,,,,,,,7.415145,,,,9.88471,,,,,,,,,27.66947,,,,18.39059,,,,,,,,,,30.93757,,11.82265,,,,,,,,,,,,,,,,10.3596,14.6328,,,,,,14.71707,,,8.16327,,,,,,,,11.92828,,,,8.10745
1887,,,,,,,,,,,1.174682,,8.65652,,,,,,,,,,,,,16.14521,8.788603531,,,,8.341089,,,,,,,,,,,8.89065,,,,,,,,,,,,,,2.281216,,,,,16.81515,,,,,,,,16.65951,,,12.32,,,,,,,,,,,,,,,,22.33968,,,,,,,,,7.689225,,,,9.54622,,,,,,,,,27.73126,,,,17.3601,,,,,,,,,,32.22596,,9.36557,,,,,,,,,,,,,,,,9.86196,14.8049,,,,,,13.71875,,,8.95833,,,,,,,,12.78346,,,,8.113667
1888,,,,,,,,,,,1.125994,,8.23417,,,,,,,,,,,,,16.17244,7.970426829,,,,9.019794,,,,,,,,,,,8.77358,,,,,,,,,,,,,,2.288897,,,,,16.35261,,,,,,,,16.89254,,,10.1,,,,,,,,,,,,,,,,22.71528,,,,,,,,,7.13113,,,,10.71238,,,,,,,,,28.22279,,,,15.47719,,,,,,,,,,30.86599,,9.09684,,,,,,,,,,,,,,,,9.72806,14.4367,,,,,,14.5334,,,7.45098,,,,,,,,11.59528,,,,7.990493
1889,,,,,,,,,,,0.993267,,7.56328,,,,,,,,,,,,,17.87889,7.590085592,,,,7.232888,,,,,,,,,,,8.65414,,,,,,,,,,,,,,2.338923,,,,,15.39047,,,,,,,,16.91876,,,12.92,,,,,,,,,,,,,,,,22.40155,,,,,,,,,7.202081,,,,10.48164,,,,,,,,,38.32631,,,,16.02035,,,,,,,,,,36.18316,,15.48328,,,,,,,,,,,,,,,,9.57933,14.2133,,,,,,12.88771,,,6.60714,,,,,,,,10.96582,,,,7.769053
