,Ukraine,Democratic People's Republic of Korea,Germany,Belgium,Georgia,Serbia and Montenegro,Czechoslovakia,Serbia,Switzerland,USSR,Romania,China,Spain,United Kingdom,Ethiopia,Yugoslav SFR,Ireland,Japan,Canada,Albania,Portugal,Slovakia,Republic of Korea,Austria,South Africa,Hungary,Greece,New Zealand,Bulgaria,Australia & New Zealand,United States of America,Australia,France,Slovenia,Poland,"China, mainland",Russian Federation,Czechia,Argentina,Belgium-Luxembourg
1961,-1.0,5000.0,14012.0,-1.0,-1.0,-1.0,7051.0,-1.0,-1.0,11763.0,3750.0,-1.0,6244.0,12553.0,-1.0,13770.0,-1.0,15740.0,14377.0,-1.0,-1.0,-1.0,-1.0,13019.0,9100.0,2811.0,10333.0,18507.0,2664.0,21143.0,17354.0,21831.0,17070.0,-1.0,8900.0,-1.0,-1.0,-1.0,5837.0,13695.0
1962,-1.0,5000.0,16212.0,-1.0,-1.0,-1.0,8103.0,-1.0,-1.0,11194.0,3750.0,-1.0,8180.0,16321.0,-1.0,14151.0,-1.0,16400.0,17647.0,-1.0,-1.0,-1.0,-1.0,11161.0,9000.0,4473.0,14333.0,21784.0,2597.0,20991.0,16921.0,20808.0,13609.0,-1.0,8800.0,-1.0,-1.0,-1.0,6528.0,14805.0
1963,-1.0,5000.0,18581.0,-1.0,-1.0,-1.0,9983.0,-1.0,-1.0,4713.0,3750.0,-1.0,10290.0,16733.0,-1.0,12553.0,-1.0,16154.0,16499.0,-1.0,-1.0,-1.0,-1.0,13860.0,9769.0,4268.0,13500.0,16630.0,4149.0,19754.0,17626.0,20431.0,19025.0,-1.0,10400.0,-1.0,-1.0,-1.0,6753.0,17466.0
1964,-1.0,5000.0,17977.0,-1.0,-1.0,-1.0,7537.0,-1.0,-1.0,9011.0,3750.0,-1.0,11235.0,15545.0,-1.0,14794.0,-1.0,17595.0,16297.0,-1.0,-1.0,-1.0,-1.0,14034.0,9000.0,5466.0,18333.0,14019.0,5638.0,11965.0,18352.0,11466.0,19093.0,-1.0,11923.0,-1.0,-1.0,-1.0,6835.0,17266.0
1965,-1.0,5000.0,16464.0,-1.0,-1.0,-1.0,7861.0,-1.0,15385.0,6250.0,3750.0,-1.0,10701.0,15545.0,-1.0,12590.0,-1.0,15083.0,16275.0,-1.0,-1.0,-1.0,-1.0,10339.0,9857.0,4899.0,13714.0,20346.0,4283.0,18144.0,19216.0,17515.0,16575.0,-1.0,8384.0,-1.0,-1.0,-1.0,7308.0,21284.0
1966,-1.0,5000.0,15480.0,-1.0,-1.0,-1.0,9587.0,-1.0,14286.0,7800.0,3750.0,-1.0,10704.0,13809.0,-1.0,14275.0,-1.0,16508.0,19471.0,-1.0,-1.0,-1.0,288.0,13448.0,9100.0,4922.0,27000.0,20681.0,5279.0,22653.0,19342.0,23226.0,20934.0,-1.0,10000.0,-1.0,-1.0,-1.0,7818.0,15962.0
1967,-1.0,5000.0,18435.0,-1.0,-1.0,-1.0,7598.0,-1.0,16923.0,9314.0,3750.0,-1.0,11199.0,14540.0,-1.0,13625.0,-1.0,17337.0,18189.0,-1.0,-1.0,-1.0,1356.0,13028.0,4500.0,6253.0,23472.0,20258.0,4770.0,17111.0,18618.0,16205.0,17523.0,-1.0,10952.0,-1.0,-1.0,-1.0,8197.0,16451.0
1968,-1.0,5000.0,17632.0,-1.0,-1.0,-1.0,8867.0,-1.0,13077.0,8598.0,3750.0,-1.0,13591.0,13948.0,-1.0,13036.0,-1.0,18394.0,17552.0,-1.0,-1.0,-1.0,3889.0,12963.0,5900.0,4824.0,17015.0,17103.0,3132.0,21828.0,17260.0,23078.0,15041.0,-1.0,9091.0,-1.0,-1.0,-1.0,8125.0,16956.0
1969,-1.0,5000.0,18242.0,-1.0,-1.0,-1.0,11219.0,-1.0,17692.0,8302.0,3750.0,-1.0,10821.0,15691.0,-1.0,13318.0,-1.0,15306.0,18465.0,-1.0,13333.0,-1.0,789.0,13084.0,6417.0,5731.0,17051.0,21165.0,4061.0,25510.0,17338.0,26848.0,16364.0,-1.0,7083.0,-1.0,-1.0,-1.0,6667.0,19363.0
1970,-1.0,5000.0,19609.0,-1.0,-1.0,-1.0,11192.0,-1.0,14286.0,8252.0,3750.0,-1.0,11919.0,17718.0,-1.0,13979.0,-1.0,15652.0,20324.0,-1.0,13333.0,-1.0,261.0,11900.0,7583.0,6075.0,17019.0,18675.0,4525.0,21225.0,18558.0,21904.0,17095.0,-1.0,10000.0,-1.0,-1.0,-1.0,7788.0,17505.0
1971,-1.0,5000.0,15341.0,-1.0,-1.0,-1.0,8074.0,-1.0,13077.0,8365.0,3750.0,-1.0,8166.0,15345.0,-1.0,11751.0,-1.0,15220.0,18020.0,-1.0,13333.0,-1.0,2273.0,14368.0,7000.0,5777.0,17500.0,19350.0,5391.0,20682.0,19260.0,21088.0,17353.0,-1.0,7308.0,-1.0,-1.0,-1.0,7736.0,18658.0
1972,-1.0,5000.0,16226.0,-1.0,-1.0,-1.0,11174.0,-1.0,16923.0,8286.0,4286.0,-1.0,12348.0,13291.0,-1.0,12513.0,-1.0,14625.0,15056.0,-1.0,13333.0,-1.0,11250.0,12143.0,3462.0,6448.0,17059.0,16761.0,4548.0,18921.0,19364.0,19483.0,15307.0,-1.0,9615.0,-1.0,-1.0,-1.0,8226.0,16202.0
1973,-1.0,5000.0,18696.0,-1.0,-1.0,-1.0,10607.0,-1.0,16154.0,9646.0,4286.0,-1.0,12718.0,14769.0,-1.0,13945.0,-1.0,15875.0,17143.0,-1.0,13333.0,-1.0,42162.0,13100.0,3214.0,6700.0,17059.0,13976.0,5102.0,18665.0,19551.0,19757.0,16036.0,-1.0,12308.0,-1.0,-1.0,-1.0,8828.0,16298.0
1974,-1.0,5000.0,16207.0,-1.0,-1.0,-1.0,7533.0,-1.0,15385.0,9027.0,5125.0,-1.0,14054.0,15693.0,-1.0,13321.0,-1.0,15120.0,11050.0,-1.0,15000.0,-1.0,12963.0,10935.0,3145.0,4836.0,17442.0,18566.0,6118.0,22777.0,19712.0,23650.0,17564.0,-1.0,10000.0,-1.0,-1.0,-1.0,8939.0,19551.0
