,Mexico
1961,-1.0
1962,-1.0
1963,-1.0
1964,-1.0
1965,-1.0
1966,-1.0
1967,-1.0
1968,-1.0
1969,-1.0
1970,-1.0
1971,-1.0
1972,-1.0
1973,-1.0
1974,-1.0
1975,-1.0
1976,-1.0
1977,-1.0
1978,-1.0
1979,-1.0
1980,-1.0
1981,-1.0
1982,85.0
1983,97.0
1984,248.0
1985,143.0
1986,176.0
1987,169.0
1988,137.0
1989,208.0
1990,175.0
1991,139.0
1992,336.0
1993,223.0
1994,212.0
1995,6.0
1996,351.0
1997,399.0
1998,217.0
1999,248.0
2000,200.0
2001,96.0
2002,62.0
2003,279.0
2004,279.0
2005,93.0
2006,63.0
2007,93.0
2008,138.0
2009,149.0
2010,154.0
2011,152.0
2012,151.0
2013,149.0
2014,147.0
