,Indonesia,Thailand
1961,29700.0,35700.0
1962,28500.0,33000.0
1963,24000.0,45100.0
1964,26762.0,45900.0
1965,29452.0,46300.0
1966,30132.0,44700.0
1967,29575.0,43800.0
1968,21772.0,44300.0
1969,26740.0,43600.0
1970,30309.0,43400.0
1971,28688.0,49900.0
1972,31348.0,43300.0
1973,29266.0,52200.0
1974,28773.0,51100.0
1975,28276.0,48200.0
1976,31874.0,44900.0
1977,31544.0,42100.0
1978,35441.0,30300.0
1979,32529.0,27000.0
1980,40570.0,33800.0
1981,49990.0,39200.0
1982,50486.0,34300.0
1983,51221.0,40300.0
1984,50171.0,41000.0
1985,51869.0,43500.0
1986,60252.0,39700.0
1987,53330.0,40000.0
1988,57616.0,37800.0
1989,56884.0,38169.0
1990,63373.0,40410.0
1991,63635.0,37093.0
1992,69064.0,37200.0
1993,68011.0,39700.0
1994,66976.0,40900.0
1995,73706.0,43000.0
1996,77190.0,46400.0
1997,79400.0,45200.0
1998,81000.0,42000.0
1999,81000.0,43500.0
2000,84656.0,45600.0
2001,85099.0,45000.0
2002,80306.0,46000.0
2003,90287.0,45000.0
2004,62495.0,45000.0
2005,57890.0,42430.0
2006,62556.0,37910.0
2007,53241.0,35000.0
2008,52034.0,35000.0
2009,53540.0,35000.0
2010,49100.0,35000.0
2011,68100.0,35000.0
2012,68100.0,35000.0
2013,66300.0,35000.0
2014,61000.0,35000.0
