,Thailand,Indonesia
1961,35700.0,29700.0
1962,33000.0,28500.0
1963,45100.0,24000.0
1964,45900.0,26762.0
1965,46300.0,29452.0
1966,44700.0,30132.0
1967,43800.0,29575.0
1968,44300.0,21772.0
1969,43600.0,26740.0
1970,43400.0,30309.0
1971,49900.0,28688.0
1972,43300.0,31348.0
1973,52200.0,29266.0
1974,51100.0,28773.0
1975,48200.0,28276.0
1976,44900.0,31874.0
1977,42100.0,31544.0
1978,30300.0,35441.0
1979,27000.0,32529.0
1980,33800.0,40570.0
1981,39200.0,49990.0
1982,34300.0,50486.0
1983,40300.0,51221.0
1984,41000.0,50171.0
1985,43500.0,51869.0
1986,39700.0,60252.0
1987,40000.0,53330.0
1988,37800.0,57616.0
1989,38169.0,56884.0
1990,40410.0,63373.0
1991,37093.0,63635.0
1992,37200.0,69064.0
1993,39700.0,68011.0
1994,40900.0,66976.0
1995,43000.0,73706.0
1996,46400.0,77190.0
1997,45200.0,79400.0
1998,42000.0,81000.0
1999,43500.0,81000.0
2000,45600.0,84656.0
2001,45000.0,85099.0
2002,46000.0,80306.0
2003,45000.0,90287.0
2004,45000.0,62495.0
2005,42430.0,57890.0
2006,37910.0,62556.0
2007,35000.0,53241.0
2008,35000.0,52034.0
2009,35000.0,53540.0
2010,35000.0,49100.0
2011,35000.0,68100.0
2012,35000.0,68100.0
2013,35000.0,66300.0
2014,35000.0,61000.0
