,Thailand,Indonesia
1961,108180.0,90000.0
1962,100000.0,86300.0
1963,136660.0,72700.0
1964,139100.0,81000.0
1965,140300.0,89200.0
1966,135450.0,91300.0
1967,132730.0,89600.0
1968,134250.0,65900.0
1969,132120.0,81000.0
1970,131520.0,91800.0
1971,151200.0,86900.0
1972,131200.0,95000.0
1973,158180.0,88600.0
1974,154850.0,87200.0
1975,146050.0,85600.0
1976,136060.0,96500.0
1977,127580.0,95500.0
1978,91820.0,107300.0
1979,81820.0,98500.0
1980,102425.0,123000.0
1981,118800.0,151500.0
1982,103950.0,153000.0
1983,122120.0,155300.0
1984,124250.0,152000.0
1985,131820.0,157200.0
1986,120300.0,182600.0
1987,121200.0,161600.0
1988,114550.0,174600.0
1989,115665.0,172400.0
1990,122450.0,192000.0
1991,112400.0,192800.0
1992,112730.0,209300.0
1993,120300.0,206100.0
1994,123940.0,203000.0
1995,130300.0,223400.0
1996,140610.0,233900.0
1997,136970.0,240600.0
1998,127270.0,245500.0
1999,131820.0,245500.0
2000,138180.0,282200.0
2001,136363.0,283630.0
2002,139400.0,267687.0
2003,136300.0,300950.0
2004,136300.0,208300.0
2005,128600.0,192950.0
2006,114900.0,208520.0
2007,106000.0,177467.0
2008,106000.0,176780.0
2009,106000.0,181000.0
2010,105225.0,163600.0
2011,97588.0,227000.0
2012,92036.0,227000.0
2013,88279.0,221000.0
2014,84925.0,217214.0
