,Israel,Japan,Switzerland,Australia,Greece,France,Republic of Korea,Italy,Slovenia,Montenegro,Germany,Turkey,Portugal,Tunisia,Iran (Islamic Republic of),China,United States of America,Australia & New Zealand,Bulgaria,"China, mainland",Chile,Cyprus,Canada,Spain,Kyrgyzstan,New Zealand
1961,,,-1.0,,,,,,,,-1.0,-1.0,,-1.0,,-1.0,,,-1.0,-1.0,,,,,,
1962,,,-1.0,,,,,,,,-1.0,-1.0,,-1.0,,-1.0,,,-1.0,-1.0,,,,,,
1963,,,-1.0,,,,,,,,-1.0,-1.0,,-1.0,,-1.0,,,-1.0,-1.0,,,,,,
1964,,,-1.0,,,,,,,,-1.0,-1.0,,-1.0,,-1.0,,,-1.0,-1.0,,,,,,
1965,,,-1.0,,,,,,,,-1.0,-1.0,,-1.0,,-1.0,,,-1.0,-1.0,,,,,,
1966,,,-1.0,,,,,,,,-1.0,-1.0,,-1.0,,-1.0,,,-1.0,-1.0,,,,,,
1967,,,-1.0,,,,,,,,-1.0,-1.0,,-1.0,,-1.0,,,-1.0,-1.0,,,,,,
1968,,,-1.0,,,,,,,,-1.0,-1.0,,-1.0,,-1.0,,,-1.0,-1.0,,,,,,
1969,,,-1.0,,,,,,,,-1.0,-1.0,,-1.0,,-1.0,,,-1.0,-1.0,,,,,,
1970,,,-1.0,,,,,,,,-1.0,-1.0,,-1.0,,-1.0,,400.0,-1.0,-1.0,,,,,,400.0
1971,,,-1.0,,,,,,,,-1.0,-1.0,,-1.0,,-1.0,,530.0,-1.0,-1.0,,,,,,530.0
1972,,,-1.0,,,,,,,,-1.0,-1.0,,-1.0,,-1.0,,600.0,-1.0,-1.0,,,,,,600.0
1973,,,-1.0,,,,,,,,-1.0,-1.0,,-1.0,,-1.0,,738.0,-1.0,-1.0,,,,,,738.0
1974,,,-1.0,,,,,,,,-1.0,-1.0,,-1.0,,-1.0,,850.0,-1.0,-1.0,,,,,,850.0
1975,,,-1.0,,,,,,,,-1.0,-1.0,,-1.0,,-1.0,,1019.0,-1.0,-1.0,,,,,,1019.0
1976,,,-1.0,,,,,,,,-1.0,-1.0,,-1.0,,-1.0,,1234.0,-1.0,-1.0,,,,,,1234.0
1977,,,-1.0,,,50.0,,,,,-1.0,-1.0,,-1.0,,-1.0,,1647.0,-1.0,-1.0,,,,,,1647.0
1978,,,-1.0,,,119.0,,,,,-1.0,-1.0,,-1.0,,-1.0,,2195.0,-1.0,-1.0,,,,,,2195.0
1979,,,-1.0,,,300.0,,,,,-1.0,-1.0,,-1.0,,-1.0,,3487.0,-1.0,-1.0,,,,,,3487.0
1980,,,-1.0,20.0,148.0,700.0,,,,,-1.0,-1.0,,-1.0,,-1.0,650.0,5392.0,-1.0,-1.0,,,,,,5372.0
1981,,,-1.0,40.0,171.0,1100.0,,,,,-1.0,-1.0,,-1.0,,-1.0,1200.0,7685.0,-1.0,-1.0,,,,,,7645.0
1982,,,-1.0,60.0,241.0,1500.0,,,,,-1.0,-1.0,,-1.0,,-1.0,1380.0,9511.0,-1.0,-1.0,30.0,,,,,9451.0
1983,,,-1.0,82.0,277.0,1800.0,,,,,-1.0,-1.0,,-1.0,,-1.0,1250.0,13183.0,-1.0,-1.0,110.0,,,,,13101.0
1984,,,-1.0,102.0,618.0,3000.0,,1894.0,,,-1.0,-1.0,,-1.0,,-1.0,1540.0,16115.0,-1.0,-1.0,500.0,,,,,16013.0
1985,,3650.0,-1.0,116.0,1945.0,1400.0,,2841.0,,,-1.0,-1.0,,-1.0,,-1.0,1940.0,18095.0,-1.0,-1.0,900.0,11.0,,,,17979.0
1986,,3720.0,-1.0,320.0,1422.0,1900.0,,4211.0,,,-1.0,-1.0,,-1.0,,-1.0,2270.0,18636.0,-1.0,-1.0,1500.0,11.0,,,,18316.0
1987,,4370.0,-1.0,496.0,1902.0,2400.0,157.0,7040.0,,,-1.0,-1.0,300.0,-1.0,,-1.0,2750.0,19204.0,-1.0,-1.0,3000.0,27.0,,800.0,,18708.0
1988,130.0,4730.0,-1.0,375.0,3094.0,2800.0,449.0,10359.0,,,-1.0,-1.0,600.0,-1.0,,-1.0,2870.0,19280.0,-1.0,-1.0,5930.0,27.0,13.0,1000.0,,18905.0
1989,130.0,5100.0,-1.0,380.0,3714.0,3800.0,600.0,13298.0,,,-1.0,-1.0,710.0,-1.0,,-1.0,2910.0,18074.0,-1.0,-1.0,11810.0,27.0,14.0,1200.0,,17694.0
1990,127.0,5210.0,19.0,402.0,3831.0,4333.0,813.0,16314.0,,,-1.0,-1.0,855.0,-1.0,2.0,-1.0,2950.0,17910.0,-1.0,-1.0,12260.0,35.0,15.0,2000.0,,17508.0
1991,135.0,5250.0,20.0,370.0,4053.0,4624.0,846.0,17603.0,,,-1.0,-1.0,1025.0,-1.0,5.0,-1.0,2950.0,15350.0,-1.0,-1.0,12560.0,45.0,15.0,130.0,,14980.0
1992,137.0,4950.0,20.0,408.0,4063.0,4833.0,989.0,18377.0,-1.0,,-1.0,-1.0,1055.0,-1.0,20.0,-1.0,2950.0,15659.0,-1.0,-1.0,11100.0,60.0,8.0,632.0,50.0,15251.0
1993,140.0,4720.0,20.0,395.0,3990.0,4857.0,1131.0,16398.0,-1.0,,-1.0,-1.0,1064.0,-1.0,50.0,-1.0,2790.0,14494.0,-1.0,-1.0,9800.0,50.0,9.0,727.0,50.0,14099.0
1994,151.0,4240.0,20.0,370.0,3950.0,4570.0,1379.0,19419.0,-1.0,,-1.0,7.0,1110.0,-1.0,100.0,-1.0,2630.0,12544.0,-1.0,-1.0,9398.0,45.0,12.0,869.0,50.0,12174.0
1995,152.0,4010.0,20.0,457.0,4200.0,4444.0,1470.0,18506.0,-1.0,,-1.0,70.0,1092.0,-1.0,200.0,-1.0,2470.0,12330.0,-1.0,-1.0,8915.0,45.0,13.0,839.0,50.0,11873.0
1996,150.0,3740.0,19.0,330.0,3950.0,4348.0,1340.0,17863.0,-1.0,,-1.0,85.0,1110.0,-1.0,300.0,-1.0,2307.0,11970.0,-1.0,-1.0,8300.0,46.0,7.0,600.0,50.0,11640.0
1997,149.0,3510.0,18.0,481.0,3870.0,4051.0,1340.0,17576.0,-1.0,,-1.0,190.0,1129.0,-1.0,400.0,-1.0,2145.0,10949.0,-1.0,-1.0,7710.0,46.0,6.0,709.0,50.0,10468.0
1998,140.0,3270.0,17.0,442.0,3660.0,3395.0,1270.0,17242.0,-1.0,,-1.0,700.0,1122.0,-1.0,800.0,-1.0,2145.0,10686.0,-1.0,-1.0,7882.0,46.0,9.0,646.0,50.0,10244.0
1999,160.0,3110.0,17.0,322.0,3570.0,3848.0,1106.0,17476.0,-1.0,,-1.0,840.0,1121.0,-1.0,1500.0,-1.0,2145.0,10522.0,-1.0,-1.0,7865.0,46.0,8.0,691.0,50.0,10200.0
2000,140.0,2960.0,17.0,400.0,3940.0,4270.0,1041.0,17731.0,-1.0,,-1.0,1400.0,978.0,4.0,1379.0,70000.0,2145.0,12584.0,-1.0,70000.0,7775.0,40.0,8.0,896.0,50.0,12184.0
2001,170.0,2850.0,19.0,312.0,4330.0,4250.0,1050.0,18270.0,-1.0,,-1.0,2350.0,988.0,4.0,1507.0,75000.0,1983.0,10412.0,-1.0,75000.0,7600.0,40.0,6.0,910.0,70.0,10100.0
2002,270.0,2760.0,14.0,278.0,4405.0,4226.0,1000.0,19622.0,-1.0,,-1.0,2500.0,1003.0,4.0,1600.0,78000.0,1821.0,12238.0,-1.0,78000.0,7700.0,32.0,8.0,920.0,86.0,11960.0
2003,360.0,2690.0,14.0,208.0,4500.0,4405.0,916.0,19505.0,9.0,,-1.0,5500.0,1014.0,4.0,1800.0,80000.0,1821.0,10788.0,10.0,80000.0,7700.0,28.0,8.0,700.0,40.0,10580.0
2004,470.0,2620.0,18.0,175.0,4700.0,4379.0,800.0,20847.0,10.0,,-1.0,4000.0,1061.0,4.0,2600.0,83000.0,1821.0,11109.0,24.0,83000.0,9000.0,22.0,13.0,900.0,50.0,10934.0
2005,420.0,2560.0,18.0,230.0,4500.0,4401.0,686.0,21479.0,9.0,,-1.0,8000.0,1112.0,4.0,2300.0,85000.0,1821.0,11694.0,45.0,85000.0,6600.0,22.0,12.0,1198.0,40.0,11464.0
2006,470.0,2470.0,18.0,308.0,4500.0,4270.0,816.0,21354.0,9.0,-1.0,-1.0,11000.0,1300.0,4.0,2512.0,87000.0,1619.0,12308.0,70.0,87000.0,6700.0,20.0,6.0,1186.0,40.0,12000.0
2007,360.0,2420.0,18.0,247.0,4800.0,4149.0,791.0,21732.0,9.0,-1.0,-1.0,15000.0,1411.0,4.0,2695.0,90000.0,1700.0,13497.0,60.0,90000.0,8700.0,15.0,6.0,1158.0,40.0,13250.0
