,Benin,Chad,Nigeria,Cameroon,Côte d'Ivoire,Sierra Leone,Ghana
1961,500.0,-1.0,139000.0,5000.0,37000.0,5000.0,5000.0
1962,500.0,-1.0,141000.0,5000.0,37000.0,5000.0,5000.0
1963,500.0,-1.0,145000.0,5000.0,37000.0,5000.0,5000.0
1964,500.0,-1.0,158000.0,5000.0,37000.0,5000.0,5000.0
1965,500.0,-1.0,154000.0,5106.0,37000.0,5000.0,5000.0
1966,500.0,-1.0,157000.0,6140.0,40000.0,5000.0,5000.0
1967,500.0,-1.0,162000.0,8000.0,40000.0,5000.0,12000.0
1968,500.0,-1.0,167000.0,10000.0,60000.0,5000.0,5000.0
1969,500.0,-1.0,171000.0,12329.0,60000.0,5000.0,5000.0
1970,1500.0,-1.0,125000.0,15688.0,60000.0,5000.0,5000.0
1971,752.0,-1.0,125000.0,22026.0,60000.0,5000.0,5000.0
1972,839.0,-1.0,125000.0,22900.0,40000.0,5000.0,5000.0
1973,309.0,-1.0,125000.0,24700.0,45000.0,5000.0,5000.0
1974,500.0,-1.0,125000.0,24000.0,59000.0,5000.0,5000.0
1975,1500.0,-1.0,125000.0,25000.0,59000.0,5000.0,5000.0
1976,500.0,-1.0,127000.0,25500.0,44000.0,6000.0,5000.0
1977,2000.0,-1.0,129000.0,26000.0,48000.0,6000.0,5000.0
1978,500.0,-1.0,131000.0,27000.0,57000.0,6000.0,5000.0
1979,500.0,-1.0,133000.0,27500.0,55000.0,6000.0,5000.0
1980,500.0,-1.0,135000.0,28000.0,58000.0,6000.0,5000.0
1981,500.0,-1.0,137000.0,28600.0,61000.0,6000.0,5000.0
1982,500.0,-1.0,140000.0,29200.0,74000.0,6000.0,5000.0
1983,500.0,-1.0,155000.0,29600.0,60000.0,6800.0,5000.0
1984,500.0,10.0,170000.0,30100.0,52600.0,5400.0,6000.0
1985,500.0,-1.0,172000.0,30300.0,55000.0,5500.0,7000.0
1986,500.0,-1.0,174000.0,31000.0,60519.0,4600.0,7500.0
1987,500.0,-1.0,174000.0,32000.0,57298.0,4100.0,8000.0
1988,500.0,-1.0,145000.0,33000.0,53873.0,3600.0,10000.0
1989,500.0,-1.0,140000.0,33000.0,47722.0,3600.0,11000.0
1990,588.0,0.0,135000.0,33600.0,56636.0,3700.0,12000.0
1991,547.0,0.0,165000.0,34000.0,51601.0,3700.0,11934.0
1992,547.0,0.0,138100.0,34346.0,53407.0,1500.0,14000.0
1993,547.0,-1.0,153100.0,35000.0,47636.0,4000.0,15000.0
1994,547.0,-1.0,105000.0,34993.0,55693.0,3937.0,14000.0
1995,551.0,-1.0,95000.0,35016.0,48595.0,3950.0,14700.0
1996,552.0,-1.0,85000.0,35200.0,55693.0,4125.0,15000.0
1997,554.0,-1.0,82000.0,35400.0,75020.0,4337.0,16645.0
1998,555.0,-1.0,83757.0,35600.0,83137.0,4543.0,20000.0
1999,556.0,-1.0,83685.0,35800.0,75027.0,4772.0,18957.0
2000,557.0,-1.0,82000.0,36000.0,75020.0,5000.0,19625.0
2001,551.0,-1.0,82000.0,36420.0,75020.0,5500.0,19656.0
2002,549.0,-1.0,85000.0,36799.0,72571.0,5800.0,19857.0
2003,553.0,-1.0,85000.0,37080.0,57637.0,6000.0,19997.0
2004,557.0,-1.0,88000.0,37000.0,65216.0,6200.0,20166.0
2005,550.0,-1.0,85250.0,37055.0,73792.0,6400.0,20207.0
2006,569.0,-1.0,85500.0,36000.0,64524.0,6500.0,20258.0
2007,570.0,-1.0,100000.0,38049.0,65617.0,6700.0,20500.0
2008,620.0,-1.0,120000.0,39250.0,66450.0,6800.0,20262.0
2009,597.0,-1.0,162080.0,39962.0,66729.0,7000.0,19934.0
2010,597.0,-1.0,144950.0,40708.0,67009.0,7261.0,20141.0
2011,600.0,-1.0,138000.0,41477.0,66528.0,7586.0,24000.0
2012,600.0,-1.0,135000.0,46500.0,61350.0,7530.0,24391.0
2013,600.0,-1.0,132000.0,47619.0,57272.0,7700.0,23019.0
2014,604.0,-1.0,128437.0,42741.0,55725.0,7869.0,23018.0
