,"China, Taiwan Province of",Romania,Norway,Philippines,Sri Lanka,The former Yugoslav Republic of Macedonia,Belgium,Japan,Ethiopia,Kenya,Luxembourg,Costa Rica,Republic of Moldova,Italy,Mauritius,South Africa,Latvia,Sweden,Albania,Uzbekistan,China,Finland,Slovakia,Niger,Australia & New Zealand,Morocco,Slovenia,Congo,Canada,Denmark,Spain,Germany,New Zealand,Malta,Austria,Indonesia,Poland,Switzerland,Belgium-Luxembourg,Togo,Greece,United Kingdom,France,Republic of Korea,Croatia,Hungary,Turkey,Kyrgyzstan,Iran (Islamic Republic of),Peru,Mexico,"China, mainland",Yemen,Cyprus,Kazakhstan,Rwanda,Lithuania,Portugal,Netherlands
1961,2174.0,-1.0,,-1.0,400.0,,,-1.0,,-1.0,,-1.0,,,-1.0,,,-1.0,-1.0,,2174.0,-1.0,,-1.0,,-1.0,,-1.0,-1.0,-1.0,500.0,,,-1.0,-1.0,6900.0,-1.0,-1.0,300.0,,,,13281.0,-1.0,,-1.0,28000.0,,-1.0,-1.0,-1.0,-1.0,,,,3500.0,,,
1962,2212.0,-1.0,,-1.0,160.0,,,-1.0,,-1.0,,-1.0,,,-1.0,,,-1.0,-1.0,,2212.0,-1.0,,-1.0,,-1.0,,-1.0,-1.0,-1.0,600.0,,,-1.0,-1.0,7500.0,-1.0,-1.0,300.0,,,,14414.0,-1.0,,-1.0,26000.0,,-1.0,-1.0,-1.0,-1.0,,,,3500.0,,,
1963,2149.0,-1.0,,-1.0,360.0,,,-1.0,,-1.0,,-1.0,,,-1.0,,,-1.0,-1.0,,2149.0,-1.0,,-1.0,,-1.0,,-1.0,-1.0,-1.0,700.0,,,-1.0,-1.0,7900.0,-1.0,-1.0,316.0,,,,15114.0,-1.0,,-1.0,25500.0,,-1.0,-1.0,-1.0,-1.0,,,,3500.0,,,
1964,1957.0,-1.0,,-1.0,210.0,,,-1.0,,-1.0,,-1.0,,,-1.0,,,-1.0,-1.0,,1957.0,-1.0,,-1.0,,-1.0,,-1.0,-1.0,-1.0,844.0,,,-1.0,-1.0,8200.0,-1.0,-1.0,273.0,,,,14422.0,-1.0,,-1.0,27000.0,,-1.0,-1.0,-1.0,-1.0,,,,3500.0,,,
1965,1897.0,-1.0,,-1.0,220.0,,,-1.0,,-1.0,,-1.0,,,-1.0,,,-1.0,-1.0,,1897.0,-1.0,,-1.0,,-1.0,,-1.0,-1.0,-1.0,933.0,,,-1.0,-1.0,8600.0,-1.0,-1.0,294.0,,,,15122.0,-1.0,,-1.0,26000.0,,-1.0,-1.0,-1.0,-1.0,,,,3500.0,,,
1966,1982.0,-1.0,105.0,-1.0,520.0,,,-1.0,,-1.0,,-1.0,,,-1.0,,,-1.0,-1.0,,1982.0,-1.0,,-1.0,,-1.0,,-1.0,-1.0,-1.0,732.0,,,-1.0,-1.0,8700.0,-1.0,-1.0,297.0,,,,14535.0,-1.0,,-1.0,28000.0,,-1.0,-1.0,-1.0,-1.0,,,,3500.0,,,
1967,1582.0,-1.0,111.0,-1.0,530.0,,,-1.0,,-1.0,,-1.0,,,-1.0,,,-1.0,-1.0,,1582.0,-1.0,,-1.0,,-1.0,,-1.0,-1.0,-1.0,828.0,,,-1.0,-1.0,9000.0,-1.0,-1.0,295.0,,,,15726.0,-1.0,,-1.0,26500.0,,-1.0,-1.0,-1.0,-1.0,,,,3500.0,,,
1968,1637.0,-1.0,111.0,-1.0,320.0,,,-1.0,,-1.0,,-1.0,,,-1.0,,,-1.0,-1.0,,1637.0,-1.0,,-1.0,,-1.0,,-1.0,-1.0,-1.0,889.0,,,-1.0,-1.0,9008.0,-1.0,-1.0,314.0,,,,15344.0,-1.0,,-1.0,25500.0,,-1.0,-1.0,-1.0,-1.0,,,,3500.0,,,
1969,2152.0,-1.0,115.0,-1.0,205.0,,,-1.0,,-1.0,,-1.0,,,-1.0,,,-1.0,-1.0,,2152.0,-1.0,,-1.0,,-1.0,,-1.0,-1.0,-1.0,993.0,,,-1.0,-1.0,9000.0,-1.0,-1.0,309.0,,,,16571.0,-1.0,,-1.0,29000.0,,-1.0,-1.0,-1.0,-1.0,,,,3500.0,,,
1970,1438.0,-1.0,119.0,-1.0,250.0,,,-1.0,,-1.0,,-1.0,,,-1.0,,,-1.0,-1.0,,1438.0,-1.0,,-1.0,,-1.0,,-1.0,-1.0,-1.0,1150.0,,,-1.0,-1.0,9000.0,-1.0,-1.0,403.0,,,,14345.0,-1.0,,-1.0,31000.0,,-1.0,-1.0,-1.0,-1.0,,,,3500.0,,,
1971,1578.0,-1.0,123.0,-1.0,250.0,,,-1.0,,-1.0,,-1.0,,,-1.0,,,-1.0,-1.0,,1578.0,-1.0,,-1.0,,-1.0,,-1.0,-1.0,-1.0,1351.0,,,-1.0,-1.0,8000.0,-1.0,-1.0,345.0,,,,14954.0,-1.0,,-1.0,33000.0,,-1.0,-1.0,-1.0,-1.0,,,,3500.0,,,
1972,1422.0,-1.0,123.0,-1.0,150.0,,,-1.0,,-1.0,,-1.0,,,-1.0,,,-1.0,-1.0,,1422.0,-1.0,,-1.0,,-1.0,,-1.0,-1.0,-1.0,1481.0,,,-1.0,-1.0,8000.0,-1.0,-1.0,400.0,,,,12817.0,-1.0,,-1.0,32000.0,,-1.0,-1.0,-1.0,-1.0,,,,3500.0,,,
1973,1517.0,-1.0,124.0,-1.0,210.0,,,-1.0,,-1.0,,-1.0,,,-1.0,,,-1.0,-1.0,,1517.0,-1.0,,-1.0,,-1.0,,-1.0,-1.0,-1.0,1546.0,,,-1.0,-1.0,7693.0,-1.0,-1.0,367.0,,,,12466.0,-1.0,,-1.0,26000.0,,-1.0,-1.0,-1.0,-1.0,,,,3500.0,,,
1974,1192.0,-1.0,117.0,-1.0,210.0,,,-1.0,,-1.0,,-1.0,,,-1.0,,,-1.0,-1.0,,1192.0,-1.0,,-1.0,,-1.0,,-1.0,-1.0,-1.0,1904.0,,,-1.0,-1.0,8000.0,-1.0,-1.0,421.0,,,,12058.0,-1.0,,-1.0,26000.0,,-1.0,198.0,-1.0,-1.0,,,,3500.0,,,
1975,1049.0,-1.0,121.0,-1.0,900.0,,,-1.0,,-1.0,,-1.0,,,-1.0,,,-1.0,-1.0,,1049.0,-1.0,,-1.0,,-1.0,,-1.0,-1.0,-1.0,1901.0,,,-1.0,-1.0,9500.0,-1.0,-1.0,427.0,,,,11755.0,-1.0,,-1.0,24500.0,,-1.0,266.0,-1.0,-1.0,,,,3500.0,,,
1976,771.0,-1.0,113.0,-1.0,900.0,,,-1.0,,-1.0,,-1.0,,,-1.0,,,-1.0,-1.0,,771.0,-1.0,,-1.0,,-1.0,,-1.0,-1.0,-1.0,2050.0,,,-1.0,-1.0,12000.0,-1.0,-1.0,452.0,,,,11845.0,-1.0,,-1.0,21500.0,,-1.0,262.0,-1.0,-1.0,,,,3500.0,,,
1977,750.0,-1.0,115.0,-1.0,900.0,,,-1.0,,-1.0,,-1.0,,,-1.0,,,-1.0,-1.0,,750.0,-1.0,,-1.0,,-1.0,,-1.0,-1.0,-1.0,2390.0,,,-1.0,-1.0,14000.0,-1.0,-1.0,524.0,,,,11834.0,-1.0,,-1.0,22900.0,,-1.0,362.0,-1.0,-1.0,,,,3500.0,,,
1978,836.0,-1.0,118.0,-1.0,300.0,,,-1.0,,-1.0,,-1.0,,,-1.0,,,-1.0,-1.0,,836.0,-1.0,,-1.0,64.0,-1.0,,-1.0,-1.0,-1.0,2166.0,,64.0,-1.0,-1.0,18762.0,-1.0,-1.0,445.0,,,,11254.0,-1.0,,-1.0,21700.0,,-1.0,299.0,-1.0,-1.0,,,,3500.0,,,
1979,964.0,-1.0,120.0,-1.0,650.0,,,-1.0,,-1.0,,-1.0,,,-1.0,,,-1.0,-1.0,,964.0,-1.0,,-1.0,54.0,-1.0,,-1.0,-1.0,-1.0,2563.0,,54.0,-1.0,-1.0,18000.0,-1.0,-1.0,491.0,,,,11400.0,-1.0,,-1.0,20700.0,,-1.0,270.0,-1.0,-1.0,,,,3500.0,,,
1980,1088.0,-1.0,121.0,-1.0,650.0,,,-1.0,,-1.0,,-1.0,,,-1.0,,,-1.0,-1.0,,1088.0,-1.0,,-1.0,69.0,-1.0,,-1.0,-1.0,-1.0,2345.0,,69.0,-1.0,-1.0,19213.0,-1.0,-1.0,553.0,,,,9600.0,-1.0,,-1.0,20000.0,,-1.0,286.0,-1.0,-1.0,,,,3500.0,,,
