,Kenya,Iraq,"China, Taiwan Province of",Mozambique,Croatia,Burkina Faso,Tonga,Philippines,Syrian Arab Republic,Martinique,Lao People's Democratic Republic,Australia & New Zealand,United Republic of Tanzania,Nepal,Ethiopia,Maldives,Greece,Zimbabwe,Bangladesh,Republic of Korea,Melanesia,New Caledonia,Rwanda,Bahamas,Guatemala,Algeria,Niue,Madagascar,Tajikistan,Saint Lucia,Haiti,Israel,Zambia,Dominica,United Arab Emirates,Sri Lanka,Uruguay,Azerbaijan,Egypt,Bosnia and Herzegovina,China,Uzbekistan,Colombia,Libya,Sudan (former),Lebanon,Brunei Darussalam,Occupied Palestinian Territory,Chile,Guinea-Bissau,South Africa,Saint Vincent and the Grenadines,Portugal,Brazil,"China, mainland",Mali,Thailand,Costa Rica,Seychelles,Bolivia (Plurinational State of),Peru,Yemen,Malaysia,Grenada,Malta,Dominican Republic,South Sudan,El Salvador,Cook Islands,Pakistan,Japan,Australia,Venezuela (Bolivarian Republic of),Cyprus,Antigua and Barbuda,Spain,New Zealand,Guyana,France,United States of America,Iran (Islamic Republic of),Democratic Republic of the Congo,Sudan,Somalia,Kuwait,Cuba,Kyrgyzstan,French Guiana,Argentina,Cambodia,Paraguay,Georgia,India,Guadeloupe,Bahrain,Morocco,Ethiopia PDR,Congo,Mexico,Ecuador,Honduras,Jordan,Puerto Rico,Suriname,Tunisia,Albania,Jamaica,Trinidad and Tobago,Italy,Polynesia,Réunion,Central African Republic,Ghana,Oman,Swaziland,Turkey
1961,-1.0,-1.0,87.0,300.0,-1.0,-1.0,750.0,100.0,400.0,-1.0,350.0,1777.0,-1.0,-1.0,-1.0,-1.0,10200.0,200.0,400.0,-1,0.0,-1.0,-1.0,-1.0,-1.0,1500.0,-1.0,300.0,-1.0,-1.0,-1.0,1900.0,-1,-1.0,120.0,5587.0,-1.0,-1.0,2000.0,-1.0,1687.0,-1.0,-1.0,200.0,1800.0,1580.0,3.0,-1.0,3600.0,-1.0,1300.0,-1.0,1300.0,8112.0,1600.0,-1.0,11500.0,-1.0,-1.0,1500.0,4400.0,-1.0,300.0,-1.0,-1.0,-1.0,-1,-1.0,10.0,14000.0,-1.0,1627.0,-1.0,1200.0,-1.0,8200.0,150.0,-1.0,35.0,23880.0,1300.0,300.0,-1.0,350.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36000.0,-1.0,38.0,-1.0,200.0,-1.0,16689.0,1500.0,-1.0,200.0,-1.0,97.0,-1.0,-1.0,1120.0,350.0,28000.0,760.0,-1.0,-1.0,3000.0,3000.0,-1,2877.0
1962,-1.0,-1.0,97.0,300.0,-1.0,-1.0,800.0,120.0,400.0,-1.0,350.0,1780.0,-1.0,-1.0,-1.0,-1.0,10500.0,350.0,800.0,-1,0.0,-1.0,-1.0,-1.0,-1.0,1500.0,-1.0,300.0,-1.0,-1.0,-1.0,2000.0,-1,-1.0,120.0,4491.0,-1.0,-1.0,3000.0,-1.0,2097.0,-1.0,-1.0,220.0,1900.0,1600.0,3.0,-1.0,3700.0,-1.0,1100.0,-1.0,1400.0,8829.0,2000.0,-1.0,11500.0,-1.0,-1.0,1600.0,4500.0,-1.0,350.0,-1.0,-1.0,-1.0,-1,-1.0,10.0,13000.0,-1.0,1627.0,-1.0,1100.0,-1.0,8400.0,153.0,-1.0,40.0,23795.0,1450.0,300.0,-1.0,350.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47000.0,-1.0,38.0,-1.0,400.0,-1.0,18498.0,1510.0,-1.0,250.0,-1.0,107.0,-1.0,-1.0,1415.0,350.0,28700.0,810.0,-1.0,-1.0,3000.0,3000.0,-1,2917.0
1963,-1.0,-1.0,100.0,300.0,-1.0,-1.0,800.0,144.0,400.0,-1.0,350.0,1784.0,-1.0,-1.0,-1.0,-1.0,10800.0,650.0,800.0,-1,0.0,-1.0,-1.0,-1.0,-1.0,1500.0,-1.0,300.0,-1.0,-1.0,-1.0,2000.0,-1,-1.0,125.0,7942.0,-1.0,-1.0,3000.0,-1.0,1700.0,-1.0,-1.0,200.0,2000.0,1700.0,5.0,-1.0,3700.0,-1.0,1300.0,-1.0,1300.0,9432.0,1600.0,-1.0,11500.0,-1.0,-1.0,1600.0,4600.0,-1.0,400.0,-1.0,-1.0,-1.0,-1,-1.0,10.0,20000.0,-1.0,1639.0,-1.0,1200.0,-1.0,8900.0,145.0,-1.0,20.0,22580.0,1700.0,300.0,-1.0,360.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47000.0,-1.0,38.0,-1.0,400.0,-1.0,19699.0,1470.0,-1.0,600.0,-1.0,120.0,-1.0,-1.0,1650.0,350.0,29800.0,810.0,-1.0,-1.0,3000.0,3000.0,-1,3023.0
1964,-1.0,-1.0,97.0,300.0,-1.0,-1.0,800.0,99.0,400.0,-1.0,350.0,1805.0,-1.0,-1.0,-1.0,-1.0,11600.0,650.0,1200.0,-1,0.0,-1.0,-1.0,-1.0,-1.0,1500.0,-1.0,300.0,-1.0,-1.0,-1.0,2000.0,-1,-1.0,127.0,6741.0,-1.0,-1.0,4000.0,-1.0,2497.0,-1.0,-1.0,120.0,2200.0,2000.0,5.0,-1.0,3800.0,-1.0,1100.0,-1.0,1300.0,9793.0,2400.0,-1.0,11500.0,-1.0,-1.0,1600.0,4700.0,-1.0,500.0,-1.0,-1.0,-1.0,-1,-1.0,13.0,17000.0,-1.0,1660.0,-1.0,1100.0,-1.0,11300.0,145.0,-1.0,50.0,22780.0,2000.0,500.0,-1.0,360.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48000.0,-1.0,38.0,-1.0,450.0,-1.0,22074.0,1511.0,-1.0,600.0,-1.0,100.0,-1.0,-1.0,1850.0,350.0,31800.0,813.0,-1.0,-1.0,2500.0,3000.0,-1,3400.0
1965,-1.0,-1.0,111.0,300.0,-1.0,-1.0,900.0,100.0,400.0,-1.0,350.0,1751.0,-1.0,-1.0,-1.0,-1.0,11700.0,650.0,800.0,-1,0.0,-1.0,-1.0,-1.0,-1.0,1500.0,-1.0,300.0,-1.0,-1.0,-1.0,2000.0,-1,-1.0,130.0,6205.0,-1.0,-1.0,4000.0,-1.0,2511.0,-1.0,-1.0,90.0,2200.0,2200.0,5.0,-1.0,3900.0,-1.0,1000.0,-1.0,1600.0,10194.0,2400.0,-1.0,11500.0,-1.0,-1.0,1700.0,4800.0,-1.0,540.0,-1.0,-1.0,-1.0,-1,-1.0,13.0,17000.0,-1.0,1606.0,-1.0,1300.0,-1.0,11200.0,145.0,-1.0,62.0,21530.0,2600.0,500.0,-1.0,360.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50000.0,-1.0,39.0,-1.0,550.0,-1.0,22543.0,1631.0,-1.0,600.0,-1.0,98.0,-1.0,-1.0,1880.0,350.0,32000.0,913.0,-1.0,-1.0,4500.0,3000.0,-1,3637.0
1966,-1.0,-1.0,136.0,300.0,-1.0,-1.0,900.0,102.0,319.0,-1.0,350.0,1751.0,-1.0,-1.0,-1.0,-1.0,11900.0,750.0,1500.0,-1,0.0,-1.0,-1.0,-1.0,-1.0,1500.0,-1.0,400.0,-1.0,-1.0,-1.0,2000.0,-1,-1.0,135.0,4220.0,-1.0,-1.0,4125.0,-1.0,2536.0,-1.0,-1.0,80.0,2200.0,2500.0,5.0,-1.0,4200.0,-1.0,1200.0,-1.0,1550.0,10335.0,2400.0,-1.0,13600.0,-1.0,-1.0,1800.0,5100.0,-1.0,570.0,-1.0,-1.0,-1.0,-1,-1.0,13.0,2000.0,-1.0,1608.0,-1.0,1600.0,-1.0,11400.0,143.0,-1.0,70.0,21245.0,3400.0,500.0,-1.0,360.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50000.0,-1.0,42.0,-1.0,550.0,-1.0,23115.0,1747.0,-1.0,579.0,-1.0,133.0,-1.0,-1.0,1880.0,400.0,32500.0,913.0,-1.0,-1.0,4000.0,3000.0,-1,4667.0
1967,-1.0,-1.0,202.0,300.0,-1.0,-1.0,900.0,90.0,296.0,-1.0,350.0,1750.0,-1.0,-1.0,-1.0,-1.0,12300.0,750.0,1500.0,-1,0.0,-1.0,-1.0,-1.0,-1.0,1500.0,-1.0,400.0,-1.0,-1.0,-1.0,1900.0,-1,-1.0,140.0,4763.0,-1.0,-1.0,4164.0,-1.0,2602.0,-1.0,-1.0,90.0,2300.0,1965.0,5.0,-1.0,4600.0,-1.0,1200.0,-1.0,1400.0,10706.0,2400.0,-1.0,13600.0,-1.0,-1.0,1800.0,5400.0,-1.0,450.0,-1.0,-1.0,-1.0,-1,-1.0,13.0,2000.0,-1.0,1600.0,-1.0,2200.0,-1.0,11600.0,150.0,-1.0,55.0,23350.0,4500.0,400.0,-1.0,360.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52000.0,-1.0,43.0,-1.0,800.0,-1.0,22341.0,1726.0,-1.0,663.0,-1.0,99.0,-1.0,-1.0,1850.0,400.0,33700.0,913.0,-1.0,-1.0,4500.0,3000.0,-1,4917.0
1968,-1.0,-1.0,296.0,300.0,-1.0,-1.0,900.0,64.0,323.0,-1.0,350.0,1683.0,-1.0,-1.0,-1.0,-1.0,13100.0,850.0,1500.0,-1,0.0,-1.0,-1.0,-1.0,-1.0,1500.0,-1.0,400.0,-1.0,-1.0,-1.0,1900.0,-1,-1.0,150.0,4612.0,-1.0,-1.0,5990.0,-1.0,2696.0,-1.0,-1.0,90.0,2400.0,1982.0,5.0,-1.0,5000.0,-1.0,1200.0,-1.0,1500.0,10900.0,2400.0,-1.0,13600.0,-1.0,-1.0,1900.0,5600.0,-1.0,380.0,-1.0,-1.0,-1.0,-1,-1.0,13.0,2000.0,-1.0,1558.0,-1.0,3000.0,-1.0,12100.0,125.0,-1.0,58.0,23710.0,5500.0,400.0,-1.0,370.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45000.0,-1.0,46.0,-1.0,800.0,-1.0,22297.0,1649.0,-1.0,438.0,-1.0,122.0,-1.0,-1.0,1850.0,400.0,36000.0,913.0,-1.0,-1.0,4500.0,3000.0,-1,4637.0
1969,-1.0,-1.0,364.0,300.0,-1.0,-1.0,900.0,49.0,352.0,-1.0,350.0,1771.0,-1.0,-1.0,-1.0,-1.0,12800.0,850.0,1500.0,-1,0.0,-1.0,-1.0,-1.0,-1.0,1700.0,-1.0,400.0,-1.0,-1.0,-1.0,2000.0,-1,-1.0,160.0,3680.0,-1.0,-1.0,5570.0,-1.0,2764.0,-1.0,-1.0,130.0,2400.0,2017.0,6.0,-1.0,5400.0,-1.0,1400.0,-1.0,1500.0,11108.0,2400.0,-1.0,13600.0,-1.0,-1.0,1700.0,7300.0,-1.0,370.0,-1.0,-1.0,-1.0,-1,-1.0,13.0,1700.0,-1.0,1629.0,-1.0,2400.0,-1.0,12400.0,142.0,-1.0,58.0,24080.0,5900.0,400.0,-1.0,370.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45000.0,-1.0,50.0,-1.0,800.0,-1.0,24301.0,1569.0,-1.0,400.0,-1.0,120.0,-1.0,-1.0,1850.0,400.0,35000.0,913.0,-1.0,-1.0,4000.0,3500.0,-1,4697.0
1970,-1.0,-1.0,387.0,300.0,-1.0,-1.0,900.0,41.0,394.0,-1.0,350.0,1839.0,-1.0,-1.0,-1.0,-1.0,12800.0,900.0,1500.0,-1,0.0,-1.0,-1.0,-1.0,-1.0,1600.0,-1.0,400.0,-1.0,-1.0,-1.0,1600.0,-1,-1.0,180.0,3894.0,-1.0,-1.0,7234.0,-1.0,2787.0,-1.0,-1.0,170.0,2500.0,2000.0,6.0,-1.0,5700.0,-1.0,1300.0,-1.0,1500.0,11414.0,2400.0,-1.0,13600.0,-1.0,-1.0,1900.0,6193.0,-1.0,390.0,-1.0,-1.0,-1.0,-1,-1.0,13.0,1700.0,-1.0,1681.0,-1.0,2900.0,-1.0,15300.0,158.0,-1.0,50.0,23750.0,6400.0,400.0,-1.0,370.0,0.0,-1.0,-1.0,145.0,-1.0,-1.0,-1.0,-1.0,50000.0,-1.0,55.0,-1.0,800.0,-1.0,26475.0,1627.0,-1.0,350.0,-1.0,73.0,-1.0,-1.0,1850.0,400.0,35000.0,913.0,-1.0,-1.0,4000.0,3500.0,-1,4787.0
