,USSR,Romania,Eritrea,Israel,Australia & New Zealand,Australia,Iraq,Madagascar,Pakistan,Nepal,Ethiopia,Kenya,Czechia,Yemen,Bangladesh,Italy,Germany,Tajikistan,Turkey,Slovenia,Uzbekistan,China,Serbia and Montenegro,Armenia,Morocco,Jordan,Chile,Argentina,Colombia,Spain,Lebanon,Libya,Malawi,India,Cyprus,Slovakia,Ecuador,Canada,Russian Federation,Belarus,Ethiopia PDR,Egypt,The former Yugoslav Republic of Macedonia,Greece,Czechoslovakia,France,New Zealand,Bosnia and Herzegovina,Hungary,Martinique,Syrian Arab Republic,Tunisia,Yugoslav SFR,Iran (Islamic Republic of),Peru,United States of America,Mexico,Ukraine,"China, mainland",Azerbaijan,Algeria,Croatia,Bulgaria,Myanmar,Occupied Palestinian Territory
1961,32000.0,1800.0,,695.0,0.0,-1.0,11650.0,500.0,78105.0,68000.0,,-1.0,,,62727.0,21866.0,12.0,,101000.0,,,,,,20000.0,16550.0,28810.0,9800.0,17700.0,45000.0,1600.0,,-1.0,791149.0,1271.0,,10007.0,,,,80000.0,26636.0,,23909.0,1684.0,12800.0,,,5791.0,-1.0,57653.0,2209.0,1200.0,41000.0,2100.0,14973.0,4447.0,,,,20650.0,,2821.0,1538.0,-1.0
1962,35000.0,117.0,,485.0,0.0,-1.0,11150.0,500.0,71468.0,70000.0,,-1.0,,,64346.0,21129.0,9.0,,104600.0,,,,,,26000.0,20800.0,23880.0,15189.0,18000.0,47270.0,1600.0,,-1.0,770915.0,1204.0,,10678.0,,,,83000.0,33313.0,,16683.0,2042.0,11500.0,,,4704.0,-1.0,81200.0,916.0,1000.0,42000.0,2140.0,23067.0,4819.0,,,,15000.0,,2318.0,1114.0,-1.0
1963,38000.0,350.0,,360.0,0.0,-1.0,9675.0,500.0,98663.0,72000.0,,-1.0,,,72035.0,20037.0,26.0,,103300.0,,,,,,24000.0,15720.0,24930.0,14664.0,18500.0,49340.0,1600.0,,-1.0,767273.0,1338.0,,9785.0,,,,85000.0,32850.0,,12470.0,3222.0,10815.0,,,4475.0,-1.0,75195.0,3000.0,1400.0,43000.0,2270.0,23876.0,5989.0,,,,10000.0,,1800.0,1761.0,-1.0
1964,40000.0,300.0,,460.0,0.0,-1.0,8475.0,500.0,96761.0,73000.0,,-1.0,,,67583.0,19380.0,21.0,,105000.0,,,,,,28000.0,25875.0,24870.0,15589.0,19000.0,44200.0,2850.0,,-1.0,785300.0,1070.0,,9330.0,,,,87000.0,33109.0,,12440.0,3867.0,9792.0,,,3389.0,-1.0,89989.0,4000.0,1300.0,44000.0,2320.0,29946.0,6050.0,,,,8400.0,,2645.0,2019.0,-1.0
1965,42000.0,900.0,,360.0,0.0,-1.0,9416.0,500.0,66248.0,74000.0,,-1.0,,,66369.0,17970.0,13.0,,100000.0,,,,,,25000.0,28645.0,24077.0,16625.0,20000.0,45608.0,2760.0,,-1.0,840100.0,669.0,,4709.0,,,,90000.0,37436.0,,12510.0,4798.0,13173.0,,,3679.0,-1.0,92743.0,2500.0,1200.0,45000.0,2280.0,21448.0,6111.0,,,,10220.0,,4371.0,1528.0,-1.0
1966,43000.0,1200.0,,615.0,0.0,-1.0,9251.0,500.0,58801.0,75000.0,,-1.0,,,68000.0,17800.0,21.0,,100000.0,,,,,,25300.0,19480.0,10572.0,16468.0,22000.0,51600.0,4554.0,100.0,-1.0,843400.0,268.0,,2537.0,,,,90000.0,31553.0,,11860.0,3208.0,16746.0,,,3441.0,-1.0,59651.0,2500.0,1100.0,46000.0,1655.0,26709.0,6161.0,,,,7810.0,,7941.0,1186.0,-1.0
1967,53000.0,700.0,,350.0,0.0,-1.0,9655.0,600.0,83366.0,76000.0,,-1.0,,,70800.0,15691.0,15.0,,100000.0,,,,,,13000.0,22790.0,6800.0,23344.0,24000.0,55026.0,2858.0,100.0,-1.0,829100.0,308.0,,3152.0,,,,93000.0,27695.0,,11829.0,2477.0,9405.0,,,2462.0,-1.0,77000.0,2500.0,1500.0,47000.0,1505.0,24685.0,5994.0,,,,9130.0,,5509.0,1284.0,-1.0
1968,56000.0,,,310.0,0.0,-1.0,10476.0,600.0,78308.0,77000.0,,-1.0,,,68400.0,11368.0,13.0,,99000.0,,,,,,20800.0,22520.0,7390.0,19193.0,25000.0,48500.0,2857.0,100.0,-1.0,751700.0,268.0,,2320.0,,,,95000.0,21844.0,,10220.0,969.0,7285.0,,,3602.0,-1.0,99312.0,3000.0,1200.0,48000.0,2335.0,25000.0,6365.0,,,,22680.0,,4807.0,1484.0,-1.0
1969,56000.0,,,540.0,0.0,-1.0,7786.0,600.0,69081.0,78000.0,,-1.0,,,71600.0,8211.0,10.0,,100000.0,,,,,,32800.0,23122.0,12645.0,22310.0,25000.0,51747.0,2783.0,100.0,-1.0,776800.0,401.0,,2085.0,,,,97000.0,19324.0,,9200.0,1033.0,6631.0,,,2432.0,-1.0,110455.0,3000.0,1177.0,49000.0,4140.0,27700.0,5931.0,,,,25940.0,,4232.0,3972.0,-1.0
1970,55000.0,,,315.0,0.0,-1.0,10516.0,600.0,65843.0,79000.0,,-1.0,,,90000.0,6479.0,12.0,,103000.0,,,,,,37000.0,20577.0,17280.0,21530.0,27000.0,48500.0,2481.0,50.0,-1.0,762800.0,468.0,,2295.0,,,,100000.0,19744.0,,8400.0,449.0,10031.0,,,2253.0,-1.0,139511.0,3000.0,1067.0,50000.0,4230.0,32667.0,5882.0,,,,21270.0,,5122.0,4856.0,-1.0
1971,57000.0,,,290.0,0.0,-1.0,8388.0,750.0,60987.0,80000.0,,-1.0,,,100000.0,5131.0,20.0,,105000.0,,,,,,28000.0,20531.0,18070.0,16890.0,23000.0,53600.0,2584.0,30.0,-1.0,744000.0,535.0,,2620.0,,,,105000.0,27409.0,,7300.0,760.0,11169.0,,,2533.0,-1.0,111500.0,3000.0,1000.0,50400.0,1095.0,36900.0,6908.0,,,,15890.0,,4286.0,5261.0,-1.0
1972,64000.0,,,295.0,0.0,-1.0,10953.0,600.0,64000.0,82000.0,,-1.0,,,120000.0,3913.0,19.0,,103000.0,,,,,,38700.0,28411.0,18270.0,11800.0,23000.0,60000.0,2692.0,0.0,-1.0,800100.0,468.0,,2300.0,,,,110000.0,28145.0,,6600.0,381.0,8031.0,,,897.0,-1.0,115100.0,3000.0,910.0,52980.0,1310.0,33000.0,6957.0,,,,17960.0,,3066.0,4905.0,-1.0
1973,70000.0,,,190.0,0.0,-1.0,4271.0,600.0,77966.0,84000.0,,-1.0,,,150000.0,3558.0,15.0,,85000.0,,,,,,31000.0,24193.0,16030.0,9750.0,21000.0,67700.0,3067.0,,-1.0,833600.0,401.0,,3580.0,7.0,,,120000.0,31086.0,,6100.0,924.0,5958.0,,,866.0,-1.0,92081.0,2600.0,1054.0,53000.0,1275.0,45300.0,8661.0,,,,15880.0,,2385.0,2833.0,-1.0
1974,53000.0,,,190.0,0.0,-1.0,3983.0,600.0,95909.0,86000.0,,-1.0,,,180000.0,3274.0,18.0,,116000.0,,,,,,40600.0,21564.0,19530.0,8200.0,21000.0,75200.0,3533.0,,-1.0,925100.0,468.0,,3700.0,32.0,,,116000.0,27725.0,,5800.0,973.0,5763.0,,,428.0,-1.0,85411.0,2800.0,760.0,53000.0,1415.0,38000.0,8746.0,,,,16380.0,,1494.0,2433.0,-1.0
1975,51000.0,,,180.0,0.0,-1.0,5139.0,645.0,75388.0,88000.0,,-1.0,,,200000.0,2957.0,17.0,,124500.0,,,,,,46400.0,14850.0,20550.0,8150.0,21000.0,70900.0,3800.0,,-1.0,952700.0,268.0,,3561.0,400.0,,,115500.0,24365.0,,5500.0,1112.0,11186.0,,,225.0,-1.0,97844.0,2800.0,692.0,53500.0,1915.0,40600.0,9275.0,,,,15470.0,,1472.0,3674.0,-1.0
1976,36000.0,,,270.0,0.0,-1.0,5655.0,895.0,72918.0,90000.0,,-1.0,,,250000.0,2414.0,16.0,,186000.0,,,,,,62700.0,22973.0,22500.0,8630.0,22000.0,72600.0,1500.0,,-1.0,936600.0,294.0,,3193.0,380.0,,,48300.0,26710.0,,4900.0,1180.0,11300.0,,,357.0,-1.0,146479.0,2600.0,696.0,53500.0,2090.0,35700.0,6854.0,,,,17920.0,,488.0,3803.0,-1.0
1977,15000.0,,,170.0,0.0,-1.0,6375.0,1100.0,79512.0,93000.0,,-1.0,,,291000.0,2092.0,15.0,,240000.0,,,,,,35600.0,13446.0,30390.0,28700.0,20000.0,71000.0,3500.0,,-1.0,853300.0,254.0,,1160.0,2500.0,,,59600.0,20290.0,,4000.0,1266.0,12857.0,,,406.0,-1.0,178337.0,3500.0,616.0,52000.0,2175.0,48000.0,6935.0,,,,13760.0,,753.0,2841.0,-1.0
1978,20000.0,,,150.0,0.0,-1.0,9682.0,1510.0,89512.0,95000.0,,-1.0,,,293000.0,1853.0,16.0,,177300.0,,,,,,37100.0,14414.0,31840.0,54340.0,22000.0,71000.0,2500.0,,-1.0,880700.0,161.0,,844.0,13000.0,,,59200.0,14952.0,,4200.0,1383.0,10500.0,,,625.0,-1.0,136116.0,2800.0,504.0,52000.0,1994.0,53560.0,7899.0,,,,15940.0,,787.0,2994.0,-1.0
1979,12000.0,,,173.0,0.0,-1.0,6525.0,1755.0,106101.0,96000.0,,-1.0,,,295000.0,1705.0,18.0,,172000.0,,,,,,28700.0,7251.0,50360.0,21800.0,20000.0,76100.0,3500.0,,-1.0,1018100.0,308.0,,673.0,19591.0,,,58500.0,9356.0,,4900.0,1512.0,11300.0,,,349.0,-1.0,88631.0,2800.0,850.0,47500.0,2059.0,63984.0,17286.0,,,,17990.0,,1228.0,3277.0,-1.0
1980,7000.0,,,188.0,0.0,-1.0,7000.0,1100.0,86373.0,98000.0,,-1.0,,,289000.0,1508.0,19.0,,190500.0,,,,,,37000.0,8680.0,52950.0,23000.0,17000.0,69900.0,3500.0,,-1.0,848800.0,201.0,,671.0,44750.0,,,42470.0,6390.0,,5100.0,1471.0,8476.0,,,455.0,-1.0,84811.0,1400.0,500.0,53800.0,3832.0,92144.0,11415.0,,,,16220.0,,2200.0,2588.0,-1.0
1981,9000.0,,,190.0,0.0,-1.0,6275.0,662.0,72713.0,100000.0,,-1.0,,,285000.0,1304.0,16.0,,255000.0,,,,,,34000.0,10511.0,47660.0,22050.0,17000.0,70500.0,3800.0,,-1.0,934900.0,147.0,,922.0,51000.0,,,53340.0,4871.0,,4300.0,1630.0,6700.0,,,1155.0,-1.0,71709.0,1300.0,400.0,73400.0,4170.0,78100.0,14822.0,,,,13020.0,,7600.0,2140.0,-1.0
1982,12000.0,,,190.0,0.0,-1.0,6375.0,755.0,74038.0,103000.0,,-1.0,,,248000.0,1236.0,16.0,,622750.0,,,,,,39100.0,10789.0,38860.0,14000.0,17000.0,64900.0,3700.0,,-1.0,945200.0,134.0,,836.0,70800.0,,,70420.0,5150.0,,5600.0,2797.0,6700.0,,,1931.0,-1.0,57267.0,900.0,500.0,63800.0,4238.0,74060.0,22376.0,,,,9970.0,,9993.0,1682.0,-1.0
1983,14000.0,,,190.0,0.0,-1.0,5075.0,860.0,82298.0,115000.0,,-1.0,,,240000.0,1201.0,16.0,,650000.0,,,,,,78600.0,9291.0,23050.0,7380.0,17000.0,64600.0,3650.0,,-1.0,996400.0,107.0,,715.0,47700.0,,,55330.0,6125.0,,6200.0,2757.0,10000.0,,,193.0,-1.0,71478.0,1400.0,410.0,76200.0,5637.0,40870.0,12394.0,,,,9090.0,,15140.0,1290.0,-1.0
1984,32000.0,,,170.0,0.0,-1.0,5300.0,980.0,48820.0,106000.0,,-1.0,,,240400.0,1176.0,16.0,,604013.0,,,25000.0,,,67500.0,4868.0,23730.0,10500.0,17000.0,61988.0,3700.0,,-1.0,943100.0,94.0,,428.0,63500.0,,,44660.0,7450.0,,4100.0,4401.0,10000.0,,,930.0,-1.0,59500.0,1500.0,547.0,79900.0,6220.0,29060.0,21059.0,,25000.0,,22840.0,,9842.0,2453.0,-1.0
1985,37000.0,,,170.0,500.0,-1.0,5300.0,1000.0,49105.0,98560.0,,-1.0,,,233400.0,1219.0,16.0,,576640.0,,,30000.0,,,87700.0,5785.0,36360.0,15500.0,17000.0,60913.0,4000.0,,-1.0,982500.0,40.0,,558.0,72800.0,,,37630.0,8400.0,,1900.0,5521.0,7800.0,500.0,,1016.0,-1.0,66173.0,1500.0,646.0,87000.0,5400.0,44320.0,6637.0,,30000.0,,12580.0,,13696.0,3825.0,-1.0
1986,38000.0,,,170.0,1000.0,-1.0,3500.0,1000.0,57446.0,103260.0,,-1.0,,,222500.0,1084.0,17.0,,747415.0,,,35000.0,,,85600.0,2832.0,37270.0,16900.0,17000.0,66600.0,4200.0,,-1.0,1090700.0,40.0,,2178.0,130800.0,,,44860.0,9000.0,,1900.0,5556.0,11200.0,1000.0,,5023.0,-1.0,67414.0,1500.0,500.0,91200.0,5400.0,65240.0,11531.0,,35000.0,,4600.0,,17987.0,2051.0,-1.0
1987,41000.0,,,170.0,1500.0,-1.0,1700.0,1000.0,80811.0,107310.0,,-1.0,,,212700.0,1057.0,17.0,,913635.0,,,45000.0,,,89600.0,5083.0,46330.0,12800.0,17000.0,94108.0,4500.0,,-1.0,1087000.0,33.0,,2200.0,238400.0,,,46790.0,10000.0,,1749.0,5841.0,8600.0,1500.0,,10020.0,-1.0,89403.0,1600.0,600.0,47583.0,5400.0,57460.0,11654.0,,45000.0,,7650.0,,18167.0,2737.0,-1.0
1988,55000.0,-1.0,,170.0,4000.0,2000.0,1025.0,1000.0,75969.0,112860.0,,-1.0,,4296.0,216308.0,1303.0,16.0,,979632.0,,,47000.0,,,65200.0,5314.0,32750.0,14955.0,17000.0,68100.0,4700.0,,-1.0,1040300.0,30.0,,2890.0,135500.0,,,67880.0,7982.0,,1577.0,4791.0,3200.0,2000.0,,3784.0,-1.0,132077.0,1667.0,568.0,133700.0,5500.0,28730.0,5921.0,,47000.0,,6570.0,,20665.0,1220.0,-1.0
