,Kenya,Peru,Yemen,Croatia,Myanmar,India,Armenia,Syrian Arab Republic,Martinique,Nepal,Ethiopia,Canada,The former Yugoslav Republic of Macedonia,Greece,Pakistan,Iraq,Malawi,Cyprus,Spain,New Zealand,Bulgaria,Australia & New Zealand,Bangladesh,Iran (Islamic Republic of),Algeria,Slovenia,Czechoslovakia,Madagascar,Tajikistan,Czechia,Argentina,Ukraine,Germany,Morocco,Ethiopia PDR,USSR,Mexico,Romania,Ecuador,Egypt,Israel,China,Tunisia,Colombia,Libya,Yugoslav SFR,Slovakia,Lebanon,Uzbekistan,United States of America,Occupied Palestinian Territory,Azerbaijan,Hungary,Chile,Australia,France,Jordan,"China, mainland",Russian Federation,Eritrea,Italy,Turkey
1961,-1.0,9286.0,-1.0,-1.0,5286.0,4533.0,-1.0,5954.0,-1.0,4485.0,-1.0,-1.0,-1.0,5264.0,4225.0,6266.0,-1.0,4186.0,6422.0,-1.0,4318.0,-1.0,6803.0,7024.0,3070.0,-1.0,5701.0,6000.0,-1.0,-1.0,4694.0,-1.0,4167.0,3000.0,4500.0,6250.0,8361.0,6111.0,6076.0,12928.0,2878.0,-1.0,2938.0,5028.0,-1.0,6667.0,-1.0,6875.0,-1.0,6786.0,-1.0,-1.0,3866.0,5432.0,-1.0,7586.0,3867.0,-1.0,-1.0,-1.0,6526.0,8317.0
1962,-1.0,9393.0,-1.0,-1.0,4928.0,4415.0,-1.0,8565.0,-1.0,4500.0,-1.0,-1.0,-1.0,5465.0,4226.0,6726.0,-1.0,4219.0,7087.0,-1.0,3119.0,-1.0,7421.0,6952.0,3667.0,-1.0,6185.0,6000.0,-1.0,-1.0,7334.0,-1.0,4444.0,5000.0,4578.0,6286.0,8873.0,8547.0,5778.0,16800.0,4124.0,-1.0,4585.0,5056.0,-1.0,6000.0,-1.0,6250.0,-1.0,10756.0,-1.0,-1.0,5123.0,5268.0,-1.0,5487.0,6250.0,-1.0,-1.0,-1.0,6451.0,9656.0
1963,-1.0,9515.0,-1.0,-1.0,4952.0,4555.0,-1.0,7774.0,-1.0,4514.0,-1.0,-1.0,-1.0,5907.0,4196.0,6408.0,-1.0,4910.0,6830.0,-1.0,5872.0,-1.0,6770.0,6860.0,4500.0,-1.0,6614.0,6000.0,-1.0,-1.0,8217.0,-1.0,5000.0,6667.0,4706.0,6053.0,8791.0,7143.0,4044.0,14318.0,2778.0,-1.0,1667.0,5027.0,-1.0,7143.0,-1.0,12500.0,-1.0,11152.0,-1.0,-1.0,4487.0,5026.0,-1.0,7795.0,2608.0,-1.0,-1.0,-1.0,7192.0,9971.0
1964,-1.0,9297.0,-1.0,-1.0,4185.0,3680.0,-1.0,9961.0,-1.0,4452.0,-1.0,-1.0,-1.0,6003.0,4568.0,6650.0,-1.0,1897.0,5587.0,-1.0,7425.0,-1.0,7066.0,6818.0,3661.0,-1.0,7401.0,6000.0,-1.0,-1.0,7634.0,-1.0,5238.0,4286.0,4598.0,5250.0,8850.0,6667.0,2780.0,15845.0,3261.0,-1.0,1750.0,5000.0,-1.0,6154.0,-1.0,11930.0,-1.0,12330.0,-1.0,-1.0,3951.0,6172.0,-1.0,8599.0,9690.0,-1.0,-1.0,-1.0,7095.0,8571.0
1965,-1.0,9404.0,-1.0,-1.0,5779.0,4761.0,-1.0,7100.0,-1.0,5000.0,-1.0,-1.0,-1.0,6164.0,4242.0,7030.0,-1.0,3034.0,4868.0,-1.0,4665.0,-1.0,6736.0,6800.0,3616.0,-1.0,4383.0,6000.0,-1.0,-1.0,9925.0,-1.0,7692.0,5200.0,4667.0,5714.0,8900.0,7778.0,3642.0,16422.0,4167.0,-1.0,2800.0,4950.0,-1.0,7500.0,-1.0,11775.0,-1.0,12329.0,-1.0,-1.0,3158.0,3875.0,-1.0,11258.0,10142.0,-1.0,-1.0,-1.0,6989.0,9000.0
1966,-1.0,8677.0,-1.0,-1.0,4250.0,4374.0,-1.0,3737.0,-1.0,5000.0,-1.0,-1.0,-1.0,7781.0,3367.0,6368.0,-1.0,9478.0,7442.0,-1.0,4991.0,-1.0,6868.0,6761.0,3818.0,-1.0,3145.0,6000.0,-1.0,-1.0,9443.0,-1.0,2381.0,3083.0,4667.0,9302.0,9000.0,4167.0,3205.0,13983.0,2439.0,-1.0,2400.0,5000.0,4000.0,7000.0,-1.0,4001.0,-1.0,10665.0,-1.0,-1.0,2520.0,4349.0,-1.0,14159.0,5647.0,-1.0,-1.0,-1.0,6478.0,10000.0
1967,-1.0,8173.0,-1.0,-1.0,3847.0,3472.0,-1.0,10857.0,-1.0,5000.0,-1.0,-1.0,-1.0,7865.0,3683.0,6383.0,-1.0,9903.0,7036.0,-1.0,6217.0,-1.0,7034.0,6787.0,3869.0,-1.0,7299.0,6667.0,-1.0,-1.0,5526.0,-1.0,3333.0,3846.0,4624.0,11887.0,8730.0,8571.0,3125.0,12272.0,4286.0,-1.0,3200.0,5000.0,4000.0,8000.0,-1.0,9724.0,-1.0,11760.0,-1.0,-1.0,7165.0,5132.0,-1.0,12398.0,10619.0,-1.0,-1.0,-1.0,7686.0,10600.0
1968,-1.0,10261.0,-1.0,-1.0,4542.0,5103.0,-1.0,4869.0,-1.0,5000.0,-1.0,-1.0,-1.0,6012.0,3193.0,7095.0,-1.0,7575.0,7360.0,-1.0,2650.0,-1.0,6988.0,6792.0,3944.0,-1.0,2136.0,6667.0,-1.0,-1.0,4272.0,-1.0,2308.0,10389.0,4632.0,13214.0,8646.0,-1.0,3728.0,16023.0,4516.0,-1.0,3000.0,5200.0,4000.0,7750.0,-1.0,3875.0,-1.0,12791.0,-1.0,-1.0,1344.0,5467.0,-1.0,9458.0,4796.0,-1.0,-1.0,-1.0,6237.0,9697.0
1969,-1.0,10886.0,-1.0,-1.0,4036.0,5149.0,-1.0,9065.0,-1.0,5000.0,-1.0,-1.0,-1.0,6865.0,3185.0,8370.0,-1.0,8878.0,7401.0,-1.0,7372.0,-1.0,7235.0,6837.0,4603.0,-1.0,4879.0,6667.0,-1.0,-1.0,6365.0,-1.0,4000.0,5915.0,4639.0,10536.0,6589.0,-1.0,5477.0,12420.0,2593.0,-1.0,3000.0,5200.0,4000.0,9269.0,-1.0,7657.0,-1.0,13067.0,-1.0,-1.0,3359.0,6179.0,-1.0,9772.0,8556.0,-1.0,-1.0,-1.0,7904.0,10700.0
1970,-1.0,10898.0,-1.0,-1.0,3348.0,5020.0,-1.0,4122.0,-1.0,5000.0,-1.0,-1.0,-1.0,9592.0,3387.0,4250.0,-1.0,7607.0,6433.0,-1.0,4586.0,-1.0,7000.0,6880.0,2917.0,-1.0,8953.0,6667.0,-1.0,-1.0,4134.0,-1.0,4167.0,4081.0,4600.0,10909.0,7118.0,-1.0,4096.0,16714.0,3651.0,-1.0,3000.0,5185.0,4000.0,7488.0,-1.0,8617.0,-1.0,10001.0,-1.0,-1.0,6693.0,6457.0,-1.0,13777.0,2448.0,-1.0,-1.0,-1.0,7640.0,8932.0
