,Afghanistan,Angola,Albania,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Switzerland,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Costa Rica,Cuba,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,Ecuador,"Egypt, Arab Rep.",Eritrea,Spain,Estonia,Ethiopia,Finland,Fiji,France,Gabon,United Kingdom,Georgia,Ghana,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Guatemala,Guam,Guyana,"Hong Kong SAR, China",Honduras,Croatia,Haiti,Hungary,Indonesia,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,"Korea, Rep.",Kuwait,Lao PDR,Lebanon,Liberia,Libya,Liechtenstein,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,"Macao SAR, China",Morocco,Monaco,Moldova,Madagascar,Maldives,Mexico,"Macedonia, FYR",Mali,Malta,Myanmar,Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Papua New Guinea,Poland,Puerto Rico,"Korea, Dem. People’s Rep.",Portugal,Paraguay,West Bank and Gaza,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Sierra Leone,El Salvador,Somalia,Serbia,South Sudan,Suriname,Slovak Republic,Slovenia,Sweden,Swaziland,Syrian Arab Republic,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Timor-Leste,Tonga,Trinidad and Tobago,Tunisia,Turkey,Tanzania,Uganda,Ukraine,Uruguay,United States,Uzbekistan,"Venezuela, RB",Vietnam,World,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1960,31.58,31.787,61.309,49.677,62.417,62.821999999999996,,59.512,67.78571428571429,65.41,57.555,39.698,66.78,36.823,33.454,45.523,67.55,48.95,58.68,65.032,58.656000000000006,,40.830999999999996,52.434,58.56,61.095,34.019,48.757,34.948,68.26,68.65,54.604,42.433,35.909,40.234,39.64,47.36600000000001,55.047,59.224,62.271,67.631,67.5,66.751,42.732,,70.44,50.396,45.44,51.955,46.821999999999996,36.973,66.68,63.979,36.974000000000004,65.41,53.978,66.6,38.035,68.2,59.68600000000001,45.53,33.762,30.851,36.338,35.255,65.9,58.013000000000005,46.08,59.12,57.748000000000005,63.409,44.621,62.095,40.804,65.93,47.293,41.89,67.977,45.706,48.478,71.15,,66.68,62.711000000000006,52.456,65.31,53.231,44.479,52.011,39.613,47.095,50.614,59.211000000000006,41.543,61.565,32.43,41.449,,57.343,44.858999999999995,66.94,65.362,66.26,62.996,47.152,,58.023999999999994,39.042,37.204,55.091,60.195,27.436,66.767,39.872,62.51,46.161,33.692,43.067,56.95399999999999,37.239000000000004,58.669,44.758,34.547,35.575,45.711999999999996,71.5,71.34,35.044000000000004,68.7,41.87,45.105,59.87,46.455,56.608999999999995,40.303000000000004,64.9,66.084,48.424,60.086000000000006,61.861999999999995,,59.211999999999996,63.86,62.067,40.701,42.4467342855953,43.677,46.793,37.466,62.293,28.773000000000003,47.705,35.481,,30.371,57.905,67.75,66.1,71.23,42.33,50.67100000000001,35.955999999999996,39.366,52.452,53.795,50.966,33.181999999999995,61.026,61.081,41.06,42.481,42.00899999999999,42.446000000000005,65.641,64.852,66.6,55.11600000000001,57.69,55.628,50.740822649583905,33.236,50.096000000000004,43.622,49.981
1961,32.025999999999996,32.098,62.272,50.776,62.458999999999996,63.24,,59.912,67.9,66.47,57.751999999999995,40.004,67.56,37.233000000000004,33.904,46.155,68.42,50.423,59.298,65.51899999999999,59.224,,41.151,52.876999999999995,59.038999999999994,61.667,34.356,49.133,35.344,68.39,68.84,54.93600000000001,42.766999999999996,36.566,40.679,39.855,47.972,55.577,59.931000000000004,62.894,67.961,67.62,66.908,43.165,,70.57,51.108000000000004,45.883,52.552,47.325,37.609,67.1,64.433,37.614000000000004,65.61,54.442,66.8,38.39,68.0,60.086000000000006,45.935,33.966,31.131,36.635,35.552,66.274,58.43,46.552,59.617,57.946000000000005,63.998999999999995,45.278999999999996,62.396,41.382,66.78,47.942,42.51,68.109,46.167,49.757,70.84,70.47,67.17,63.277,53.152,65.91,53.645,45.073,52.449,39.705,47.631,51.266000000000005,59.94,41.869,61.865,32.736999999999995,43.034,,57.708999999999996,45.343999999999994,66.81,65.627,66.33,63.437,47.708999999999996,,58.443999999999996,39.527,37.851,55.662,60.785,27.548000000000002,67.077,40.564,63.183,47.118,34.137,43.681000000000004,57.963,37.444,59.25,45.398999999999994,34.631,36.041,46.352,71.56,71.17,35.407,68.4,42.652,46.049,60.358000000000004,46.97,56.913000000000004,40.733000000000004,64.9,66.23,48.708,60.486999999999995,62.089,,60.041000000000004,64.59100000000001,62.578,40.998999999999995,43.086932377177604,44.19,47.213,37.613,62.755,29.018,48.383,35.874,,30.795,58.247,68.025,66.1,71.65,42.63,51.257,36.304,39.976,52.961999999999996,54.207,51.379,33.68,61.361000000000004,61.604,41.68600000000001,43.244,42.25899999999999,43.021,66.078,65.064,67.1,55.486000000000004,58.225,56.211999999999996,51.23930220216349,33.343,50.458,44.008,50.353
1962,32.466,32.428000000000004,63.117,51.876000000000005,62.477,63.663999999999994,,60.3,67.84,66.29,57.94,40.316,67.4,37.641999999999996,34.361,46.782,67.77,51.891000000000005,59.879,65.90899999999999,59.808,,41.479,53.313,59.523,62.211999999999996,34.735,49.496,35.75,68.45,68.44,55.294,43.473,37.207,41.123999999999995,40.071999999999996,48.542,56.068000000000005,60.615,63.527,68.281,66.86,67.053,43.592,,70.31,51.809,46.325,53.108999999999995,47.787,38.213,67.08,64.80199999999999,38.225,65.09,54.896,66.9,38.834,68.0,60.488,46.324,34.156,31.465,36.955999999999996,35.849000000000004,66.60300000000001,58.833,47.037,60.107,58.147,64.565,45.931000000000004,62.678000000000004,41.956,65.7,48.578,43.13399999999999,68.217,46.618,50.993,71.4,70.6,66.54,63.802,53.843999999999994,66.19,54.062,45.662,52.888999999999996,39.835,48.166000000000004,51.928999999999995,60.629,42.195,62.157,33.099000000000004,44.638999999999996,,58.105,45.751999999999995,65.91,65.863,65.85,63.864,48.251000000000005,,58.872,40.01,38.529,56.17,61.358999999999995,27.706999999999997,67.384,41.346000000000004,63.818000000000005,48.042,34.563,44.273999999999994,58.843,37.641,59.803999999999995,46.032,34.711,36.492,46.99100000000001,71.08,70.97,35.825,68.5,43.42100000000001,46.953,60.831,47.464,57.203,41.21,64.5,66.363,48.998000000000005,60.88,62.303000000000004,,60.871,65.152,62.958,41.286,43.727941105789796,44.715,47.626000000000005,37.686,63.141999999999996,29.264,49.006,36.27,,31.215999999999998,58.586000000000006,68.184,66.1,71.37,42.918,51.854,36.655,40.579,53.45399999999999,54.622,51.795,34.181,61.68899999999999,62.048,42.369,44.025,42.512,43.608999999999995,66.41,65.242,66.9,55.861000000000004,58.743,56.772,51.65294742371321,33.602,50.815,44.38,50.714
1963,32.903,32.774,63.81100000000001,52.975,62.485,64.092,,60.676,67.78,66.39,58.126999999999995,40.63,67.11,38.05,34.826,47.388999999999996,68.68,53.331,60.428999999999995,66.215,60.408,,41.815,53.738,60.013000000000005,62.724,35.161,49.85,36.174,68.41,68.29,55.68,44.596000000000004,37.827,41.566,40.298,49.073,56.531000000000006,61.26,64.169,68.592,67.28,67.184,44.013000000000005,,70.42,52.498000000000005,46.763999999999996,53.618,48.22,38.769,67.13,65.096,38.79,65.52,55.339,67.1,39.383,67.9,60.891999999999996,46.696000000000005,34.332,31.866,37.302,36.145,66.874,59.223,47.536,60.586999999999996,58.347,65.1,46.568999999999996,62.943000000000005,42.523999999999994,66.64,49.2,43.762,68.31,47.06100000000001,52.18600000000001,70.16,,66.57,64.28699999999999,54.533,67.18,54.481,46.24,53.331,39.994,48.68899999999999,52.602,61.277,42.521,62.441,33.524,46.205,,58.551,46.076,66.78,66.066,66.19,64.278,48.765,,59.303999999999995,40.491,39.232,56.619,61.92,27.932,67.686,42.24,64.399,48.898999999999994,34.97,44.841,59.56399999999999,37.83,60.328,46.655,34.788000000000004,36.922,47.631,71.02,70.78,36.292,68.5,44.177,47.815,61.288000000000004,47.935,57.477,41.751000000000005,65.4,66.516,49.427,61.263999999999996,62.493,,61.7,65.50399999999999,63.216,41.558,44.3654459877288,45.262,48.035,37.693000000000005,63.453,29.52,49.567,36.669000000000004,,31.638,58.928999999999995,68.232,65.5,71.57,43.203,52.468,37.01,41.176,53.928000000000004,55.038999999999994,52.214,34.683,62.00899999999999,62.397,43.111999999999995,44.815,42.772,44.203,66.646,65.378,66.6,56.24,59.239,57.284,52.162597044249,34.038000000000004,51.176,44.738,51.062
1964,33.338,33.135999999999996,64.346,54.068999999999996,62.498999999999995,64.52199999999999,,61.042,67.72,66.8,58.316,40.941,67.76,38.458,35.297,47.949,69.37,54.721000000000004,60.95399999999999,66.447,61.018,,42.159,54.152,60.508,63.201,35.634,50.199,36.62,68.63,69.19,56.095,46.11600000000001,38.429,42.005,40.538000000000004,49.56399999999999,56.972,61.858999999999995,64.814,68.89399999999999,67.44,67.30199999999999,44.434,,70.29,53.173,47.198,54.07899999999999,48.631,39.273,67.79,65.327,39.3,65.66,55.773,67.2,40.042,68.6,61.294,47.048,34.498000000000005,32.343,37.672,36.441,67.087,59.601000000000006,48.05,61.056000000000004,58.544,65.59899999999999,47.187,63.192,43.082,67.02,49.81100000000001,44.395,68.393,47.501999999999995,53.33,70.81,,67.58,64.737,55.218999999999994,67.63,54.898,46.805,53.772,40.15,49.195,53.287,61.887,42.847,62.718999999999994,34.01,47.68600000000001,,59.053999999999995,46.321000000000005,68.27,66.233,67.35,64.685,49.242,,59.732,40.972,39.953,57.019,62.468,28.233,67.98100000000001,43.239,64.919,49.67,35.359,45.376000000000005,60.113,38.016999999999996,60.823,47.263999999999996,34.861999999999995,37.33,48.271,71.27,71.23,36.805,68.5,44.92,48.638000000000005,61.729,48.39,57.736000000000004,42.36,65.8,66.705,50.07,61.638000000000005,62.659,,62.526,65.648,63.367,41.812,45.005844374007594,45.842,48.43899999999999,37.655,63.699,29.805999999999997,50.065,37.07,,32.062,59.277,68.184,65.2,71.66,43.495,53.103,37.373000000000005,41.768,54.38399999999999,55.455,52.632,35.183,62.321000000000005,62.647,43.918,45.599,43.04600000000001,44.792,66.797,65.469,66.8,56.621,59.711999999999996,57.713,52.814303019964704,34.648,51.54,45.086000000000006,51.398
1965,33.771,33.510999999999996,64.723,55.148999999999994,62.536,64.953,,61.398999999999994,67.66,66.61,58.511,41.236000000000004,67.64,38.861,35.768,48.385,69.45,56.043,61.466,66.61399999999999,61.631,65.61,42.511,54.553000000000004,61.001999999999995,63.644,36.152,50.553999999999995,37.1,68.76,69.47,56.543,47.956,39.021,42.442,40.8,50.016000000000005,57.388999999999996,62.406000000000006,65.454,69.188,67.09,67.405,44.873000000000005,,70.2,53.832,47.62,54.494,49.016000000000005,39.722,68.18,65.503,39.754,65.29,56.196999999999996,67.3,40.8,68.6,61.688,47.373000000000005,34.656,32.900999999999996,38.061,36.736999999999995,67.258,59.966,48.583,61.513999999999996,58.733999999999995,66.058,47.782,63.434,43.623999999999995,66.72,50.413999999999994,45.034,68.469,47.95399999999999,54.408,71.42,,67.44,65.15100000000001,55.898999999999994,67.68,55.31,47.358999999999995,54.206,40.306,49.68899999999999,53.992,62.46,43.174,62.995,34.548,49.051,,59.607,46.5,68.13,66.362,66.79,65.09100000000001,49.68,,60.141000000000005,41.453,40.688,57.382,63.001000000000005,28.619,68.26899999999999,44.302,65.38,50.353,35.738,45.88,60.49,38.217,61.29,47.848,34.933,37.72,48.916000000000004,71.12,71.05,37.353,68.3,45.648999999999994,49.422,62.155,48.852,57.983999999999995,43.026,66.6,66.941,50.945,62.008,62.8,,63.345,65.632,63.433,42.038000000000004,45.6370849192529,46.474,48.843,37.603,63.898,30.168000000000003,50.505,37.473,,32.485,59.626999999999995,68.058,65.0,71.73,43.81100000000001,53.765,37.751999999999995,42.353,54.827,55.86600000000001,53.045,35.719,62.626999999999995,62.802,44.791000000000004,46.361000000000004,43.338,45.358999999999995,66.87100000000001,65.51899999999999,66.8,56.998999999999995,60.165,57.948,53.4578989904826,35.409,51.905,45.433,51.723
1966,34.204,33.897,64.962,56.203,62.611999999999995,65.384,,61.748000000000005,67.6,66.88,58.711999999999996,41.498000000000005,67.76,39.255,36.231,48.605,69.36,57.287,61.975,66.719,62.239,,42.87,54.943999999999996,61.483999999999995,64.057,36.705,50.924,37.623000000000005,68.78,69.56,57.022,49.992,39.619,42.879,41.092,50.435,57.777,62.903999999999996,66.079,69.47399999999999,67.18,67.488,45.354,,70.21,54.475,48.023,54.873000000000005,49.36,40.124,68.46,65.62899999999999,40.155,65.96,56.614,67.4,41.63399999999999,68.5,62.068999999999996,47.66,34.806,33.542,38.461,37.034,67.416,60.32,49.135,61.96,58.908,66.475,48.354,63.674,44.143,67.52,51.013999999999996,45.678999999999995,68.536,48.431000000000004,55.403,70.32,70.91,68.17,65.531,56.574,68.45,55.711999999999996,47.909,54.63,40.468,50.18,54.726000000000006,62.997,43.501999999999995,63.27,35.124,50.291000000000004,,60.195,46.633,68.13,66.453,67.0,65.508,50.08,,60.515,41.93600000000001,41.433,57.722,63.513999999999996,29.09,68.551,45.364,65.794,50.967,36.116,46.352,60.707,38.448,61.731,48.39,35.003,38.098,49.573,71.03,71.41,37.927,68.1,46.358000000000004,50.17100000000001,62.567,49.348,58.226000000000006,43.73,66.9,67.215,52.01,62.376999999999995,62.925,,64.155,65.538,63.433,42.228,46.2525310610569,47.177,49.248000000000005,37.57,64.074,30.656999999999996,50.901,37.875,,32.902,59.97,67.875,65.5,71.82,44.165,54.46,38.156,42.934,55.261,56.266999999999996,53.448,36.336,62.931000000000004,62.876999999999995,45.733000000000004,47.085,43.648999999999994,45.88399999999999,66.878,65.533,66.7,57.371,60.601000000000006,57.863,54.169816818719504,36.275,52.262,45.79600000000001,52.036
1967,34.635999999999996,34.292,65.116,57.218999999999994,62.731,65.81,,62.091,67.64,66.63,58.913999999999994,41.721000000000004,67.93,39.637,36.681,48.576,68.37,58.458,62.486999999999995,66.768,62.83,,43.236999999999995,55.325,61.948,64.45,37.278,51.318000000000005,38.191,68.92,69.7,57.532,52.062,40.235,43.318999999999996,41.411,50.827,58.129,63.367,66.682,69.751,67.03,67.554,45.888000000000005,,70.61,55.099,48.408,55.233000000000004,49.658,40.495,68.57,65.707,40.516999999999996,65.93,57.022,67.6,42.506,69.1,62.431999999999995,47.905,34.955999999999996,34.254,38.864000000000004,37.334,67.59100000000001,60.663000000000004,49.702,62.395,59.063,66.857,48.913000000000004,63.918,44.63399999999999,66.89,51.611000000000004,46.328,68.59100000000001,48.941,56.301,71.11,69.9,68.22,65.87899999999999,57.243,68.74,56.099,48.461999999999996,55.038999999999994,40.580999999999996,50.681000000000004,55.488,63.501999999999995,43.832,63.544,35.719,51.437,,60.787,46.753,67.96,66.515,66.75,65.942,50.457,,60.843,42.42100000000001,42.193000000000005,58.053000000000004,64.003,29.631,68.827,46.351000000000006,66.18,51.541000000000004,36.501,46.8,60.808,38.721,62.151,48.886,35.075,38.474000000000004,50.24100000000001,71.17,71.33,38.515,68.4,47.05,50.885,62.97,49.9,58.467,44.443999999999996,66.4,67.50399999999999,53.141999999999996,62.75,63.045,,64.949,65.46300000000001,63.386,42.38399999999999,46.8455630328893,47.96,49.652,37.595,64.255,31.296,51.262,38.274,,33.309,60.29600000000001,67.66,66.0,71.82,44.565,55.188,38.586999999999996,43.508,55.693000000000005,56.653999999999996,53.836999999999996,37.031,63.236999999999995,62.905,46.74100000000001,47.768,43.976000000000006,46.352,66.82600000000001,65.52600000000001,67.0,57.731,61.025,57.424,54.8618719637437,37.188,52.597,46.183,52.343
1968,35.069,34.693000000000005,65.233,58.188,62.893,66.22,,62.427,67.68,66.76,59.111000000000004,41.907,67.62,40.008,37.118,48.318000000000005,69.23,59.559,63.003,66.768,63.396,,43.61,55.696000000000005,62.386,64.831,37.86,51.743,38.803000000000004,69.09,69.8,58.068999999999996,54.022,40.881,43.766999999999996,41.751999999999995,51.2,58.446999999999996,63.809,67.256,70.02199999999999,66.47,67.609,46.477,,70.78,55.70399999999999,48.781000000000006,55.59,49.916000000000004,40.851,68.85,65.74,40.851,65.87,57.422,67.7,43.386,68.7,62.775,48.113,35.115,35.021,39.265,37.635,67.805,60.995,50.277,62.82,59.195,67.212,49.47,64.166,45.093999999999994,66.64,52.207,46.978,68.63600000000001,49.494,57.093999999999994,71.64,69.32,67.98,66.202,57.903999999999996,69.06,56.468,49.023999999999994,55.43,40.547,51.193000000000005,56.268,63.979,44.163000000000004,63.816,36.32,52.512,,61.358000000000004,46.888000000000005,67.66,66.561,65.76,66.396,50.824,,61.115,42.908,42.968999999999994,58.387,64.461,30.225,69.09899999999999,47.21,66.55199999999999,52.095,36.898,47.231,60.839,39.043,62.556999999999995,49.336999999999996,35.155,38.857,50.915,70.92,71.22,39.109,68.1,47.732,51.565,63.368,50.516999999999996,58.70399999999999,45.147,67.0,67.79,54.243,63.128,63.167,,65.719,65.48100000000001,63.308,42.51,47.4147707525069,48.825,50.051,37.713,64.46300000000001,32.085,51.595,38.669000000000004,,33.702,60.6,67.44,65.6,71.69,45.016000000000005,55.943999999999996,39.045,44.077,56.126000000000005,57.023999999999994,54.206,37.760999999999996,63.543,62.918,47.803999999999995,48.409,44.316,46.755,66.726,65.515,66.0,58.076,61.44,56.675,55.436488672233104,38.1,52.9,46.595,52.646
1969,35.505,35.096,65.346,59.105,63.099,66.602,,62.757,67.72,66.56,59.301,42.065,67.56,40.368,37.547,47.887,68.23,60.589,63.523999999999994,66.73100000000001,63.927,,43.99100000000001,56.056000000000004,62.797,65.205,38.442,52.203,39.457,69.16,69.72,58.631,55.794,41.556000000000004,44.223,42.107,51.556999999999995,58.739,64.23899999999999,67.798,70.285,65.85,67.658,47.11,,70.86,56.287,49.152,55.95399999999999,50.153,41.2,68.36,65.732,41.161,65.64,57.813,67.8,44.256,68.6,63.098,48.291000000000004,35.293,35.830999999999996,39.66,37.939,68.061,61.316,50.852,63.235,59.303000000000004,67.547,50.03,64.416,45.523999999999994,66.7,52.801,47.626999999999995,68.673,50.092,57.786,71.23,69.19,67.89,66.507,58.555,69.19,56.815,49.595,55.799,40.249,51.71,57.051,64.431,44.495,64.085,36.921,53.523999999999994,,61.898999999999994,47.056999999999995,67.07,66.59899999999999,65.27,66.872,51.18600000000001,,61.32899999999999,43.395,43.763000000000005,58.733999999999995,64.883,30.863000000000003,69.367,47.924,66.913,52.628,37.308,47.652,60.828,39.412,62.95,49.751000000000005,35.248000000000005,39.251999999999995,51.583,70.92,70.8,39.7,68.4,48.415,52.208999999999996,63.762,51.198,58.934,45.832,66.5,68.067,55.277,63.512,63.295,,66.458,65.612,63.211999999999996,42.613,47.961542612108495,49.769,50.44,37.952,64.714,33.006,51.898,39.059,,34.080999999999996,60.878,67.234,64.8,71.68,45.519,56.722,39.522,44.64,56.56399999999999,57.375,54.552,38.452,63.849,62.935,48.91,49.00899999999999,44.67100000000001,47.085,66.59,65.51,66.8,58.403,61.847,55.713,56.0582858883362,38.988,53.166000000000004,47.028,52.951
