,Slovakia,Romania,Eritrea,USSR,Australia & New Zealand,Australia,Iraq,Mexico,Pakistan,Belgium,Nepal,Ethiopia,Kenya,Czechia,Bangladesh,Italy,Germany,Turkmenistan,Croatia,Tajikistan,Tunisia,Sweden,Estonia,Uzbekistan,Brazil,Armenia,Morocco,Switzerland,Chile,Argentina,Afghanistan,Spain,Kyrgyzstan,India,Austria,Ecuador,Japan,Poland,Canada,Belgium-Luxembourg,Turkey,Belarus,Denmark,Ethiopia PDR,Egypt,Greece,Azerbaijan,France,New Zealand,Lithuania,Hungary,Russian Federation,Portugal,Bolivia (Plurinational State of),Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,United States of America,Latvia,Ukraine,"China, mainland",Czechoslovakia,Cyprus,Peru,United Kingdom,Uruguay,Bosnia and Herzegovina,Bulgaria,Netherlands,China
1961,,12000.0,,440000.0,18381.0,12791.0,4848.0,14966.0,3050.0,,6000.0,,450.0,,10160.0,5850.0,8715.0,,,,2000.0,3140.0,,,27771.0,,4000.0,-1.0,6000.0,750000.0,17000.0,4933.0,,398000.0,-1.0,,3340.0,61000.0,367800.0,17319.0,18000.0,,1657.0,51000.0,11617.0,162.0,,46100.0,5590.0,,4982.0,,80.0,,840.0,7000.0,,563340.0,,,20000.0,13464.0,91.0,,,66869.0,,3330.0,19161.0,20000.0
1962,,11700.0,,480000.0,34106.0,26130.0,6600.0,14955.0,2030.0,,6500.0,,730.0,,10160.0,5090.0,10062.0,,,,2000.0,2530.0,,,43620.0,,5000.0,-1.0,5600.0,818000.0,18000.0,5584.0,,463000.0,-1.0,,3490.0,65000.0,408067.0,21242.0,19000.0,,679.0,52000.0,11083.0,129.0,,50674.0,7976.0,,3397.0,,70.0,,500.0,7000.0,,818670.0,,,22000.0,14474.0,102.0,,,95759.0,,1900.0,26625.0,22000.0
1963,,18000.0,,420000.0,41041.0,29990.0,6200.0,13699.0,4060.0,,7000.0,,240.0,,11176.0,4700.0,6681.0,,,,2000.0,2440.0,,,20374.0,,5000.0,-1.0,4300.0,838600.0,18000.0,4151.0,,430000.0,-1.0,,2950.0,61000.0,536368.0,20352.0,18000.0,,476.0,53000.0,10740.0,98.0,,53435.0,11051.0,,5902.0,,70.0,,370.0,7000.0,,788470.0,,,23000.0,15008.0,108.0,,,84443.0,,2426.0,23002.0,23000.0
1964,,23800.0,,400000.0,58423.0,47348.0,6820.0,14095.0,3050.0,,7000.0,,240.0,,9144.0,4450.0,4423.0,,,,1500.0,3020.0,,,53707.0,,6000.0,-1.0,3500.0,771000.0,18000.0,1724.0,,378700.0,-1.0,,1650.0,55000.0,515767.0,25082.0,17500.0,,431.0,54100.0,14095.0,76.0,,50098.0,11075.0,,3928.0,,92.0,,390.0,7000.0,,619810.0,,,24000.0,18140.0,81.0,,,62079.0,,3503.0,35491.0,24000.0
1965,,34943.0,,449000.0,12374.0,6161.0,12136.0,16652.0,4060.0,,7500.0,,240.0,,9144.0,3930.0,6361.0,,,,2100.0,2070.0,,,42144.0,,7000.0,-1.0,3500.0,815000.0,19000.0,1022.0,,494000.0,-1.0,,2040.0,77000.0,741100.0,16282.0,14000.0,,248.0,55400.0,10279.0,56.0,,27799.0,6213.0,,7631.0,,105.0,,300.0,7000.0,,899250.0,,,25000.0,12764.0,51.0,,,71315.0,,2801.0,22119.0,25000.0
1966,,37600.0,,607000.0,18472.0,13965.0,12120.0,17391.0,3050.0,,8000.0,,240.0,,9100.0,3080.0,6424.0,,,,2200.0,150.0,,,36446.0,,5000.0,-1.0,1370.0,570000.0,20000.0,2480.0,,331000.0,-1.0,,650.0,72000.0,559330.0,13427.0,11000.0,,175.0,55400.0,8990.0,38.0,,39084.0,4507.0,,9226.0,,99.0,,200.0,7000.0,,594129.0,,,25000.0,9469.0,41.0,,,38062.0,,5002.0,19500.0,25000.0
1967,,39400.0,,519000.0,17350.0,10650.0,12670.0,14470.0,3050.0,,8500.0,,240.0,,9100.0,3290.0,6783.0,,,,2100.0,,,,28342.0,,1600.0,-1.0,1400.0,577000.0,20000.0,2990.0,,259900.0,-1.0,,380.0,73000.0,238211.0,9390.0,12000.0,,127.0,56500.0,9219.0,43.0,,33276.0,6700.0,,13825.0,,128.0,,100.0,4000.0,,508934.0,,,26000.0,13215.0,51.0,,,40403.0,,5448.0,11358.0,26000.0
1968,,30245.0,,485000.0,25578.0,19809.0,11939.0,11772.0,4060.0,,9000.0,,240.0,,7100.0,1220.0,4730.0,,,,1530.0,,,,28233.0,,2645.0,-1.0,760.0,585000.0,20500.0,3504.0,,438000.0,-1.0,,200.0,65000.0,499536.0,9067.0,12000.0,,31.0,58200.0,15000.0,14.0,,17376.0,5769.0,,10139.0,,122.0,,220.0,5000.0,,685395.0,,,28000.0,13750.0,30.0,,,26838.0,,2952.0,10104.0,28000.0
1969,,37487.0,,451000.0,46839.0,36678.0,11511.0,12266.0,3050.0,,9500.0,,240.0,,7100.0,1091.0,4965.0,,,,1650.0,,,,30730.0,,2850.0,-1.0,660.0,510000.0,21000.0,657.0,,329200.0,-1.0,,0.0,57000.0,712447.0,10282.0,12000.0,,165.0,60100.0,17000.0,13.0,,27479.0,10161.0,,12874.0,,115.0,,100.0,6000.0,,887232.0,,,30000.0,19003.0,,4.0,,56458.0,,2775.0,12115.0,30000.0
1970,,42294.0,,471000.0,42785.0,30785.0,14190.0,40266.0,3050.0,,10000.0,,240.0,,7100.0,920.0,4513.0,,,,880.0,,,,22370.0,,8300.0,-1.0,1000.0,775000.0,20000.0,206.0,,469300.0,-1.0,,,65000.0,1218384.0,4913.0,6700.0,,196.0,62100.0,10000.0,10.0,,23978.0,12000.0,,13928.0,,52.0,,100.0,6000.0,,747196.0,,,32000.0,12131.0,,47.0,,89551.0,,3115.0,7000.0,32000.0
