,Slovakia,Romania,Eritrea,USSR,Australia & New Zealand,Australia,Iraq,Mexico,Pakistan,Belgium,Nepal,Ethiopia,Kenya,Czechia,Bangladesh,Italy,Germany,Tunisia,Sweden,Estonia,Uzbekistan,Brazil,Armenia,Morocco,Switzerland,Chile,Argentina,Denmark,Spain,Kyrgyzstan,India,Austria,Ecuador,Japan,Poland,Canada,Belgium-Luxembourg,Turkey,Belarus,Afghanistan,Ethiopia PDR,Egypt,Greece,Czechoslovakia,France,New Zealand,Hungary,Russian Federation,Portugal,Bolivia (Plurinational State of),Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,United States of America,Latvia,Ukraine,"China, mainland",United Kingdom,Cyprus,Peru,Uruguay,Lithuania,Bulgaria,Netherlands,China
1961,,4317.0,,2347.0,6009.0,5087.0,5365.0,7437.0,5798.0,,4000.0,,9912.0,,5230.0,8041.0,3391.0,10000.0,9937.0,,,6018.0,,2500.0,,7792.0,6900.0,10135.0,5745.0,,2225.0,,,2982.0,5495.0,4357.0,6500.0,5294.0,,3632.0,5000.0,9633.0,1910.0,3052.0,8865.0,10270.0,7389.0,,2952.0,,1063.0,8750.0,,5537.0,,,5714.0,,3776.0,,5689.0,,3859.0,8850.0,5714.0
1962,,3836.0,,2376.0,7474.0,6652.0,5540.0,7866.0,4562.0,,4063.0,,10027.0,,5124.0,7640.0,3787.0,10000.0,9583.0,,,7875.0,,4545.0,,8116.0,6981.0,7388.0,6411.0,,2342.0,,,3116.0,4954.0,6972.0,6497.0,6552.0,,3846.0,5000.0,9748.0,1743.0,3186.0,8397.0,12555.0,5483.0,,2564.0,,856.0,8750.0,,7204.0,,,5500.0,,3806.0,,6642.0,,2123.0,11110.0,5500.0
1963,,4787.0,,2373.0,7432.0,6307.0,5264.0,7606.0,6275.0,,4118.0,,9877.0,,4845.0,7809.0,3764.0,10000.0,10609.0,,,3645.0,,7143.0,,9663.0,6376.0,9616.0,5606.0,,2258.0,,,3379.0,5250.0,7878.0,6001.0,6207.0,,3846.0,5000.0,9814.0,1782.0,3151.0,7230.0,14401.0,7628.0,,2593.0,,629.0,8750.0,,6142.0,,,5750.0,,4030.0,,5288.0,,2757.0,8645.0,5750.0
1964,,5075.0,,2139.0,9407.0,8741.0,5208.0,7933.0,5025.0,,3889.0,,10000.0,,4430.0,8736.0,3659.0,7500.0,12276.0,,,7965.0,,6000.0,,7865.0,6337.0,10668.0,5816.0,,1898.0,,,2032.0,4400.0,6447.0,6401.0,6731.0,,3846.0,4995.0,10129.0,1583.0,3731.0,6334.0,13950.0,4966.0,,3395.0,,726.0,8750.0,,5422.0,,,5333.0,,4030.0,,4719.0,,4087.0,11579.0,5333.0
1965,,6848.0,,2517.0,8579.0,6192.0,7416.0,9179.0,6275.0,,3947.0,,10000.0,,4263.0,8457.0,4404.0,10500.0,13185.0,,,6041.0,,5000.0,,7865.0,7516.0,9430.0,6320.0,,2419.0,,,3893.0,6772.0,7912.0,6028.0,5833.0,,4060.0,5000.0,9468.0,1474.0,3356.0,4612.0,13887.0,10330.0,,3659.0,,620.0,8750.0,,8008.0,,,5556.0,,3806.0,,6318.0,,3146.0,10229.0,5556.0
1966,,6912.0,,3622.0,10741.0,9977.0,7501.0,9400.0,5025.0,,4000.0,,10000.0,,4155.0,7797.0,3991.0,11000.0,15000.0,,,6296.0,,5556.0,,8457.0,5677.0,9309.0,7486.0,,1921.0,,,2167.0,6812.0,7207.0,5701.0,6286.0,,4274.0,5000.0,8917.0,1310.0,2887.0,6295.0,14084.0,9032.0,,3414.0,,455.0,10000.0,,5699.0,,,6250.0,,3832.0,,5553.0,,5533.0,10646.0,6250.0
1967,,6205.0,,3117.0,6845.0,4831.0,7893.0,9219.0,4714.0,,4048.0,,10000.0,,5112.0,8906.0,4503.0,10500.0,,,,6414.0,,4000.0,,8642.0,7206.0,6414.0,6934.0,,1738.0,,,3654.0,5954.0,5752.0,6701.0,6667.0,,4274.0,5000.0,9120.0,1784.0,4119.0,5987.0,20303.0,12299.0,,4089.0,,241.0,10000.0,,6368.0,,,6500.0,,3806.0,,6112.0,,4848.0,11919.0,6500.0
1968,,4557.0,,3045.0,8015.0,6934.0,7726.0,7977.0,5577.0,,4091.0,,10000.0,,4733.0,9017.0,4395.0,7650.0,,,,6332.0,,6481.0,,9383.0,9492.0,2366.0,7498.0,,2465.0,,,4878.0,5575.0,8098.0,6201.0,7500.0,,4437.0,5048.0,9919.0,1167.0,3705.0,5557.0,17247.0,7703.0,,3974.0,,692.0,10000.0,,8096.0,,,6222.0,,3191.0,,5237.0,,2399.0,9743.0,6222.0
1969,,5208.0,,2912.0,8663.0,7453.0,7098.0,10778.0,4433.0,,4130.0,,10000.0,,4863.0,9595.0,4753.0,8250.0,,,,6992.0,,7308.0,,8148.0,6300.0,4447.0,6028.0,,1940.0,,,,5711.0,7521.0,6600.0,7059.0,,4487.0,5111.0,10377.0,1444.0,5126.0,6500.0,20925.0,9622.0,,4122.0,,356.0,10000.0,,8416.0,,,6977.0,,,8000.0,6912.0,,2839.0,13551.0,6977.0
1970,,5376.0,,3289.0,9201.0,7393.0,8241.0,14963.0,5379.0,,4167.0,,10000.0,,4863.0,10514.0,4238.0,4400.0,,,,6989.0,,10506.0,,12346.0,9800.0,14848.0,5124.0,,2603.0,,,,6612.0,9087.0,5989.0,6091.0,,4274.0,5175.0,11881.0,1000.0,4041.0,6039.0,24712.0,9672.0,,3969.0,,451.0,10000.0,,6511.0,,,7111.0,,,15667.0,6204.0,,3460.0,13493.0,7111.0
1971,,6897.0,,3156.0,8606.0,5158.0,6414.0,15049.0,5479.0,,4400.0,,10000.0,,5137.0,12078.0,4404.0,4500.0,,,,5951.0,,7613.0,,10000.0,9595.0,13529.0,6746.0,,2498.0,,,,7463.0,7949.0,7100.0,6667.0,,3376.0,5261.0,11385.0,800.0,5520.0,5130.0,20000.0,12475.0,,3955.0,,488.0,10000.0,,7393.0,,,7727.0,,4080.0,14667.0,4580.0,,4080.0,14049.0,7727.0
1972,,6072.0,,2761.0,10174.0,6557.0,6347.0,14909.0,5377.0,,4259.0,,10000.0,,4500.0,6241.0,4146.0,12500.0,,,,5403.0,,10590.0,,10000.0,7000.0,10588.0,7707.0,,2565.0,,,,6639.0,8371.0,7200.0,5455.0,,4050.0,5353.0,11562.0,600.0,4217.0,5705.0,20000.0,8927.0,,4721.0,,184.0,10000.0,,7584.0,,,8372.0,,3240.0,3733.0,5775.0,,2923.0,11477.0,8372.0
1973,,5278.0,,2769.0,11071.0,8058.0,8739.0,15320.0,5556.0,,4400.0,,10000.0,,4667.0,4280.0,4336.0,11500.0,,,,7705.0,,7158.0,,10000.0,7481.0,13261.0,7923.0,,2481.0,,,,6598.0,8398.0,7700.0,5173.0,,4272.0,3704.0,11336.0,,4607.0,5903.0,20000.0,8109.0,,3831.0,,234.0,10000.0,,6058.0,,,8222.0,,,4000.0,6157.0,,2825.0,12000.0,8222.0
1974,,4788.0,,2113.0,10258.0,9293.0,7892.0,13967.0,5020.0,,4400.0,,10000.0,,4500.0,6169.0,3954.0,9173.0,,,,6567.0,,15053.0,,10000.0,7623.0,9799.0,6869.0,,2472.0,,,,5413.0,5974.0,7803.0,5357.0,,4524.0,3472.0,11649.0,,3686.0,5885.0,22971.0,13108.0,,4045.0,,435.0,10000.0,,5328.0,,,8043.0,,,4133.0,6193.0,,2611.0,12999.0,8043.0
