,Ukraine,Germany,Austria,Belarus,Morocco,Switzerland,USSR,Slovakia,Ecuador,Syrian Arab Republic,Egypt,Greece,Latvia,Lebanon,Peru,Occupied Palestinian Territory,Chile,Hungary,Spain,South Africa,France,Australia & New Zealand,Australia,Portugal,Martinique,Lithuania,Poland,Russian Federation,Argentina,Italy
1961,-1.0,13398.0,-1.0,-1.0,1000.0,-1.0,342000.0,-1.0,2000.0,-1.0,9046.0,4232.0,-1.0,-1.0,1360.0,-1.0,-1.0,2757.0,7846.0,24312.0,-1.0,581.0,581.0,4200.0,-1,-1.0,185000.0,-1.0,300.0,33290.0
1962,-1.0,16141.0,-1.0,-1.0,1000.0,-1.0,325000.0,-1.0,3129.0,-1.0,12199.0,4978.0,-1.0,-1.0,1340.0,-1.0,-1.0,4985.0,7617.0,52163.0,-1.0,406.0,406.0,4600.0,-1,-1.0,171000.0,-1.0,300.0,33260.0
1963,-1.0,12092.0,-1.0,-1.0,1000.0,-1.0,279000.0,-1.0,2951.0,-1.0,12856.0,4165.0,-1.0,-1.0,1430.0,-1.0,-1.0,5748.0,8000.0,59239.0,-1.0,539.0,539.0,4650.0,-1,-1.0,160000.0,-1.0,340.0,34290.0
1964,-1.0,14159.0,-1.0,-1.0,1000.0,-1.0,465000.0,-1.0,2576.0,-1.0,13353.0,3317.0,-1.0,-1.0,1476.0,-1.0,-1.0,4047.0,7403.0,27306.0,-1.0,302.0,302.0,4800.0,-1,-1.0,131000.0,-1.0,420.0,31950.0
1965,-1.0,20923.0,-1.0,-1.0,1000.0,-1.0,550000.0,-1.0,3697.0,-1.0,11827.0,4001.0,-1.0,-1.0,1122.0,-1.0,-1.0,7483.0,5252.0,50802.0,-1.0,340.0,340.0,4200.0,-1,-1.0,189000.0,-1.0,460.0,24050.0
1966,-1.0,16023.0,-1.0,-1.0,1000.0,-1.0,547000.0,-1.0,3280.0,5.0,7298.0,3193.0,-1.0,-1.0,1110.0,-1.0,-1.0,5623.0,6600.0,47173.0,-1.0,264.0,264.0,4071.0,-1,-1.0,185000.0,-1.0,240.0,21270.0
1967,-1.0,16822.0,-1.0,-1.0,1000.0,-1.0,482000.0,-1.0,2481.0,10.0,7030.0,2546.0,-1.0,-1.0,1183.0,-1.0,-1.0,5050.0,6601.0,50348.0,-1.0,452.0,452.0,4276.0,-1,-1.0,163000.0,-1.0,134.0,21860.0
1968,-1.0,13226.0,-1.0,-1.0,1000.0,-1.0,502000.0,-1.0,3267.0,35.0,7000.0,1350.0,-1.0,-1.0,1123.0,-1.0,-1.0,1470.0,6000.0,49895.0,-1.0,2019.0,2019.0,3830.0,-1,-1.0,132000.0,-1.0,375.0,19940.0
1969,-1.0,12036.0,-1.0,-1.0,1000.0,-1.0,478000.0,-1.0,1461.0,40.0,7000.0,1324.0,-1.0,-1.0,1656.0,-1.0,-1.0,4177.0,5062.0,24000.0,-1.0,1504.0,1504.0,3630.0,-1,-1.0,117000.0,-1.0,380.0,18830.0
1970,-1.0,10981.0,-1.0,-1.0,1000.0,-1.0,525000.0,-1.0,3126.0,61.0,6000.0,1141.0,-1.0,-1.0,1445.0,-1.0,-1.0,3958.0,3100.0,43000.0,-1.0,7733.0,7733.0,3619.0,-1,-1.0,126000.0,-1.0,530.0,16530.0
1971,-1.0,13775.0,-1.0,-1.0,1500.0,-1.0,432000.0,-1.0,2299.0,75.0,6000.0,1138.0,-1.0,-1.0,1679.0,-1.0,-1.0,4221.0,4300.0,11000.0,-1.0,25538.0,25538.0,3350.0,-1,-1.0,121000.0,-1.0,550.0,12140.0
1972,-1.0,10884.0,-1.0,-1.0,1600.0,-1.0,466000.0,-1.0,1622.0,182.0,6000.0,1273.0,-1.0,-1.0,1338.0,-1.0,-1.0,1605.0,3900.0,13000.0,-1.0,15500.0,15500.0,3167.0,-1,-1.0,95000.0,-1.0,400.0,11600.0
1973,-1.0,8194.0,-1.0,-1.0,1600.0,-1.0,477000.0,-1.0,685.0,172.0,6000.0,902.0,-1.0,-1.0,1215.0,-1.0,-1.0,2140.0,2600.0,11000.0,-1.0,51200.0,51200.0,2008.0,-1,-1.0,85000.0,-1.0,300.0,9500.0
