,Ecuador,Syrian Arab Republic,Poland,Russian Federation,Australia & New Zealand,Australia,Egypt,Morocco,USSR,Greece,Chile,France,Peru,South Africa,Italy,Portugal,Lithuania,Hungary,Germany
1961,122.0,0.0,21280.0,,68.0,68.0,700.0,100.0,107400.0,722.0,0.0,0.0,40.0,5175.0,2600.0,228.0,,2700.0,3938.0
1962,113.0,0.0,22120.0,,107.0,107.0,700.0,100.0,135600.0,540.0,0.0,0.0,42.0,5865.0,2500.0,232.0,,3500.0,3921.0
1963,102.0,0.0,17780.0,,48.0,48.0,700.0,100.0,126000.0,397.0,0.0,0.0,44.0,2760.0,2200.0,240.0,,4000.0,4135.0
1964,109.0,0.0,21000.0,,47.0,47.0,600.0,100.0,72840.0,453.0,0.0,0.0,45.0,5060.0,1700.0,240.0,,3900.0,4107.0
1965,104.0,0.0,21000.0,,40.0,40.0,500.0,50.0,79320.0,360.0,0.0,0.0,38.0,4905.0,1400.0,232.0,,3900.0,3796.0
1966,95.0,1.0,18900.0,,72.0,72.0,510.0,50.0,72840.0,292.0,0.0,0.0,39.0,4649.0,1400.0,339.0,,4100.0,3516.0
1967,106.0,2.0,15680.0,,249.0,249.0,510.0,50.0,71760.0,179.0,0.0,0.0,41.0,4728.0,1300.0,327.0,,4000.0,2943.0
1968,94.0,2.0,14980.0,,278.0,278.0,510.0,50.0,67560.0,146.0,0.0,0.0,53.0,4531.0,1200.0,347.0,,2600.0,3244.0
1969,117.0,6.0,14980.0,,726.0,726.0,550.0,50.0,74400.0,112.0,0.0,0.0,63.0,4137.0,1000.0,370.0,,1700.0,2578.0
1970,81.0,3.0,13580.0,,1994.0,1994.0,420.0,75.0,57240.0,104.0,0.0,0.0,70.0,2070.0,700.0,307.0,,1800.0,3109.0
1971,81.0,11.0,11760.0,,2554.0,2554.0,510.0,85.0,67200.0,96.0,0.0,0.0,55.0,2070.0,600.0,284.0,,1700.0,3075.0
1972,72.0,12.0,10500.0,,3730.0,3730.0,510.0,85.0,59280.0,77.0,0.0,0.0,54.0,2070.0,500.0,186.0,,1200.0,2536.0
1973,65.0,28.0,12040.0,,6977.0,6977.0,690.0,90.0,52440.0,64.0,0.0,0.0,60.0,1610.0,500.0,196.0,,1000.0,2275.0
1974,33.0,41.0,10460.0,,7803.0,7803.0,370.0,90.0,49560.0,56.0,0.0,0.0,63.0,690.0,400.0,204.0,,1000.0,2384.0
1975,30.0,124.0,10675.0,,6340.0,6340.0,370.0,95.0,43200.0,48.0,3.0,0.0,67.0,460.0,400.0,244.0,,960.0,2405.0
1976,12.0,74.0,9169.0,,4524.0,4524.0,465.0,95.0,42600.0,48.0,60.0,0.0,102.0,460.0,400.0,233.0,,997.0,2792.0
1977,15.0,70.0,8732.0,,3792.0,3792.0,450.0,100.0,36360.0,40.0,204.0,0.0,148.0,460.0,300.0,249.0,,998.0,2534.0
1978,11.0,65.0,5694.0,,5926.0,5926.0,285.0,110.0,34560.0,22.0,240.0,0.0,180.0,460.0,300.0,185.0,,1030.0,2422.0
1979,12.0,72.0,7347.0,,6605.0,6605.0,343.0,115.0,33120.0,24.0,480.0,0.0,209.0,460.0,300.0,211.0,,1052.0,2440.0
1980,19.0,41.0,5027.0,,9024.0,9024.0,600.0,120.0,33720.0,16.0,928.0,0.0,246.0,460.0,300.0,149.0,,1069.0,2500.0
1981,22.0,37.0,7626.0,,14384.0,14384.0,450.0,125.0,32160.0,16.0,600.0,0.0,202.0,460.0,300.0,212.0,,2442.0,2702.0
1982,21.0,31.0,12342.0,,21217.0,21217.0,453.0,130.0,36600.0,24.0,720.0,0.0,166.0,460.0,300.0,184.0,,2275.0,2671.0
1983,25.0,11.0,16053.0,,33254.0,33254.0,350.0,130.0,34440.0,24.0,840.0,0.0,170.0,460.0,300.0,12.0,,2352.0,2867.0
1984,27.0,23.0,16659.0,,32909.0,32909.0,360.0,130.0,26160.0,24.0,970.0,0.0,170.0,460.0,300.0,10.0,,1147.0,2805.0
1985,48.0,18.0,17320.0,,41979.0,41979.0,370.0,135.0,22320.0,16.0,894.0,0.0,160.0,460.0,280.0,9.0,,1125.0,2888.0
1986,40.0,11.0,16286.0,,56836.0,56836.0,380.0,140.0,19440.0,16.0,857.0,0.0,154.0,460.0,272.0,8.0,,1188.0,2625.0
1987,41.0,8.0,16297.0,,47591.0,47591.0,385.0,150.0,16800.0,14.0,809.0,200.0,132.0,460.0,270.0,9.0,,864.0,2615.0
1988,570.0,1.0,18495.0,,45367.0,45367.0,390.0,250.0,18000.0,12.0,1028.0,220.0,108.0,460.0,250.0,7.0,,912.0,3099.0
1989,65.0,16.0,14420.0,,44383.0,44383.0,400.0,255.0,9240.0,12.0,1244.0,244.0,154.0,414.0,290.0,2.0,,1061.0,3040.0
1990,111.0,12.0,15820.0,,52559.0,52559.0,410.0,265.0,7320.0,15.0,992.0,369.0,175.0,345.0,260.0,1.0,,653.0,600.0
1991,123.0,9.0,16800.0,,57818.0,57818.0,415.0,270.0,7320.0,12.0,1021.0,370.0,298.0,322.0,270.0,2.0,,308.0,200.0
1992,137.0,2.0,10360.0,2000.0,64422.0,64422.0,418.0,265.0,,8.0,1523.0,336.0,375.0,345.0,250.0,1.0,0.0,523.0,100.0
1993,152.0,5.0,7700.0,1600.0,78792.0,78792.0,420.0,270.0,,8.0,2489.0,410.0,417.0,418.0,270.0,1.0,0.0,303.0,40.0
1994,236.0,8.0,6300.0,1800.0,74088.0,74088.0,415.0,249.0,,8.0,2981.0,308.0,497.0,299.0,280.0,1.0,0.0,300.0,40.0
1995,198.0,8.0,6300.0,1800.0,70560.0,70560.0,420.0,275.0,,8.0,2142.0,220.0,530.0,368.0,270.0,0.0,0.0,250.0,0.0
1996,142.0,6.0,6160.0,1800.0,79800.0,79800.0,420.0,1000.0,,8.0,1825.0,255.0,607.0,414.0,270.0,0.0,0.0,99.0,0.0
1997,117.0,5.0,1763.0,1800.0,78736.0,78736.0,485.0,1070.0,,8.0,2303.0,313.0,607.0,375.0,270.0,0.0,0.0,177.0,0.0
1998,106.0,3.0,2831.0,1800.0,75432.0,75432.0,420.0,1050.0,,32.0,2247.0,489.0,590.0,437.0,270.0,0.0,0.0,100.0,0.0
1999,128.0,4.0,2286.0,2000.0,66080.0,66080.0,477.0,994.0,,24.0,2644.0,1111.0,730.0,338.0,270.0,0.0,0.0,36.0,0.0
2000,135.0,3.0,2016.0,2000.0,63784.0,63784.0,445.0,977.0,,38.0,1955.0,1255.0,363.0,340.0,300.0,0.0,0.0,173.0,0.0
