,"China, Taiwan Province of",Puerto Rico,United States of America,Romania,Norway,Australia,The former Yugoslav Republic of Macedonia,Slovakia,United Republic of Tanzania,Belgium,Japan,Uruguay,Republic of Moldova,Wallis and Futuna Islands,Qatar,Mauritius,Papua New Guinea,South Africa,China,Serbia and Montenegro,Serbia,Australia & New Zealand,El Salvador,Chile,Canada,Zimbabwe,New Zealand,Austria,Israel,Indonesia,Poland,Switzerland,Trinidad and Tobago,Melanesia,Greece,France,Nigeria,Bosnia and Herzegovina,Hungary,Barbados,Bolivia (Plurinational State of),Samoa,Jamaica,Kazakhstan,American Samoa,Brunei Darussalam,Mexico,Guinea,Ukraine,"China, mainland",Peru,Côte d'Ivoire,Polynesia,Croatia,Bulgaria,Thailand,Occupied Palestinian Territory,Liberia
1961,-1.0,-1.0,2164958.0,-1.0,-1.0,7000.0,,,9000.0,,279200.0,2000.0,,18.0,,-1.0,61976.0,150000.0,-1.0,,,15000.0,-1.0,136000.0,164670.0,-1.0,8000.0,-1.0,,400000.0,-1.0,-1.0,-1.0,61976.0,,-1.0,277000.0,,,,53300.0,3.0,20.0,,4.0,-1.0,-1.0,228000.0,,-1.0,90000.0,39000.0,25.0,,-1.0,10000.0,-1.0,10000.0
1962,-1.0,-1.0,2230484.0,-1.0,-1.0,7500.0,,,9500.0,,269800.0,2000.0,,18.0,,-1.0,65000.0,148000.0,-1.0,,,15500.0,-1.0,140000.0,188132.0,-1.0,8000.0,-1.0,,420000.0,-1.0,-1.0,-1.0,65000.0,,-1.0,248000.0,,,,59300.0,4.0,30.0,,4.0,-1.0,-1.0,210000.0,,-1.0,100000.0,85000.0,26.0,,-1.0,10000.0,-1.0,10200.0
1963,-1.0,-1.0,2128688.0,-1.0,-1.0,8000.0,,,15000.0,,279400.0,2000.0,,18.0,,-1.0,70000.0,154000.0,-1.0,,,16000.0,-1.0,144000.0,143342.0,-1.0,8000.0,-1.0,,440000.0,-1.0,-1.0,-1.0,70000.0,,-1.0,292000.0,,,,65600.0,5.0,40.0,,4.0,-1.0,-1.0,190000.0,,-1.0,100000.0,61000.0,27.0,,-1.0,11500.0,-1.0,10300.0
1964,-1.0,-1.0,1903354.0,-1.0,-1.0,9000.0,,,12000.0,,264000.0,2000.0,,18.0,,-1.0,73000.0,160000.0,-1.0,,,17000.0,-1.0,150000.0,176926.0,-1.0,8000.0,-1.0,,460000.0,-1.0,-1.0,-1.0,73000.0,,-1.0,280000.0,,,,67900.0,6.0,45.0,,4.0,-1.0,-1.0,200000.0,,-1.0,100000.0,54000.0,28.0,,-1.0,12000.0,-1.0,10400.0
1965,-1.0,-1.0,2060251.0,-1.0,-1.0,10000.0,,,10000.0,,261400.0,2000.0,,18.0,,-1.0,75000.0,161000.0,-1.0,,,18100.0,-1.0,156792.0,183510.0,-1.0,8100.0,-1.0,,480000.0,-1.0,-1.0,-1.0,75000.0,,-1.0,290000.0,,,,83400.0,7.0,51.0,,4.0,-1.0,-1.0,160000.0,,-1.0,83495.0,60000.0,29.0,,-1.0,12500.0,-1.0,10500.0
1966,-1.0,-1.0,2331725.0,-1.0,-1.0,11500.0,,,14000.0,,270500.0,2084.0,,18.0,,-1.0,78000.0,170000.0,-1.0,,,20125.0,-1.0,140000.0,206630.0,-1.0,8625.0,-1.0,,500000.0,-1.0,-1.0,-1.0,78000.0,,-1.0,244000.0,,,,104800.0,8.0,84.0,,5.0,-1.0,-1.0,227000.0,,-1.0,108451.0,67000.0,31.0,,-1.0,13000.0,-1.0,10600.0
1967,-1.0,-1.0,2503137.0,-1.0,-1.0,12500.0,,,14000.0,,291700.0,2100.0,,20.0,,-1.0,80000.0,168000.0,-1.0,,,23000.0,-1.0,130000.0,195510.0,-1.0,10500.0,-1.0,,520000.0,-1.0,-1.0,-1.0,80000.0,,-1.0,238000.0,,,,109200.0,8.0,65.0,,5.0,-1.0,-1.0,247000.0,,-1.0,119730.0,66000.0,33.0,,-1.0,14000.0,-1.0,10800.0
1968,-1.0,-1.0,2793615.0,-1.0,-1.0,14665.0,,,14000.0,,278000.0,2200.0,,20.0,,-1.0,85000.0,169000.0,-1.0,,,27996.0,-1.0,125000.0,224720.0,-1.0,13331.0,-1.0,,556000.0,-1.0,-1.0,-1.0,85000.0,,-1.0,282000.0,,,,113500.0,9.0,67.0,,5.0,-1.0,-1.0,290000.0,,-1.0,89039.0,70000.0,34.0,,-1.0,15000.0,-1.0,11000.0
1969,-1.0,-1.0,2503046.0,-1.0,-1.0,15399.0,,,15000.0,,274600.0,2300.0,,20.0,,-1.0,82000.0,176000.0,-1.0,,,29870.0,-1.0,120000.0,232754.0,-1.0,14471.0,-1.0,,568000.0,-1.0,-1.0,-1.0,82000.0,,-1.0,314000.0,,,,90000.0,10.0,21.0,,5.0,-1.0,-1.0,262000.0,,-1.0,121807.0,80000.0,35.0,,-1.0,16000.0,-1.0,11000.0
1970,-1.0,-1.0,2307231.0,-1.0,-1.0,18872.0,,,16000.0,,302600.0,2397.0,,20.0,,-1.0,89000.0,182000.0,-1.0,,,37681.0,-1.0,116000.0,215277.0,-1.0,18809.0,-1.0,,581000.0,-1.0,-1.0,-1.0,89000.0,,-1.0,361000.0,,,,93000.0,10.0,25.0,,5.0,-1.0,-1.0,312000.0,,-1.0,133405.0,73000.0,35.0,,-1.0,17000.0,-1.0,11000.0
