,Wallis and Futuna Islands,Polynesia,Samoa
1961,7.0,8.0,0.0
1962,7.0,8.0,0.0
1963,7.0,8.0,0.0
1964,7.0,8.0,1.0
1965,7.0,8.0,1.0
1966,7.0,8.0,1.0
1967,8.0,9.0,1.0
1968,8.0,9.0,1.0
1969,8.0,9.0,1.0
1970,8.0,9.0,1.0
1971,8.0,9.0,1.0
1972,8.0,9.0,1.0
1973,8.0,9.0,1.0
1974,8.0,9.0,1.0
1975,8.0,9.0,1.0
1976,8.0,9.0,1.0
1977,9.0,10.0,1.0
1978,10.0,10.0,1.0
1979,10.0,11.0,1.0
1980,11.0,12.0,1.0
1981,11.0,12.0,1.0
1982,12.0,13.0,1.0
1983,12.0,13.0,1.0
1984,12.0,13.0,1.0
1985,13.0,14.0,1.0
1986,14.0,15.0,1.0
1987,14.0,15.0,1.0
1988,14.0,16.0,1.0
1989,15.0,16.0,1.0
1990,15.0,16.0,1.0
1991,16.0,17.0,1.0
1992,16.0,17.0,1.0
1993,14.0,16.0,1.0
1994,21.0,22.0,1.0
1995,22.0,23.0,1.0
1996,23.0,24.0,1.0
1997,22.0,23.0,1.0
1998,23.0,24.0,1.0
1999,23.0,24.0,1.0
2000,24.0,25.0,1.0
2001,26.0,27.0,1.0
2002,24.0,25.0,1.0
2003,23.0,24.0,1.0
2004,25.0,26.0,1.0
2005,23.0,24.0,1.0
2006,24.0,25.0,1.0
2007,16.0,17.0,1.0
2008,16.0,17.0,1.0
2009,24.0,25.0,1.0
2010,24.0,25.0,1.0
2011,23.0,25.0,2.0
2012,24.0,25.0,1.0
2013,25.0,26.0,1.0
2014,21.0,23.0,1.0
