,Burundi,Ethiopia,Argentina,Brazil,Paraguay,Sudan (former)
1961,,,131000.0,131648.0,16000.0,
1962,,,141000.0,136026.0,16000.0,
1963,,,122000.0,125051.0,20000.0,
1964,,,130000.0,127770.0,22000.0,
1965,,,118000.0,123325.0,25000.0,
1966,,,114000.0,122834.0,26000.0,
1967,,,111000.0,106460.0,18000.0,
1968,,,119400.0,97272.0,19000.0,
1969,,,100400.0,100535.0,20000.0,
1970,,,112900.0,113460.0,19530.0,
1971,,,113008.0,105897.0,15760.0,
1972,,,126561.0,105000.0,18400.0,
1973,,,127636.0,104287.0,16560.0,
1974,,,122518.0,86136.0,18550.0,
1975,,,138673.0,94636.0,19850.0,
1976,,,151924.0,86539.0,20370.0,
1977,,,147816.0,94695.0,22400.0,
1978,,,133436.0,85481.0,24640.0,
1979,,,143146.0,84035.0,25870.0,
1980,,,134813.0,105004.0,30000.0,
1981,,,139745.0,101878.0,35000.0,
1982,,,161371.0,98875.0,41163.0,
1983,,,136210.0,121501.0,40560.0,
1984,,,181625.0,128663.0,41786.0,
1985,,,154469.0,138177.0,43039.0,
1986,,,155740.0,161770.0,44331.0,
1987,,,131995.0,203658.0,45520.0,
1988,,,137401.0,209174.0,49935.0,
1989,,,144838.0,190872.0,53430.0,
1990,,,155830.0,147072.0,57812.0,0.0
1991,,,160761.0,166431.0,62553.0,-1.0
1992,,,172455.0,145973.0,63040.0,-1.0
1993,,-1.0,221321.0,227338.0,64151.0,-1.0
1994,,-1.0,240414.0,222377.0,63361.0,-1.0
1995,,-1.0,260718.0,247214.0,63864.0,-1.0
1996,,-1.0,269970.0,214576.0,64531.0,-1.0
1997,,-1.0,281573.0,307327.0,65901.0,-1.0
1998,,-1.0,286770.0,424433.0,66470.0,-1.0
1999,,-1.0,310000.0,462665.0,67173.0,
2000,,-1.0,285000.0,522019.0,58743.0,
2001,,-1.0,310000.0,645765.0,68910.0,
2002,-1.0,-1.0,285000.0,513526.0,136589.0,
2003,,-1.0,285000.0,501702.0,89042.0,
2004,,-1.0,251922.0,403281.0,76723.0,
2005,,-1.0,265181.0,429730.0,74000.0,
2006,,-1.0,280000.0,434483.0,86080.0,
2007,,-1.0,290000.0,438474.0,87500.0,
2008,,-1.0,237858.0,434727.0,76663.0,
2009,,-1.0,228499.0,443126.0,76726.0,
2010,,-1.0,250723.0,602559.0,85490.0,
2011,,-1.0,245399.0,443635.0,85490.0,
2012,,-1.0,250928.0,513256.0,57350.0,
2013,,-1.0,241365.0,515451.0,85834.0,
2014,,-1.0,237114.0,602559.0,92000.0,
