,Netherlands,Austria,Zambia,Ecuador,Gambia,Russia,Paraguay,Mexico,Canada,Kenya,Greece,South Korea,Kuwait,United Kingdom,Sri Lanka,Nepal,Romania,Cameroon,Finland,Germany,Thailand,Denmark,Barbados,Yemen,Haiti,Sudan,Libya,Portugal,Cuba,Reunion,Malta,Trinidad and Tobago,Venezuela,Bulgaria,Niger,Guatemala,Iceland,Dominican Republic,Ghana,Uruguay,Benin,Italy,Lesotho,Honduras,Egypt,Argentina,Luxembourg,Czech Republic,Algeria,Syria,Peru,Cambodia,Democratic Republic of Congo,Colombia,Sweden,Turkey,New Zealand,Iraq,Hungary,Belize,Indonesia,South Africa,Swaziland,Jordan,Japan,Afghanistan,Jamaica,Serbia,Cyprus,Hong Kong,Guyana,El Salvador,Brazil,Malawi,Spain,Malaysia,Senegal,Belgium,Taiwan,Fiji,Morocco,Philippines,Togo,Chile,Mali,Tunisia,Cote d'Ivoire,Liberia,Costa Rica,Nicaragua,Mozambique,Albania,Pakistan,Bolivia,Uganda,Bangladesh,Iran,Myanmar,China,Norway,Ireland,France,Sierra Leone,Poland,Mauritius,Australia,Switzerland,Panama,United States,Zimbabwe,India
1870,2.94,2.16,0.01,0.19,0.05,0.15,0.07,0.37,2.72,0.01,0.78,0.01,0.01,0.92,0.17,0.01,0.1,0.01,0.13,2.22,0.01,2.45,0.93,0.01,0.01,0.01,0.01,0.27,0.12,0.22,0.31,0.5,0.02,0.91,0.01,0.22,0.85,0.07,0.01,0.34,0.01,0.88,0.03,0.25,0.02,0.39,0.04,3.14,0.1,0.01,0.03,0.01,0.01,0.32,3.6,0.01,3.53,0.01,1.82,0.4,0.01,0.68,0.01,0.01,0.53,0.01,0.68,0.09,0.29,0.01,0.25,0.22,0.14,0.01,1.58,0.02,0.01,2.42,,0.01,0.01,0.03,0.01,0.43,0.01,0.01,0.01,0.05,0.32,0.17,0.01,0.02,0.01,0.06,0.01,0.01,0.01,0.05,0.01,4.24,0.74,0.71,0.02,1.38,0.19,1.74,4.09,0.08,4.28,0.01,0.03
1871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,3.01,2.31,0.01,0.24,0.06,0.18,0.09,0.45,2.85,0.01,0.89,0.01,0.01,0.98,0.18,0.01,0.11,0.01,0.16,2.44,0.01,2.5,1.06,0.01,0.01,0.01,0.01,0.34,0.16,0.27,0.37,0.59,0.02,0.95,0.01,0.26,0.93,0.1,0.02,0.41,0.01,0.95,0.05,0.3,0.02,0.49,0.05,3.25,0.13,0.01,0.04,0.01,0.01,0.37,3.71,0.01,3.47,0.01,2.01,0.49,0.01,0.8,0.01,0.01,0.63,0.01,0.78,0.1,0.35,0.02,0.38,0.27,0.18,0.01,1.86,0.02,0.01,2.38,,0.01,0.01,0.04,0.01,0.51,0.01,0.01,0.01,0.06,0.4,0.2,0.01,0.03,0.01,0.08,0.01,0.02,0.01,0.07,0.01,4.47,0.86,0.82,0.03,1.49,0.23,1.91,4.28,0.11,4.6,0.01,0.03
1876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880,3.11,2.5,0.01,0.3,0.08,0.21,0.11,0.54,2.99,0.01,1.02,0.01,0.01,1.15,0.2,0.01,0.13,0.01,0.19,2.67,0.01,2.56,1.21,0.01,0.01,0.01,0.01,0.42,0.2,0.33,0.44,0.69,0.02,0.99,0.01,0.32,1.01,0.14,0.02,0.51,0.01,1.08,0.07,0.37,0.03,0.59,0.06,3.36,0.16,0.02,0.05,0.01,0.01,0.42,3.85,0.02,3.62,0.01,2.26,0.61,0.01,0.96,0.01,0.02,0.75,0.01,0.92,0.14,0.42,0.04,0.63,0.34,0.22,0.01,2.19,0.03,0.01,2.55,,0.01,0.01,0.05,0.01,0.58,0.01,0.01,0.01,0.07,0.48,0.25,0.01,0.03,0.01,0.1,0.01,0.02,0.01,0.1,0.01,4.69,0.99,1.21,0.03,1.6,0.3,2.06,4.47,0.13,4.91,0.01,0.04
1881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885,3.2,2.74,0.01,0.37,0.1,0.24,0.14,0.63,3.1,0.02,1.14,0.01,0.01,1.4,0.24,0.01,0.15,0.02,0.23,2.89,0.01,2.63,1.28,0.01,0.01,0.01,0.01,0.51,0.25,0.41,0.52,0.86,0.03,1.05,0.01,0.38,1.11,0.19,0.02,0.62,0.01,1.22,0.1,0.46,0.04,0.65,0.08,3.47,0.2,0.02,0.07,0.01,0.01,0.48,3.98,0.02,3.86,0.01,2.55,0.76,0.01,1.15,0.01,0.02,0.93,0.01,1.13,0.2,0.51,0.07,0.87,0.42,0.26,0.01,2.54,0.04,0.01,2.65,,0.01,0.01,0.07,0.02,0.64,0.01,0.01,0.01,0.09,0.59,0.31,0.01,0.04,0.01,0.12,0.01,0.03,0.01,0.16,0.01,4.91,1.12,1.56,0.04,1.72,0.38,2.39,4.68,0.17,5.18,0.01,0.06
1886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890,3.28,3.04,0.01,0.45,0.13,0.27,0.18,0.71,3.18,0.02,1.26,0.01,0.01,1.81,0.3,0.01,0.17,0.02,0.3,3.1,0.02,2.71,1.37,0.01,0.01,0.01,0.01,0.6,0.33,0.5,0.62,1.05,0.04,1.12,0.01,0.46,1.22,0.22,0.03,0.75,0.01,1.36,0.15,0.55,0.05,0.7,0.1,3.59,0.23,0.02,0.1,0.01,0.01,0.51,4.09,0.03,4.12,0.01,2.83,0.94,0.02,1.3,0.01,0.02,1.26,0.01,1.42,0.29,0.61,0.12,1.11,0.51,0.3,0.01,2.84,0.05,0.01,2.63,0.01,0.02,0.01,0.09,0.02,0.69,0.01,0.01,0.01,0.11,0.72,0.38,0.01,0.05,0.01,0.15,0.01,0.03,0.01,0.23,0.01,5.12,1.3,1.8,0.05,1.84,0.49,2.74,4.91,0.21,5.55,0.01,0.1
1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1895,3.37,3.36,0.01,0.56,0.16,0.33,0.25,0.78,3.35,0.02,1.37,0.01,0.01,2.16,0.39,0.01,0.21,0.03,0.39,3.31,0.03,2.78,1.41,0.01,0.01,0.01,0.01,0.71,0.44,0.61,0.73,1.29,0.05,1.31,0.01,0.59,1.34,0.26,0.04,0.85,0.01,1.51,0.22,0.66,0.07,0.83,0.12,3.7,0.27,0.03,0.15,0.01,0.01,0.52,4.21,0.04,4.35,0.01,3.17,1.14,0.03,1.3,0.01,0.03,1.55,0.01,1.71,0.4,0.78,0.2,1.3,0.6,0.33,0.01,3.09,0.06,0.01,2.65,0.01,0.03,0.01,0.12,0.03,0.75,0.01,0.01,0.02,0.13,0.87,0.46,0.01,0.06,0.01,0.19,0.01,0.04,0.01,0.29,0.01,5.41,1.5,2.09,0.06,1.97,0.6,2.97,5.13,0.26,5.93,0.01,0.13
1896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
