,"China, Taiwan Province of",Sudan,Mali,Central African Republic,Iran (Islamic Republic of),China,Mexico,Sudan (former),"China, mainland",Greece,Chad,South Sudan,Democratic Republic of the Congo,Nigeria,Senegal,Cameroon,Mauritania,Congo
1961,,,,,4000.0,,,,,4752.0,6571.0,,4000.0,3225.0,4250.0,4516.0,6087.0,4571.0
1962,,,,,4000.0,,,,,5056.0,6667.0,,4130.0,3176.0,4500.0,4480.0,6042.0,4857.0
1963,,,,,4000.0,,,,,5786.0,6757.0,,4255.0,3932.0,4750.0,4603.0,6000.0,5000.0
1964,,,,,4000.0,,,,,6457.0,6842.0,,4375.0,3427.0,5000.0,4375.0,6000.0,5000.0
1965,,,,,4000.0,,,,,6102.0,6923.0,,4694.0,3585.0,5000.0,4496.0,5926.0,5139.0
1966,,,,,4091.0,,,,,7384.0,7000.0,,4948.0,2562.0,6923.0,4615.0,5926.0,5278.0
1967,,,,,4000.0,,,,,7582.0,7250.0,,5550.0,2599.0,6686.0,4415.0,6000.0,5270.0
1968,,,,,4074.0,,,,,7585.0,7143.0,,5000.0,1936.0,6735.0,4348.0,6071.0,5270.0
1969,,,,,4068.0,,,,,8321.0,7143.0,,5455.0,1650.0,7000.0,6523.0,6034.0,5405.0
1970,,,,,4063.0,,,,,8406.0,7045.0,,4961.0,1717.0,6550.0,5934.0,6000.0,5405.0
1971,,,,,4118.0,,,,,1716.0,7045.0,,4924.0,1556.0,6383.0,5888.0,6034.0,5405.0
1972,5319.0,,,,4167.0,5319.0,,,,7422.0,6739.0,,5253.0,2749.0,6329.0,6000.0,6000.0,5676.0
1973,5900.0,,,,4211.0,5900.0,,,,8826.0,6957.0,,5382.0,4044.0,6744.0,5311.0,6000.0,5676.0
1974,6021.0,,,,4250.0,6021.0,,,,8845.0,7083.0,,5206.0,5506.0,6250.0,6137.0,6087.0,5676.0
1975,5201.0,,,,4235.0,5201.0,,,,12747.0,7000.0,,5295.0,8814.0,10000.0,7358.0,5926.0,5733.0
1976,6766.0,,,,4222.0,6766.0,,,,10133.0,7400.0,,5613.0,9022.0,5560.0,7288.0,5926.0,5789.0
1977,7336.0,,,,4255.0,7336.0,,,,10525.0,6400.0,,5232.0,8659.0,3548.0,6968.0,6000.0,5921.0
1978,3275.0,,,,4286.0,3275.0,,,,10312.0,6538.0,,5389.0,8030.0,1986.0,5303.0,6000.0,5897.0
1979,5365.0,,,,4082.0,5365.0,,,,11791.0,7037.0,,5000.0,10097.0,2145.0,5306.0,6061.0,5875.0
1980,3800.0,,,,4082.0,3800.0,,,,11775.0,7143.0,,5008.0,12368.0,2000.0,5444.0,6053.0,5854.0
1981,5783.0,,,,4286.0,5783.0,,,,13939.0,7500.0,,5000.0,8478.0,2143.0,5556.0,6053.0,5976.0
1982,2487.0,,,,4310.0,2487.0,,,,12429.0,7500.0,,5008.0,13704.0,2143.0,5549.0,6000.0,5952.0
1983,2740.0,,,,4333.0,2740.0,,,,13948.0,7544.0,,5000.0,12743.0,2267.0,5556.0,5952.0,5930.0
1984,2916.0,,,,4390.0,2916.0,,,,13057.0,7143.0,,5000.0,8720.0,2267.0,5652.0,6000.0,5909.0
1985,5408.0,,,,4494.0,5408.0,,,,13856.0,7143.0,,5000.0,8033.0,2267.0,5652.0,5957.0,5870.0
1986,4027.0,,,,4422.0,4027.0,,,,12979.0,7143.0,,5098.0,10200.0,2237.0,5699.0,6042.0,6087.0
1987,5328.0,,,,4842.0,12046.0,,,13636.0,14088.0,7143.0,,5102.0,10000.0,2237.0,5668.0,6000.0,5938.0
1988,5277.0,,,,4287.0,10908.0,,,12500.0,14878.0,7143.0,,5113.0,8929.0,2237.0,5660.0,6000.0,5800.0
1989,4400.0,,,,5000.0,13561.0,,,14000.0,32675.0,7143.0,,5104.0,10000.0,2237.0,5663.0,5962.0,5455.0
1990,4692.0,,,6400.0,5000.0,16373.0,,6452.0,16522.0,39714.0,5455.0,,5130.0,9043.0,1615.0,5680.0,6038.0,5167.0
1991,5376.0,,,6431.0,5345.0,13647.0,,6364.0,13684.0,39124.0,6776.0,,5128.0,9481.0,2364.0,5729.0,6000.0,4923.0
1992,7000.0,,,6432.0,5374.0,13747.0,1719.0,6400.0,13750.0,29691.0,6768.0,,5127.0,9506.0,2339.0,5800.0,6038.0,4714.0
1993,5357.0,,,6429.0,5402.0,10329.0,1111.0,6494.0,10333.0,29412.0,6760.0,,5125.0,10000.0,2313.0,5789.0,6087.0,4722.0
1994,2500.0,,,6455.0,5431.0,5769.0,901.0,6538.0,5769.0,29412.0,6752.0,,5123.0,10000.0,2288.0,5777.0,6000.0,4800.0
1995,,,,6542.0,5459.0,8088.0,1257.0,6531.0,8088.0,26667.0,6744.0,,5081.0,10070.0,2263.0,5772.0,5991.0,4795.0
