,Ukraine,Germany,Sweden,Belarus,Czechoslovakia,Bhutan,Serbia,China,USSR,Mexico,Romania,Italy,Sri Lanka,Nepal,Ethiopia,Denmark,Canada,Australia,Czechia,United Kingdom,Hungary,Kazakhstan,Bulgaria,Australia & New Zealand,United States of America,Iran (Islamic Republic of),France,Lithuania,"China, mainland",Russian Federation,Kyrgyzstan,Slovakia,Myanmar,Turkey
1961,-1.0,3513.0,23890.0,-1,1692.0,1100.0,-1.0,-1.0,75700.0,-1.0,2400.0,3100.0,733.0,71000.0,-1.0,17000.0,17010.0,329.0,-1.0,2500.0,-1.0,-1.0,1200.0,329.0,10825.0,-1.0,13678.0,-1.0,-1.0,-1.0,-1.0,-1.0,800.0,-1.0
1962,-1.0,13295.0,27290.0,-1,7280.0,1150.0,-1.0,-1.0,84000.0,-1.0,1600.0,3000.0,1072.0,70680.0,-1.0,16000.0,22725.0,298.0,-1.0,2100.0,-1.0,-1.0,1200.0,298.0,7120.0,-1.0,10282.0,-1.0,-1.0,-1.0,-1.0,-1.0,700.0,-1.0
1963,-1.0,6250.0,27950.0,-1,5084.0,1150.0,-1.0,-1.0,80000.0,-1.0,1700.0,2700.0,1800.0,70680.0,-1.0,6843.0,48761.0,472.0,-1.0,1500.0,-1.0,-1.0,1000.0,472.0,4716.0,-1.0,10766.0,-1.0,-1.0,-1.0,-1.0,-1.0,1200.0,-1.0
1964,-1.0,1921.0,39600.0,-1,1816.0,1200.0,-1.0,-1.0,85000.0,-1.0,1500.0,2500.0,1300.0,71005.0,-1.0,4580.0,22543.0,177.0,-1.0,1850.0,-1.0,-1.0,1700.0,177.0,6586.0,-1.0,6659.0,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,-1.0
1965,-1.0,1857.0,12300.0,-1,1143.0,1200.0,-1.0,-1.0,53000.0,-1.0,400.0,2000.0,1186.0,51390.0,-1.0,8214.0,55655.0,310.0,-1.0,1850.0,-1.0,-1.0,1500.0,310.0,5742.0,-1.0,6622.0,-1.0,-1.0,-1.0,-1.0,-1.0,1440.0,-1.0
1966,-1.0,3795.0,8270.0,-1,1413.0,1250.0,-1.0,-1.0,80000.0,-1.0,600.0,1500.0,1136.0,51000.0,-1.0,9305.0,75024.0,206.0,-1.0,2000.0,-1.0,-1.0,1300.0,206.0,5717.0,-1.0,6600.0,-1.0,-1.0,-1.0,-1.0,-1.0,1605.0,-1.0
1967,-1.0,3841.0,5990.0,-1,1893.0,1300.0,-1.0,-1.0,95000.0,-1.0,700.0,1000.0,1465.0,56000.0,-1.0,13350.0,67993.0,240.0,-1.0,1850.0,-1.0,-1.0,200.0,240.0,5679.0,-1.0,5978.0,-1.0,-1.0,-1.0,-1.0,-1.0,1902.0,-1.0
1968,-1.0,3718.0,5840.0,-1,1199.0,1300.0,-1.0,-1.0,80000.0,-1.0,700.0,1000.0,1484.0,52000.0,-1.0,15958.0,212734.0,164.0,-1.0,2200.0,-1.0,-1.0,700.0,164.0,4768.0,-1.0,5585.0,-1.0,-1.0,-1.0,-1.0,-1.0,2002.0,-1.0
1969,-1.0,4473.0,2690.0,-1,1243.0,1350.0,-1.0,-1.0,28000.0,-1.0,1200.0,900.0,1197.0,54000.0,-1.0,11467.0,117026.0,355.0,-1.0,2000.0,-1.0,-1.0,600.0,355.0,4536.0,-1.0,5180.0,-1.0,-1.0,-1.0,-1.0,-1.0,1903.0,-1.0
1970,-1.0,2027.0,2430.0,-1,1013.0,1350.0,-1.0,-1.0,87000.0,-1.0,1200.0,800.0,968.0,57000.0,-1.0,6321.0,85230.0,287.0,-1.0,900.0,-1.0,-1.0,500.0,287.0,12300.0,-1.0,6020.0,-1.0,-1.0,-1.0,-1.0,-1.0,2642.0,-1.0
1971,-1.0,2929.0,2400.0,-1,844.0,1400.0,-1.0,-1.0,66000.0,-1.0,1600.0,410.0,1690.0,54905.0,-1.0,4378.0,84187.0,444.0,-1.0,2500.0,-1.0,-1.0,300.0,444.0,13140.0,-1.0,6160.0,-1.0,-1.0,-1.0,-1.0,-1.0,2960.0,-1.0
1972,-1.0,5098.0,1120.0,-1,818.0,1400.0,-1.0,-1.0,20000.0,-1.0,1900.0,250.0,1929.0,57444.0,-1.0,2598.0,68719.0,300.0,-1.0,300.0,-1.0,-1.0,700.0,300.0,13980.0,-1.0,3000.0,-1.0,-1.0,-1.0,-1.0,-1.0,2746.0,-1.0
1973,-1.0,4405.0,1150.0,-1,1435.0,1450.0,-1.0,-1.0,131000.0,-1.0,2100.0,215.0,2039.0,59575.0,-1.0,9802.0,118841.0,360.0,-1.0,1900.0,-1.0,-1.0,500.0,360.0,14820.0,-1.0,2900.0,-1.0,-1.0,-1.0,-1.0,-1.0,3032.0,-1.0
1974,-1.0,6135.0,2590.0,-1,2894.0,1500.0,-1.0,-1.0,122000.0,-1.0,3500.0,220.0,1495.0,63621.0,-1.0,28471.0,117934.0,169.0,-1.0,2900.0,-1.0,-1.0,300.0,169.0,15600.0,-1.0,3240.0,-1.0,-1.0,-1.0,-1.0,-1.0,3014.0,-1.0
1975,-1.0,4268.0,1660.0,-1,1328.0,1550.0,-1.0,-1.0,16000.0,-1.0,3500.0,220.0,1623.0,65848.0,-1.0,2085.0,50122.0,39.0,-1.0,2000.0,-1.0,-1.0,300.0,39.0,15830.0,-1.0,1329.0,-1.0,-1.0,-1.0,-1.0,-1.0,3203.0,-1.0
1976,-1.0,2974.0,1800.0,-1,828.0,1600.0,-1.0,-1.0,106000.0,-1.0,400.0,170.0,2195.0,68487.0,-1.0,873.0,35289.0,456.0,-1.0,2300.0,-1.0,-1.0,300.0,456.0,16000.0,-1.0,1070.0,-1.0,-1.0,-1.0,-1.0,-1.0,3728.0,-1.0
1977,-1.0,4999.0,2600.0,-1,2511.0,1650.0,-1.0,-1.0,64000.0,-1.0,2500.0,120.0,1857.0,61382.0,-1.0,2914.0,79378.0,709.0,-1.0,500.0,-1.0,-1.0,700.0,709.0,16180.0,-1.0,1682.0,-1.0,-1.0,-1.0,-1.0,-1.0,5049.0,-1.0
1978,-1.0,7441.0,1400.0,-1,3248.0,1700.0,-1.0,-1.0,121000.0,-1.0,3500.0,140.0,1848.0,78450.0,-1.0,2978.0,103419.0,947.0,-1.0,1300.0,-1.0,-1.0,150.0,947.0,16350.0,-1.0,2251.0,-1.0,-1.0,-1.0,-1.0,-1.0,4580.0,-1.0
1979,-1.0,8981.0,5400.0,-1,6070.0,1750.0,-1.0,-1.0,63000.0,-1.0,3100.0,190.0,1300.0,92500.0,-1.0,716.0,49895.0,874.0,-1.0,1300.0,-1.0,-1.0,100.0,874.0,14800.0,-1.0,2200.0,-1.0,-1.0,-1.0,-1.0,-1.0,4717.0,-1.0
1980,-1.0,5551.0,3800.0,-1,5082.0,1800.0,-1.0,-1.0,64000.0,24.0,2800.0,80.0,1108.0,61870.0,-1.0,496.0,90700.0,169.0,-1.0,2800.0,-1.0,-1.0,500.0,169.0,13260.0,-1.0,3000.0,-1.0,-1.0,-1.0,-1.0,-1.0,5561.0,-1.0
1981,-1.0,5517.0,4000.0,-1,3870.0,1900.0,-1.0,-1.0,45000.0,48.0,1800.0,50.0,800.0,77140.0,-1.0,337.0,97700.0,175.0,-1.0,2600.0,-1.0,-1.0,200.0,175.0,11710.0,-1.0,3000.0,-1.0,-1.0,-1.0,-1.0,-1.0,5899.0,10.0
1982,-1.0,7230.0,1700.0,-1,4668.0,1890.0,-1.0,-1.0,94000.0,-1.0,1400.0,10.0,686.0,79120.0,-1.0,415.0,76500.0,176.0,-1.0,600.0,-1.0,-1.0,400.0,176.0,10160.0,-1.0,800.0,-1.0,-1.0,-1.0,-1.0,-1.0,6526.0,10.0
1983,-1.0,6778.0,500.0,-1,3580.0,2300.0,-1.0,-1.0,97000.0,-1.0,900.0,10.0,900.0,69590.0,-1.0,542.0,86400.0,129.0,-1.0,1100.0,-1.0,-1.0,100.0,129.0,10620.0,-1.0,900.0,-1.0,-1.0,-1.0,-1.0,-1.0,7704.0,20.0
1984,-1.0,10015.0,1300.0,-1,6978.0,3501.0,-1.0,-1.0,37000.0,-1.0,1000.0,20.0,700.0,73350.0,-1.0,200.0,112400.0,289.0,-1.0,300.0,-1.0,-1.0,600.0,289.0,11080.0,-1.0,900.0,-1.0,-1.0,-1.0,-1.0,-1.0,10956.0,30.0
