,Slovakia,USSR,Bhutan,Sweden,Belarus,Denmark,Sri Lanka,Mexico,Czechoslovakia,Ethiopia,Turkey,France,Czechia,Romania,Italy,Hungary,Germany,Russian Federation,Bulgaria,Iran (Islamic Republic of),Kazakhstan,China,United States of America,Australia & New Zealand,Serbia,"China, mainland",Nepal,Canada,Australia,United Kingdom,Lithuania,Kyrgyzstan,Myanmar,Ukraine
1961,,75700.0,1100.0,23890.0,,17000.0,733.0,,1692.0,,,13678.0,,2400.0,3100.0,-1.0,3513.0,,1200.0,,,-1.0,10825.0,329.0,,-1.0,71000.0,17010.0,329.0,2500.0,,,800.0,
1962,,84000.0,1150.0,27290.0,,16000.0,1072.0,,7280.0,,,10282.0,,1600.0,3000.0,-1.0,13295.0,,1200.0,,,-1.0,7120.0,298.0,,-1.0,70680.0,22725.0,298.0,2100.0,,,700.0,
1963,,80000.0,1150.0,27950.0,,6843.0,1800.0,,5084.0,,,10766.0,,1700.0,2700.0,-1.0,6250.0,,1000.0,,,-1.0,4716.0,472.0,,-1.0,70680.0,48761.0,472.0,1500.0,,,1200.0,
1964,,85000.0,1200.0,39600.0,,4580.0,1300.0,,1816.0,,,6659.0,,1500.0,2500.0,-1.0,1921.0,,1700.0,,,-1.0,6586.0,177.0,,-1.0,71005.0,22543.0,177.0,1850.0,,,1000.0,
1965,,53000.0,1200.0,12300.0,,8214.0,1186.0,,1143.0,,,6622.0,,400.0,2000.0,-1.0,1857.0,,1500.0,,,-1.0,5742.0,310.0,,-1.0,51390.0,55655.0,310.0,1850.0,,,1440.0,
1966,,80000.0,1250.0,8270.0,,9305.0,1136.0,,1413.0,,,6600.0,,600.0,1500.0,-1.0,3795.0,,1300.0,,,-1.0,5717.0,206.0,,-1.0,51000.0,75024.0,206.0,2000.0,,,1605.0,
1967,,95000.0,1300.0,5990.0,,13350.0,1465.0,,1893.0,,,5978.0,,700.0,1000.0,-1.0,3841.0,,200.0,,,-1.0,5679.0,240.0,,-1.0,56000.0,67993.0,240.0,1850.0,,,1902.0,
1968,,80000.0,1300.0,5840.0,,15958.0,1484.0,,1199.0,,,5585.0,,700.0,1000.0,-1.0,3718.0,,700.0,,,-1.0,4768.0,164.0,,-1.0,52000.0,212734.0,164.0,2200.0,,,2002.0,
1969,,28000.0,1350.0,2690.0,,11467.0,1197.0,,1243.0,,,5180.0,,1200.0,900.0,-1.0,4473.0,,600.0,,,-1.0,4536.0,355.0,,-1.0,54000.0,117026.0,355.0,2000.0,,,1903.0,
1970,,87000.0,1350.0,2430.0,,6321.0,968.0,,1013.0,,,6020.0,,1200.0,800.0,-1.0,2027.0,,500.0,,,-1.0,12300.0,287.0,,-1.0,57000.0,85230.0,287.0,900.0,,,2642.0,
1971,,66000.0,1400.0,2400.0,,4378.0,1690.0,,844.0,,,6160.0,,1600.0,410.0,-1.0,2929.0,,300.0,,,-1.0,13140.0,444.0,,-1.0,54905.0,84187.0,444.0,2500.0,,,2960.0,
1972,,20000.0,1400.0,1120.0,,2598.0,1929.0,,818.0,,,3000.0,,1900.0,250.0,-1.0,5098.0,,700.0,,,-1.0,13980.0,300.0,,-1.0,57444.0,68719.0,300.0,300.0,,,2746.0,
1973,,131000.0,1450.0,1150.0,,9802.0,2039.0,,1435.0,,,2900.0,,2100.0,215.0,-1.0,4405.0,,500.0,,,-1.0,14820.0,360.0,,-1.0,59575.0,118841.0,360.0,1900.0,,,3032.0,
1974,,122000.0,1500.0,2590.0,,28471.0,1495.0,,2894.0,,,3240.0,,3500.0,220.0,-1.0,6135.0,,300.0,,,-1.0,15600.0,169.0,,-1.0,63621.0,117934.0,169.0,2900.0,,,3014.0,
1975,,16000.0,1550.0,1660.0,,2085.0,1623.0,,1328.0,,,1329.0,,3500.0,220.0,-1.0,4268.0,,300.0,,,-1.0,15830.0,39.0,,-1.0,65848.0,50122.0,39.0,2000.0,,,3203.0,
