,Ukraine,Germany,Sweden,Czechoslovakia,Bhutan,USSR,Mexico,Slovakia,Italy,Sri Lanka,Nepal,China,Denmark,Canada,Romania,Hungary,Bulgaria,United States of America,France,Lithuania,"China, mainland",Russian Federation,Czechia,Myanmar
1961,-1.0,746.0,91.0,116.0,11.0,14245.0,0.0,-1.0,52.0,29.0,1220.0,0.0,0.0,546.0,80.0,0.0,15.0,90.0,65.0,-1.0,0.0,-1.0,-1.0,18.0
1962,-1.0,490.0,109.0,105.0,11.0,13500.0,0.0,-1.0,50.0,58.0,1220.0,0.0,0.0,765.0,86.0,0.0,15.0,60.0,56.0,-1.0,0.0,-1.0,-1.0,31.0
1963,-1.0,147.0,110.0,46.0,12.0,13750.0,0.0,-1.0,40.0,42.0,1090.0,0.0,0.0,461.0,96.0,0.0,23.0,84.0,43.0,-1.0,0.0,-1.0,-1.0,27.0
1964,-1.0,107.0,44.0,21.0,12.0,13800.0,0.0,-1.0,34.0,38.0,1100.0,0.0,0.0,947.0,14.0,0.0,20.0,72.0,39.0,-1.0,0.0,-1.0,-1.0,39.0
1965,-1.0,244.0,32.0,22.0,12.0,13050.0,0.0,-1.0,32.0,30.0,976.0,0.0,0.0,1218.0,14.0,0.0,21.0,72.0,35.0,-1.0,0.0,-1.0,-1.0,36.0
1966,-1.0,191.0,20.0,24.0,13.0,11750.0,0.0,-1.0,22.0,48.0,995.0,0.0,0.0,1342.0,26.0,0.0,20.0,72.0,36.0,-1.0,0.0,-1.0,-1.0,38.0
1967,-1.0,186.0,17.0,17.0,13.0,11700.0,0.0,-1.0,22.0,34.0,985.0,0.0,0.0,3236.0,27.0,0.0,21.0,60.0,30.0,-1.0,0.0,-1.0,-1.0,40.0
1968,-1.0,233.0,12.0,16.0,13.0,11200.0,0.0,-1.0,16.0,30.0,1025.0,0.0,0.0,1621.0,60.0,0.0,15.0,58.0,29.0,-1.0,0.0,-1.0,-1.0,37.0
1969,-1.0,113.0,8.0,12.0,13.0,11050.0,0.0,-1.0,14.0,28.0,1050.0,0.0,0.0,1214.0,71.0,0.0,14.0,148.0,29.0,-1.0,0.0,-1.0,-1.0,41.0
1970,-1.0,138.0,8.0,8.0,14.0,12950.0,0.0,-1.0,8.0,43.0,1087.0,0.0,0.0,1252.0,53.0,0.0,8.0,166.0,28.0,-1.0,0.0,-1.0,-1.0,51.0
1971,-1.0,200.0,5.0,8.0,14.0,12450.0,0.0,-1.0,5.0,68.0,1143.0,0.0,0.0,1093.0,75.0,0.0,12.0,176.0,15.0,-1.0,0.0,-1.0,-1.0,53.0
1972,-1.0,173.0,4.0,14.0,14.0,12300.0,0.0,-1.0,3.0,66.0,1140.0,0.0,0.0,2034.0,66.0,0.0,11.0,187.0,13.0,-1.0,0.0,-1.0,-1.0,55.0
1973,-1.0,210.0,10.0,28.0,14.0,12850.0,0.0,-1.0,4.0,53.0,1145.0,0.0,0.0,2125.0,87.0,0.0,8.0,197.0,11.0,-1.0,0.0,-1.0,-1.0,60.0
1974,-1.0,176.0,8.0,16.0,14.0,12800.0,0.0,-1.0,4.0,72.0,1145.0,0.0,0.0,989.0,87.0,0.0,6.0,200.0,7.0,-1.0,0.0,-1.0,-1.0,62.0
1975,-1.0,145.0,5.0,13.0,15.0,12600.0,0.0,-1.0,3.0,88.0,1150.0,0.0,0.0,528.0,12.0,2.0,6.0,202.0,8.0,-1.0,0.0,-1.0,-1.0,68.0
1976,-1.0,210.0,7.0,27.0,15.0,13350.0,0.0,-1.0,3.0,69.0,1100.0,0.0,0.0,1105.0,47.0,0.0,12.0,204.0,8.0,-1.0,0.0,-1.0,-1.0,76.0
1977,-1.0,224.0,8.0,30.0,16.0,13550.0,0.0,-1.0,2.0,49.0,1350.0,0.0,0.0,1469.0,63.0,0.0,3.0,206.0,8.0,-1.0,0.0,-1.0,-1.0,77.0
1978,-1.0,290.0,11.0,71.0,16.0,13400.0,0.0,-1.0,3.0,45.0,1460.0,0.0,0.0,960.0,72.0,0.0,2.0,187.0,7.0,-1.0,0.0,-1.0,-1.0,81.0
1979,-1.0,233.0,11.0,57.0,17.0,13700.0,0.0,-1.0,1.0,36.0,1200.0,0.0,0.0,1391.0,50.0,0.0,9.0,168.0,8.0,-1.0,0.0,-1.0,-1.0,97.0
1980,-1.0,227.0,10.0,41.0,17.0,13050.0,0.0,-1.0,1.0,32.0,1240.0,0.0,0.0,1329.0,36.0,0.0,9.0,148.0,9.0,-1.0,0.0,-1.0,-1.0,102.0
1981,-1.0,224.0,5.0,54.0,17.0,13100.0,0.0,-1.0,0.0,28.0,1160.0,0.0,0.0,953.0,23.0,0.0,9.0,128.0,3.0,-1.0,0.0,-1.0,-1.0,115.0
1982,-1.0,305.0,4.0,51.0,21.0,13700.0,0.0,-1.0,0.0,30.0,1120.0,0.0,0.0,1427.0,24.0,2.0,3.0,134.0,3.0,-1.0,0.0,-1.0,-1.0,128.0
1983,-1.0,409.0,4.0,65.0,30.0,13400.0,0.0,-1.0,0.0,28.0,1120.0,0.0,0.0,2108.0,24.0,1.0,11.0,140.0,3.0,-1.0,0.0,-1.0,-1.0,170.0
1984,-1.0,288.0,5.0,55.0,29.0,13250.0,0.0,-1.0,0.0,22.0,1550.0,0.0,0.0,2061.0,24.0,1.0,11.0,145.0,3.0,-1.0,0.0,-1.0,-1.0,179.0
1985,-1.0,274.0,5.0,68.0,30.0,12450.0,1.0,-1.0,0.0,34.0,1570.0,0.0,0.0,2762.0,24.0,1.0,3.0,151.0,3.0,-1.0,0.0,-1.0,-1.0,164.0
1986,-1.0,268.0,5.0,64.0,33.0,12750.0,1.0,-1.0,0.0,31.0,1550.0,0.0,0.0,1701.0,24.0,1.0,6.0,100.0,3.0,-1.0,0.0,-1.0,-1.0,152.0
1987,-1.0,240.0,0.0,65.0,25.0,12750.0,0.0,-1.0,0.0,36.0,1520.0,0.0,0.0,2558.0,75.0,0.0,11.0,98.0,3.0,-1.0,0.0,-1.0,-1.0,138.0
1988,-1.0,320.0,0.0,80.0,24.0,11250.0,0.0,-1.0,0.0,19.0,1560.0,70.0,0.0,2999.0,83.0,0.0,38.0,97.0,3.0,-1.0,70.0,-1.0,-1.0,133.0
1989,-1.0,300.0,0.0,98.0,26.0,13250.0,0.0,-1.0,0.0,25.0,1550.0,130.0,0.0,3461.0,90.0,2.0,15.0,97.0,3.0,-1.0,130.0,-1.0,-1.0,124.0
1990,-1.0,250.0,0.0,86.0,28.0,11400.0,1.0,-1.0,1.0,27.0,1600.0,150.0,0.0,1693.0,98.0,361.0,12.0,94.0,3.0,-1.0,150.0,-1.0,-1.0,126.0
1991,-1.0,250.0,0.0,39.0,28.0,11400.0,0.0,-1.0,0.0,16.0,1600.0,260.0,0.0,1791.0,105.0,473.0,23.0,74.0,3.0,-1.0,260.0,-1.0,-1.0,105.0
1992,0.0,250.0,0.0,39.0,30.0,-1.0,0.0,-1.0,0.0,22.0,1780.0,380.0,0.0,2853.0,120.0,501.0,15.0,88.0,8.0,50.0,380.0,4346.0,-1.0,102.0
1993,0.0,230.0,0.0,-1.0,32.0,-1.0,0.0,21.0,0.0,23.0,1800.0,300.0,0.0,4854.0,84.0,365.0,11.0,66.0,3.0,50.0,300.0,3175.0,60.0,108.0
1994,0.0,230.0,0.0,-1.0,34.0,-1.0,0.0,34.0,0.0,17.0,1880.0,300.0,0.0,4007.0,173.0,203.0,8.0,111.0,2.0,50.0,300.0,2047.0,77.0,120.0
1995,0.0,230.0,0.0,-1.0,34.0,-1.0,0.0,30.0,0.0,17.0,1870.0,250.0,0.0,3587.0,80.0,207.0,6.0,92.0,3.0,50.0,250.0,1869.0,70.0,135.0
1996,0.0,230.0,0.0,-1.0,33.0,-1.0,0.0,26.0,0.0,8.0,1850.0,300.0,0.0,4383.0,111.0,365.0,5.0,361.0,2.0,50.0,300.0,2184.0,180.0,137.0
1997,500.0,230.0,0.0,-1.0,33.0,-1.0,0.0,61.0,0.0,7.0,1820.0,200.0,0.0,4248.0,167.0,271.0,5.0,480.0,3.0,50.0,200.0,2392.0,380.0,156.0
1998,500.0,200.0,0.0,-1.0,35.0,-1.0,0.0,63.0,0.0,6.0,1950.0,400.0,0.0,4199.0,156.0,368.0,10.0,295.0,4.0,50.0,400.0,2734.0,394.0,220.0
1999,500.0,150.0,0.0,-1.0,30.0,-1.0,0.0,30.0,0.0,6.0,1950.0,400.0,0.0,3185.0,33.0,287.0,8.0,225.0,4.0,50.0,400.0,1726.0,155.0,312.0
2000,500.0,150.0,0.0,-1.0,42.0,-1.0,0.0,25.0,0.0,4.0,1940.0,400.0,0.0,2487.0,100.0,329.0,9.0,166.0,6.0,50.0,400.0,1873.0,210.0,395.0
2001,1600.0,150.0,0.0,-1.0,48.0,-1.0,0.0,46.0,0.0,5.0,1930.0,400.0,0.0,4340.0,194.0,381.0,15.0,693.0,7.0,50.0,400.0,1137.0,358.0,426.0
2002,4100.0,150.0,0.0,-1.0,21.0,-1.0,0.0,125.0,0.0,7.0,1970.0,400.0,0.0,5097.0,450.0,265.0,14.0,167.0,7.0,50.0,400.0,1404.0,358.0,492.0
2003,5000.0,150.0,0.0,-1.0,11.0,-1.0,1.0,41.0,0.0,4.0,1970.0,400.0,0.0,4479.0,250.0,241.0,12.0,355.0,6.0,50.0,400.0,3444.0,670.0,611.0
2004,2500.0,150.0,0.0,-1.0,34.0,-1.0,0.0,11.0,0.0,9.0,1970.0,400.0,0.0,2912.0,39.0,287.0,15.0,238.0,5.0,50.0,400.0,2217.0,410.0,512.0
2005,1200.0,150.0,0.0,-1.0,32.0,-1.0,0.0,10.0,0.0,7.0,1980.0,400.0,0.0,2007.0,68.0,173.0,48.0,197.0,8.0,50.0,400.0,2525.0,400.0,535.0
2006,1000.0,150.0,0.0,-1.0,35.0,-1.0,0.0,17.0,0.0,7.0,1940.0,400.0,0.0,2793.0,64.0,73.0,45.0,291.0,9.0,50.0,400.0,2965.0,213.0,573.0
2007,1500.0,150.0,0.0,-1.0,35.0,-1.0,0.0,33.0,0.0,8.0,1900.0,400.0,0.0,2913.0,148.0,88.0,55.0,386.0,10.0,60.0,400.0,860.0,262.0,702.0
2008,1500.0,150.0,0.0,-1.0,14.0,-1.0,0.0,56.0,0.0,7.0,1910.0,400.0,0.0,3186.0,253.0,187.0,54.0,250.0,24.0,60.0,400.0,1200.0,418.0,745.0
2009,1300.0,150.0,0.0,-1.0,8.0,-1.0,0.0,23.0,0.0,8.0,2000.0,500.0,0.0,2913.0,134.0,277.0,54.0,245.0,46.0,60.0,500.0,1273.0,268.0,762.0
2010,600.0,150.0,0.0,-1.0,7.0,-1.0,1.0,20.0,0.0,5.0,1950.0,500.0,0.0,1913.0,102.0,114.0,56.0,113.0,25.0,70.0,500.0,1467.0,181.0,779.0
