,Ukraine,Kenya,Peru,Guinea,Belarus,Cameroon,Tajikistan,Melanesia,Philippines,Syrian Arab Republic,Brazil,Benin,United Republic of Tanzania,Ethiopia,Indonesia,Maldives,Liberia,Spain,Afghanistan,Zimbabwe,Iraq,Malawi,Australia & New Zealand,Uzbekistan,Papua New Guinea,South Africa,Bulgaria,Slovenia,United States of America,Iran (Islamic Republic of),Mongolia,Guatemala,Togo,Pakistan,Nigeria,Republic of Moldova,Georgia,Kyrgyzstan,Cambodia,Kiribati,Costa Rica,Democratic People's Republic of Korea,Israel,Dominica,Senegal,Bahrain,Solomon Islands,Czechoslovakia,Ethiopia PDR,Republic of Korea,Mexico,USSR,Slovakia,Azerbaijan,Egypt,China,Tunisia,Côte d'Ivoire,Colombia,Albania,Turkmenistan,Lebanon,Czechia,Viet Nam,Occupied Palestinian Territory,Italy,Kazakhstan,Chile,Australia,Portugal,Thailand,Micronesia,Ghana,Poland,"China, mainland",Russian Federation,Mali,Guam,Turkey
1961,-1.0,1200.0,150.0,-1.0,-1.0,-1.0,-1.0,4200.0,-1.0,5200.0,-1.0,-1.0,4000.0,-1.0,-1.0,200.0,-1.0,-1.0,7000.0,-1.0,-1.0,-1.0,106.0,-1.0,4000.0,-1.0,280.0,-1.0,-1.0,150.0,-1.0,-1.0,-1,2800.0,-1.0,-1.0,-1.0,-1.0,-1.0,210.0,-1.0,500.0,-1.0,-1,1500.0,-1.0,200.0,-1.0,-1.0,1000.0,1253.0,-1.0,-1,-1.0,800.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1300.0,-1.0,-1.0,-1.0,-1,106.0,2000.0,-1.0,210.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0
1962,-1.0,1200.0,220.0,-1.0,-1.0,-1.0,-1.0,4400.0,600.0,5500.0,-1.0,-1.0,4100.0,-1.0,-1.0,200.0,-1.0,-1.0,7150.0,-1.0,-1.0,-1.0,119.0,-1.0,4200.0,-1.0,440.0,-1.0,-1.0,200.0,-1.0,-1.0,-1,2800.0,-1.0,-1.0,-1.0,-1.0,-1.0,210.0,-1.0,500.0,-1.0,-1,1500.0,-1.0,200.0,-1.0,-1.0,1000.0,1094.0,-1.0,-1,-1.0,800.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1300.0,-1.0,-1.0,-1.0,-1,119.0,2000.0,-1.0,210.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0
1963,-1.0,1200.0,300.0,-1.0,-1.0,-1.0,-1.0,4600.0,600.0,4304.0,-1.0,-1.0,4200.0,-1.0,-1.0,200.0,-1.0,-1.0,7300.0,-1.0,-1.0,-1.0,111.0,-1.0,4400.0,-1.0,320.0,-1.0,-1.0,200.0,-1.0,-1.0,-1,2800.0,-1.0,-1.0,-1.0,-1.0,-1.0,220.0,-1.0,500.0,-1.0,-1,2000.0,-1.0,200.0,-1.0,-1.0,1200.0,1247.0,-1.0,-1,-1.0,800.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1300.0,-1.0,-1.0,-1.0,-1,111.0,2000.0,-1.0,220.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0
1964,-1.0,1200.0,300.0,-1.0,-1.0,-1.0,-1.0,4700.0,680.0,4640.0,-1.0,-1.0,4300.0,-1.0,-1.0,200.0,-1.0,-1.0,7450.0,-1.0,-1.0,-1.0,113.0,-1.0,4500.0,-1.0,440.0,-1.0,-1.0,150.0,-1.0,-1.0,-1,2800.0,-1.0,-1.0,-1.0,-1.0,-1.0,220.0,-1.0,500.0,-1.0,-1,1500.0,-1.0,200.0,-1.0,-1.0,1200.0,1293.0,-1.0,-1,-1.0,800.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1300.0,-1.0,-1.0,-1.0,-1,113.0,2000.0,-1.0,220.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0
1965,-1.0,1200.0,180.0,-1.0,-1.0,-1.0,-1.0,4800.0,670.0,4711.0,-1.0,-1.0,4400.0,-1.0,-1.0,200.0,-1.0,-1.0,8000.0,-1.0,-1.0,-1.0,131.0,-1.0,4600.0,-1.0,560.0,-1.0,-1.0,150.0,-1.0,-1.0,-1,2800.0,-1.0,-1.0,-1.0,-1.0,-1.0,220.0,-1.0,500.0,-1.0,-1,2000.0,-1.0,200.0,-1.0,-1.0,1400.0,1896.0,-1.0,-1,-1.0,800.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1200.0,-1.0,-1.0,-1.0,-1,131.0,2000.0,-1.0,220.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0
1966,-1.0,1200.0,100.0,-1.0,-1.0,-1.0,-1.0,5000.0,660.0,4986.0,-1.0,-1.0,4600.0,-1.0,-1.0,200.0,-1.0,-1.0,9250.0,-1.0,-1.0,-1.0,129.0,-1.0,4800.0,-1.0,800.0,-1.0,-1.0,150.0,-1.0,-1.0,-1,2800.0,-1.0,-1.0,-1.0,-1.0,-1.0,225.0,-1.0,500.0,400.0,-1,2000.0,-1.0,200.0,-1.0,-1.0,1400.0,1963.0,-1.0,-1,-1.0,800.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1200.0,-1.0,-1.0,-1.0,-1,129.0,2000.0,-1.0,225.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0
1967,-1.0,1200.0,100.0,-1.0,-1.0,-1.0,-1.0,5260.0,700.0,5023.0,-1.0,-1.0,4700.0,-1.0,-1.0,200.0,-1.0,-1.0,9500.0,-1.0,-1.0,-1.0,137.0,-1.0,5000.0,-1.0,640.0,-1.0,-1.0,150.0,-1.0,-1.0,-1,2800.0,-1.0,-1.0,-1.0,-1.0,-1.0,225.0,-1.0,500.0,400.0,-1,2000.0,-1.0,260.0,-1.0,-1.0,1400.0,2036.0,-1.0,-1,-1.0,800.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1200.0,-1.0,-1.0,-1.0,-1,137.0,2000.0,-1.0,225.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0
1968,-1.0,1200.0,72.0,-1.0,-1.0,-1.0,-1.0,5400.0,820.0,5159.0,-1.0,-1.0,4800.0,-1.0,-1.0,200.0,-1.0,-1.0,9950.0,-1.0,-1.0,-1.0,100.0,-1.0,5200.0,-1.0,1320.0,-1.0,-1.0,150.0,-1.0,-1.0,-1,3000.0,-1.0,-1.0,-1.0,-1.0,-1.0,225.0,-1.0,500.0,500.0,-1,2000.0,-1.0,200.0,-1.0,-1.0,1400.0,2212.0,-1.0,-1,-1.0,800.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1200.0,-1.0,-1.0,-1.0,-1,100.0,2000.0,-1.0,225.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0
1969,-1.0,1200.0,78.0,-1.0,-1.0,-1.0,-1.0,5600.0,880.0,5277.0,-1.0,-1.0,4900.0,-1.0,-1.0,200.0,-1.0,-1.0,10100.0,-1.0,-1.0,-1.0,120.0,-1.0,5400.0,-1.0,1300.0,-1.0,-1.0,150.0,-1.0,-1.0,-1,3000.0,-1.0,-1.0,-1.0,-1.0,-1.0,230.0,-1.0,500.0,700.0,-1,2000.0,-1.0,200.0,-1.0,-1.0,1400.0,3041.0,-1.0,-1,-1.0,800.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1200.0,-1.0,-1.0,-1.0,-1,120.0,2000.0,-1.0,230.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0
1970,-1.0,1200.0,91.0,-1.0,-1.0,-1.0,-1.0,5700.0,2500.0,5015.0,-1.0,-1.0,5000.0,-1.0,-1.0,200.0,-1.0,-1.0,10350.0,-1.0,-1.0,60.0,129.0,-1.0,5500.0,-1.0,1270.0,-1.0,-1.0,150.0,-1.0,-1.0,-1,3000.0,-1.0,-1.0,-1.0,-1.0,-1.0,230.0,-1.0,500.0,600.0,-1,2000.0,-1.0,200.0,-1.0,-1.0,1400.0,3356.0,-1.0,-1,-1.0,800.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1200.0,-1.0,-1.0,-1.0,-1,129.0,2000.0,-1.0,230.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0
