,Ukraine,Estonia,Kenya,Bolivia (Plurinational State of),Peru,Georgia,Belarus,Croatia,Serbia,Tajikistan,Serbia and Montenegro,Armenia,Tunisia,Syrian Arab Republic,Brazil,Belgium,United Kingdom,Ethiopia,Denmark,Canada,The former Yugoslav Republic of Macedonia,Japan,South Africa,Cyprus,Netherlands,Greece,New Zealand,Bulgaria,Australia & New Zealand,United States of America,Yugoslav SFR,Mongolia,Democratic Republic of the Congo,Algeria,Slovenia,Morocco,Republic of Moldova,Czechia,Lesotho,Argentina,Luxembourg,Democratic People's Republic of Korea,Germany,Austria,Uruguay,Czechoslovakia,Ethiopia PDR,Poland,Sweden,Switzerland,Mexico,USSR,Romania,Ecuador,Spain,Uzbekistan,Bosnia and Herzegovina,China,Ireland,Colombia,Latvia,Albania,Portugal,Slovakia,Lebanon,Kyrgyzstan,Azerbaijan,Hungary,Montenegro,Kazakhstan,Chile,Australia,France,Lithuania,Finland,"China, mainland",Russian Federation,Turkey,Norway,Italy,Belgium-Luxembourg
1961,-1.0,-1.0,500.0,533.0,189.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,840.0,258.0,2605.0,-1.0,135000.0,-1.0,30000.0,418000.0,-1.0,3352.0,6300.0,386.0,18000.0,18680.0,4000.0,28134.0,129000.0,1089000.0,50000.0,8000.0,1400.0,6200.0,-1.0,1624.0,-1.0,-1.0,51.0,162000.0,-1.0,3500.0,173531.0,30000.0,8468.0,62996.0,800.0,246100.0,118000.0,6000.0,4297.0,1276500.0,32104.0,55.0,23000.0,-1.0,-1.0,144500.0,30000.0,0.0,-1.0,5264.0,17207.0,-1.0,110.0,-1.0,-1.0,19200.0,-1.0,-1.0,12470.0,125000.0,204000.0,-1.0,104000.0,144500.0,-1.0,45000.0,12000.0,85000.0,17200.0
1962,-1.0,-1.0,386.0,568.0,192.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1260.0,255.0,2904.0,-1.0,118000.0,-1.0,34000.0,424000.0,-1.0,3016.0,7200.0,407.0,17000.0,16380.0,4000.0,24628.0,129000.0,1031000.0,44000.0,6000.0,112.0,4498.0,-1.0,1920.0,-1.0,-1.0,51.0,131000.0,-1.0,3500.0,158895.0,30000.0,8957.0,69061.0,800.0,251300.0,117000.0,6000.0,4538.0,1063010.0,24017.0,60.0,22000.0,-1.0,-1.0,102000.0,28000.0,0.0,-1.0,5028.0,18678.0,-1.0,110.0,-1.0,-1.0,18200.0,-1.0,-1.0,12024.0,125000.0,228000.0,-1.0,116000.0,102000.0,-1.0,45000.0,12000.0,83000.0,15900.0
1963,-1.0,-1.0,334.0,542.0,199.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1500.0,220.0,2599.0,-1.0,101000.0,-1.0,38000.0,379000.0,-1.0,2744.0,7200.0,447.0,16000.0,15508.0,4000.0,24000.0,134000.0,943000.0,48000.0,7000.0,700.0,4931.0,-1.0,1840.0,-1.0,-1.0,51.0,159000.0,-1.0,3500.0,156906.0,29000.0,8547.0,55466.0,800.0,286200.0,115000.0,5000.0,4563.0,1063565.0,16428.0,50.0,21000.0,-1.0,-1.0,93500.0,27000.0,0.0,-1.0,5570.0,19228.0,-1.0,140.0,-1.0,-1.0,16300.0,-1.0,-1.0,10560.0,130000.0,167000.0,-1.0,108000.0,93500.0,-1.0,50000.0,11000.0,85000.0,14700.0
1964,-1.0,-1.0,259.0,575.0,653.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1380.0,251.0,3004.0,-1.0,91000.0,-1.0,37000.0,349000.0,-1.0,2484.0,5400.0,407.0,15000.0,15633.0,4000.0,21996.0,139000.0,885000.0,45000.0,8000.0,938.0,6010.0,-1.0,1812.0,-1.0,-1.0,51.0,130000.0,-1.0,3650.0,144648.0,28000.0,10738.0,59056.0,800.0,246100.0,108000.0,5000.0,4592.0,1226180.0,21423.0,40.0,21000.0,-1.0,-1.0,102000.0,24000.0,0.0,-1.0,6250.0,15628.0,-1.0,130.0,-1.0,-1.0,13900.0,-1.0,-1.0,10538.0,135000.0,156000.0,-1.0,112000.0,102000.0,-1.0,55000.0,10000.0,83000.0,14100.0
1965,-1.0,-1.0,239.0,533.0,112.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,960.0,216.0,3155.0,-1.0,82000.0,-1.0,42000.0,338000.0,-1.0,2176.0,5400.0,207.0,14000.0,15348.0,5000.0,20966.0,150000.0,871000.0,45000.0,10000.0,980.0,4871.0,-1.0,1760.0,-1.0,-1.0,51.0,128000.0,-1.0,3800.0,153568.0,27000.0,9632.0,56687.0,800.0,250600.0,111000.0,5000.0,3881.0,1324970.0,25493.0,40.0,21000.0,-1.0,-1.0,93500.0,23000.0,0.0,-1.0,5000.0,17583.0,-1.0,150.0,-1.0,-1.0,11900.0,-1.0,-1.0,9915.0,145000.0,163000.0,-1.0,113000.0,93500.0,-1.0,54000.0,9000.0,78000.0,13300.0
1966,-1.0,-1.0,269.0,485.0,108.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1308.0,216.0,2765.0,-1.0,90000.0,-1.0,44000.0,304300.0,-1.0,1824.0,9000.0,203.0,12000.0,14465.0,4010.0,22263.0,134010.0,769000.0,45000.0,10000.0,936.0,4890.0,-1.0,1120.0,-1.0,-1.0,51.0,132000.0,-1.0,3850.0,159928.0,25000.0,5686.0,48863.0,800.0,268700.0,110000.0,5000.0,2681.0,1607280.0,23440.0,40.0,20000.0,-1.0,-1.0,85000.0,20000.0,0.0,-1.0,4625.0,14269.0,-1.0,100.0,-1.0,-1.0,11900.0,-1.0,-1.0,10245.0,130000.0,153000.0,-1.0,108000.0,85000.0,-1.0,51000.0,10000.0,75000.0,14012.0
1967,-1.0,-1.0,265.0,497.0,72.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1308.0,250.0,2938.0,-1.0,89000.0,-1.0,46000.0,312500.0,-1.0,1656.0,6300.0,224.0,11000.0,12006.0,2994.0,17697.0,138994.0,871000.0,42000.0,14000.0,1120.0,6550.0,-1.0,1680.0,-1.0,-1.0,51.0,133000.0,-1.0,3850.0,159343.0,24000.0,9366.0,60504.0,800.0,254800.0,104000.0,5000.0,2113.0,1664630.0,24438.0,50.0,49000.0,-1.0,-1.0,68000.0,19000.0,0.0,-1.0,4750.0,15126.0,-1.0,120.0,-1.0,-1.0,11800.0,-1.0,-1.0,16281.0,136000.0,142000.0,-1.0,108000.0,68000.0,-1.0,51000.0,11000.0,75000.0,12967.0
1968,-1.0,-1.0,231.0,528.0,74.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1308.0,220.0,2983.0,-1.0,91000.0,-1.0,42000.0,313400.0,-1.0,1348.0,6300.0,203.0,11000.0,10966.0,3973.0,13971.0,133973.0,871000.0,40000.0,12000.0,1120.0,7618.0,-1.0,1840.0,-1.0,-1.0,51.0,149000.0,-1.0,3600.0,160951.0,20000.0,6993.0,77061.0,800.0,251800.0,107000.0,4000.0,1894.0,1720500.0,24180.0,50.0,51000.0,-1.0,-1.0,85000.0,18000.0,0.0,-1.0,4750.0,13000.0,-1.0,140.0,-1.0,-1.0,12800.0,-1.0,-1.0,12125.0,130000.0,158000.0,-1.0,115000.0,85000.0,-1.0,45000.0,10000.0,67000.0,12700.0
1969,-1.0,-1.0,250.0,560.0,73.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1200.0,228.0,3071.0,-1.0,91000.0,-1.0,36000.0,287374.0,-1.0,1096.0,7200.0,244.0,8000.0,10270.0,5552.0,13144.0,139552.0,900000.0,38000.0,12000.0,560.0,6749.0,-1.0,1520.0,-1.0,-1.0,51.0,130000.0,-1.0,4100.0,163844.0,20000.0,8710.0,66682.0,800.0,287700.0,106000.0,5000.0,2696.0,1711250.0,24291.0,100.0,70000.0,-1.0,-1.0,85000.0,15000.0,0.0,-1.0,4750.0,14000.0,-1.0,170.0,-1.0,-1.0,11100.0,-1.0,-1.0,10896.0,134000.0,135000.0,-1.0,125000.0,85000.0,-1.0,47000.0,15000.0,67000.0,11383.0
1970,-1.0,-1.0,250.0,576.0,82.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1500.0,195.0,3408.0,-1.0,86000.0,-1.0,37000.0,268682.0,-1.0,1196.0,6300.0,244.0,6000.0,10491.0,5008.0,13840.0,110008.0,813000.0,40000.0,15000.0,560.0,6976.0,-1.0,1520.0,-1.0,-1.0,51.0,118000.0,-1.0,4150.0,162778.0,20000.0,7250.0,41821.0,800.0,251300.0,113000.0,4000.0,2741.0,1776000.0,23717.0,150.0,70000.0,-1.0,-1.0,85000.0,14000.0,32.0,-1.0,5000.0,14000.0,-1.0,170.0,-1.0,-1.0,9600.0,-1.0,-1.0,11292.0,105000.0,160000.0,-1.0,125000.0,85000.0,-1.0,41000.0,16000.0,66000.0,11060.0
