,Norway,Philippines,Panama,Madagascar,Togo,United Republic of Tanzania,Burundi,Thailand,Czechia,Costa Rica,Senegal,Solomon Islands,Germany,Papua New Guinea,Suriname,Benin,Equatorial Guinea,Albania,China,Cambodia,Paraguay,Honduras,Colombia,Iceland,Central African Republic,Gabon,Mozambique,Austria,Ecuador,Indonesia,Angola,Venezuela (Bolivarian Republic of),Sao Tome and Principe,Malaysia,Mexico,Melanesia,Nicaragua,Timor-Leste,Democratic Republic of the Congo,Nigeria,Congo,Dominican Republic,Brazil,Peru,Gambia,Ghana,Guinea,"China, mainland",Sierra Leone,Guinea-Bissau,Côte d'Ivoire,Cameroon,Guatemala,Liberia
1961,,280.0,-1.0,,7700.0,700.0,1000.0,600.0,,4300.0,3700.0,200.0,-1.0,,,24600.0,3100.0,,40000.0,,2500.0,2660.0,1700.0,,1190.0,1500.0,,-1.0,30000.0,145700.0,40000.0,,2000.0,94846.0,20240.0,200.0,,,224000.0,669000.0,6592.0,-1.0,3993.0,,1700.0,23000.0,22400.0,40000.0,35000.0,6500.0,14000.0,37200.0,,7000.0
1962,,280.0,-1.0,,7700.0,800.0,1000.0,600.0,,5300.0,3800.0,200.0,-1.0,,,23200.0,3300.0,,40000.0,,3600.0,2808.0,1950.0,,1250.0,1500.0,,-1.0,32000.0,141500.0,41000.0,,1856.0,108171.0,23400.0,200.0,,,229000.0,640000.0,7100.0,-1.0,5126.0,,1800.0,24000.0,24200.0,40000.0,35000.0,6500.0,13000.0,37000.0,,8000.0
1963,,280.0,-1.0,,7700.0,813.0,1000.0,600.0,,9200.0,3900.0,200.0,-1.0,,,24800.0,3100.0,,40000.0,,4700.0,2855.0,2100.0,,1100.0,1600.0,,-1.0,32000.0,148300.0,36000.0,,1641.0,125691.0,18800.0,200.0,,,223500.0,657000.0,8750.0,-1.0,5340.0,,1600.0,25000.0,27600.0,40000.0,37000.0,6500.0,15000.0,51400.0,,10000.0
1964,,280.0,-1.0,,7700.0,800.0,1000.0,600.0,,8900.0,4000.0,200.0,-1.0,,,27000.0,3209.0,,40000.0,,5929.0,3150.0,2200.0,,1450.0,1900.0,,-1.0,34000.0,164000.0,41000.0,,1372.0,122913.0,20600.0,200.0,,,209300.0,676000.0,9000.0,-1.0,6429.0,,1700.0,26000.0,25800.0,40000.0,39000.0,6000.0,16000.0,52600.0,,10000.0
1965,,280.0,-1.0,,7700.0,794.0,1000.0,600.0,,9200.0,4100.0,200.0,-1.0,,,27000.0,3783.0,,40000.0,,5021.0,3550.0,2200.0,,1600.0,2600.0,,-1.0,40000.0,156700.0,32000.0,,1733.0,150411.0,20700.0,200.0,,,162400.0,687000.0,10000.0,-1.0,8491.0,,2100.0,27000.0,31300.0,40000.0,39000.0,6000.0,18000.0,60750.0,,13000.0
1966,,550.0,-1.0,,7700.0,885.0,1000.0,600.0,,9100.0,4200.0,200.0,-1.0,,,27000.0,4000.0,,60000.0,,4544.0,3895.0,2800.0,,2400.0,2400.0,,-1.0,37000.0,174400.0,35000.0,,1364.0,189687.0,20800.0,200.0,,0.0,167600.0,713000.0,11000.0,-1.0,10980.0,,2100.0,16000.0,35000.0,60000.0,40000.0,5000.0,17000.0,46000.0,,13000.0
1967,,550.0,-1.0,,7700.0,938.0,1000.0,600.0,,9500.0,4300.0,200.0,-1.0,,,24700.0,4000.0,,72000.0,,4188.0,4320.0,11100.0,,2400.0,2500.0,,-1.0,45000.0,167699.0,35000.0,,1169.0,225758.0,18500.0,200.0,,0.0,203200.0,601000.0,12000.0,-1.0,9795.0,,2100.0,18000.0,37500.0,72000.0,41000.0,5500.0,20000.0,62500.0,,13500.0
1968,,550.0,-1.0,,7700.0,1114.0,1340.0,600.0,,10200.0,4400.0,200.0,-1.0,,,27200.0,4000.0,,88000.0,,5634.0,4800.0,13400.0,,2400.0,2900.0,,-1.0,50000.0,181444.0,38000.0,,997.0,282984.0,20200.0,200.0,1500.0,0.0,242200.0,599000.0,13700.0,-1.0,10191.0,,2100.0,18000.0,41300.0,88000.0,42000.0,6000.0,22000.0,64170.0,,13500.0
1969,,1100.0,-1.0,,7700.0,1489.0,1670.0,600.0,,12000.0,4500.0,400.0,-1.0,,,31300.0,4000.0,,100000.0,,6335.0,5325.0,17700.0,,3600.0,2400.0,,-1.0,35000.0,188800.0,45000.0,,937.0,352096.0,14900.0,400.0,1500.0,0.0,245000.0,621000.0,14000.0,-1.0,11619.0,,2000.0,18000.0,42800.0,100000.0,45000.0,5000.0,28000.0,58000.0,,13700.0
1970,,2200.0,-1.0,,7700.0,1580.0,1740.0,600.0,,13000.0,4600.0,400.0,-1.0,,,31957.0,4000.0,,112000.0,,6976.0,5910.0,26900.0,,3600.0,2200.0,,-1.0,27000.0,216827.0,38000.0,,952.0,431069.0,11200.0,400.0,1500.0,0.0,231700.0,488000.0,14000.0,-1.0,4678.0,-1.0,2000.0,20000.0,43800.0,112000.0,48000.0,5000.0,50000.0,64500.0,,13750.0
