,USSR,Finland,Vanuatu,Trinidad and Tobago,Fiji,French Guiana,Kenya,Guyana,Solomon Islands,Papua New Guinea,Somalia,Micronesia,Togo,Equatorial Guinea,Albania,Brazil,Serbia,El Salvador,Saint Lucia,Canada,Colombia,Spain,Grenada,New Zealand,Jamaica,Cabo Verde,Republic of Moldova,Mongolia,Belgium-Luxembourg,Angola,Saudi Arabia,Sao Tome and Principe,The former Yugoslav Republic of Macedonia,Greece,Czechoslovakia,Haiti,Mali,Hungary,Dominican Republic,Syrian Arab Republic,Yugoslav SFR,Iran (Islamic Republic of),Gambia,Ghana,Sweden,Cyprus,Kazakhstan,Rwanda,Bosnia and Herzegovina,Portugal,Saint Kitts and Nevis,"China, Taiwan Province of",Puerto Rico,Singapore,Turkmenistan,Dominica,Madagascar,United Republic of Tanzania,Nepal,Libya,Costa Rica,Bangladesh,Germany,Comoros,Latvia,Benin,Montserrat,Occupied Palestinian Territory,Cambodia,Armenia,Chile,Honduras,Denmark,Lebanon,Malawi,Algeria,Slovakia,Israel,Réunion,Kiribati,Belarus,Afghanistan,Switzerland,Sudan,Wallis and Futuna Islands,Mauritius,Yemen,Georgia,Lithuania,Russian Federation,Marshall Islands,Tunisia,Paraguay,Tuvalu,Cook Islands,Guadeloupe,Tokelau,Venezuela (Bolivarian Republic of),South Africa,Myanmar,Eritrea,Australia & New Zealand,Australia,Panama,Pakistan,Thailand,Belize,Ethiopia,Bhutan,Lao People's Democratic Republic,Zambia,Botswana,Tajikistan,Suriname,Niue,Mozambique,Niger,Democratic People's Republic of Korea,Slovenia,South Sudan,New Caledonia,Central African Republic,Bahamas,Ecuador,Indonesia,Poland,Chad,Antigua and Barbuda,Ethiopia PDR,Estonia,Melanesia,Malaysia,France,Republic of Korea,Democratic Republic of the Congo,Nigeria,Congo,Martinique,Tonga,Belgium,Peru,United States of America,"China, mainland",French Polynesia,India,Guinea-Bissau,Cameroon,Netherlands,Guatemala,Nauru,Cuba,Romania,Micronesia (Federated States of),Norway,Philippines,Iraq,Swaziland,Burundi,Samoa,Luxembourg,Czechia,Seychelles,Italy,Senegal,Ireland,Uganda,Uzbekistan,China,Burkina Faso,Serbia and Montenegro,Sudan (former),Morocco,Jordan,Uruguay,Zimbabwe,Kyrgyzstan,Gabon,Austria,Japan,Maldives,Guam,Timor-Leste,Egypt,Argentina,Namibia,United Kingdom,Azerbaijan,Nicaragua,Viet Nam,Barbados,Turkey,Bolivia (Plurinational State of),Saint Vincent and the Grenadines,American Samoa,Brunei Darussalam,Mexico,Guinea,Mauritania,Sierra Leone,Sri Lanka,Pacific Islands Trust Territory,Côte d'Ivoire,Polynesia,Croatia,Bulgaria,Ukraine,Liberia
1961,9508300.0,6311.0,68380.0,23500.0,60.0,0.0,69994.0,3.0,29055.0,247612.0,27800.0,65612.0,108500.0,2300.0,26916.0,2896646.0,,61065.0,0.0,1280042.0,199866.0,387601.0,1791.0,5643.0,50175.0,4280.0,,0.0,26726.0,104838.0,1800.0,16870.0,,251534.0,126430.0,16300.0,217565.0,169174.0,83280.0,259042.0,175920.0,360930.0,92500.0,149000.0,68147.0,1986.0,,3140.0,,393.0,328.0,176997.0,2650.0,2914.0,,0.0,45500.0,550100.0,139000.0,7000.0,5200.0,353288.0,198067.0,11000.0,,135456.0,130.0,0.0,56006.0,,71900.0,6269.0,25305.0,2150.0,192366.0,5560.0,,31400.0,500.0,35790.0,,165192.0,5670.0,,4000.0,4099.0,29818.0,,,,,2650.0,54700.0,3200.0,11400.0,250.0,300.0,121718.0,522000.0,1036715.0,,70587.0,64944.0,300.0,1955980.0,395990.0,0.0,,1800.0,9869.0,61600.0,5451.0,,2168.0,2000.0,772000.0,354725.0,315000.0,,,6000.0,238700.0,0.0,59220.0,2318065.0,311800.0,500600.0,500.0,446200.0,,351107.0,288278.0,147820.0,356219.0,653000.0,5186000.0,48640.0,0.0,8800.0,,246901.0,19039226.0,17306800.0,32000.0,23183000.0,125000.0,264513.0,26028.0,46600.0,280.0,36100.0,531600.0,,910.0,1225430.0,52536.0,11515.0,17632.0,18411.0,,,6900.0,62326.0,1035500.0,,1193570.0,,17483797.0,162925.0,,990725.0,30190.0,5170.0,270165.0,121624.0,,4600.0,7665.0,570470.0,1000.0,0.0,1700.0,871571.0,2681080.0,0.0,600.0,,65815.0,160100.0,0.0,950800.0,6082.0,480.0,4000.0,200.0,1253781.0,332000.0,3700.0,53150.0,449290.0,29542.0,113000.0,84111.0,,352180.0,,18000.0
1962,10068964.0,6400.0,68380.0,21500.0,30.0,0.0,83693.0,3.0,28055.0,252651.0,33000.0,65822.0,107537.0,2400.0,26913.0,3228790.0,,79693.0,0.0,870710.0,228878.0,413430.0,1767.0,6553.0,50145.0,4550.0,,0.0,32814.0,119365.0,1800.0,17870.0,,306068.0,117416.0,15300.0,230440.0,153612.0,83180.0,313647.0,176600.0,381500.0,92500.0,147000.0,82189.0,2147.0,,2920.0,,425.0,268.0,170958.0,2500.0,2865.0,,0.0,51670.0,586000.0,140000.0,5000.0,5987.0,360563.0,206681.0,11000.0,,143647.0,110.0,0.0,54540.0,,70900.0,8997.0,40887.0,3250.0,223012.0,5070.0,,25915.0,500.0,36000.0,,179356.0,5800.0,,4000.0,4134.0,30415.0,,,,,2570.0,70600.0,3200.0,11432.0,350.0,400.0,128499.0,436000.0,1156286.0,,76155.0,69602.0,300.0,1872760.0,427990.0,0.0,,1900.0,8920.0,61600.0,1966.0,,2267.0,2000.0,766638.0,331195.0,325000.0,,,6000.0,247600.0,0.0,64410.0,2287800.0,407800.0,541800.0,375.0,453700.0,,355116.0,296356.0,181546.0,366754.0,666000.0,5044000.0,52640.0,0.0,7820.0,,255967.0,19416508.0,16556500.0,37000.0,24554000.0,125000.0,285897.0,28108.0,74700.0,280.0,42600.0,502360.0,,1330.0,1308890.0,55913.0,11809.0,14796.0,18411.0,,,7300.0,63096.0,1024804.0,,1058559.0,,16727458.0,171600.0,,1093491.0,28175.0,5080.0,293080.0,175987.0,,4600.0,7759.0,524230.0,1000.0,0.0,1750.0,746998.0,3201549.0,0.0,800.0,,82175.0,171185.0,0.0,912760.0,6326.0,690.0,4047.0,287.0,1290891.0,334000.0,3800.0,53200.0,486582.0,29542.0,122200.0,88310.0,,374341.0,,19000.0
1963,9947914.0,6600.0,68380.0,24000.0,32.0,0.0,80395.0,4.0,30055.0,252933.0,23100.0,54822.0,120590.0,2500.0,28115.0,3218572.0,,90481.0,0.0,1034537.0,206250.0,331491.0,2003.0,7874.0,50145.0,4950.0,,0.0,33978.0,120691.0,1900.0,15750.0,,274196.0,117914.0,13200.0,247049.0,152639.0,84780.0,302182.0,215450.0,393470.0,102500.0,148000.0,78193.0,2254.0,,4350.0,,383.0,190.0,169198.0,1900.0,2700.0,,0.0,52140.0,644750.0,141000.0,7000.0,7750.0,356866.0,191076.0,11000.0,,142553.0,120.0,0.0,43925.0,,82950.0,11217.0,23292.0,3800.0,231918.0,4695.0,,21995.0,500.0,25000.0,,209708.0,6398.0,,4000.0,4143.0,38094.0,,,,,2490.0,85600.0,3200.0,11432.0,200.0,170.0,129762.0,541000.0,1299365.0,,98862.0,90988.0,300.0,2015440.0,469750.0,0.0,,1900.0,8850.0,62146.0,3500.0,,2347.0,2200.0,727493.0,330340.0,335000.0,,,6000.0,238700.0,0.0,64374.0,2177600.0,330900.0,477700.0,445.0,468500.0,,357400.0,324191.0,200852.0,331366.0,647000.0,5590000.0,42640.0,0.0,8330.0,,259980.0,19441907.0,17966700.0,35000.0,24238000.0,118500.0,328089.0,30584.0,93100.0,280.0,36300.0,544600.0,,2100.0,1424150.0,46879.0,15364.0,16898.0,17197.0,,,7000.0,51583.0,1095023.0,,1155316.0,,18135898.0,166800.0,,1300677.0,34885.0,4510.0,313003.0,161747.0,,4600.0,9500.0,452870.0,1000.0,0.0,1770.0,741570.0,2883402.0,0.0,1200.0,,98350.0,165780.0,0.0,898285.0,6657.0,360.0,4000.0,295.0,1359553.0,336000.0,4100.0,53200.0,490055.0,29542.0,137000.0,85529.0,,345105.0,,18300.0
1964,10238520.0,8800.0,68380.0,21500.0,50.0,0.0,87665.0,5.0,30055.0,253115.0,26600.0,58822.0,127300.0,3000.0,28847.0,3363987.0,,116436.0,0.0,1276158.0,224550.0,265089.0,1683.0,8139.0,50265.0,4730.0,,0.0,39253.0,118953.0,1900.0,17750.0,,173570.0,120674.0,12700.0,208589.0,140372.0,82330.0,301316.0,221080.0,392800.0,102500.0,176500.0,102769.0,1223.0,,12248.0,,437.0,205.0,179138.0,2100.0,2720.0,,0.0,53180.0,679750.0,130950.0,5000.0,10350.0,321303.0,195453.0,11000.0,,128853.0,100.0,0.0,51700.0,,100950.0,13267.0,29505.0,3450.0,217560.0,4070.0,,22720.0,500.0,29000.0,,209708.0,6347.0,,4000.0,4134.0,34145.0,,,,,2254.0,88150.0,3200.0,11432.0,200.0,520.0,144310.0,569000.0,1203183.0,,121153.0,113014.0,300.0,1999200.0,475830.0,0.0,,1950.0,10300.0,62895.0,3287.0,,2333.0,2500.0,785200.0,307755.0,345000.0,,,6000.0,228000.0,0.0,71499.0,2237900.0,384500.0,505300.0,250.0,465100.0,,357600.0,334923.0,230939.0,331113.0,590000.0,5633000.0,38740.0,0.0,8550.0,,248950.0,20033697.0,19537650.0,34000.0,24982000.0,119000.0,316055.0,34304.0,100100.0,280.0,21000.0,558800.0,,2920.0,1511750.0,61098.0,16449.0,16170.0,17197.0,,,9000.0,44401.0,1064100.0,,1229250.0,,19716788.0,209500.0,,1237049.0,37908.0,3572.0,263801.0,177513.0,,5100.0,10987.0,414230.0,1000.0,0.0,1770.0,735266.0,2836320.0,0.0,1200.0,,120760.0,175500.0,0.0,987900.0,8749.0,425.0,3000.0,297.0,1334855.0,337000.0,4100.0,53250.0,487466.0,29542.0,134900.0,84399.0,,322741.0,,19300.0
1965,10387205.0,5300.0,68400.0,21000.0,50.0,0.0,89230.0,5.0,30055.0,252537.0,29800.0,61878.0,120505.0,3000.0,29638.0,3559229.0,,114050.0,0.0,1715335.0,229600.0,261167.0,1683.0,4724.0,50166.0,4680.0,,0.0,27064.0,120220.0,2000.0,18750.0,,155970.0,106548.0,13150.0,209228.0,126451.0,82330.0,300720.0,236530.0,393500.0,103000.0,146813.0,95676.0,1256.0,,9270.0,,402.0,197.0,184021.0,1800.0,2711.0,,0.0,52795.0,782590.0,132680.0,5000.0,12980.0,308330.0,192197.0,11000.0,,146809.0,90.0,0.0,49900.0,,98488.0,18156.0,34097.0,2750.0,237474.0,4030.0,,30460.0,300.0,32000.0,,169239.0,6725.0,,4000.0,4268.0,49548.0,,,,,2200.0,103580.0,3200.0,11432.0,150.0,460.0,170453.0,452000.0,1493421.0,,78344.0,73620.0,300.0,2109730.0,509430.0,0.0,,1950.0,10300.0,54069.0,1508.0,,2270.0,2000.0,870900.0,357950.0,355000.0,,,6000.0,218300.0,0.0,84828.0,2217200.0,410300.0,522800.0,400.0,473800.0,,357042.0,347834.0,256735.0,358611.0,553000.0,5976000.0,35240.0,0.0,8080.0,,241890.0,21298823.0,18151100.0,30000.0,24991000.0,119000.0,375379.0,26615.0,103000.0,336.0,22200.0,556296.0,,4788.0,1633650.0,63879.0,18250.0,17632.0,29200.0,,,7300.0,41428.0,1123400.0,,1267600.0,,18335121.0,204720.0,,1239192.0,44533.0,3520.0,232312.0,190136.0,,5200.0,10063.0,347500.0,1000.0,0.0,1750.0,853555.0,3035522.0,0.0,1200.0,,138990.0,186800.0,0.0,987200.0,8853.0,480.0,3000.0,325.0,1356957.0,340000.0,4300.0,53440.0,487821.0,29542.0,135000.0,91372.0,,347445.0,,19800.0
1966,10404250.0,3000.0,68400.0,21500.0,50.0,0.0,88057.0,5.0,28055.0,252052.0,52900.0,58156.0,124805.0,3000.0,29710.0,3660054.0,,87561.0,0.0,1608740.0,236050.0,336021.0,1783.0,3600.0,50322.0,4830.0,,0.0,23598.0,118934.0,2000.0,16750.0,,158540.0,97759.0,12650.0,170080.0,134006.0,79207.0,268900.0,225080.0,367070.0,103000.0,148404.0,56556.0,1027.0,,6365.0,,413.0,242.0,164571.0,1700.0,2711.0,,0.0,54805.0,795286.0,121000.0,6000.0,11970.0,336756.0,190919.0,11000.0,,147993.0,40.0,0.0,49400.0,,110044.0,19234.0,30131.0,2753.0,253018.0,5040.0,,30755.0,400.0,28320.0,,136300.0,6762.0,,4000.0,3744.0,29053.0,,,,,2150.0,116880.0,3200.0,11432.0,450.0,350.0,162669.0,515000.0,1232630.0,,109068.0,105468.0,300.0,2122130.0,588550.0,0.0,,2000.0,10700.0,74311.0,2384.0,,2363.0,2023.0,872717.0,371727.0,278000.0,,,6000.0,237500.0,0.0,78203.0,2238600.0,420900.0,459487.0,790.0,491800.0,,354557.0,364239.0,261355.0,331684.0,568000.0,5914000.0,28740.0,0.0,8390.0,,207975.0,20452305.0,17946000.0,30000.0,24413400.0,109500.0,388652.0,23942.0,87400.0,336.0,19800.0,575400.0,,6364.0,1641600.0,65304.0,21487.0,17364.0,33200.0,,,8000.0,37241.0,1126010.0,,1260150.0,,18110571.0,212355.0,,1231071.0,42316.0,2200.0,235025.0,193122.0,,5100.0,11075.0,309010.0,1300.0,0.0,1770.0,824299.0,2819489.0,0.0,2450.0,,150965.0,181700.0,0.0,1060350.0,10111.0,480.0,3000.0,327.0,1362032.0,342600.0,4300.0,51300.0,484222.0,29500.0,129600.0,95595.0,,346004.0,,20300.0
1967,10092300.0,4900.0,68580.0,21500.0,280.0,0.0,90610.0,5.0,28055.0,255300.0,55100.0,58156.0,131074.0,3000.0,33822.0,5365273.0,,54791.0,0.0,1295059.0,248500.0,247740.0,1983.0,3630.0,50494.0,4524.0,,0.0,14466.0,123416.0,2100.0,16670.0,,165037.0,100197.0,10600.0,185139.0,122329.0,74853.0,259750.0,215540.0,323500.0,91000.0,162911.0,97544.0,1214.0,,21416.0,,373.0,107.0,162369.0,1600.0,2711.0,,0.0,56240.0,737200.0,125000.0,6300.0,13300.0,352456.0,190401.0,11000.0,,160813.0,80.0,0.0,40700.0,,73720.0,19422.0,30760.0,4168.0,277234.0,4810.0,,38035.0,400.0,28320.0,,141100.0,7551.0,,4000.0,3283.0,25806.0,,,,,2050.0,89020.0,2900.0,6070.0,850.0,300.0,210917.0,504300.0,1132199.0,,123139.0,119509.0,300.0,2283110.0,568630.0,0.0,,2100.0,10850.0,73988.0,4389.0,,2227.0,2023.0,929661.0,373787.0,281000.0,,,6000.0,265200.0,0.0,80621.0,2180800.0,478200.0,459388.0,781.0,525100.0,,358215.0,375398.0,288980.0,373301.0,614000.0,5341000.0,28840.0,0.0,8400.0,,185398.0,20933219.0,18114000.0,27000.0,24820200.0,109800.0,437131.0,14969.0,97800.0,336.0,18500.0,639900.0,,9421.0,1873420.0,71340.0,22901.0,20192.0,23200.0,,,8000.0,28749.0,1194246.0,,1247410.0,,18276369.0,227408.0,,1360937.0,29816.0,1040.0,235486.0,208613.0,,5100.0,11643.0,263240.0,1400.0,0.0,2000.0,722922.0,2719090.0,0.0,6100.0,,161387.0,172100.0,0.0,1065990.0,10294.0,425.0,3000.0,329.0,1290479.0,343700.0,4350.0,51300.0,487311.0,29500.0,126500.0,76893.0,,363642.0,,20800.0
1968,10119400.0,4500.0,68700.0,23500.0,789.0,0.0,101313.0,12.0,25055.0,251153.0,58300.0,65591.0,123500.0,3000.0,36124.0,5519270.0,,43250.0,0.0,1393885.0,279650.0,237026.0,1783.0,3645.0,50758.0,4350.0,,0.0,15268.0,127384.0,2253.0,14550.0,,161950.0,105713.0,9600.0,270777.0,118756.0,76170.0,302233.0,207260.0,371547.0,91000.0,193272.0,111464.0,870.0,,15098.0,,386.0,69.0,154856.0,1900.0,2711.0,,0.0,57735.0,716350.0,125000.0,6300.0,11550.0,358868.0,201034.0,11000.0,,176749.0,80.0,0.0,46600.0,,71820.0,17191.0,26611.0,5851.0,256669.0,5290.0,,39150.0,400.0,35755.0,,141800.0,7684.0,,4000.0,2717.0,21795.0,,,,,2100.0,84100.0,2600.0,11000.0,800.0,330.0,209598.0,578545.0,1352666.0,,116657.0,113012.0,300.0,2371180.0,556110.0,0.0,,2100.0,11200.0,82446.0,6377.0,,2168.0,2023.0,952947.0,449921.0,285000.0,,,6000.0,286900.0,0.0,89522.0,2399701.0,512100.0,501435.0,405.0,547800.0,,351697.0,424856.0,305162.0,377347.0,723900.0,5280000.0,29000.0,0.0,8120.0,,170418.0,22437968.0,17380000.0,26000.0,24148900.0,109000.0,443954.0,17153.0,106500.0,336.0,15000.0,671495.0,,11371.0,1834870.0,69665.0,21687.0,21576.0,31200.0,,,7700.0,20944.0,1213417.0,,1184900.0,,17534856.0,242609.0,,1339836.0,30913.0,910.0,164957.0,235071.0,,5100.0,11274.0,223310.0,1500.0,0.0,1900.0,662469.0,2262160.0,0.0,5300.0,,159031.0,166500.0,0.0,1099735.0,13539.0,360.0,3000.0,330.0,1379358.0,344850.0,4500.0,51300.0,489815.0,29500.0,139100.0,88273.0,,366213.0,,20800.0
1969,10048500.0,5500.0,68850.0,24500.0,789.0,0.0,100157.0,23.0,30110.0,253412.0,59500.0,65591.0,98500.0,3000.0,39970.0,5997630.0,,53750.0,0.0,2019230.0,319110.0,235673.0,1960.0,5156.0,50664.0,3871.0,,0.0,16110.0,144562.0,2500.0,15550.0,,174980.0,87358.0,10300.0,263783.0,128143.0,105178.0,318675.0,262915.0,447668.0,88000.0,207161.0,106856.0,943.0,,8112.0,,372.0,64.0,146209.0,1645.0,2711.0,,0.0,60985.0,800187.0,131000.0,5000.0,8840.0,365846.0,199025.0,11000.0,,172459.0,30.0,0.0,61143.0,,78420.0,16736.0,22165.0,7847.0,271512.0,4840.0,,42900.0,400.0,35755.0,,143300.0,7583.0,,4000.0,2331.0,34881.0,,,,,2350.0,108720.0,2300.0,11432.0,800.0,330.0,226320.0,607354.0,1315118.0,,150510.0,145354.0,200.0,2260510.0,506710.0,0.0,,2200.0,11600.0,85200.0,6649.0,,1690.0,2023.0,942198.0,341819.0,289000.0,,,5600.0,281676.0,0.0,65791.0,2358321.0,281600.0,514162.0,350.0,575900.0,,358761.0,444267.0,356185.0,384906.0,786600.0,5180000.0,30200.0,0.0,8440.0,,172589.0,23018237.0,17187500.0,36000.0,23838200.0,110000.0,426317.0,15541.0,90633.0,336.0,15000.0,698474.0,,7765.0,1881470.0,67983.0,17997.0,20954.0,35200.0,,,6400.0,18521.0,989608.0,,1180800.0,,17333709.0,243778.0,,1492037.0,42015.0,367.0,178106.0,276983.0,,5100.0,7027.0,192490.0,1500.0,0.0,2400.0,739340.0,2679115.0,0.0,7284.0,,144860.0,162500.0,0.0,1060503.0,13500.0,370.0,3000.0,344.0,1274116.0,346000.0,4800.0,51300.0,489158.0,29500.0,160800.0,102725.0,,368863.0,,19300.0
1970,10136000.0,6600.0,69000.0,19500.0,600.0,0.0,116176.0,30.0,30110.0,248600.0,71700.0,65591.0,93000.0,3000.0,39130.0,6553776.0,,59806.0,0.0,3224857.0,372900.0,276174.0,1780.0,5156.0,50622.0,4011.0,,0.0,8695.0,151300.0,2700.0,13500.0,,169300.0,77910.0,11400.0,368703.0,145797.0,96682.0,266481.0,241910.0,414750.0,90011.0,246207.0,95782.0,669.0,,9249.0,,224.0,44.0,137322.0,1700.0,2630.0,,0.0,61453.0,816629.0,134000.0,4684.0,7430.0,340576.0,200396.0,11000.0,,180210.0,35.0,0.0,42943.0,,78560.0,11363.0,20177.0,7510.0,274116.0,5740.0,,44970.0,400.0,35755.0,,142600.0,8794.0,,4000.0,2358.0,24621.0,,,,,2100.0,114650.0,2100.0,11432.0,800.0,330.0,250347.0,681164.0,1416910.0,,214020.0,208864.0,220.0,2293510.0,463910.0,0.0,,2200.0,12100.0,84000.0,6429.0,,1756.0,2023.0,938953.0,377495.0,293000.0,,,5600.0,291978.0,0.0,45694.0,2599890.0,435300.0,485675.0,400.0,595400.0,,353910.0,489765.0,428533.0,379004.0,843900.0,5421000.0,28000.0,0.0,7950.0,,146931.0,23537483.0,16968500.0,33000.0,24606600.0,107500.0,466934.0,13315.0,81900.0,336.0,15000.0,797395.0,,3604.0,1921550.0,71730.0,19108.0,20175.0,28200.0,,,5800.0,17460.0,1012808.0,,1205700.0,,17105822.0,247051.0,,1691771.0,54468.0,643.0,273524.0,278441.0,,5100.0,6854.0,175900.0,1500.0,0.0,2400.0,730534.0,2828520.0,0.0,4006.0,,120307.0,154900.0,0.0,1006150.0,15280.0,370.0,3180.0,327.0,1196406.0,347200.0,9000.0,47881.0,486611.0,29500.0,147500.0,92215.0,,364016.0,,19800.0
