,Kenya,Peru,Mozambique,Croatia,Serbia,Malaysia,India,Sudan (former),Philippines,Syrian Arab Republic,El Salvador,Benin,United Republic of Tanzania,Nepal,Ethiopia,Indonesia,Canada,The former Yugoslav Republic of Macedonia,Japan,Zimbabwe,Bangladesh,Republic of Korea,Uzbekistan,Eritrea,Bulgaria,Iran (Islamic Republic of),Democratic Republic of the Congo,Togo,Czechoslovakia,Senegal,Kyrgyzstan,Cambodia,Timor-Leste,Ukraine,Germany,Cabo Verde,Austria,Niger,Morocco,Ethiopia PDR,Switzerland,USSR,Slovakia,Azerbaijan,Central African Republic,Israel,Côte d'Ivoire,Latvia,Czechia,France,South Africa,Hungary,Polynesia,Kazakhstan,Samoa,Tajikistan,Portugal,Thailand,Lithuania,Poland,Russian Federation,Mali,Uganda
1961,2000.0,-1,50000.0,-1.0,-1,6000.0,477000.0,-1.0,3000.0,-1,-1,-1.0,20000.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,5261.0,6329.0,-1.0,-1.0,10000.0,100.0,-1,-1,619.0,-1,-1.0,-1.0,-1,-1.0,1612.0,1000.0,1498.0,-1.0,140.0,130000.0,-1.0,20000.0,-1.0,-1.0,-1.0,120.0,-1.0,-1.0,-1.0,-1.0,5000.0,-1.0,200.0,-1.0,200.0,-1.0,-1.0,-1,-1.0,30000.0,-1.0,-1,-1.0
1962,2000.0,-1,51000.0,-1.0,-1,8000.0,480000.0,-1.0,3000.0,-1,-1,-1.0,20000.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,4856.0,7004.0,-1.0,-1.0,10000.0,100.0,-1,-1,752.0,-1,-1.0,-1.0,-1,-1.0,8788.0,1200.0,1433.0,-1.0,125.0,130000.0,-1.0,20000.0,-1.0,-1.0,-1.0,230.0,-1.0,-1.0,-1.0,-1.0,5000.0,-1.0,200.0,-1.0,200.0,-1.0,-1.0,-1,-1.0,20000.0,-1.0,-1,-1.0
1963,2500.0,-1,58000.0,-1.0,-1,8000.0,483000.0,-1.0,3000.0,-1,-1,-1.0,20000.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,5261.0,6644.0,-1.0,-1.0,10000.0,100.0,-1,-1,611.0,-1,-1.0,-1.0,-1,-1.0,6367.0,1500.0,2044.0,-1.0,83.0,140000.0,-1.0,20000.0,-1.0,-1.0,-1.0,340.0,-1.0,-1.0,-1.0,-1.0,5000.0,-1.0,200.0,-1.0,200.0,-1.0,-1.0,-1,-1.0,15000.0,-1.0,-1,-1.0
1964,2500.0,-1,65000.0,-1.0,-1,7000.0,490000.0,-1.0,3000.0,-1,-1,-1.0,20000.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,4856.0,7586.0,-1.0,-1.0,10000.0,150.0,-1,-1,1004.0,-1,-1.0,-1.0,-1,-1.0,3504.0,1100.0,2350.0,-1.0,58.0,130000.0,-1.0,20000.0,-1.0,-1.0,-1.0,510.0,-1.0,-1.0,-1.0,-1.0,5000.0,-1.0,200.0,-1.0,200.0,-1.0,-1.0,-1,-1.0,15000.0,-1.0,-1,-1.0
1965,2500.0,-1,65000.0,-1.0,-1,8000.0,522000.0,-1.0,3000.0,-1,-1,-1.0,20000.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,4856.0,8226.0,-1.0,-1.0,10000.0,150.0,-1,-1,812.0,-1,-1.0,-1.0,-1,-1.0,4569.0,1100.0,1950.0,-1.0,83.0,130000.0,-1.0,22000.0,-1.0,-1.0,-1.0,580.0,-1.0,-1.0,-1.0,-1.0,6000.0,-1.0,200.0,-1.0,200.0,-1.0,-1.0,-1,-1.0,15000.0,-1.0,-1,-1.0
1966,2500.0,-1,58000.0,-1.0,-1,17000.0,473000.0,-1.0,3120.0,-1,-1,-1.0,20000.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,4856.0,9414.0,-1.0,-1.0,10000.0,200.0,-1,-1,553.0,-1,-1.0,-1.0,-1,-1.0,3694.0,1200.0,2276.0,-1.0,66.0,125000.0,-1.0,13000.0,-1.0,-1.0,-1.0,515.0,-1.0,-1.0,-1.0,-1.0,6000.0,-1.0,200.0,-1.0,200.0,-1.0,-1.0,-1,-1.0,34200.0,-1.0,-1,-1.0
1967,2500.0,-1,67000.0,-1.0,-1,10000.0,468000.0,-1.0,3100.0,-1,-1,-1.0,20000.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,4856.0,10508.0,-1.0,-1.0,10000.0,100.0,-1,-1,207.0,-1,-1.0,-1.0,-1,-1.0,2211.0,1000.0,2432.0,-1.0,66.0,130000.0,-1.0,10000.0,-1.0,-1.0,-1.0,540.0,-1.0,-1.0,-1.0,-1.0,6000.0,-1.0,200.0,-1.0,200.0,-1.0,-1.0,-1,-1.0,32600.0,-1.0,-1,-1.0
1968,2500.0,-1,105000.0,-1.0,-1,27000.0,441000.0,-1.0,3000.0,-1,-1,-1.0,20000.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,3642.0,10540.0,-1.0,-1.0,10000.0,100.0,-1,-1,133.0,-1,-1.0,-1.0,-1,-1.0,1091.0,800.0,2461.0,-1.0,50.0,135000.0,-1.0,10000.0,-1.0,-1.0,-1.0,500.0,-1.0,-1.0,-1.0,-1.0,7000.0,-1.0,200.0,-1.0,200.0,-1.0,-1.0,-1,-1.0,28400.0,-1.0,-1,-1.0
1969,2500.0,-1,95000.0,-1.0,-1,11000.0,482000.0,-1.0,2900.0,-1,-1,-1.0,20000.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,5665.0,10607.0,-1.0,-1.0,10000.0,100.0,-1,-1,500.0,-1,-1.0,-1.0,-1,-1.0,1100.0,600.0,2095.0,-1.0,50.0,140000.0,-1.0,9000.0,-1.0,-1.0,-1.0,450.0,-1.0,-1.0,-1.0,-1.0,7000.0,-1.0,200.0,-1.0,200.0,-1.0,-1.0,-1,-1.0,29500.0,-1.0,-1,-1.0
1970,2500.0,-1,100000.0,-1.0,-1,26500.0,489000.0,-1.0,2650.0,-1,-1,-1.0,20000.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,2833.0,11572.0,-1.0,-1.0,10000.0,150.0,-1,-1,500.0,-1,-1.0,-1.0,-1,-1.0,1212.0,800.0,2082.0,-1.0,83.0,140000.0,-1.0,10400.0,-1.0,-1.0,-1.0,520.0,-1.0,-1.0,-1.0,-1.0,7000.0,-1.0,200.0,-1.0,200.0,-1.0,-1.0,-1,-1.0,36400.0,-1.0,-1,-1.0
