,Ukraine,Germany,Cabo Verde,South Africa,Ethiopia PDR,Czechoslovakia,Kazakhstan,Republic of Korea,USSR,Slovakia,Ethiopia,Pakistan,Czechia,Eritrea
1961,-1.0,439.0,84.0,60.0,2600.0,60.0,-1.0,140.0,1000.0,-1.0,-1.0,899.0,-1.0,-1.0
1962,-1.0,318.0,105.0,60.0,2800.0,49.0,-1.0,133.0,1000.0,-1.0,-1.0,1162.0,-1.0,-1.0
1963,-1.0,175.0,77.0,60.0,2600.0,80.0,-1.0,152.0,1000.0,-1.0,-1.0,1191.0,-1.0,-1.0
1964,-1.0,228.0,77.0,72.0,2600.0,65.0,-1.0,165.0,1100.0,-1.0,-1.0,1198.0,-1.0,-1.0
1965,-1.0,185.0,84.0,72.0,2500.0,44.0,-1.0,188.0,650.0,-1.0,-1.0,1316.0,-1.0,-1.0
1966,-1.0,111.0,70.0,72.0,2600.0,17.0,-1.0,210.0,500.0,-1.0,-1.0,1098.0,-1.0,-1.0
1967,-1.0,55.0,56.0,84.0,2700.0,11.0,-1.0,211.0,500.0,-1.0,-1.0,1220.0,-1.0,-1.0
1968,-1.0,55.0,42.0,84.0,2800.0,40.0,-1.0,212.0,450.0,-1.0,-1.0,1101.0,-1.0,-1.0
1969,-1.0,61.0,56.0,84.0,2800.0,40.0,-1.0,231.0,520.0,-1.0,-1.0,1192.0,-1.0,-1.0
1970,-1.0,76.0,14.0,84.0,2900.0,45.0,-1.0,216.0,600.0,-1.0,-1.0,1069.0,-1.0,-1.0
1971,-1.0,117.0,14.0,96.0,3000.0,37.0,-1.0,228.0,700.0,-1.0,-1.0,1203.0,-1.0,-1.0
1972,-1.0,57.0,7.0,96.0,3040.0,120.0,-1.0,240.0,550.0,-1.0,-1.0,1503.0,-1.0,-1.0
1973,-1.0,19.0,7.0,108.0,2134.0,339.0,-1.0,268.0,450.0,-1.0,-1.0,1801.0,-1.0,-1.0
1974,-1.0,28.0,7.0,108.0,4888.0,346.0,-1.0,303.0,250.0,-1.0,-1.0,2100.0,-1.0,-1.0
1975,-1.0,124.0,0.0,108.0,2592.0,380.0,-1.0,368.0,150.0,-1.0,-1.0,2400.0,-1.0,-1.0
1976,-1.0,125.0,0.0,108.0,2410.0,262.0,-1.0,349.0,100.0,-1.0,-1.0,2400.0,-1.0,-1.0
