,Kenya,Melanesia,Yemen,Guyana,Cameroon,Saudi Arabia,Malaysia,Philippines,South Sudan,Benin,Jamaica,Pakistan,Iraq,Cyprus,Belize,Bahamas,United States of America,Barbados,Guatemala,Djibouti,Mauritius,Kuwait,Senegal,Jordan,India,Burkina Faso,Fiji,Bahrain,United Arab Emirates,Congo,Qatar,Mexico,Nigeria,Egypt,Puerto Rico,Oman,Côte d'Ivoire,Albania,Lebanon,Brunei Darussalam,Trinidad and Tobago,Occupied Palestinian Territory,Syrian Arab Republic,Sudan,Ghana,Sudan (former),Turkey
1961,-1.0,50.0,-1.0,-1.0,-1.0,2500.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,880.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,775000.0,10000.0,50.0,-1.0,-1.0,-1.0,-1.0,1000.0,235000.0,3000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,70000.0,-1.0,10000.0
1962,-1.0,50.0,-1.0,-1.0,-1.0,2500.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,840.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,790000.0,11000.0,50.0,-1.0,-1.0,-1.0,-1.0,1000.0,241000.0,6000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,70000.0,-1.0,10000.0
1963,-1.0,50.0,-1.0,-1.0,-1.0,2500.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,820.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,825000.0,12000.0,50.0,-1.0,-1.0,-1.0,-1.0,1000.0,246000.0,10000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,70000.0,-1.0,11000.0
1964,-1.0,50.0,-1.0,-1.0,-1.0,2500.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,800.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,845000.0,13000.0,50.0,-1.0,-1.0,-1.0,-1.0,1200.0,252000.0,12000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,70000.0,-1.0,11000.0
1965,-1.0,50.0,-1.0,-1.0,-1.0,2600.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,880.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,900000.0,14000.0,50.0,-1.0,-1.0,-1.0,-1.0,1300.0,259000.0,15000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,70000.0,-1.0,12000.0
1966,-1.0,50.0,-1.0,-1.0,-1.0,2700.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,930.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,940000.0,15000.0,50.0,-1.0,-1.0,-1.0,-1.0,1400.0,265000.0,18000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,71000.0,-1.0,12000.0
1967,-1.0,50.0,-1.0,-1.0,-1.0,2800.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,910.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,970000.0,15000.0,50.0,-1.0,-1.0,-1.0,-1.0,1500.0,272000.0,20000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,78000.0,-1.0,12000.0
1968,-1.0,50.0,-1.0,-1.0,-1.0,3000.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,950.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1000000.0,15000.0,50.0,-1.0,-1.0,-1.0,-1.0,1600.0,279000.0,22000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,78000.0,-1.0,12075.0
1969,-1.0,50.0,-1.0,-1.0,-1.0,3000.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,965.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,343.0,1050000.0,15000.0,50.0,-1.0,-1.0,-1.0,-1.0,2000.0,287000.0,25000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,82000.0,-1.0,12514.0
1970,-1.0,50.0,-1.0,-1.0,-1.0,3000.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,1016.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,500.0,1150000.0,15000.0,50.0,-1.0,-1.0,-1.0,-1.0,2100.0,290000.0,27000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,-1.0,15000.0
