,Puerto Rico,Ghana,Bahrain,Fiji,Philippines,Iraq,Pakistan,Belize,Kenya,Guyana,Senegal,Qatar,Mauritius,Benin,Albania,Occupied Palestinian Territory,Burkina Faso,Sudan (former),South Sudan,Syrian Arab Republic,Bahamas,Jamaica,Jordan,Saudi Arabia,Trinidad and Tobago,Egypt,Melanesia,United States of America,Malaysia,Sudan,Mexico,Yemen,Oman,Nigeria,India,Congo,Barbados,Lebanon,Turkey,Djibouti,Brunei Darussalam,Kuwait,Cyprus,United Arab Emirates,Côte d'Ivoire,Cameroon,Guatemala
1961,-1.0,70000.0,-1.0,50.0,-1.0,,,-1.0,-1.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,10000.0,-1.0,,-1.0,-1.0,-1.0,,2500.0,-1.0,3000.0,50.0,,-1.0,,1000.0,,-1.0,235000.0,775000.0,-1.0,,,10000.0,-1.0,-1.0,-1.0,880.0,-1.0,-1.0,-1.0,-1.0
1962,-1.0,70000.0,-1.0,50.0,-1.0,,,-1.0,-1.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,11000.0,-1.0,,-1.0,-1.0,-1.0,,2500.0,-1.0,6000.0,50.0,,-1.0,,1000.0,,-1.0,241000.0,790000.0,-1.0,,,10000.0,-1.0,-1.0,-1.0,840.0,-1.0,-1.0,-1.0,-1.0
1963,-1.0,70000.0,-1.0,50.0,-1.0,,,-1.0,-1.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,12000.0,-1.0,,-1.0,-1.0,-1.0,,2500.0,-1.0,10000.0,50.0,,-1.0,,1000.0,,-1.0,246000.0,825000.0,-1.0,,,11000.0,-1.0,-1.0,-1.0,820.0,-1.0,-1.0,-1.0,-1.0
1964,-1.0,70000.0,-1.0,50.0,-1.0,,,-1.0,-1.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,13000.0,-1.0,,-1.0,-1.0,-1.0,,2500.0,-1.0,12000.0,50.0,,-1.0,,1200.0,,-1.0,252000.0,845000.0,-1.0,,,11000.0,-1.0,-1.0,-1.0,800.0,-1.0,-1.0,-1.0,-1.0
1965,-1.0,70000.0,-1.0,50.0,-1.0,,,-1.0,-1.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,14000.0,-1.0,,-1.0,-1.0,-1.0,,2600.0,-1.0,15000.0,50.0,,-1.0,,1300.0,,-1.0,259000.0,900000.0,-1.0,,,12000.0,-1.0,-1.0,-1.0,880.0,-1.0,-1.0,-1.0,-1.0
1966,-1.0,71000.0,-1.0,50.0,-1.0,,,-1.0,-1.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,15000.0,-1.0,,-1.0,-1.0,-1.0,,2700.0,-1.0,18000.0,50.0,,-1.0,,1400.0,,-1.0,265000.0,940000.0,-1.0,,,12000.0,-1.0,-1.0,-1.0,930.0,-1.0,-1.0,-1.0,-1.0
1967,-1.0,78000.0,-1.0,50.0,-1.0,,,-1.0,-1.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,15000.0,-1.0,,-1.0,-1.0,-1.0,,2800.0,-1.0,20000.0,50.0,,-1.0,,1500.0,,-1.0,272000.0,970000.0,-1.0,,,12000.0,-1.0,-1.0,-1.0,910.0,-1.0,-1.0,-1.0,-1.0
1968,-1.0,78000.0,-1.0,50.0,-1.0,,,-1.0,-1.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,15000.0,-1.0,,-1.0,-1.0,-1.0,,3000.0,-1.0,22000.0,50.0,,-1.0,,1600.0,,-1.0,279000.0,1000000.0,-1.0,,,12075.0,-1.0,-1.0,-1.0,950.0,-1.0,-1.0,-1.0,-1.0
1969,-1.0,82000.0,-1.0,50.0,-1.0,,,-1.0,-1.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,15000.0,-1.0,,-1.0,-1.0,-1.0,343.0,3000.0,-1.0,25000.0,50.0,,-1.0,,2000.0,,-1.0,287000.0,1050000.0,-1.0,,,12514.0,-1.0,-1.0,-1.0,965.0,-1.0,-1.0,-1.0,-1.0
1970,-1.0,100000.0,-1.0,50.0,-1.0,,,-1.0,-1.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,15000.0,-1.0,,-1.0,-1.0,-1.0,500.0,3000.0,-1.0,27000.0,50.0,,-1.0,,2100.0,,-1.0,290000.0,1150000.0,-1.0,,,15000.0,-1.0,-1.0,-1.0,1016.0,-1.0,-1.0,-1.0,-1.0
1971,-1.0,100000.0,-1.0,50.0,-1.0,,,-1.0,-1.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,15000.0,-1.0,,-1.0,-1.0,-1.0,160.0,3000.0,-1.0,30000.0,50.0,,-1.0,,2200.0,,-1.0,295000.0,1190000.0,-1.0,,,15000.0,-1.0,-1.0,-1.0,1016.0,-1.0,-1.0,-1.0,-1.0
1972,-1.0,214000.0,-1.0,50.0,-1.0,,,-1.0,-1.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,15000.0,-1.0,,-1.0,-1.0,-1.0,871.0,3703.0,-1.0,33000.0,50.0,,-1.0,,2000.0,,-1.0,300000.0,1240000.0,-1.0,,,14000.0,-1.0,-1.0,-1.0,965.0,-1.0,-1.0,-1.0,-1.0
1973,-1.0,171000.0,-1.0,50.0,-1.0,,,-1.0,-1.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,15000.0,-1.0,,-1.0,-1.0,-1.0,348.0,9352.0,-1.0,35000.0,50.0,,-1.0,,4500.0,,-1.0,315000.0,1340000.0,-1.0,,,15000.0,-1.0,-1.0,-1.0,864.0,-1.0,-1.0,-1.0,-1.0
1974,-1.0,252000.0,-1.0,50.0,-1.0,,,-1.0,-1.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,15000.0,-1.0,,-1.0,-1.0,-1.0,2124.0,19992.0,-1.0,38000.0,50.0,,-1.0,,1500.0,,-1.0,330000.0,1375000.0,-1.0,,,16000.0,-1.0,-1.0,-1.0,813.0,-1.0,-1.0,-1.0,-1.0
1975,-1.0,160000.0,-1.0,50.0,-1.0,,,-1.0,-1.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,15000.0,-1.0,,-1.0,-1.0,-1.0,4665.0,14842.0,-1.0,40000.0,50.0,,-1.0,,2000.0,,-1.0,350000.0,1430000.0,-1.0,,,17500.0,-1.0,-1.0,-1.0,660.0,-1.0,-1.0,-1.0,-1.0
1976,-1.0,108000.0,-1.0,50.0,-1.0,,,-1.0,-1.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,15000.0,-1.0,,-1.0,-1.0,-1.0,1376.0,4630.0,-1.0,43000.0,50.0,,-1.0,,2000.0,,-1.0,370000.0,1480000.0,-1.0,,,17750.0,-1.0,-1.0,-1.0,1016.0,-1.0,-1.0,-1.0,-1.0
1977,-1.0,92000.0,-1.0,50.0,-1.0,,,-1.0,-1.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,15000.0,-1.0,,-1.0,-1.0,-1.0,7614.0,11623.0,-1.0,45000.0,50.0,,-1.0,,2000.0,,-1.0,385000.0,1530000.0,-1.0,,,18000.0,-1.0,-1.0,-1.0,1321.0,-1.0,-1.0,-1.0,-1.0
1978,-1.0,93000.0,-1.0,50.0,-1.0,92200.0,,-1.0,-1.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,16000.0,-1.0,,-1.0,-1.0,-1.0,568.0,2618.0,-1.0,50000.0,50.0,,-1.0,,3000.0,,-1.0,400000.0,1550000.0,-1.0,,,18900.0,-1.0,-1.0,-1.0,1727.0,-1.0,-1.0,-1.0,-1.0
1979,-1.0,110000.0,-1.0,50.0,-1.0,83400.0,,-1.0,-1.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,16000.0,-1.0,,-1.0,-1.0,-1.0,1596.0,6226.0,-1.0,55000.0,50.0,,-1.0,,8000.0,9457.0,-1.0,410000.0,1625000.0,-1.0,,6700.0,20000.0,-1.0,-1.0,-1.0,1626.0,-1.0,-1.0,-1.0,-1.0
1980,-1.0,99000.0,-1.0,100.0,-1.0,85300.0,35897.0,-1.0,-1.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,17000.0,-1.0,,-1.0,-1.0,-1.0,4523.0,9379.0,-1.0,66000.0,100.0,,-1.0,,32918.0,10105.0,-1.0,420000.0,1700000.0,-1.0,,6800.0,21000.0,-1.0,-1.0,-1.0,1270.0,-1.0,-1.0,-1.0,1475.0
1981,-1.0,40400.0,-1.0,100.0,-1.0,109000.0,37476.0,-1.0,-1.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,17000.0,-1.0,,-1.0,-1.0,-1.0,2806.0,4953.0,-1.0,57000.0,100.0,,-1.0,,19107.0,8513.0,-1.0,430000.0,1740000.0,-1.0,,6900.0,22000.0,-1.0,-1.0,-1.0,1118.0,-1.0,-1.0,-1.0,1824.0
1982,-1.0,46400.0,-1.0,100.0,-1.0,137900.0,43373.0,-1.0,-1.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,18000.0,-1.0,,-1.0,-1.0,-1.0,2847.0,6345.0,-1.0,61000.0,100.0,,-1.0,,35699.0,8922.0,-1.0,440000.0,1770000.0,-1.0,,7000.0,23000.0,-1.0,-1.0,-1.0,1016.0,-1.0,-1.0,-1.0,2274.0
1983,-1.0,62000.0,-1.0,100.0,-1.0,137300.0,50183.0,-1.0,-1.0,-1.0,-1.0,,-1.0,5919.0,-1.0,-1.0,19000.0,-1.0,,-1.0,-1.0,-1.0,2200.0,11979.0,-1.0,67000.0,100.0,,-1.0,,14952.0,9516.0,-1.0,450000.0,1850000.0,-1.0,,7250.0,23500.0,-1.0,-1.0,-1.0,1050.0,-1.0,-1.0,-1.0,2513.0
1984,-1.0,121000.0,-1.0,100.0,-1.0,155700.0,59515.0,-1.0,-1.0,-1.0,-1.0,168.0,-1.0,6421.0,-1.0,-1.0,21000.0,-1.0,,-1.0,-1.0,-1.0,2136.0,10561.0,-1.0,63000.0,100.0,,-1.0,,23414.0,10122.0,-1.0,460000.0,1900000.0,-1.0,,7320.0,25000.0,-1.0,-1.0,-1.0,1050.0,-1.0,-1.0,-1.0,2891.0
1985,-1.0,102000.0,-1.0,100.0,-1.0,162700.0,59423.0,-1.0,-1.0,-1.0,-1.0,196.0,-1.0,8329.0,-1.0,-1.0,21667.0,-1.0,,-1.0,-1.0,-1.0,3015.0,18001.0,-1.0,57000.0,100.0,,-1.0,,30594.0,10823.0,-1.0,475000.0,1950000.0,-1.0,,7400.0,24000.0,-1.0,-1.0,-1.0,1215.0,-1.0,-1.0,-1.0,3026.0
1986,-1.0,146000.0,-1.0,200.0,-1.0,136800.0,70188.0,-1.0,-1.0,-1.0,-1.0,124.0,-1.0,13639.0,-1.0,-1.0,22408.0,-1.0,,-1.0,-1.0,-1.0,1141.0,17448.0,-1.0,68000.0,200.0,,-1.0,,22958.0,12629.0,-1.0,490000.0,2050000.0,-1.0,30.0,7600.0,21000.0,-1.0,-1.0,-1.0,1200.0,-1.0,-1.0,-1.0,3180.0
1987,-1.0,138900.0,-1.0,200.0,-1.0,134900.0,67574.0,-1.0,-1.0,-1.0,-1.0,129.0,-1.0,15283.0,-1.0,-1.0,23176.0,-1.0,,-1.0,-1.0,-1.0,1033.0,31374.0,-1.0,64000.0,200.0,,-1.0,,29429.0,14310.0,-1.0,500000.0,2110000.0,-1.0,50.0,7650.0,23000.0,-1.0,-1.0,-1.0,1300.0,-1.0,-1.0,-1.0,3326.0
1988,-1.0,59600.0,-1.0,200.0,-1.0,134300.0,65238.0,-1.0,-1.0,-1.0,-1.0,181.0,-1.0,21763.0,-1.0,-1.0,23974.0,-1.0,,-1.0,-1.0,-1.0,1145.0,32788.0,-1.0,60000.0,200.0,,-1.0,,28224.0,14623.0,-1.0,510000.0,2190000.0,-1.0,100.0,7750.0,21000.0,-1.0,-1.0,1382.0,1350.0,-1.0,-1.0,-1.0,3766.0
1989,-1.0,146500.0,-1.0,200.0,-1.0,149500.0,70944.0,374.0,-1.0,-1.0,-1.0,225.0,-1.0,25156.0,-1.0,-1.0,24804.0,-1.0,,-1.0,-1.0,-1.0,822.0,31009.0,-1.0,56000.0,200.0,,-1.0,,18000.0,14967.0,-1.0,791000.0,2250000.0,-1.0,150.0,7790.0,21000.0,-1.0,-1.0,1706.0,1400.0,-1.0,-1.0,-1.0,4033.0
1990,-1.0,131900.0,-1.0,182.0,23913.0,154100.0,77697.0,7.0,-1.0,-1.0,-1.0,190.0,390.0,30763.0,3900.0,-1.0,25666.0,50000.0,,-1.0,-1.0,2000.0,1243.0,29263.0,-1.0,64000.0,182.0,0.0,3500.0,,24200.0,14203.0,-1.0,526000.0,2280000.0,300.0,200.0,7800.0,22000.0,10.0,75.0,1627.0,1300.0,-1.0,100000.0,10000.0,4300.0
1991,-1.0,135000.0,-1.0,321.0,23801.0,115800.0,85479.0,25.0,-1.0,-1.0,-1.0,250.0,425.0,28739.0,3000.0,-1.0,26000.0,50000.0,,10626.0,-1.0,2000.0,1112.0,42774.0,-1.0,67000.0,321.0,3100.0,2500.0,,31558.0,13916.0,-1.0,530000.0,2327000.0,318.0,384.0,7837.0,21000.0,11.0,108.0,70.0,1280.0,-1.0,103230.0,12000.0,4566.0
1992,-1.0,137000.0,-1.0,470.0,25267.0,155000.0,86384.0,67.0,2338.0,-1.0,-1.0,413.0,454.0,35743.0,4600.0,-1.0,26095.0,50000.0,,10089.0,-1.0,2000.0,1789.0,42133.0,-1.0,64601.0,470.0,3150.0,2500.0,,34116.0,15530.0,-1.0,550000.0,2400000.0,348.0,270.0,8662.0,20000.0,12.0,85.0,151.0,1300.0,-1.0,110000.0,14000.0,4600.0
1993,-1.0,140000.0,-1.0,443.0,25465.0,160000.0,91882.0,94.0,5304.0,-1.0,-1.0,373.0,450.0,33000.0,5200.0,-1.0,26155.0,50000.0,,11856.0,-1.0,2000.0,3720.0,46750.0,-1.0,67000.0,443.0,3350.0,5000.0,,17558.0,15472.0,-1.0,570000.0,2405000.0,350.0,851.0,8900.0,22000.0,12.0,158.0,403.0,1150.0,-1.0,111407.0,15000.0,4628.0
1994,-1.0,145000.0,-1.0,972.0,28410.0,158000.0,88626.0,18.0,4400.0,-1.0,-1.0,360.0,526.0,40000.0,5900.0,6071.0,26206.0,60000.0,,11633.0,-1.0,2000.0,894.0,49930.0,-1.0,67500.0,972.0,4100.0,5000.0,,30824.0,14792.0,-1.0,600000.0,3030000.0,400.0,300.0,10000.0,25500.0,12.0,169.0,1094.0,1300.0,-1.0,114291.0,16000.0,4618.0
1995,-1.0,150000.0,-1.0,1000.0,28886.0,160000.0,96793.0,55.0,3681.0,-1.0,-1.0,437.0,550.0,31196.0,5800.0,7060.0,26247.0,80000.0,,12612.0,-1.0,2000.0,2685.0,55866.0,-1.0,75591.0,1000.0,4800.0,5000.0,,27281.0,16228.0,-1.0,630000.0,3900000.0,450.0,495.0,11000.0,23000.0,13.0,209.0,2980.0,1200.0,-1.0,120000.0,17000.0,4605.0
1996,-1.0,157392.0,-1.0,1100.0,30355.0,155000.0,105730.0,9.0,2502.0,-1.0,-1.0,688.0,605.0,51624.0,4800.0,9534.0,26276.0,100000.0,,10469.0,-1.0,2400.0,2095.0,54186.0,-1.0,72888.0,1100.0,6400.0,7500.0,,12913.0,17972.0,-1.0,650000.0,3800000.0,500.0,500.0,12813.0,26000.0,13.0,235.0,2979.0,1200.0,-1.0,106857.0,18000.0,4444.0
1997,-1.0,147059.0,-1.0,1070.0,31009.0,150000.0,108815.0,8.0,5731.0,4200.0,-1.0,812.0,600.0,50332.0,6000.0,4299.0,26298.0,130000.0,,13616.0,-1.0,2012.0,2842.0,57495.0,-1.0,74000.0,1070.0,6500.0,7500.0,,29329.0,17336.0,-1.0,612000.0,3700000.0,550.0,600.0,5000.0,25000.0,14.0,233.0,3047.0,1300.0,-1.0,94215.0,20000.0,4507.0
1998,-1.0,130966.0,-1.0,1100.0,24007.0,156000.0,116035.0,7.0,4058.0,4300.0,-1.0,601.0,700.0,53385.0,6000.0,2875.0,26336.0,150000.0,,17089.0,-1.0,2194.0,2697.0,41208.0,-1.0,75000.0,1100.0,7200.0,7500.0,,33286.0,19038.0,-1.0,638000.0,3210000.0,600.0,700.0,1700.0,24500.0,14.0,221.0,3106.0,1200.0,-1.0,88833.0,22286.0,4500.0
1999,-1.0,118694.0,-1.0,1045.0,25174.0,115000.0,120197.0,40.0,2851.0,4400.0,-1.0,677.0,850.0,54579.0,5900.0,3391.0,27591.0,170000.0,,11684.0,-1.0,3035.0,1962.0,50000.0,-1.0,97120.0,1045.0,8500.0,10000.0,,31359.0,19642.0,-1.0,719000.0,3380000.0,650.0,1100.0,1100.0,24500.0,15.0,245.0,2242.0,1500.0,2706.0,90739.0,32539.0,5000.0
2000,-1.0,100000.0,-1.0,1000.0,25452.0,85000.0,100634.0,304.0,3012.0,9080.0,28463.0,831.0,849.0,58956.0,6200.0,3277.0,26283.0,200000.0,,11490.0,-1.0,2682.0,5869.0,52539.0,-1.0,76000.0,1000.0,8940.0,10000.0,,42143.0,20242.0,-1.0,755827.0,3420000.0,700.0,1150.0,1100.0,27500.0,15.0,310.0,2466.0,1270.0,1753.0,92685.0,32539.0,5980.0
2001,-1.0,101917.0,-1.0,1018.0,25160.0,95000.0,100537.0,192.0,4052.0,4200.0,23782.0,245.0,900.0,58099.0,6500.0,3508.0,26105.0,220000.0,,12800.0,-1.0,2729.0,5164.0,40868.0,-1.0,85236.0,1018.0,8210.0,10000.0,,21853.0,21756.0,-1.0,778961.0,3340000.0,750.0,1200.0,1300.0,30000.0,16.0,312.0,2400.0,1600.0,2500.0,139567.0,33320.0,6000.0
2002,-1.0,99945.0,-1.0,1029.0,25254.0,105000.0,103093.0,249.0,3402.0,4100.0,20857.0,245.0,930.0,68555.0,6700.0,4126.0,26129.0,240000.0,,12210.0,-1.0,2455.0,15490.0,45833.0,-1.0,94270.0,1029.0,8000.0,12500.0,,33452.0,22042.0,-1.0,750000.0,3320000.0,800.0,1289.0,2600.0,31000.0,17.0,336.0,2915.0,1800.0,1957.0,142498.0,34120.0,6025.0
2003,138.0,99224.0,-1.0,1036.0,22992.0,117000.0,99588.0,108.0,4925.0,3800.0,42550.0,280.0,957.0,85333.0,6000.0,3423.0,26185.0,261000.0,,20200.0,-1.0,3059.0,6311.0,48272.0,-1.0,104640.0,1036.0,9242.0,12500.0,,24468.0,22463.0,-1.0,810000.0,3530000.0,858.0,1466.0,4800.0,35500.0,17.0,363.0,3101.0,1900.0,1322.0,98934.0,34938.0,6018.0
2004,138.0,99486.0,-1.0,1044.0,24913.0,146000.0,106722.0,51.0,5000.0,3400.0,44281.0,253.0,950.0,69539.0,5300.0,4895.0,26238.0,240000.0,,21600.0,-1.0,2599.0,8667.0,51848.0,-1.0,112380.0,1044.0,9878.0,12500.0,,26761.0,17470.0,6570.0,870000.0,3631400.0,964.0,570.0,2700.0,43000.0,18.0,414.0,2450.0,1644.0,1400.0,102211.0,35777.0,6103.0
2005,95.0,104389.0,55.0,1053.0,25958.0,136000.0,109239.0,16.0,6904.0,3200.0,21855.0,282.0,964.0,76217.0,5800.0,3582.0,26500.0,168000.0,,15900.0,-1.0,3021.0,7163.0,46365.0,-1.0,113490.0,1053.0,9487.0,15000.0,,18940.0,17904.0,3984.0,950000.0,3512400.0,970.0,495.0,2900.0,36000.0,19.0,379.0,2500.0,1788.0,8533.0,105597.0,34902.0,6175.0
2006,123.0,105000.0,1653.0,1050.0,26709.0,174000.0,111565.0,78.0,6672.0,2400.0,25961.0,408.0,1351.0,77386.0,10500.0,4173.0,26000.0,168000.0,,22050.0,-1.0,3652.0,4304.0,57900.0,-1.0,109490.0,1050.0,9500.0,15000.0,,37628.0,18818.0,3654.0,1000000.0,3974600.0,991.0,525.0,2300.0,36843.0,20.0,357.0,4340.0,2245.0,1604.0,109082.0,39519.0,6247.0
2007,110.0,108000.0,895.0,1100.0,27886.0,140579.0,103659.0,22.0,4384.0,3715.0,11835.0,550.0,1036.0,49122.0,7400.0,3014.0,27000.0,216950.0,,15290.0,-1.0,3379.0,5652.0,55000.0,557.0,117940.0,1100.0,10000.0,15000.0,,35946.0,20730.0,4736.0,1280000.0,4070000.0,950.0,658.0,2800.0,36992.0,20.0,343.0,4340.0,1947.0,1453.0,112537.0,40552.0,6375.0
2008,128.0,80453.0,682.0,1066.0,29485.0,132015.0,114657.0,30.0,5024.0,3820.0,23120.0,550.0,1270.0,48060.0,8000.0,2411.0,26560.0,249000.0,,20100.0,-1.0,3432.0,5550.0,52369.0,734.0,104690.0,1066.0,9844.0,17858.0,,35711.0,21530.0,5340.0,1039000.0,4179000.0,970.0,424.0,2800.0,37543.0,21.0,340.0,4340.0,1920.0,594.0,115913.0,41585.0,6357.0
2009,131.0,47000.0,540.0,1049.0,29710.0,152751.0,116096.0,29.0,3158.0,4700.0,14716.0,304.0,1519.0,42850.0,8083.0,2496.0,25471.0,252000.0,,13812.0,-1.0,4377.0,6184.0,60892.0,588.0,134665.0,1049.0,9615.0,25739.0,,28671.0,22519.0,2896.0,1050000.0,4528000.0,1165.0,245.0,2400.0,38432.0,22.0,350.0,4529.0,1625.0,1415.0,121417.0,47169.0,6391.0
2010,134.0,50000.0,769.0,1030.0,26176.0,151219.0,107453.0,47.0,3339.0,7479.0,16320.0,490.0,1592.0,45597.0,8264.0,1861.0,24885.0,256000.0,,15451.0,443.0,4202.0,6814.0,52884.0,934.0,86232.0,1030.0,9689.0,26267.0,,18447.0,24200.0,2180.0,1083620.0,4803000.0,1246.0,303.0,972.0,36748.0,23.0,380.0,4975.0,1608.0,1639.0,125748.0,60384.0,6425.0
