,Australia & New Zealand,Australia,Iraq,The former Yugoslav Republic of Macedonia,Uruguay,Libya,Italy,Lebanon,Albania,Uzbekistan,Occupied Palestinian Territory,Serbia and Montenegro,Morocco,Slovenia,El Salvador,Chile,Malta,Argentina,Spain,Syrian Arab Republic,Cyprus,"China, Taiwan Province of",Israel,Jordan,Afghanistan,Egypt,Greece,Azerbaijan,France,Croatia,Montenegro,Turkey,Tunisia,Yugoslav SFR,Iran (Islamic Republic of),Peru,United States of America,Mexico,China,Kuwait,Algeria,Bosnia and Herzegovina,Portugal,Brazil
1961,1088.0,1088.0,-1.0,,-1.0,-1.0,1228800.0,27000.0,18600.0,,-1.0,,155000.0,,2300.0,-1.0,14.0,-1.0,-1.0,80000.0,20350.0,186.0,10000.0,63500.0,600.0,2800.0,-1.0,,44756.0,,,391800.0,540000.0,-1.0,5000.0,3000.0,11410.0,2600.0,186.0,,,,-1.0,-1.0
1962,1018.0,1018.0,-1.0,,-1.0,-1.0,1248300.0,10000.0,19400.0,,-1.0,,160000.0,,2300.0,-1.0,16.0,-1.0,-1.0,80000.0,20480.0,178.0,5000.0,12800.0,600.0,4000.0,-1.0,,42191.0,,,399393.0,650000.0,-1.0,5000.0,4255.0,11450.0,2708.0,178.0,,,,-1.0,-1.0
1963,1045.0,1045.0,-1.0,,-1.0,-1.0,1225300.0,27500.0,21000.0,,-1.0,,230000.0,,2300.0,-1.0,15.0,-1.0,-1.0,80000.0,20610.0,191.0,10000.0,56374.0,600.0,2700.0,-1.0,,40753.0,,,404760.0,1300000.0,-1.0,5000.0,4255.0,11490.0,2794.0,191.0,,,,-1.0,-1.0
1964,1088.0,1088.0,-1.0,,-1.0,-1.0,1234200.0,28618.0,22900.0,,-1.0,,200000.0,,2300.0,-1.0,19.0,-1.0,-1.0,110000.0,20700.0,191.0,11000.0,58029.0,600.0,3500.0,-1.0,,36348.0,,,424347.0,1300000.0,-1.0,5000.0,2730.0,11570.0,2895.0,191.0,,,,-1.0,-1.0
1965,1109.0,1109.0,-1.0,,-1.0,-1.0,1242700.0,26618.0,25100.0,,-1.0,,300000.0,,2300.0,-1.0,18.0,-1.0,-1.0,110000.0,20830.0,207.0,11000.0,65358.0,600.0,3500.0,-1.0,,34482.0,,,428347.0,650000.0,-1.0,5000.0,2370.0,11210.0,3107.0,207.0,,,,-1.0,-1.0
1966,1108.0,1108.0,-1.0,,-1.0,-1.0,1262800.0,26965.0,26400.0,,-1.0,,270000.0,,2300.0,-1.0,17.0,-1.0,-1.0,117724.0,21010.0,202.0,11400.0,65358.0,600.0,2300.0,-1.0,,34400.0,,,444000.0,270000.0,-1.0,5000.0,2624.0,10764.0,3126.0,202.0,,,,-1.0,-1.0
1967,862.0,862.0,-1.0,,-1.0,-1.0,1266100.0,26837.0,29800.0,,-1.0,,170000.0,,2300.0,-1.0,16.0,-1.0,-1.0,141718.0,21140.0,199.0,11000.0,62157.0,600.0,3700.0,-1.0,,29405.0,,,449667.0,680000.0,-1.0,5000.0,2664.0,10926.0,3378.0,199.0,,,,-1.0,-1.0
1968,1293.0,1293.0,-1.0,,-1.0,-1.0,1269600.0,26863.0,31400.0,,-1.0,,550000.0,,2300.0,-1.0,17.0,-1.0,-1.0,142214.0,21320.0,204.0,10900.0,8815.0,600.0,2500.0,-1.0,,30855.0,,,444707.0,700000.0,-1.0,5000.0,2342.0,10926.0,3593.0,204.0,,,,-1.0,-1.0
1969,1264.0,1264.0,-1.0,,-1.0,-1.0,1272200.0,27663.0,32800.0,,-1.0,,350000.0,,2300.0,-1.0,15.0,-1.0,-1.0,143285.0,21360.0,175.0,10700.0,14863.0,600.0,2500.0,-1.0,,31139.0,,,447447.0,320000.0,-1.0,5000.0,2505.0,11048.0,3667.0,175.0,,97260.0,,-1.0,-1.0
1970,1296.0,1296.0,-1.0,,-1.0,-1.0,1305900.0,27066.0,36400.0,,-1.0,,180000.0,,2300.0,-1.0,18.0,-1.0,-1.0,124452.0,21405.0,168.0,10600.0,9634.0,600.0,2300.0,-1.0,,31000.0,,,453673.0,1059200.0,-1.0,5000.0,2566.0,11170.0,3705.0,168.0,,98840.0,,-1.0,-1.0
1971,1300.0,1300.0,-1.0,,-1.0,-1.0,1352700.0,27518.0,36900.0,,-1.0,,560000.0,,2700.0,-1.0,14.0,-1.0,-1.0,125014.0,21405.0,148.0,10300.0,27810.0,600.0,2000.0,-1.0,,31317.0,,,457900.0,1119500.0,-1.0,2000.0,2754.0,11210.0,3240.0,148.0,,125090.0,,-1.0,-1.0
1972,1300.0,1300.0,-1.0,,-1.0,-1.0,1345400.0,28021.0,37000.0,,-1.0,,220000.0,,3000.0,-1.0,15.0,-1.0,-1.0,149436.0,21405.0,134.0,10300.0,31780.0,600.0,2500.0,-1.0,,29890.0,,,460000.0,1247400.0,-1.0,5000.0,2892.0,11450.0,4479.0,134.0,,146300.0,,-1.0,-1.0
1973,1300.0,1300.0,-1.0,,-1.0,-1.0,1349400.0,28251.0,39800.0,,-1.0,,280000.0,,3400.0,-1.0,14.0,-1.0,-1.0,175275.0,20067.0,114.0,10000.0,32420.0,600.0,2500.0,-1.0,,29315.0,,,468200.0,1282150.0,-1.0,5000.0,3171.0,11570.0,4449.0,114.0,,151130.0,,-1.0,-1.0
1974,1300.0,1300.0,-1.0,,-1.0,-1.0,1389200.0,28337.0,40000.0,,-1.0,,294700.0,,3650.0,-1.0,30.0,-1.0,-1.0,179834.0,10702.0,109.0,9900.0,32106.0,600.0,2500.0,-1.0,,29590.0,,,474367.0,1285760.0,-1.0,5000.0,3218.0,11530.0,5492.0,109.0,,166220.0,,-1.0,-1.0
1975,1200.0,1200.0,-1.0,,-1.0,-1.0,1386800.0,28000.0,40000.0,,-1.0,,314400.0,,4000.0,-1.0,30.0,-1.0,-1.0,183126.0,10702.0,105.0,10000.0,21519.0,600.0,2500.0,-1.0,,29715.0,,,484800.0,1294130.0,-1.0,5000.0,3307.0,11780.0,5596.0,105.0,4.0,175910.0,,-1.0,-1.0
1976,1300.0,1300.0,-1.0,,-1.0,-1.0,1385700.0,27000.0,42000.0,,-1.0,,340000.0,,4300.0,-1.0,28.0,-1.0,-1.0,219422.0,10769.0,139.0,10070.0,25571.0,600.0,2700.0,-1.0,,29890.0,,,489780.0,1318600.0,-1.0,4800.0,3458.0,12460.0,5570.0,139.0,4.0,184080.0,,-1.0,-1.0
1977,1500.0,1500.0,-1.0,,-1.0,-1.0,1386300.0,27000.0,44000.0,,-1.0,,200000.0,,4600.0,-1.0,19.0,-1.0,-1.0,228263.0,10836.0,77.0,10430.0,18382.0,600.0,1680.0,-1.0,,29710.0,,,493333.0,1324300.0,-1.0,4800.0,3709.0,13390.0,5299.0,77.0,5.0,167020.0,,-1.0,-1.0
1978,1300.0,1300.0,-1.0,,-1.0,-1.0,1385100.0,21000.0,43000.0,,-1.0,,220000.0,,4600.0,-1.0,22.0,-1.0,-1.0,234427.0,5351.0,65.0,11350.0,21569.0,623.0,1660.0,-1.0,,29843.0,,,490000.0,1327640.0,-1.0,4500.0,4264.0,15050.0,6903.0,65.0,1.0,171220.0,,-1.0,-1.0
1979,1400.0,1400.0,-1.0,,-1.0,-1.0,1248200.0,23000.0,42800.0,,-1.0,,430000.0,,4500.0,-1.0,22.0,-1.0,-1.0,241254.0,5485.0,55.0,12240.0,32471.0,800.0,1699.0,-1.0,,26000.0,,,490000.0,1330500.0,-1.0,4500.0,4513.0,14930.0,6767.0,55.0,5.0,182180.0,,-1.0,-1.0
1980,1000.0,1000.0,-1.0,,-1.0,-1.0,1246900.0,31000.0,43400.0,,-1.0,,300000.0,,4500.0,-1.0,14.0,-1.0,1156500.0,249328.0,5753.0,64.0,9500.0,27660.0,1000.0,2152.0,-1.0,,25000.0,,,491667.0,1323800.0,-1.0,4500.0,4729.0,14690.0,6599.0,64.0,5.0,179540.0,,-1.0,-1.0
1981,1500.0,1500.0,-1.0,,-1.0,-1.0,1245000.0,31000.0,43400.0,,-1.0,,242100.0,,4600.0,-1.0,13.0,-1.0,2045000.0,257825.0,5819.0,122.0,9890.0,29202.0,1200.0,2226.0,-1.0,,23565.0,,,506667.0,1350000.0,-1.0,2600.0,4785.0,13880.0,2676.0,122.0,5.0,176370.0,,-1.0,-1.0
1982,1500.0,1500.0,-1.0,,-1.0,-1.0,1242800.0,31000.0,43600.0,,-1.0,,259700.0,,4700.0,-1.0,12.0,-1.0,2045800.0,266104.0,6020.0,47.0,11260.0,30305.0,1250.0,2300.0,-1.0,,20000.0,,,497333.0,1286100.0,-1.0,2598.0,5064.0,14160.0,4164.0,47.0,5.0,176880.0,,-1.0,-1.0
1983,1000.0,1000.0,-1.0,,-1.0,-1.0,1241126.0,31000.0,43700.0,,-1.0,,281900.0,,4800.0,-1.0,12.0,-1.0,2050400.0,270600.0,6087.0,47.0,12860.0,27795.0,1300.0,2500.0,-1.0,,19000.0,,,499900.0,1300000.0,-1.0,3467.0,5426.0,14200.0,4058.0,47.0,5.0,184260.0,,-1.0,-1.0
1984,800.0,800.0,-1.0,,-1.0,-1.0,1242704.0,31000.0,30000.0,,-1.0,,286600.0,,4900.0,-1.0,12.0,-1.0,2039100.0,280700.0,6288.0,56.0,11780.0,30620.0,1385.0,2520.0,-1.0,,18318.0,,,500000.0,1310000.0,-1.0,4104.0,5627.0,13680.0,4012.0,56.0,5.0,161260.0,,-1.0,-1.0
