,Peru,"China, Taiwan Province of",Serbia and Montenegro,Croatia,Malta,Syrian Arab Republic,Brazil,The former Yugoslav Republic of Macedonia,Spain,Afghanistan,Iran (Islamic Republic of),Cyprus,Greece,France,Australia & New Zealand,United States of America,Yugoslav SFR,Algeria,Slovenia,Kuwait,Argentina,Israel,El Salvador,Iraq,Morocco,Mexico,Uruguay,Azerbaijan,Jordan,Bosnia and Herzegovina,China,Tunisia,Libya,Albania,Lebanon,Uzbekistan,Occupied Palestinian Territory,Chile,Montenegro,Australia,Portugal,Egypt,Italy,Turkey
1961,12210.0,1276.0,-1.0,-1.0,15.0,83000.0,442.0,-1.0,1863400.0,1000.0,15000.0,27940.0,1502500.0,2009.0,1080.0,39915.0,28300.0,160000.0,-1.0,-1.0,36000.0,20800.0,1500.0,8000.0,139600.0,3691.0,1692.0,-1.0,114428.0,-1.0,1276.0,189000.0,35100.0,17800.0,65000.0,-1.0,-1.0,20000.0,-1.0,1080.0,867000.0,8564.0,2250000.0,689324.0
1962,15272.0,1864.0,-1.0,-1.0,16.0,87285.0,575.0,-1.0,1641000.0,1100.0,15000.0,6299.0,469700.0,9424.0,958.0,47173.0,17700.0,143000.0,-1.0,-1.0,45000.0,4800.0,1500.0,8000.0,145000.0,4266.0,1000.0,-1.0,7354.0,-1.0,1864.0,225000.0,36700.0,27000.0,16000.0,-1.0,-1.0,20000.0,-1.0,958.0,370000.0,11725.0,1741000.0,290190.0
1963,15272.0,1868.0,-1.0,-1.0,17.0,68000.0,718.0,-1.0,3124300.0,1000.0,15000.0,12192.0,1254000.0,10384.0,1056.0,51709.0,63100.0,148300.0,-1.0,-1.0,54000.0,13000.0,1500.0,8000.0,200000.0,4367.0,1000.0,-1.0,38655.0,-1.0,1868.0,448000.0,32000.0,27200.0,60000.0,-1.0,-1.0,20000.0,-1.0,1056.0,790000.0,7805.0,2861000.0,618857.0
1964,10614.0,2643.0,-1.0,-1.0,20.0,122592.0,865.0,-1.0,572700.0,1100.0,15000.0,6604.0,711900.0,4826.0,1627.0,48988.0,17300.0,148559.0,-1.0,-1.0,55600.0,21000.0,1500.0,9000.0,177000.0,7562.0,1000.0,-1.0,98312.0,-1.0,2643.0,450000.0,18600.0,48000.0,30000.0,-1.0,-1.0,20000.0,-1.0,1627.0,309000.0,10329.0,1878000.0,694486.0
1965,8239.0,1766.0,-1.0,-1.0,19.0,65630.0,871.0,-1.0,1656100.0,1000.0,15000.0,23673.0,969640.0,7034.0,1058.0,45359.0,20400.0,153169.0,-1.0,-1.0,65200.0,10500.0,1500.0,9000.0,267100.0,8407.0,1000.0,-1.0,37417.0,-1.0,1766.0,277400.0,101372.0,30000.0,49000.0,-1.0,-1.0,20000.0,-1.0,1058.0,570000.0,10370.0,2232000.0,394146.0
1966,8186.0,1680.0,-1.0,-1.0,18.0,116272.0,889.0,-1.0,2101500.0,1100.0,15000.0,17272.0,983080.0,7800.0,1762.0,57152.0,30000.0,143030.0,-1.0,-1.0,49000.0,10900.0,1500.0,9000.0,240000.0,8464.0,1265.0,-1.0,32700.0,-1.0,1680.0,97400.0,94988.0,32000.0,29376.0,-1.0,-1.0,20000.0,-1.0,1762.0,270607.0,6952.0,1808400.0,840600.0
1967,9710.0,1799.0,-1.0,-1.0,17.0,113083.0,1042.0,-1.0,1372000.0,1000.0,15000.0,30480.0,1088490.0,7566.0,1314.0,12700.0,39900.0,138189.0,-1.0,-1.0,78077.0,24500.0,1500.0,9000.0,152000.0,8754.0,1500.0,-1.0,106753.0,-1.0,1799.0,275100.0,134294.0,33000.0,67773.0,-1.0,-1.0,20000.0,-1.0,1314.0,570000.0,11000.0,2712200.0,495000.0
1968,8450.0,3064.0,-1.0,-1.0,18.0,111808.0,1044.0,-1.0,2274300.0,1200.0,15000.0,15240.0,830920.0,11123.0,2189.0,78017.0,11400.0,171639.0,-1.0,-1.0,45647.0,9500.0,1500.0,9000.0,491000.0,9532.0,1650.0,-1.0,16715.0,-1.0,3064.0,279900.0,143109.0,34000.0,32184.0,-1.0,-1.0,20000.0,-1.0,2189.0,377000.0,8000.0,1932900.0,822000.0
1969,7310.0,2164.0,-1.0,-1.0,17.0,128896.0,1042.0,-1.0,1738300.0,1000.0,12000.0,19304.0,718900.0,20257.0,2243.0,63500.0,7118.0,118902.0,-1.0,-1.0,75981.0,21100.0,1500.0,7000.0,320000.0,10161.0,1800.0,-1.0,23676.0,-1.0,2164.0,129950.0,33610.0,31000.0,46268.0,-1.0,-1.0,15000.0,-1.0,2243.0,516000.0,8000.0,2412800.0,307800.0
1970,8513.0,1321.0,-1.0,-1.0,11.0,85402.0,1086.0,-1.0,2100000.0,1200.0,15000.0,7620.0,992170.0,5583.0,1939.0,47173.0,7762.0,137571.0,-1.0,-1.0,48992.0,6600.0,1500.0,10000.0,160000.0,9815.0,2000.0,-1.0,10373.0,-1.0,1321.0,454600.0,73254.0,20000.0,44396.0,-1.0,-1.0,11000.0,-1.0,1939.0,454002.0,7000.0,2120500.0,681000.0
