,USSR,France,Bahrain,Fiji,Australia,Panama,Pakistan,Slovakia,Democratic Republic of the Congo,Ethiopia,Kenya,Guyana,United States of America,Romania,Serbia,Zambia,Nigeria,Botswana,Somalia,Mali,Tunisia,Albania,Brazil,Mozambique,Niger,Australia & New Zealand,Democratic People's Republic of Korea,Slovenia,El Salvador,Hungary,Canada,Colombia,Spain,Tajikistan,Bahamas,Malta,Jamaica,Cabo Verde,Indonesia,Poland,Chad,Turkey,Antigua and Barbuda,Belgium-Luxembourg,Ethiopia PDR,Estonia,Melanesia,The former Yugoslav Republic of Macedonia,Greece,Czechoslovakia,Haiti,Republic of Korea,Egypt,New Zealand,Sudan,India,Congo,Lebanon,Dominican Republic,Syrian Arab Republic,Mexico,Yugoslav SFR,Switzerland,Iran (Islamic Republic of),Kazakhstan,Ghana,"China, mainland",Madagascar,Cyprus,Sri Lanka,Peru,Rwanda,Lithuania,Cameroon,Netherlands,Guatemala,South Sudan,Saint Kitts and Nevis,Cuba,Austria,Bermuda,Bhutan,Turkmenistan,Philippines,Iraq,Libya,Yemen,United Republic of Tanzania,Belgium,Luxembourg,Czechia,Costa Rica,Bangladesh,Italy,Qatar,Senegal,Germany,Uganda,Benin,Sweden,Montserrat,Uzbekistan,China,Finland,Republic of Moldova,Armenia,Sudan (former),Morocco,Jordan,Chile,Honduras,Uruguay,Zimbabwe,Kyrgyzstan,Malawi,Algeria,"China, Taiwan Province of",Israel,Réunion,Japan,Maldives,Belarus,Denmark,Argentina,Thailand,Namibia,Saudi Arabia,Georgia,United Kingdom,Azerbaijan,Mauritius,Nicaragua,Oman,Viet Nam,Serbia and Montenegro,Bosnia and Herzegovina,Barbados,Russian Federation,Micronesia,Portugal,Bolivia (Plurinational State of),Paraguay,Myanmar,Brunei Darussalam,Latvia,Ukraine,Kuwait,South Africa,Guadeloupe,Ireland,Guam,Venezuela (Bolivarian Republic of),Mongolia,Croatia,Bulgaria,Montenegro,Occupied Palestinian Territory
1961,89800.0,13228.0,10.0,,3809.0,130.0,15400.0,,1000.0,,244.0,-1.0,37530.0,31800.0,,450.0,25000.0,60.0,-1.0,100.0,830.0,-1.0,40870.0,308.0,1005.0,3809.0,1000.0,,600.0,12663.0,3217.0,7000.0,35715.0,,70.0,330.0,10.0,35.0,44000.0,17325.0,500.0,56000.0,1.0,331.0,2000.0,,,,11476.0,8649.0,400.0,2400.0,28100.0,-1.0,,120000.0,-1.0,1200.0,2000.0,3214.0,15308.0,25100.0,-1.0,9000.0,,1700.0,300000.0,210.0,375.0,5191.0,3100.0,-1.0,,372.0,5957.0,1100.0,,-1.0,1300.0,722.0,3.0,-1.0,,5520.0,6575.0,1081.0,,5400.0,,,,200.0,22300.0,21745.0,,300.0,4026.0,3900.0,30.0,850.0,3.0,,300362.0,684.0,,,1800.0,3400.0,1480.0,4900.0,337.0,2412.0,146.0,,2400.0,6240.0,362.0,1277.0,-1.0,26500.0,1.0,,784.0,10832.0,12752.0,-1.0,2800.0,,2307.0,,67.0,900.0,3100.0,27000.0,,,6.0,,1.0,4500.0,6550.0,2800.0,11880.0,,,,9.0,4370.0,,330.0,1.0,1709.0,-1.0,,10399.0,,-1.0
1962,91500.0,12973.0,10.0,,3809.0,120.0,12100.0,,1080.0,,305.0,-1.0,39367.0,31100.0,,500.0,25000.0,60.0,-1.0,100.0,820.0,-1.0,43372.0,350.0,1154.0,3809.0,1000.0,,600.0,12789.0,3569.0,7300.0,35920.0,,90.0,330.0,10.0,35.0,47000.0,18240.0,500.0,48800.0,2.0,420.0,2000.0,,,,11878.0,9331.0,410.0,1651.0,25800.0,-1.0,,120000.0,-1.0,2200.0,2600.0,3884.0,15468.0,27100.0,-1.0,9000.0,,1740.0,290000.0,360.0,368.0,5082.0,3600.0,-1.0,,183.0,6424.0,1200.0,,-1.0,4000.0,820.0,4.0,-1.0,,6020.0,8847.0,1250.0,,5400.0,,,,200.0,23500.0,22838.0,,300.0,4199.0,3000.0,36.0,850.0,3.0,,290424.0,596.0,,,1414.0,4000.0,1720.0,4100.0,341.0,2000.0,134.0,,2500.0,6000.0,424.0,1687.0,-1.0,28700.0,1.0,,1094.0,11975.0,15952.0,-1.0,2800.0,,2833.0,,100.0,1000.0,3200.0,28000.0,,,8.0,,1.0,4000.0,6600.0,2800.0,19297.0,,,,13.0,5826.0,,330.0,1.0,1411.0,-1.0,,10050.0,,-1.0
1963,86900.0,12851.0,12.0,,4356.0,135.0,14600.0,,1210.0,,568.0,-1.0,39113.0,37800.0,,500.0,25000.0,60.0,-1.0,100.0,690.0,-1.0,40894.0,350.0,1204.0,4356.0,1000.0,,600.0,13264.0,3986.0,7600.0,35950.0,,100.0,416.0,2.0,40.0,50000.0,23480.0,500.0,55000.0,3.0,467.0,2000.0,,,,12508.0,13191.0,420.0,1116.0,28800.0,-1.0,,120000.0,-1.0,2500.0,2600.0,4858.0,15678.0,32000.0,-1.0,10500.0,,1659.0,250000.0,250.0,375.0,4904.0,4800.0,-1.0,,370.0,7035.0,1200.0,,-1.0,3300.0,1000.0,4.0,-1.0,,4860.0,9020.0,714.0,,5600.0,,,,210.0,25500.0,23529.0,,300.0,5072.0,3200.0,52.0,795.0,3.0,,250696.0,445.0,,,1517.0,4118.0,1675.0,4900.0,308.0,2000.0,129.0,,2600.0,6000.0,696.0,1664.0,-1.0,33900.0,1.0,,1050.0,12192.0,14928.0,-1.0,2800.0,,3075.0,,86.0,1000.0,3300.0,30000.0,,,9.0,,1.0,4500.0,5867.0,2900.0,20857.0,,,,13.0,5826.0,,380.0,1.0,1518.0,-1.0,,6712.0,,-1.0
1964,88500.0,12165.0,12.0,,3732.0,135.0,16600.0,,1240.0,,158.0,-1.0,40682.0,37000.0,,500.0,25000.0,57.0,-1.0,100.0,830.0,-1.0,47417.0,350.0,1150.0,3732.0,1100.0,,600.0,13385.0,3881.0,8000.0,32712.0,,110.0,367.0,5.0,40.0,53000.0,25400.0,500.0,60000.0,4.0,436.0,2100.0,,,,12220.0,13106.0,430.0,1806.0,26100.0,-1.0,,120000.0,-1.0,1000.0,2700.0,4174.0,16130.0,30900.0,-1.0,9500.0,,1619.0,225000.0,250.0,268.0,4343.0,5910.0,-1.0,,481.0,6138.0,1400.0,,-1.0,2000.0,932.0,4.0,-1.0,,4220.0,9624.0,636.0,,6800.0,,,,240.0,25500.0,22972.0,,300.0,5414.0,2700.0,85.0,550.0,3.0,,226925.0,560.0,,,1706.0,6000.0,2034.0,4600.0,344.0,2000.0,113.0,,2700.0,9340.0,1925.0,1371.0,-1.0,39300.0,1.0,,1352.0,12550.0,14944.0,-1.0,1394.0,,2995.0,,70.0,1100.0,3350.0,30000.0,,,9.0,,1.0,4000.0,6017.0,3000.0,15562.0,,,,17.0,5000.0,,330.0,1.0,1893.0,-1.0,,13844.0,,-1.0
1965,106100.0,11880.0,13.0,,3928.0,120.0,19400.0,,1300.0,,231.0,-1.0,39687.0,36736.0,,600.0,25000.0,49.0,-1.0,100.0,1300.0,-1.0,46732.0,350.0,1972.0,3928.0,1200.0,,700.0,13609.0,4168.0,8200.0,32603.0,,120.0,323.0,25.0,40.0,56000.0,26695.0,500.0,50000.0,5.0,533.0,2100.0,,,,11970.0,11152.0,440.0,2698.0,23800.0,-1.0,,125000.0,-1.0,2250.0,2300.0,4260.0,16312.0,32000.0,-1.0,10500.0,,1290.0,225000.0,180.0,308.0,8271.0,5610.0,-1.0,,740.0,6968.0,1400.0,,-1.0,1900.0,993.0,4.0,-1.0,,4810.0,11392.0,2400.0,,6870.0,,,,270.0,27500.0,23997.0,,300.0,4962.0,3500.0,103.0,620.0,3.0,,225577.0,494.0,,,1569.0,7427.0,1729.0,4959.0,268.0,2000.0,138.0,,2800.0,5440.0,577.0,1910.0,-1.0,33800.0,1.0,,922.0,12309.0,16528.0,-1.0,3300.0,,3399.0,,101.0,1100.0,3400.0,32000.0,,,10.0,,1.0,4200.0,6703.0,3200.0,17925.0,,,,20.0,7000.0,,330.0,1.0,1965.0,-1.0,,9895.0,,-1.0
1966,104100.0,11592.0,13.0,,3339.0,135.0,21400.0,,1530.0,,1000.0,-1.0,38275.0,37500.0,,600.0,25000.0,227.0,-1.0,200.0,1200.0,-1.0,50469.0,400.0,1689.0,3339.0,1200.0,,700.0,10694.0,3610.0,8500.0,32465.0,,135.0,526.0,12.0,45.0,31000.0,23180.0,500.0,57000.0,5.0,469.0,2200.0,,,,12590.0,9636.0,450.0,2844.0,27000.0,-1.0,,125000.0,-1.0,2610.0,2900.0,3991.0,17006.0,32200.0,-1.0,13500.0,,1310.0,215000.0,800.0,334.0,6027.0,7670.0,-1.0,,850.0,6658.0,1600.0,,-1.0,3680.0,754.0,7.0,-1.0,,5230.0,12039.0,2400.0,,7810.0,,,,260.0,28300.0,23884.0,,300.0,3631.0,4000.0,200.0,510.0,3.0,,215719.0,475.0,,,2100.0,6039.0,1300.0,6000.0,225.0,1767.0,140.0,,2900.0,7090.0,719.0,2000.0,-1.0,34700.0,1.0,,890.0,12309.0,21088.0,-1.0,4030.0,,3440.0,,108.0,1100.0,3400.0,33000.0,,,10.0,,4.0,2500.0,7080.0,3400.0,17214.0,,,,20.0,7000.0,,330.0,4.0,1730.0,-1.0,,11486.0,,-1.0
1967,111000.0,11260.0,16.0,,4132.0,150.0,21000.0,,1530.0,,1200.0,-1.0,41937.0,36100.0,,700.0,25000.0,68.0,-1.0,200.0,2000.0,-1.0,48363.0,400.0,2100.0,4132.0,1200.0,,700.0,10586.0,3340.0,8500.0,37346.0,,136.0,485.0,11.0,45.0,33000.0,23650.0,500.0,60900.0,6.0,561.0,2300.0,,,,13260.0,10322.0,450.0,3677.0,22700.0,-1.0,,150000.0,-1.0,3018.0,2900.0,4600.0,16202.0,33200.0,-1.0,15000.0,,1020.0,215000.0,650.0,294.0,7529.0,8270.0,-1.0,,504.0,7826.0,1500.0,,-1.0,4900.0,826.0,4.0,-1.0,,4940.0,13554.0,2700.0,,9000.0,,,,300.0,34400.0,24820.0,,500.0,3770.0,4000.0,200.0,220.0,3.0,,215595.0,465.0,,,3367.0,7000.0,930.0,4000.0,259.0,1900.0,140.0,,3000.0,7550.0,595.0,1800.0,-1.0,32600.0,1.0,,1099.0,11634.0,20832.0,-1.0,2210.0,,3925.0,,143.0,1100.0,3400.0,33500.0,,,10.0,,4.0,4200.0,7312.0,2250.0,18002.0,,,,30.0,7000.0,,330.0,4.0,1657.0,-1.0,,12540.0,,-1.0
1968,119000.0,11298.0,16.0,,3987.0,410.0,22300.0,,2650.0,,1300.0,-1.0,43277.0,35368.0,,700.0,25000.0,68.0,-1.0,200.0,1600.0,-1.0,51082.0,441.0,1843.0,3987.0,1300.0,,800.0,12000.0,3660.0,9000.0,37600.0,,138.0,550.0,9.0,40.0,30459.0,26109.0,500.0,56000.0,7.0,513.0,2300.0,,,,11350.0,12434.0,500.0,3763.0,21000.0,-1.0,,150000.0,-1.0,3140.0,2850.0,5585.0,17483.0,33800.0,-1.0,15000.0,,1200.0,210000.0,420.0,241.0,7077.0,7410.0,-1.0,,672.0,8860.0,1600.0,,-1.0,5700.0,870.0,4.0,-1.0,,4750.0,13589.0,2800.0,,9590.0,,,,340.0,34400.0,24284.0,,470.0,3744.0,4000.0,250.0,280.0,3.0,,210674.0,479.0,,,2300.0,7780.0,80.0,3100.0,282.0,1900.0,140.0,,3100.0,7380.0,674.0,1585.0,-1.0,32800.0,1.0,,1018.0,14610.0,16816.0,-1.0,2200.0,,4978.0,,146.0,1200.0,3400.0,34000.0,,,12.0,,5.0,3500.0,6900.0,2010.0,18498.0,,,,40.0,7000.0,,410.0,5.0,1594.0,-1.0,,6321.0,,-1.0
1969,127000.0,11121.0,18.0,,4576.0,465.0,22258.0,,2500.0,,1400.0,-1.0,40873.0,37800.0,,700.0,25000.0,113.0,-1.0,200.0,1500.0,-1.0,50773.0,524.0,1661.0,4576.0,1300.0,,900.0,11700.0,3700.0,9000.0,35800.0,,142.0,468.0,33.0,35.0,36000.0,27536.0,500.0,62000.0,8.0,386.0,2400.0,,,,11140.0,9885.0,500.0,4500.0,29400.0,-1.0,,160000.0,-1.0,1870.0,2830.0,5186.0,15499.0,33793.0,-1.0,17000.0,,1200.0,210000.0,700.0,201.0,7254.0,7460.0,-1.0,,711.0,7716.0,1700.0,,-1.0,3760.0,854.0,4.0,-1.0,,4860.0,13702.0,3500.0,,10470.0,,,,300.0,33200.0,23726.0,,420.0,3432.0,4000.0,300.0,170.0,2.0,,211005.0,405.0,,,3781.0,8000.0,280.0,3500.0,308.0,2000.0,140.0,,3200.0,7010.0,1005.0,2060.0,-1.0,33200.0,1.0,,928.0,16506.0,19936.0,-1.0,2200.0,,4249.0,,192.0,1200.0,3400.0,35500.0,,,12.0,,7.0,3500.0,5000.0,2000.0,17293.0,,,,50.0,6000.0,,410.0,7.0,1367.0,-1.0,,8280.0,,-1.0
1970,131100.0,10700.0,20.0,,4168.0,280.0,23500.0,,2569.0,,1400.0,-1.0,40870.0,39986.0,,800.0,25000.0,81.0,-1.0,200.0,850.0,-1.0,51719.0,550.0,1900.0,4168.0,1400.0,,1000.0,14200.0,3590.0,10000.0,35500.0,,145.0,310.0,6.0,20.0,41300.0,28567.0,500.0,70000.0,9.0,434.0,2400.0,,,,13100.0,10499.0,500.0,4006.0,21424.0,-1.0,,165000.0,-1.0,1738.0,2900.0,6067.0,16737.0,40119.0,-1.0,16000.0,,1200.0,140000.0,700.0,134.0,6773.0,8325.0,-1.0,,1216.0,9635.0,1800.0,,-1.0,1000.0,864.0,5.0,-1.0,,7410.0,12416.0,3483.0,,18950.0,,,,270.0,32800.0,24248.0,,700.0,4223.0,4500.0,400.0,240.0,1.0,,140472.0,400.0,,,5041.0,8000.0,170.0,4962.0,312.0,2411.0,140.0,,3300.0,6920.0,472.0,2030.0,-1.0,29800.0,15.0,,1194.0,16300.0,23600.0,-1.0,2200.0,,5382.0,,149.0,1200.0,3400.0,36000.0,,,54.0,,8.0,4000.0,5200.0,2040.0,21853.0,,,,75.0,8000.0,,380.0,8.0,2038.0,-1.0,,13190.0,,-1.0
