,Ecuador
1961,11332.0
1962,15254.0
1963,15286.0
1964,12294.0
1965,11346.0
1966,10984.0
1967,9739.0
1968,16211.0
1969,16478.0
1970,9852.0
1971,9668.0
1972,7647.0
1973,6582.0
1974,7371.0
1975,6853.0
1976,6754.0
1977,4718.0
1978,5205.0
1979,5666.0
1980,8061.0
1981,8043.0
1982,7810.0
1983,9782.0
1984,10928.0
1985,14748.0
1986,13260.0
1987,13447.0
1988,15181.0
1989,14025.0
1990,16167.0
1991,18632.0
1992,20944.0
1993,20111.0
1994,23596.0
1995,23970.0
1996,40970.0
1997,34000.0
1998,17000.0
1999,23800.0
2000,23800.0
2001,22950.0
2002,17850.0
2003,18700.0
2004,21250.0
2005,22100.0
2006,22500.0
2007,22500.0
2008,22500.0
2009,22500.0
2010,23000.0
2011,23500.0
2012,27370.0
2013,27370.0
2014,27370.0
