,Australia & New Zealand,Jamaica,Puerto Rico,Singapore,Israel,Norway,Philippines,Iraq,Madagascar,The former Yugoslav Republic of Macedonia,Thailand,Belize,Ethiopia,Libya,Costa Rica,Democratic People's Republic of Korea,Germany,Comoros,Portugal,Albania,China,Burkina Faso,Paraguay,Niger,"China, Hong Kong SAR",Morocco,Switzerland,Spain,Syrian Arab Republic,New Zealand,Cyprus,"China, Taiwan Province of",Ecuador,Réunion,Japan,Republic of Moldova,Jordan,Belgium-Luxembourg,Angola,Ethiopia PDR,Mexico,Azerbaijan,France,Republic of Korea,Nigeria,Hungary,Turkey,Bahamas,Tunisia,Venezuela (Bolivarian Republic of),Kazakhstan,American Samoa,Brunei Darussalam,Greece,Ukraine,"China, mainland",French Polynesia,United Kingdom,Algeria,United Arab Emirates,Côte d'Ivoire,Polynesia,Bulgaria,Netherlands,Occupied Palestinian Territory
1961,,34324.0,,168125.0,158730.0,261176.0,45652.0,55504.0,,,,,,55046.0,,110000.0,,,,,92932.0,150100.0,,160000.0,139875.0,116279.0,200000.0,126667.0,109266.0,,66667.0,76068.0,134167.0,100000.0,157088.0,,57080.0,,10000.0,100000.0,,,115701.0,101909.0,71000.0,50000.0,54348.0,,144578.0,,,,,58328.0,,160000.0,85714.0,,,,37500.0,85714.0,115268.0,,
1962,240793.0,35289.0,,137857.0,185185.0,201220.0,45833.0,72197.0,,,,,,55046.0,,110000.0,,,,,94700.0,150098.0,,166667.0,154714.0,115556.0,216667.0,119949.0,95455.0,240793.0,66667.0,75330.0,120012.0,100000.0,181522.0,,59259.0,,10000.0,100000.0,,,100669.0,101576.0,73000.0,50000.0,53846.0,,150877.0,,,,,63346.0,,157895.0,87143.0,,,,40000.0,87143.0,103533.0,,
1963,277527.0,35289.0,,123750.0,178571.0,216360.0,45833.0,72769.0,,,,,,55046.0,,100000.0,,,,,98245.0,150161.0,,160000.0,183158.0,120000.0,321429.0,122928.0,86364.0,277527.0,58000.0,78184.0,92723.0,100000.0,193333.0,,65358.0,,10000.0,100000.0,,,90657.0,95331.0,74000.0,51017.0,53846.0,,150000.0,,,,,76288.0,,157895.0,88571.0,,,,42500.0,88571.0,109089.0,,
1964,323417.0,35289.0,,152500.0,130435.0,225281.0,45200.0,67540.0,,,,,,55046.0,,109091.0,,,,,97166.0,150252.0,,166667.0,160973.0,120000.0,303571.0,137232.0,69863.0,323417.0,56364.0,77845.0,187814.0,100000.0,185207.0,,73873.0,,10000.0,100000.0,,,85666.0,93450.0,76000.0,63230.0,53846.0,,211111.0,,,,,91342.0,,157895.0,90000.0,,,,45000.0,90000.0,103531.0,,
1965,258072.0,37743.0,,169167.0,215648.0,239382.0,46000.0,88668.0,,,,,,55046.0,,136364.0,,,,,99602.0,150402.0,,192867.0,158000.0,116000.0,235294.0,133438.0,81403.0,258072.0,68000.0,81882.0,159892.0,100000.0,192644.0,,70967.0,,10000.0,100000.0,,,104265.0,100660.0,78000.0,56367.0,53846.0,,204348.0,,,,,90022.0,,157895.0,91429.0,,,,46250.0,91429.0,112580.0,,
1966,292052.0,24656.0,,169167.0,141379.0,212286.0,46000.0,84106.0,,,,,,55046.0,,163636.0,,,,,99393.0,166667.0,,179067.0,160000.0,120000.0,306250.0,131364.0,87148.0,292052.0,86667.0,79756.0,167029.0,100000.0,201803.0,,104706.0,,10000.0,100000.0,,,85118.0,129611.0,80000.0,66340.0,37879.0,,184286.0,,,,,100209.0,,160000.0,92857.0,,,,50000.0,92857.0,136245.0,,
1967,312861.0,25941.0,,169167.0,221053.0,222202.0,45385.0,86897.0,,,,,,55046.0,,166667.0,,,,,103184.0,165000.0,,162633.0,125000.0,127273.0,300000.0,129842.0,83789.0,312861.0,90000.0,81149.0,150892.0,100000.0,209583.0,,69167.0,,10000.0,100000.0,,,66861.0,97585.0,82000.0,75900.0,50000.0,,193750.0,,,,,91165.0,,180000.0,94286.0,,,80000.0,52500.0,94286.0,116824.0,,
1968,252615.0,36071.0,,169167.0,150000.0,293333.0,46154.0,78964.0,,,,,,54945.0,,208333.0,,,,,104664.0,165217.0,,140967.0,114286.0,127273.0,300000.0,133040.0,81686.0,252615.0,87500.0,87570.0,123866.0,100000.0,220172.0,,74545.0,,10000.0,100000.0,,,72259.0,103240.0,83000.0,59036.0,49952.0,,179375.0,,,,,89507.0,,172727.0,95714.0,,,55556.0,56250.0,95714.0,118700.0,,
1969,259750.0,26596.0,,166667.0,101190.0,219580.0,46154.0,74351.0,,,,,,60976.0,,200000.0,,,,,104256.0,165217.0,,187450.0,114286.0,133333.0,300000.0,126452.0,78961.0,259750.0,160000.0,88512.0,100632.0,100000.0,220786.0,,52778.0,,13333.0,100000.0,,,71858.0,102060.0,83000.0,71118.0,49992.0,,181875.0,,,,,96434.0,,172727.0,97143.0,,,51724.0,58750.0,97143.0,118978.0,,
1970,363641.0,34703.0,,166667.0,91765.0,235127.0,45556.0,86918.0,,,,,,63091.0,,230769.0,,,,,126442.0,165217.0,,200800.0,120000.0,133333.0,275000.0,127647.0,82600.0,363641.0,100000.0,115444.0,97885.0,100000.0,220827.0,,118182.0,419048.0,13333.0,100000.0,,,73700.0,115660.0,88000.0,64820.0,50370.0,,203750.0,,,,,101125.0,,166667.0,98571.0,,,57692.0,62500.0,98571.0,97535.0,,
