,Paraguay,Burundi,Peru,Angola,Cameroon,Malaysia,Dominican Republic,Philippines,Brazil,Benin,United Republic of Tanzania,Indonesia,Liberia,Sao Tome and Principe,Venezuela (Bolivarian Republic of),Melanesia,Papua New Guinea,Guatemala,Democratic Republic of the Congo,Togo,Nigeria,Madagascar,Suriname,Cambodia,Timor-Leste,Costa Rica,Guinea,Senegal,Equatorial Guinea,Congo,Gabon,Ecuador,Honduras,Panama,Mexico,China,Côte d'Ivoire,Colombia,Gambia,Solomon Islands,Guinea-Bissau,Central African Republic,Sierra Leone,Thailand,Ghana,"China, mainland",Nicaragua
1961,6667.0,600.0,-1.0,22300.0,29500.0,24600.0,-1.0,60.0,129987.0,53916.0,860.0,34331.0,12950.0,425.0,-1.0,40.0,-1.0,-1.0,132000.0,12000.0,437000.0,-1.0,-1.0,-1.0,-1.0,1200.0,28000.0,4914.0,1500.0,7420.0,180.0,5000.0,1050.0,-1.0,25304.0,10000.0,13100.0,500.0,1613.0,40.0,16652.0,969.0,58690.0,205.0,12500.0,10000.0,-1.0
1962,6889.0,600.0,-1.0,22000.0,28400.0,28300.0,-1.0,60.0,148827.0,42344.0,2108.0,32831.0,8550.0,426.0,-1.0,40.0,-1.0,-1.0,127000.0,11000.0,368000.0,-1.0,-1.0,-1.0,-1.0,1700.0,30000.0,5587.0,1600.0,7717.0,180.0,5500.0,1110.0,-1.0,29298.0,10000.0,11000.0,700.0,1864.0,40.0,17638.0,912.0,61965.0,205.0,13000.0,10000.0,-1.0
1963,6889.0,600.0,-1.0,23000.0,38300.0,30600.0,-1.0,60.0,155349.0,50144.0,1532.0,32606.0,6050.0,360.0,-1.0,40.0,-1.0,-1.0,119000.0,13000.0,420000.0,-1.0,-1.0,-1.0,-1.0,2200.0,34000.0,4200.0,2000.0,9615.0,200.0,5500.0,1125.0,-1.0,23558.0,10000.0,10600.0,750.0,1730.0,40.0,12356.0,1229.0,53634.0,205.0,13500.0,10000.0,-1.0
1964,9085.0,600.0,-1.0,23500.0,41700.0,30600.0,-1.0,60.0,168167.0,60638.0,1555.0,34200.0,6900.0,351.0,-1.0,40.0,-1.0,-1.0,108000.0,15000.0,408000.0,-1.0,-1.0,-1.0,-1.0,2100.0,32000.0,5400.0,2900.0,7526.0,206.0,5800.0,1240.0,-1.0,25740.0,10000.0,13200.0,850.0,1332.0,40.0,9076.0,1104.0,52995.0,205.0,14000.0,10000.0,-1.0
1965,11332.0,600.0,-1.0,19400.0,48200.0,35100.0,-1.0,60.0,186325.0,49874.0,954.0,32500.0,12200.0,354.0,-1.0,40.0,-1.0,-1.0,82000.0,16000.0,462000.0,-1.0,-1.0,-1.0,-1.0,2200.0,27000.0,5000.0,2289.0,5930.0,385.0,6800.0,1400.0,-1.0,25923.0,10000.0,16500.0,900.0,1541.0,40.0,8995.0,1400.0,50065.0,205.0,22100.0,10000.0,-1.0
1966,13896.0,600.0,-1.0,19700.0,36800.0,44130.0,-1.0,120.0,187301.0,51802.0,1063.0,35000.0,13500.0,353.0,-1.0,40.0,-1.0,-1.0,83000.0,17000.0,421000.0,-1.0,-1.0,-1.0,933.0,2500.0,28000.0,4500.0,1600.0,4081.0,288.0,6200.0,1535.0,-1.0,26066.0,15000.0,11800.0,1000.0,1904.0,40.0,8226.0,1285.0,56134.0,205.0,27000.0,15000.0,-1.0
1967,11452.0,600.0,-1.0,21500.0,49600.0,50755.0,-1.0,120.0,191764.0,38376.0,1084.0,34230.0,14050.0,332.0,-1.0,40.0,-1.0,-1.0,101900.0,13500.0,241000.0,-1.0,-1.0,-1.0,950.0,2700.0,30000.0,7000.0,1700.0,4358.0,263.0,7500.0,1700.0,-1.0,23174.0,18000.0,17000.0,3400.0,2346.0,40.0,10242.0,1000.0,21799.0,205.0,35000.0,18000.0,-1.0
1968,13485.0,800.0,-1.0,17300.0,50900.0,62667.0,-1.0,120.0,193044.0,57142.0,1035.0,37486.0,12100.0,271.0,-1.0,40.0,-1.0,-1.0,102300.0,13000.0,214000.0,-1.0,-1.0,-1.0,969.0,3000.0,33000.0,8100.0,2000.0,4062.0,445.0,9000.0,1890.0,-1.0,25272.0,22000.0,13900.0,6000.0,1972.0,40.0,8031.0,1200.0,67642.0,205.0,34000.0,22000.0,400.0
1969,12667.0,1000.0,-1.0,17500.0,45912.0,78319.0,-1.0,250.0,198981.0,64128.0,1026.0,41669.0,11780.0,258.0,-1.0,80.0,-1.0,-1.0,110000.0,22000.0,255000.0,-1.0,-1.0,-1.0,988.0,3100.0,35000.0,7600.0,2000.0,2773.0,265.0,6000.0,2100.0,-1.0,18611.0,25000.0,17000.0,6000.0,2487.0,80.0,9339.0,1800.0,56300.0,205.0,34000.0,25000.0,400.0
1970,15556.0,1160.0,-1.0,16600.0,39864.0,92371.0,-1.0,400.0,235243.0,60930.0,1080.0,48763.0,13350.0,223.0,-1.0,80.0,-1.0,-1.0,95900.0,14772.0,299300.0,-1.0,-1.0,-1.0,1006.0,3200.0,35000.0,9000.0,2000.0,1795.0,280.0,4500.0,2330.0,-1.0,14002.0,28000.0,21000.0,7000.0,1581.0,80.0,6787.0,1800.0,67200.0,205.0,37000.0,28000.0,400.0
