,India,Paraguay,Kenya,Bolivia (Plurinational State of),Peru,"China, Taiwan Province of",Mozambique,Belize,Nepal,Malaysia,Grenada,Dominican Republic,Philippines,Brazil,Australia & New Zealand,Cook Islands,Ethiopia,Indonesia,Maldives,Puerto Rico,Pakistan,Zimbabwe,Bangladesh,Venezuela (Bolivarian Republic of),Melanesia,Yemen,Guyana,Democratic Republic of the Congo,Bahamas,United States of America,Iran (Islamic Republic of),Guatemala,Nigeria,French Guiana,Argentina,Haiti,Costa Rica,Cuba,El Salvador,Dominica,Fiji,Rwanda,Morocco,Congo,Mexico,Ecuador,Honduras,Panama,Israel,Réunion,China,Suriname,Côte d'Ivoire,Colombia,Jamaica,Trinidad and Tobago,Chile,Guinea-Bissau,Polynesia,South Africa,Samoa,Australia,Singapore,Thailand,Ghana,"China, mainland",Oman,Mali,Timor-Leste
1961,6000.0,-1.0,2900.0,740.0,1580.0,520.0,2400.0,-1.0,-1.0,200.0,-1,640.0,13720.0,3900.0,403.0,1.0,-1.0,18000.0,-1.0,42.0,-1.0,-1.0,1700.0,1700.0,-1.0,-1.0,-1.0,7400.0,-1.0,240.0,-1.0,-1.0,35000.0,-1.0,-1.0,-1.0,70.0,2300.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1674.0,2400.0,-1.0,-1.0,-1.0,-1.0,520.0,-1.0,-1.0,740.0,160.0,-1.0,112.0,-1.0,401.0,2400.0,400.0,403.0,-1,6600.0,-1.0,-1.0,-1.0,250.0,-1.0
1962,7000.0,-1.0,2900.0,760.0,1620.0,520.0,2400.0,-1.0,-1.0,150.0,-1,650.0,14990.0,4000.0,403.0,1.0,-1.0,18000.0,-1.0,44.0,-1.0,-1.0,1800.0,1800.0,-1.0,-1.0,-1.0,7500.0,-1.0,200.0,-1.0,-1.0,35000.0,-1.0,-1.0,-1.0,70.0,2300.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2245.0,2450.0,-1.0,-1.0,-1.0,-1.0,520.0,-1.0,-1.0,740.0,160.0,-1.0,112.0,-1.0,411.0,2200.0,410.0,403.0,-1,6600.0,-1.0,-1.0,-1.0,250.0,-1.0
1963,7000.0,-1.0,2900.0,780.0,1670.0,530.0,2400.0,-1.0,-1.0,250.0,-1,650.0,13510.0,4100.0,426.0,1.0,-1.0,22000.0,-1.0,47.0,-1.0,-1.0,1900.0,1900.0,-1.0,-1.0,-1.0,7600.0,-1.0,200.0,-1.0,-1.0,35000.0,-1.0,-1.0,-1.0,70.0,2300.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3058.0,2500.0,-1.0,-1.0,-1.0,-1.0,530.0,-1.0,-1.0,760.0,162.0,-1.0,112.0,-1.0,421.0,2100.0,420.0,426.0,-1,6600.0,-1.0,-1.0,-1.0,250.0,-1.0
1964,6000.0,-1.0,2900.0,800.0,1720.0,580.0,2400.0,-1.0,-1.0,250.0,-1,650.0,12000.0,4200.0,451.0,1.0,-1.0,22000.0,-1.0,54.0,-1.0,-1.0,2000.0,2000.0,-1.0,-1.0,-1.0,7800.0,-1.0,320.0,-1.0,-1.0,35000.0,-1.0,-1.0,-1.0,80.0,2200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3216.0,2550.0,-1.0,-1.0,-1.0,-1.0,580.0,-1.0,-1.0,760.0,162.0,-1.0,115.0,-1.0,431.0,2500.0,430.0,451.0,-1,6600.0,-1.0,-1.0,-1.0,250.0,-1.0
1965,6000.0,-1.0,2900.0,820.0,1780.0,630.0,2400.0,-1.0,-1.0,250.0,-1,700.0,10040.0,4200.0,456.0,1.0,-1.0,26000.0,-1.0,56.0,-1.0,-1.0,2200.0,2100.0,-1.0,-1.0,-1.0,7900.0,-1.0,320.0,-1.0,-1.0,40000.0,-1.0,-1.0,-1.0,80.0,2400.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5058.0,2660.0,-1.0,-1.0,-1.0,-1.0,630.0,-1.0,-1.0,780.0,164.0,-1.0,115.0,-1.0,441.0,2000.0,440.0,456.0,-1,6600.0,-1.0,-1.0,-1.0,300.0,-1.0
1966,8000.0,-1.0,2900.0,850.0,1925.0,763.0,2400.0,-1.0,-1.0,250.0,-1,700.0,9360.0,4300.0,488.0,1.0,-1.0,28000.0,-1.0,59.0,-1.0,-1.0,2523.0,2000.0,-1.0,-1.0,-1.0,8000.0,-1.0,240.0,-1.0,-1.0,40000.0,-1.0,-1.0,-1.0,80.0,3200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5375.0,2750.0,-1.0,-1.0,-1.0,-1.0,763.0,-1.0,-1.0,780.0,164.0,-1.0,116.0,-1.0,461.0,2200.0,460.0,488.0,-1,6600.0,-1.0,-1.0,-1.0,300.0,-1.0
1967,8000.0,-1.0,2900.0,900.0,1932.0,790.0,2500.0,-1.0,-1.0,300.0,-1,730.0,9370.0,4400.0,482.0,1.0,-1.0,28000.0,-1.0,59.0,-1.0,-1.0,2410.0,2000.0,-1.0,-1.0,-1.0,8100.0,-1.0,320.0,-1.0,-1.0,40000.0,-1.0,-1.0,-1.0,80.0,3006.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5330.0,2832.0,-1.0,-1.0,-1.0,-1.0,790.0,-1.0,-1.0,800.0,164.0,-1.0,116.0,-1.0,471.0,2400.0,470.0,482.0,-1,6600.0,-1.0,-1.0,-1.0,350.0,-1.0
1968,9000.0,-1.0,2900.0,900.0,2894.0,885.0,2600.0,-1.0,-1.0,350.0,-1,750.0,8260.0,4500.0,457.0,1.0,-1.0,35000.0,-1.0,64.0,-1.0,-1.0,2446.0,2100.0,-1.0,-1.0,-1.0,8300.0,-1.0,320.0,-1.0,-1.0,40000.0,-1.0,-1.0,-1.0,80.0,3207.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4925.0,2300.0,-1.0,-1.0,-1.0,-1.0,885.0,-1.0,-1.0,800.0,162.0,-1.0,116.0,-1.0,481.0,2400.0,480.0,457.0,-1,6600.0,-1.0,-1.0,-1.0,350.0,-1.0
1969,9000.0,-1.0,2900.0,1000.0,3690.0,907.0,3000.0,-1.0,-1.0,350.0,-1,760.0,8630.0,4600.0,378.0,2.0,-1.0,35000.0,-1.0,65.0,-1.0,-1.0,2558.0,2100.0,-1.0,-1.0,-1.0,8500.0,-1.0,360.0,-1.0,-1.0,40000.0,-1.0,-1.0,-1.0,90.0,2912.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5129.0,2100.0,-1.0,-1.0,-1.0,-1.0,907.0,-1.0,-1.0,1100.0,162.0,-1.0,112.0,-1.0,492.0,2200.0,490.0,378.0,-1,6600.0,-1.0,-1.0,-1.0,350.0,-1.0
1970,10384.0,-1.0,2900.0,1000.0,3912.0,935.0,3600.0,-1.0,-1.0,350.0,-1,770.0,8640.0,4800.0,379.0,2.0,-1.0,28000.0,-1.0,50.0,-1.0,-1.0,2440.0,2100.0,-1.0,-1.0,-1.0,8700.0,-1.0,400.0,-1.0,-1.0,45000.0,-1.0,-1.0,-1.0,90.0,1180.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5624.0,1930.0,-1.0,-1.0,-1.0,-1.0,935.0,-1.0,-1.0,1100.0,161.0,-1.0,112.0,-1.0,502.0,2600.0,500.0,379.0,-1,6600.0,-1.0,-1.0,-1.0,350.0,-1.0
