,Jamaica,Romania,Eritrea,Israel,Lesotho,Australia,Uruguay,Guyana,The former Yugoslav Republic of Macedonia,Slovakia,United Republic of Tanzania,Burundi,Belgium,Ethiopia,Libya,Luxembourg,Czechia,Switzerland,Republic of Moldova,Italy,USSR,Lebanon,Uganda,Tajikistan,South Africa,Slovenia,Netherlands,China,Finland,Paraguay,Australia & New Zealand,Morocco,Lithuania,Norway,Chile,Congo,Argentina,Belgium-Luxembourg,Spain,Germany,Egypt,Malawi,India,Austria,Ecuador,Japan,Poland,Canada,Sweden,Belarus,Denmark,Ethiopia PDR,Estonia,Greece,Czechoslovakia,France,Republic of Korea,Democratic Republic of the Congo,New Zealand,Serbia and Montenegro,Bosnia and Herzegovina,Hungary,Turkey,Russian Federation,Syrian Arab Republic,Bolivia (Plurinational State of),Yugoslav SFR,Madagascar,Venezuela (Bolivarian Republic of),Kazakhstan,United States of America,Myanmar,Latvia,"China, mainland",Sierra Leone,Ireland,Algeria,Peru,United Kingdom,Colombia,Croatia,Bulgaria,Mexico,Ukraine,Rwanda
1961,134.0,16340.0,,293.0,627.0,3059.0,50.0,2.0,,,200.0,2116.0,,,5.0,,,480.0,,10000.0,518760.0,21.0,400.0,,960.0,,3303.0,297000.0,700.0,140.0,7059.0,1080.0,,12.0,1459.0,170.0,3420.0,1431.0,2000.0,10425.0,80.0,0.0,62908.0,239.0,383.0,904.0,9720.0,9000.0,3380.0,,600.0,6195.0,,1326.0,3505.0,7380.0,54.0,90.0,4000.0,,,14000.0,290.0,,80.0,150.0,648.0,0.0,110.0,,23000.0,636.0,,297000.0,45.0,160.0,150.0,1954.0,1200.0,1683.0,,1737.0,266.0,,1209.0
1962,142.0,15290.0,,167.0,588.0,2622.0,50.0,2.0,,,232.0,2292.0,,,6.0,,,480.0,,9600.0,932160.0,21.0,640.0,,840.0,,4073.0,252000.0,400.0,144.0,6622.0,1060.0,,5.0,1317.0,175.0,2979.0,1709.0,2000.0,10260.0,50.0,0.0,66266.0,322.0,286.0,632.0,11700.0,9000.0,3011.0,,600.0,6775.0,,1283.0,4559.0,7935.0,48.0,90.0,4000.0,,,19000.0,265.0,,80.0,150.0,756.0,0.0,110.0,,22000.0,1069.0,,252000.0,45.0,150.0,150.0,2069.0,1600.0,2072.0,,2728.0,280.0,,1161.0
1963,134.0,10640.0,,182.0,588.0,2568.0,60.0,4.0,,,300.0,2520.0,,,5.0,,,480.0,,8700.0,930000.0,26.0,600.0,,960.0,,3807.0,243000.0,500.0,140.0,6568.0,1000.0,,5.0,789.0,185.0,2934.0,1686.0,2000.0,10136.0,90.0,0.0,65015.0,309.0,1150.0,571.0,11880.0,9000.0,3059.0,,600.0,6325.0,,1264.0,4775.0,7800.0,39.0,90.0,4000.0,,,22000.0,400.0,,160.0,150.0,740.0,0.0,70.0,,21000.0,1103.0,,243000.0,48.0,160.0,143.0,2129.0,1600.0,1908.0,,4068.0,283.0,,723.0
1964,113.0,11186.0,,327.0,666.0,2895.0,60.0,3.0,,,455.0,2660.0,,,5.0,,,352.0,,9000.0,554760.0,32.0,760.0,,1080.0,,3049.0,243000.0,600.0,148.0,6895.0,1000.0,,0.0,944.0,190.0,3060.0,1365.0,2100.0,9205.0,80.0,0.0,56090.0,325.0,1187.0,538.0,12240.0,10000.0,2969.0,,500.0,6385.0,,1150.0,4819.0,7005.0,57.0,90.0,4000.0,,,21700.0,500.0,,160.0,150.0,736.0,0.0,70.0,,15000.0,672.0,,243000.0,48.0,160.0,142.0,1772.0,1400.0,1802.0,,5604.0,285.0,,1157.0
1965,219.0,13330.0,,96.0,627.0,3154.0,60.0,4.0,,,380.0,2737.0,,,6.0,,,392.0,,9000.0,451560.0,34.0,560.0,,1080.0,,3026.0,216000.0,600.0,154.0,7154.0,1100.0,,0.0,1394.0,195.0,3249.0,1611.0,2100.0,7817.0,100.0,0.0,55465.0,420.0,1232.0,547.0,14220.0,10000.0,2627.0,,400.0,6405.0,,945.0,4930.0,7095.0,52.0,90.0,4000.0,,,21900.0,450.0,,113.0,150.0,788.0,0.0,90.0,,17000.0,765.0,,216000.0,45.0,120.0,104.0,1891.0,1400.0,2079.0,,6034.0,288.0,,1776.0
1966,324.0,13180.0,,82.0,627.0,2786.0,60.0,3.0,,,380.0,2740.0,,,5.0,,,384.0,,9300.0,405480.0,26.0,520.0,,1080.0,,2809.0,216000.0,500.0,169.0,6786.0,1082.0,,0.0,1105.0,200.0,3105.0,1637.0,2100.0,6868.0,115.0,0.0,54780.0,404.0,1238.0,471.0,11520.0,9000.0,2685.0,,600.0,6500.0,,923.0,3288.0,7875.0,50.0,90.0,4000.0,,,22700.0,490.0,,124.0,150.0,932.0,0.0,100.0,,17000.0,851.0,,216000.0,48.0,100.0,102.0,1906.0,1600.0,1764.0,,6204.0,240.0,,1548.0
1967,406.0,12482.0,,78.0,588.0,3124.0,60.0,3.0,,,380.0,2752.0,,,5.0,,,384.0,,9200.0,376440.0,23.0,760.0,,1080.0,,2715.0,207000.0,400.0,172.0,6124.0,1308.0,,0.0,2204.0,210.0,2641.0,1674.0,2200.0,5815.0,130.0,0.0,51460.0,412.0,1639.0,408.0,9000.0,9000.0,2951.0,,790.0,6590.0,,761.0,2459.0,7890.0,38.0,90.0,3000.0,,,22100.0,320.0,,56.0,150.0,886.0,0.0,110.0,,18000.0,704.0,,207000.0,45.0,70.0,115.0,2134.0,2000.0,2007.0,,4567.0,206.0,,1570.0
1968,252.0,11190.0,,76.0,549.0,4229.0,60.0,4.0,,,400.0,1378.0,,,5.0,,,384.0,,9100.0,392040.0,19.0,840.0,,1080.0,,2855.0,198000.0,300.0,172.0,9229.0,1020.0,,0.0,1414.0,215.0,2943.0,1942.0,2000.0,5719.0,130.0,0.0,51990.0,350.0,903.0,347.0,8640.0,10000.0,2787.0,,190.0,6675.0,,739.0,1852.0,7755.0,38.0,90.0,5000.0,,,24000.0,380.0,,56.0,150.0,937.0,0.0,130.0,,22000.0,972.0,,198000.0,48.0,80.0,100.0,2258.0,2200.0,2000.0,,3572.0,218.0,,1749.0
1969,224.0,12100.0,,72.0,627.0,4348.0,60.0,4.0,,,440.0,1535.0,,,5.0,,,384.0,,9300.0,375600.0,15.0,560.0,,840.0,,2940.0,198000.0,400.0,164.0,10348.0,1220.0,,0.0,1396.0,220.0,3114.0,1950.0,2100.0,5378.0,210.0,0.0,49440.0,345.0,1216.0,408.0,9000.0,11000.0,2980.0,,640.0,6795.0,,800.0,1633.0,9000.0,46.0,90.0,6000.0,,,23900.0,370.0,,96.0,200.0,987.0,0.0,140.0,,23000.0,1117.0,,198000.0,45.0,90.0,147.0,2211.0,3000.0,1600.0,,3151.0,218.0,,1890.0
1970,287.0,11290.0,,91.0,627.0,4885.0,61.0,5.0,,,440.0,1600.0,,,2.0,,,368.0,,8700.0,426120.0,12.0,1120.0,,720.0,,2209.0,171000.0,300.0,232.0,11885.0,1400.0,,0.0,1310.0,230.0,3132.0,1591.0,1800.0,6142.0,255.0,0.0,45850.0,299.0,907.0,285.0,9180.0,5000.0,2873.0,,760.0,6810.0,,750.0,1546.0,10050.0,30.0,90.0,7000.0,,,22100.0,300.0,,86.0,200.0,963.0,0.0,120.0,,19000.0,1047.0,,171000.0,48.0,120.0,152.0,1919.0,2400.0,1720.0,,2727.0,140.0,,1830.0
1971,312.0,9670.0,,74.0,470.0,3057.0,64.0,6.0,,,440.0,1831.0,,,4.0,,,358.0,,8100.0,474960.0,12.0,1440.0,,840.0,,1496.0,171000.0,700.0,120.0,9057.0,1828.0,,0.0,1703.0,240.0,2939.0,1489.0,1600.0,6010.0,425.0,0.0,43465.0,342.0,666.0,279.0,8460.0,4600.0,2696.0,,490.0,6855.0,,640.0,1260.0,8745.0,29.0,90.0,6000.0,,,23500.0,276.0,,96.0,200.0,937.0,0.0,100.0,,14000.0,1279.0,,171000.0,48.0,40.0,142.0,1944.0,2200.0,1800.0,,2327.0,169.0,,1660.0
1972,234.0,8060.0,,49.0,463.0,2505.0,66.0,9.0,,,440.0,1671.0,,,5.0,,,384.0,,7400.0,513360.0,11.0,800.0,,840.0,,1402.0,171000.0,800.0,120.0,9505.0,2040.0,,0.0,1524.0,240.0,1427.0,1583.0,1500.0,5479.0,210.0,0.0,40340.0,258.0,620.0,238.0,7560.0,4500.0,2600.0,,170.0,7500.0,,552.0,1364.0,8490.0,28.0,90.0,7000.0,,,21900.0,300.0,,112.0,200.0,993.0,0.0,80.0,,14000.0,1020.0,,171000.0,48.0,30.0,135.0,1948.0,2100.0,2000.0,,2087.0,170.0,,1689.0
1973,249.0,5740.0,,38.0,463.0,2483.0,68.0,30.0,,,500.0,1736.0,,,4.0,,,355.0,,7400.0,499560.0,13.0,1280.0,,960.0,,1893.0,162000.0,1600.0,129.0,8583.0,2190.0,,0.0,1998.0,240.0,1323.0,1807.0,1400.0,5121.0,210.0,0.0,38265.0,249.0,578.0,231.0,4680.0,5340.0,2911.0,,290.0,7570.0,,550.0,2930.0,9225.0,78.0,90.0,6100.0,,,18900.0,300.0,,144.0,200.0,1071.0,0.0,100.0,,14000.0,804.0,,162000.0,50.0,40.0,149.0,1947.0,2700.0,2400.0,,2102.0,168.0,,1806.0
1974,247.0,4330.0,,36.0,566.0,2420.0,72.0,36.0,,,500.0,1840.0,,,5.0,,,254.0,,7100.0,477000.0,11.0,1160.0,,960.0,,1737.0,162000.0,1300.0,133.0,8620.0,2748.0,,0.0,1121.0,245.0,1332.0,1837.0,1200.0,5137.0,210.0,0.0,34375.0,256.0,679.0,278.0,5285.0,5069.0,3020.0,,480.0,5115.0,,640.0,3634.0,11340.0,114.0,90.0,6200.0,,,21500.0,275.0,,144.0,205.0,1019.0,0.0,110.0,,16000.0,924.0,,162000.0,50.0,3.0,150.0,1784.0,2900.0,2120.0,,2288.0,166.0,,1721.0
1975,284.0,2620.0,,27.0,515.0,2397.0,76.0,29.0,,,520.0,1880.0,,,5.0,,,284.0,,6900.0,459120.0,11.0,1560.0,,960.0,,1335.0,162000.0,1200.0,136.0,8397.0,2666.0,,0.0,1105.0,245.0,1646.0,1625.0,1000.0,5072.0,255.0,0.0,35255.0,316.0,641.0,248.0,5040.0,4220.0,3493.0,,350.0,5185.0,,530.0,2819.0,9120.0,116.0,90.0,6000.0,,,25018.0,290.0,,128.0,210.0,1021.0,0.0,100.0,,14000.0,1080.0,,162000.0,50.0,10.0,137.0,1776.0,3100.0,2200.0,,2224.0,193.0,,1706.0
1976,373.0,2590.0,,169.0,381.0,3969.0,80.0,50.0,,,560.0,1732.0,,,5.0,,,295.0,,6700.0,457320.0,11.0,1200.0,,960.0,,1305.0,162000.0,1400.0,151.0,8169.0,2346.0,,0.0,2036.0,245.0,2070.0,1619.0,900.0,5412.0,350.0,0.0,33580.0,509.0,412.0,251.0,4680.0,5070.0,3549.0,,370.0,6720.0,,480.0,3044.0,10110.0,125.0,100.0,4200.0,,,22184.0,385.0,,128.0,210.0,948.0,0.0,90.0,,8400.0,1206.0,,162000.0,51.0,3.0,150.0,1782.0,3700.0,2120.0,,2401.0,179.0,,1664.0
1977,533.0,2497.0,,241.0,224.0,4710.0,80.0,58.0,,,540.0,1244.0,,,5.0,,,318.0,,6500.0,459960.0,9.0,1368.0,,960.0,,1434.0,126000.0,1700.0,157.0,8810.0,1902.0,,0.0,2308.0,245.0,4410.0,1200.0,900.0,5229.0,330.0,0.0,30380.0,687.0,344.0,202.0,5580.0,4150.0,3315.0,,430.0,6110.0,,590.0,2864.0,11265.0,130.0,100.0,4100.0,,,20347.0,400.0,,144.0,210.0,1089.0,0.0,90.0,,13400.0,1188.0,,126000.0,51.0,10.0,199.0,2121.0,3600.0,2160.0,,2153.0,178.0,,1560.0
1978,428.0,3159.0,,335.0,260.0,6354.0,80.0,65.0,,,540.0,1360.0,,,7.0,,,274.0,,6400.0,483840.0,6.0,760.0,,960.0,,1358.0,135000.0,2000.0,164.0,10354.0,1266.0,,0.0,2166.0,245.0,1863.0,881.0,800.0,5394.0,285.0,0.0,30875.0,905.0,525.0,180.0,6840.0,6600.0,3118.0,,490.0,6365.0,,549.0,3252.0,12795.0,135.0,100.0,4000.0,,,20183.0,400.0,,144.0,210.0,1401.0,0.0,90.0,,13800.0,1093.0,,135000.0,53.0,10.0,211.0,2131.0,3600.0,2200.0,,2152.0,203.0,,1354.0
1979,397.0,4111.0,,239.0,260.0,7750.0,80.0,65.0,,,540.0,1792.0,,,8.0,,,228.0,,6200.0,457200.0,6.0,680.0,,1020.0,,1414.0,126000.0,1000.0,168.0,11750.0,936.0,,0.0,2366.0,245.0,1908.0,754.0,800.0,5299.0,290.0,0.0,23885.0,1073.0,559.0,107.0,7740.0,7000.0,3084.0,,660.0,10555.0,,740.0,3486.0,15555.0,135.0,100.0,4000.0,,,22055.0,300.0,,144.0,210.0,1247.0,0.0,85.0,,9400.0,855.0,,126000.0,53.0,10.0,236.0,2450.0,3300.0,2240.0,,1787.0,437.0,,1214.0
1980,363.0,6021.0,,229.0,215.0,11968.0,88.0,45.0,,,540.0,2264.0,,,10.0,,,265.0,,6000.0,559560.0,6.0,720.0,,840.0,,1556.0,126000.0,1400.0,80.0,15968.0,720.0,,0.0,2279.0,250.0,1408.0,1093.0,700.0,5391.0,912.0,0.0,21460.0,1293.0,560.0,94.0,6840.0,8900.0,3187.0,,600.0,8451.0,,488.0,3929.0,16695.0,150.0,100.0,4000.0,,,17402.0,350.0,,128.0,220.0,1770.0,0.0,95.0,,9400.0,1068.0,,126000.0,54.0,3.0,222.0,2720.0,2800.0,2240.0,,2072.0,233.0,,1188.0
1981,297.0,6066.0,,180.0,410.0,3424.0,88.0,48.0,,,640.0,2468.0,,,12.0,,,255.0,,5700.0,505440.0,4.0,800.0,,540.0,,2142.0,126000.0,2000.0,88.0,7424.0,680.0,,0.0,1577.0,250.0,779.0,1490.0,700.0,5574.0,796.0,0.0,21630.0,1463.0,499.0,88.0,3780.0,11800.0,3308.0,,1455.0,8705.0,,419.0,4961.0,23535.0,155.0,100.0,4000.0,,,22280.0,270.0,,120.0,220.0,1357.0,0.0,97.0,,9000.0,1036.0,,126000.0,57.0,40.0,167.0,2640.0,2100.0,2240.0,,2396.0,120.0,,1161.0
